"district_2001","round_id","outcome_id","estimate","std_error","relative_se","cv","n_households","n_fsu","n_sample_person_equiv","sum_person_weight","kish_effective_n","status","reason","uncertainty_requested","sample_support_ok","analysis_eligible","precision_ok","preferred_eligible","support_reason"
"pc2001__13__04","nss_2011_12_type2","mean_log_real_mpce",7.03078710495631,0.0284349972796562,0.00404435475789206,NA,96,12,522,79677.79,54.2950137441615,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__13__05","nss_2011_12_type2","mean_log_real_mpce",7.10586736216485,0.048757876002765,0.00686163609841299,NA,64,8,313,85217.905,30.3869765957991,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__13__06","nss_2011_12_type2","mean_log_real_mpce",7.28270481103624,0.0995517056791314,0.0136696060409136,NA,96,12,513,200772.23,53.073566389706,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__13__07","nss_2011_12_type2","mean_log_real_mpce",7.24672222603143,0.0450181114986857,0.00621220326853059,NA,192,24,939,262185.085,80.8286039075548,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__13__08","nss_2011_12_type2","mean_log_real_mpce",7.1388480289589,0.0334602425963444,0.00468706470016061,NA,96,12,483,93763.81,44.9320610411309,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__14__01","nss_2011_12_type2","mean_log_real_mpce",6.67025844556826,0.0446147525720477,0.00668860928495055,NA,128,16,697,192593.795,47.275099964009,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__14__02","nss_2011_12_type2","mean_log_real_mpce",7.26049430786312,0.0324212847043978,0.00446543765887751,NA,96,12,614,117070.41,50.7501432464716,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__14__03","nss_2011_12_type2","mean_log_real_mpce",7.28763835714532,0.0479915347799265,0.0065853342918522,NA,192,24,1084,242790.865,70.3986890913712,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__14__04","nss_2011_12_type2","mean_log_real_mpce",6.82348902500132,0.0180636971783093,0.00264728163438437,NA,288,36,1472,211737.59,105.4565211278,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__14__05","nss_2011_12_type2","mean_log_real_mpce",6.96825043178316,0.0273078418432721,0.00391889500967377,NA,480,60,2525,432967.745,190.371484243551,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
