"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__14__01",1,707,16,209703.03,335.61812640463,707,0,TRUE,
"pc2001__14__02",1,713,12,102016.635,333.502413818883,713,0,TRUE,
"pc2001__14__03",1,923,24,183675.47,354.550762881701,923,0,TRUE,
"pc2001__14__04",1,1391,36,201095.965,425.064068902488,611,780,TRUE,
"pc2001__14__05",1,2287,60,338247.339999999,937.312766917954,920,1367,TRUE,
"pc2001__14__06",1,3761,100,469463.470000001,1497.50914756073,763,2998,TRUE,
"pc2001__14__07",1,1460,40,277230.545,806.716524097595,1189,271,TRUE,
"pc2001__14__08",1,749,16,143793.285,414.105930896385,749,0,TRUE,
"pc2001__14__09",1,684,16,116254,403.818757673368,522,162,TRUE,
"pc2001__15__01",1,424,12,57533.8300000001,174.476051907909,268,156,TRUE,
"pc2001__15__02",1,370,11,42261.91,161.598837444177,108,262,TRUE,
"pc2001__15__03",1,2762,76,263322.960000002,1535.17087885656,609,2153,TRUE,
"pc2001__15__04",1,885,24,105027.625,315.957025447539,438,447,TRUE,
"pc2001__15__05",1,409,12,48668.89,172.241261548311,143,266,TRUE,
"pc2001__15__06",1,1065,32,109636.115,461.479632888169,527,538,TRUE,
"pc2001__15__07",1,462,12,74203.01,243.493963853925,462,0,TRUE,
"pc2001__15__08",1,499,12,48069.2550000001,208.626915682676,339,160,TRUE,
"pc2001__16__01",1,3559,112,1554665.655,1385.34755084163,2240,1319,TRUE,
"pc2001__16__02",1,1621,52,736273.869999998,659.194937447525,1400,221,TRUE,
"pc2001__16__03",1,875,28,343037.005000001,376.227518365254,671,204,TRUE,
"pc2001__16__04",1,1453,40,673775.725,533.901397801596,1216,237,TRUE,
"pc2001__17__01",1,1233,32,523174.554999998,523.4932726294,926,307,TRUE,
"pc2001__17__02",1,625,16,272147.095,274.969696890207,474,151,TRUE,
"pc2001__17__03",1,505,12,142695.04,213.360520988781,354,151,TRUE,
"pc2001__17__04",1,896,20,319767.864999999,458.599088286344,742,154,TRUE,
"pc2001__17__05",1,620,16,205583.655,237.649221880181,479,141,TRUE,
"pc2001__17__06",1,1608,43,678630.065,702.299340032537,753,855,TRUE,
"pc2001__17__07",1,860,20,278599.445,414.962333462538,684,176,TRUE,
"pc2001__18__01",1,505,15,731210.160000001,145.971640264034,384,121,TRUE,
"pc2001__18__02",1,784,20,2314126.12,203.776621113319,648,136,TRUE,
"pc2001__18__03",1,564,16,651919.970000001,188.046140372727,424,140,TRUE,
"pc2001__18__04",1,376,12,335691.8,137.417785363618,270,106,TRUE,
"pc2001__18__05",1,909,24,1511946.285,372.133444745977,765,144,TRUE,
"pc2001__18__06",1,741,20,1421478.56000001,323.197333358103,615,126,TRUE,
"pc2001__18__07",1,398,12,655015.745000002,127.564781705334,291,107,TRUE,
"pc2001__18__08",1,619,16,633709.14,207.78348883034,490,129,TRUE,
"pc2001__18__09",1,676,16,1148781.525,150.052224451611,527,149,TRUE,
"pc2001__18__10",1,1005,24,2330560.34,355.748335459064,869,136,TRUE,
"pc2001__18__11",1,884,24,1614938.82,312.134174419386,775,109,TRUE,
"pc2001__18__12",1,583,16,1010454.385,166.836552086571,453,130,TRUE,
"pc2001__18__13",1,483,12,711132.340000003,185.87704914893,338,145,TRUE,
"pc2001__18__14",1,621,16,1129286.99,207.522381149722,474,147,TRUE,
"pc2001__18__15",1,596,16,1225348.88,250.806927075937,454,142,TRUE,
"pc2001__18__16",1,616,16,1026561.275,250.082176091899,472,144,TRUE,
"pc2001__18__17",1,630,16,1039801.23,210.93511110419,489,141,TRUE,
"pc2001__18__18",1,531,16,759579.995000001,147.683319127677,431,100,TRUE,
"pc2001__18__19",1,660,16,888001.890000003,319.838269693073,478,182,TRUE,
"pc2001__18__20",1,466,12,277796.865,233.43370680548,302,164,TRUE,
"pc2001__18__21",1,746,20,1333523.13,446.689193895795,587,159,TRUE,
"pc2001__18__22",1,646,16,1109255.645,218.005029712884,495,151,TRUE,
"pc2001__18__23",1,475,12,522804.385000001,183.003630404653,321,154,TRUE,
"pc2001__19__01",1,694,20,1560215.32499999,216.817807415121,300,394,TRUE,
"pc2001__19__02",1,1060,32,2893395.06500001,283.756866160531,802,258,TRUE,
"pc2001__19__03",1,816,24,2614911.22999999,202.176084975134,544,272,TRUE,
"pc2001__19__04",1,903,24,2501115.24,337.592034564608,626,277,TRUE,
"pc2001__19__05",1,666,20,1496442.10000001,140.421804167328,421,245,TRUE,
"pc2001__19__06",1,1142,32,3508262.12500001,343.373342839894,902,240,TRUE,
"pc2001__19__07",1,1500,48,4960464.04000001,470.982020097121,1107,393,TRUE,
"pc2001__19__08",1,797,28,2465321.085,238.280645677052,578,219,TRUE,
"pc2001__19__09",1,2362,68,6806021.77999998,831.309199603556,1255,1107,TRUE,
"pc2001__19__10",1,1306,44,4575938.815,396.245671719906,859,447,TRUE,
"pc2001__19__11",1,2811,92,8270188.71499998,948.762586986286,1030,1781,TRUE,
"pc2001__19__12",1,1567,52,4643737.035,502.990359131881,851,716,TRUE,
"pc2001__19__13",1,956,32,2714454.23499999,333.464935141177,757,199,TRUE,
"pc2001__19__14",1,854,28,2060468.49999999,306.885956927506,662,192,TRUE,
"pc2001__19__16",1,1493,48,3421490.14000002,450.007777893975,568,925,TRUE,
"pc2001__19__17",1,1583,60,3379698.31000001,835.332503079867,0,1583,TRUE,
"pc2001__19__18",1,1993,56,7181852.305,686.04728697778,1537,456,TRUE,
"pc2001__20__01",1,570,16,921184.5,213.140013228247,455,115,TRUE,
"pc2001__20__02",2,1111,28,2080308.89499999,252.854427204808,806,305,TRUE,
"pc2001__20__03",1,503,12,786332.499999998,209.164373278049,358,145,TRUE,
"pc2001__20__04",1,818,20,2349062.995,235.722780254837,533,285,TRUE,
"pc2001__20__05",1,485,12,503020.115000001,283.540640904234,340,145,TRUE,
"pc2001__20__06",1,766,16,1970880.11000001,214.09282689923,558,208,TRUE,
"pc2001__20__07",1,578,16,1122538.33,259.929727846604,455,123,TRUE,
"pc2001__20__08",1,547,16,795830.410000001,172.696830008171,440,107,TRUE,
"pc2001__20__09",1,382,12,762584.894999998,91.4090402854194,262,120,FALSE,"low_kish_effective_n"
"pc2001__20__10",1,448,12,799631.744999999,117.506068112433,317,131,TRUE,
"pc2001__20__11",2,1061,28,1602524.57000001,270.993575693417,770,291,TRUE,
"pc2001__20__12",1,990,24,2466313.735,544.12180140747,534,456,TRUE,
"pc2001__20__13",1,904,24,1504838.615,384.186293173411,479,425,TRUE,
"pc2001__20__14",1,870,24,2246584.74,255.684854637094,479,391,TRUE,
"pc2001__20__15",1,506,12,377676.09,187.075038970954,338,168,TRUE,
"pc2001__20__16",2,876,24,1411879.46999999,223.512022134174,638,238,TRUE,
"pc2001__20__17",1,571,16,1023636.64,174.349188106047,439,132,TRUE,
"pc2001__20__18",1,740,20,1506107.865,316.20889026465,293,447,TRUE,
"pc2001__21__01",1,629,20,1354262.67,199.466867570798,505,124,TRUE,
"pc2001__21__02",1,399,12,536909.665,185.351937092567,260,139,TRUE,
"pc2001__21__03",1,397,12,934042.505000003,188.317472500582,269,128,TRUE,
"pc2001__21__04",1,347,12,278904.215,118.436674920575,234,113,TRUE,
"pc2001__21__05",1,790,24,1773048.35500001,459.830233479293,546,244,TRUE,
"pc2001__21__06",1,756,20,1831812.68,251.37967144146,624,132,TRUE,
"pc2001__21__07",1,669,20,2434679.21000001,247.878495992875,529,140,TRUE,
"pc2001__21__08",1,682,20,2130866.585,264.493882357552,556,126,TRUE,
"pc2001__21__09",1,771,20,1349718.075,246.268769394321,611,160,TRUE,
"pc2001__21__10",1,709,20,1170072.195,284.06159633644,580,129,TRUE,
"pc2001__21__11",1,538,16,961645.795000003,234.491027401702,432,106,TRUE,
"pc2001__21__12",1,868,24,2421521.365,405.854622756644,607,261,TRUE,
