"source_district_code","target_unit_2001","lineage_status","n_sample_people","n_fsu","sum_person_weight","kish_effective_n"
"18112","pc2001__18__16","resolved_reviewed_primary",353,11,861382.38125,138.166638545981
"18113","pc2001__18__17","resolved_reviewed_deterministic",584,20,803980.877499999,252.093303260677
"18114","pc2001__18__18","resolved_reviewed_deterministic",268,10,459066.837499999,91.5884259227626
"18201","pc2001__18__01","resolved_reviewed_deterministic",327,10,799627.94,153.148084819312
"18202",,"unresolved_source_district",828,25,1478075.65249999,280.235246155791
"18203","pc2001__18__03","resolved_reviewed_deterministic",404,13,501099.86875,159.155581000153
"18204","pc2001__18__05","resolved_reviewed_primary",805,23,1502191.2225,244.249672805976
"18220","pc2001__18__04","resolved_reviewed_primary",366,11,672977.27,155.120039500712
"18221",,"unresolved_source_district",102,3,155871.61875,57.3604506101823
"18222","pc2001__18__06","resolved_reviewed_primary",890,25,1621360.83,389.640139708984
"18223","pc2001__18__06","resolved_reviewed_primary",856,30,775068.588749996,382.765583000877
"18224","pc2001__18__07","resolved_reviewed_deterministic",310,10,605241.8975,138.654910705321
"18225",,"unresolved_source_district",313,10,609831.112499999,182.79636669112
"18315","pc2001__18__19","resolved_reviewed_deterministic",342,10,624241.30125,159.200808227746
"18316","pc2001__18__20","resolved_reviewed_deterministic",130,4,269226.81,90.0207738869761
"18317","pc2001__18__21","resolved_reviewed_primary",911,27,1286405.51875,443.895892776236
"18318","pc2001__18__22","resolved_reviewed_primary",623,19,1147948.87,274.280202955578
"18319","pc2001__18__23","resolved_reviewed_primary",434,12,763852.817500002,194.706639751989
"18405","pc2001__18__09","resolved_reviewed_primary",415,12,670574.398750001,85.7407704598133
"18406","pc2001__18__10","resolved_reviewed_primary",1099,31,1439636.29000001,203.736856297731
"18407","pc2001__18__11","resolved_reviewed_deterministic",1031,27,2138208.49,473.310154899042
"18426","pc2001__18__08","resolved_reviewed_primary",719,20,1419093.7125,304.035586087605
"18427",,"unresolved_source_district",525,14,1172074.55125,224.996740212032
"19101","pc2001__19__01","resolved_reviewed_primary",649,21,1622299.235,259.608741609523
"19102","pc2001__19__02","resolved_reviewed_primary",932,29,2974971.64500001,316.811141188796
"19103","pc2001__19__03","resolved_reviewed_primary",643,21,2500672.73875,226.781981638512
"19204","pc2001__19__04","resolved_reviewed_primary",960,29,3085910.81374999,332.991715535305
"19205","pc2001__19__05","resolved_reviewed_primary",353,12,1486290.6,162.538278062789
"19206","pc2001__19__06","resolved_reviewed_primary",1040,30,3670973.16000001,327.434775586232
"19207","pc2001__19__07","resolved_reviewed_deterministic",1939,62,7272788.47624996,591.542651567082
"19208","pc2001__19__08","resolved_reviewed_deterministic",735,26,2943203.17125001,256.645882894511
"19210","pc2001__19__10","resolved_reviewed_primary",1030,33,3501958.56499998,360.359326168408
"19311","pc2001__19__11","resolved_reviewed_primary",3174,102,9841667.27624999,1155.48256124584
"19316","pc2001__19__17","resolved_reviewed_deterministic",1592,56,3794334.15500001,1031.89356819401
"19317","pc2001__19__18","resolved_reviewed_primary",2071,66,7787854.14624998,657.766014550815
