"target_unit_2001","outcome_id","estimate","std_error","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","preferred_eligible","support_reason","status","analysis_eligible"
"pc2001__09__45","regular_salaried_share_employed_age15plus",0.124016878231267,0.0256562321614614,327,24,1663231.15,152.045437798375,TRUE,,"estimated",TRUE
"pc2001__09__46","regular_salaried_share_employed_age15plus",0.0460419628323731,0.0181190754868129,277,20,1116098.16,79.36077316647,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__47","regular_salaried_share_employed_age15plus",0.0656807541561015,0.0268184782050431,193,12,718615.15,68.7629022544012,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__48","regular_salaried_share_employed_age15plus",0.0406479132308048,0.0130187821226931,203,12,678459.675,73.0179080647643,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__49","regular_salaried_share_employed_age15plus",0.051840376837623,0.0238706059165134,299,20,964740.189999999,91.8878526039802,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__50","regular_salaried_share_employed_age15plus",0.040802776509263,0.0166969451125817,139,12,752246.724999999,35.7480036480273,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__51","regular_salaried_share_employed_age15plus",0.0297133601545134,0.011711869628005,158,12,274601.39,25.406544597389,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__52","regular_salaried_share_employed_age15plus",0.00753683645122034,0.00449206357290001,166,12,664228.955,52.1050921859335,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__53","regular_salaried_share_employed_age15plus",0.0327496549979614,0.0144265398870236,260,20,774462.815000001,67.4932957717526,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__54","regular_salaried_share_employed_age15plus",0.043491943594756,0.0306827388322185,183,12,660591.77,50.2290031748651,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__55","regular_salaried_share_employed_age15plus",0.0749145356632886,0.0297267574806518,196,12,773002.255,71.2492771736417,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__56","regular_salaried_share_employed_age15plus",0.0672886415824431,0.0364298428682421,139,12,435810.18,51.9500703528993,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__57","regular_salaried_share_employed_age15plus",0.0662411910785195,0.0431967125314746,181,12,826988.3,63.8142463872195,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__58","regular_salaried_share_employed_age15plus",0.106457049011331,0.0266856845410295,346,23,1286959.025,146.865712984433,TRUE,,"estimated",TRUE
"pc2001__09__59","regular_salaried_share_employed_age15plus",0.0174149343316945,0.00591035049343602,289,20,1059648.555,124.351804530707,TRUE,,"estimated",TRUE
"pc2001__09__60","regular_salaried_share_employed_age15plus",0.0890127198764846,0.0251343632093259,281,20,890953.620000001,123.495043118211,TRUE,,"estimated",TRUE
"pc2001__09__61","regular_salaried_share_employed_age15plus",0.0302656945366637,0.00865484517242632,350,20,1231100.775,130.990920548267,TRUE,,"estimated",TRUE
"pc2001__09__62","regular_salaried_share_employed_age15plus",0.0241529682884196,0.00938278334963437,199,12,636331.105,93.3646884031933,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__63","regular_salaried_share_employed_age15plus",0.0235145787776533,0.00786506273983948,315,20,739694.729999999,93.0622166196481,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__64","regular_salaried_share_employed_age15plus",0.0369193514305352,0.0172598792385001,341,20,1288387.205,151.349435447131,TRUE,,"estimated",TRUE
"pc2001__09__65","regular_salaried_share_employed_age15plus",0.0538966930088455,0.0242861948754845,357,20,1106919.955,92.8328242044962,FALSE,"low_kish_effective_n","estimated",FALSE
