"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__18__19","18","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__21","18","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__22","18","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__18__23","18","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__01","19","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__02","19","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__03","19","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__04","19","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__05","19","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__06","19","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__07","19","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__08","19","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__09","19","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__10","19","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__11","19","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__12","19","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__13","19","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__14","19","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__15","19","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__16","19","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__17","19","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__19__18","19","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__01","20","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__02","20","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__03","20","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__04","20","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__06","20","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__07","20","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__08","20","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__10","20","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__11","20","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__12","20","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__13","20","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__14","20","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__16","20","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__17","20","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__20__18","20","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__01","21","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__03","21","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__05","21","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__06","21","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__07","21","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__08","21","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__09","21","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__10","21","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__12","21","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__13","21","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__14","21","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__15","21","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__16","21","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__17","21","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__18","21","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__19","21","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__24","21","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__26","21","26",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__27","21","27",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__28","21","28",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__21__29","21","29",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__02","22","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__03","22","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__04","22","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__05","22","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__06","22","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__07","22","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__08","22","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__09","22","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__10","22","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__11","22","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__12","22","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__13","22","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__14","22","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__22__15","22","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__02","23","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__03","23","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__04","23","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__06","23","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__09","23","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__11","23","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__13","23","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__14","23","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__16","23","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__17","23","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__18","23","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__20","23","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__21","23","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__22","23","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__25","23","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__26","23","26",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__27","23","27",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__29","23","29",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__30","23","30",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__31","23","31",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__32","23","32",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__33","23","33",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__34","23","34",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__35","23","35",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__37","23","37",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__39","23","39",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__43","23","43",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__44","23","44",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__45","23","45",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__01","24","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__02","24","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__03","24","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__04","24","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__05","24","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__06","24","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__07","24","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__08","24","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__09","24","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__10","24","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__12","24","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__13","24","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__14","24","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__15","24","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__16","24","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__17","24","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__18","24","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__19","24","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__21","24","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__22","24","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__25","24","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__25__02","25","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__26__01","26","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__01","27","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__02","27","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__03","27","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__04","27","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__05","27","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__06","27","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__07","27","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__08","27","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__09","27","09",TRUE,TRUE,TRUE,TRUE,"included"
