"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__26__01",1,"Dadra & Nagar Haveli",TRUE,76337,4459,10186,20750,15798,25144,76198,41557,20260,13002,6376,1555,31148,23441,9616,10577,156711,130155,22906,3650,2011,0.0584120413429923,0.808153320146194,0.329381558091096,0.545381768550356,0.265886243733431,0.170634399853015,0.0836767369222289,0.0203702005580518,0.571596997524136,0.138556663217051,2.05288392260634,0.169458429848575,0.137445398403374
"pc2001__27__01",1,"Nandurbar",TRUE,321687,54569,47929,64348,52194,102647,320341,129427,71718,33471,12724,9426,66831,131474,46474,67482,789871,662438,114549,12884,2011,0.169633836617582,0.681373509032072,0.319089674124226,0.404028831776139,0.223880177685654,0.104485532604319,0.0397201731904439,0.0293017747064693,0.762946590940884,0.209775340626137,2.45540230099444,0.161333939339462,0.10110410961054
"pc2001__27__02",1,"Dhule",TRUE,407268,45945,47172,74988,71049,168114,405813,214757,126876,62840,27133,18213,113239,143516,55419,76881,934204,824214,96369,13621,2011,0.112812693361619,0.771361855092961,0.412784701965291,0.529201873769445,0.312646465243844,0.154849647497739,0.0668608447733316,0.0447199387135744,0.677234646473575,0.188772503609417,2.29383108911086,0.117736597145805,0.123838530775525
"pc2001__27__04",1,"Buldana",TRUE,560887,30418,48553,119575,105569,256772,560115,294097,153395,69482,24069,24095,150198,227952,74325,84317,1218567,1106582,97852,14133,2011,0.0542319575957368,0.859203368949539,0.457796311913095,0.525065388357748,0.273863403051159,0.124049525543862,0.0429715326316917,0.0429587421352251,0.689254698361702,0.150327962673408,2.17257130224091,0.0918989271825021,0.126204402375318
"pc2001__27__05",1,"Akola",TRUE,394967,15373,28807,81339,70022,199426,394474,243204,161328,62698,32825,16545,147117,140021,49221,42063,766866,689952,66333,10581,2011,0.0389222390731378,0.8881425536817,0.504918132400935,0.616527324994803,0.408969919437022,0.158940766691848,0.0832120748135492,0.0418895755847957,0.585631204632286,0.106497504854836,1.94159512060501,0.100296531597437,0.137569233169514
"pc2001__27__06",1,"Washim",TRUE,259092,13524,22850,56934,47520,118264,258735,144180,76419,30664,10269,9623,66574,110308,33564,39023,568986,502036,59610,7340,2011,0.0521976749571581,0.859609713924012,0.456455621941241,0.55724969563453,0.295356252536379,0.118515082999981,0.0396892573482521,0.0371412471245735,0.705907554073457,0.150614453553178,2.19607706914918,0.1176654610131,0.109634055265123
"pc2001__27__07",1,"Amravati",TRUE,646194,27109,48838,133351,119233,317663,645672,401301,287126,115204,67249,27522,242849,229979,82142,63702,1233951,1059586,147799,26566,2011,0.0419517977573298,0.882470279823087,0.491590760669396,0.621524551165298,0.44469328079892,0.178424958802612,0.104153502087747,0.0425909247068218,0.581594691377512,0.0985803025097726,1.90956740545409,0.141306259324722,0.152358558196886
"pc2001__27__08",1,"Wardha",TRUE,309392,15046,24308,65618,61103,143317,309254,192914,137074,54432,30445,13389,103788,118029,42100,32086,606864,528382,66000,12482,2011,0.0486308631121684,0.872802140973264,0.46322141490407,0.62380438086492,0.44324083116144,0.176010657905799,0.0984465843610754,0.0432751978073124,0.621266871800176,0.103706624605678,1.96147282411956,0.129323868280208,0.159042837848169
"pc2001__27__09",1,"Nagpur",TRUE,1037378,31350,73602,217308,202525,512593,1036302,715726,542124,280272,188272,44574,460170,326338,121682,84614,1856710,1644645,180146,31919,2011,0.0302204211001197,0.898829549113245,0.494123646346848,0.690653882748465,0.523133217922961,0.27045397963142,0.181676769899122,0.042967944182352,0.513442544569096,0.0815652539382944,1.78981046445944,0.114215467143496,0.150515172234928
"pc2001__27__10",1,"Bhandara",TRUE,277618,12923,24005,61465,57030,122195,277436,171536,116017,43020,21331,10242,70249,119281,40790,37056,596492,413282,156878,26332,2011,0.0465495753157216,0.866982688442392,0.440155177257959,0.618290344439799,0.418175723410084,0.1550627892559,0.0768862007814415,0.0368924205202833,0.710065629750232,0.133478376762314,2.14860707879172,0.307145778987815,0.143725779160526
