"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__01__01",1,"Kupwara",TRUE,112761,10598,16407,18182,17025,50549,111642,56615,27885,13509,4513,9307,58374,26355,9516,9209,191862,87227,74665,29970,2011,0.0939863960057112,0.760511169641986,0.44828442457942,0.507112018774296,0.249771591336594,0.121002848390391,0.0404238548216621,0.0825374021159798,0.399783613128653,0.0816683073048306,1.70149253731343,0.545365940102782,0.286424236632102
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,226767,23553,29547,39352,37083,97232,226175,117722,65985,37782,16077,5562,63650,83546,32129,41880,533882,239450,183831,110601,2011,0.103864318882377,0.765838944820013,0.428774909929575,0.520490770421134,0.291743119266055,0.167047640101691,0.0710821266718249,0.0245273783222427,0.694788042351841,0.184682956514837,2.35431963204523,0.551492651934323,0.3756419139224
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,21435,1890,3027,3844,4149,8525,21381,12305,9229,3807,2202,1697,6085,6602,2915,4136,57104,40543,14863,1698,2011,0.0881735479356193,0.770608817354794,0.397714019127595,0.575510967681586,0.431644918385482,0.178055282727655,0.102988634769188,0.0791695824585958,0.636948915325402,0.192955446699324,2.6640541170982,0.290014710002802,0.102530040456494
"pc2001__01__08",1,"Kargil",TRUE,18017,1037,1734,2472,2621,10153,17875,10893,6297,2031,609,1255,6370,4757,2313,3322,41135,19085,14677,7373,2011,0.0575567519564855,0.846200810345785,0.563523339068657,0.609398601398601,0.35227972027972,0.113622377622378,0.0340699300699301,0.0696564355886108,0.576788588555253,0.184381417550092,2.28312149636454,0.53603986872493,0.33437641723356
"pc2001__01__11",1,"Punch",TRUE,89907,9689,15849,20099,15153,29117,89654,39676,21190,9202,3771,7661,43710,24983,7124,6429,145788,57777,61296,26715,2011,0.107766914700746,0.715950927069082,0.323856874325692,0.442545787137216,0.236353090771187,0.102639034510451,0.04206170388382,0.0852102728374876,0.428620685819792,0.0715072241316027,1.62154226033568,0.603691661865174,0.303541602754201
"pc2001__02__01",1,"Chamba",TRUE,102231,6120,11852,20558,21999,41702,102056,56191,32681,11130,5664,3770,19911,29748,15818,32984,291196,116920,113433,60843,2011,0.0598644246852716,0.824202052215082,0.407919319971437,0.550589872227013,0.320226150348828,0.109057772203496,0.0554989417574665,0.0368772681476265,0.768357934481713,0.322641860101143,2.84841192984515,0.598483495652413,0.349118639399573
"pc2001__02__02",1,"Kangra",TRUE,338143,13015,26985,61100,74840,162203,337643,255388,185978,61850,38894,34948,110227,100333,44378,48257,668922,308004,238533,122385,2011,0.0384896330842277,0.881706851834875,0.479687587795696,0.756384702185444,0.550812544610728,0.183181644518026,0.115192673918903,0.10335272355187,0.570669805378198,0.142711811275111,1.9782222314228,0.539551696610367,0.339093644539757
"pc2001__02__04",1,"Kullu",TRUE,94609,5602,10142,17902,19064,41899,94502,56073,34579,15569,7800,2602,18214,29871,14058,29864,267500,192370,43709,31421,2011,0.0592121256962868,0.833588770624359,0.442864843725227,0.593352521639754,0.365907599839157,0.164747836024634,0.0825379357050644,0.0275026688792821,0.779978648965743,0.315657072794343,2.82742656618292,0.280859813084112,0.418221748968455
"pc2001__02__06",1,"Hamirpur",TRUE,105438,5005,8535,18002,23392,50504,105342,82626,61818,23841,15269,9467,24649,33319,16519,21484,241727,125998,78695,37034,2011,0.0474686545647679,0.87158330013847,0.478992393634174,0.784359514723472,0.586831463234038,0.226319986330239,0.144946934745875,0.0897873631897418,0.676435440732943,0.203759555378516,2.29259849390163,0.478759096004997,0.320006221431102
"pc2001__02__09",1,"Solan",TRUE,122134,4371,11817,23538,24009,58399,121931,87769,56823,25377,15082,4856,36534,36473,17383,26888,295258,215877,57932,21449,2011,0.035788560106113,0.867457055365418,0.478155141074557,0.719825147009374,0.466025867088763,0.208125907275426,0.123692908284194,0.0397596082990813,0.661109928439255,0.220151636726874,2.41749226259682,0.26885300313624,0.270203197238634
"pc2001__02__10",1,"Sirmaur",TRUE,97925,4312,8344,16603,17806,50860,97775,59626,38768,16458,9486,3289,25678,25049,13747,30162,278979,192906,57926,28147,2011,0.0440336992596375,0.870758233341843,0.51937707429155,0.609828688315009,0.396502173357198,0.168325236512401,0.0970186653029916,0.0335869287720194,0.704191983660965,0.308011233086546,2.84890477406178,0.308528598926801,0.327013116772972
"pc2001__02__12",1,"Kinnaur",TRUE,19750,1646,3813,4264,3557,6470,19733,11587,6647,3341,1513,498,5432,6268,2928,4624,50036,40630,5871,3535,2011,0.0833417721518987,0.723594936708861,0.327594936708861,0.587188972786702,0.33684690619774,0.169310292403588,0.0766735924593321,0.0252151898734177,0.699746835443038,0.234126582278481,2.53346835443038,0.187984651051243,0.375823942164576
"pc2001__03__03",1,"Kapurthala",TRUE,167418,9141,15545,28728,33677,80327,167068,112517,84412,30690,21904,13981,77465,44229,20049,11694,279955,244334,30662,4959,2011,0.0545998638139268,0.852548710413456,0.479799065811323,0.67348025953504,0.50525534512893,0.183697656044245,0.131108291234707,0.0835095389981961,0.453786331218865,0.0698491201662904,1.67219175954796,0.127238306156347,0.13921563122877
"pc2001__03__04",1,"Jalandhar",TRUE,460150,21395,39102,79041,91035,229577,459262,322613,250434,107877,79244,38024,214307,122634,54515,30670,763379,678963,70239,14177,2011,0.04649570792133,0.868527654025861,0.498917744213843,0.702459598224978,0.545296584520383,0.234892065966703,0.172546389642513,0.0826339237205259,0.45163316309899,0.0666521786374008,1.65897859393676,0.110582030682007,0.167942096285064
"pc2001__03__08",1,"Fatehgarh Sahib",TRUE,117717,5955,9211,18143,23220,61188,117460,79129,56954,20988,14464,6028,52619,32982,16113,9975,213814,192001,17341,4472,2011,0.0505874257753765,0.871165592055523,0.519788985448151,0.673667631534139,0.484879959135025,0.178682104546229,0.123139792269709,0.0512075571072997,0.501796681872627,0.0847371237799128,1.81633918635371,0.102018576893936,0.205015357814148
"pc2001__03__10",1,"Moga",TRUE,192920,16733,19765,32638,38916,84868,192442,111007,79218,24554,17774,11429,81721,54894,26078,18798,358192,304147,43172,10873,2011,0.0867354343769438,0.810812772133527,0.439912917271408,0.576833539456044,0.411646106359319,0.127591689963729,0.0923602955695742,0.0592421729214182,0.517157370930956,0.0974393530997305,1.8566867095169,0.150882766784294,0.201184198353224
"pc2001__03__12",1,"Muktsar",TRUE,174116,18925,20430,31371,35395,67995,173756,91688,61169,24283,16254,5729,70660,55231,25956,16540,334842,286813,35397,12632,2011,0.108691906545062,0.773972524064417,0.390515518390039,0.527682497295057,0.352039641796542,0.139753447362969,0.0935449711089113,0.0329033517884629,0.561275241792828,0.0949941418364768,1.92309724551448,0.14343780051487,0.26300776614129
"pc2001__03__13",1,"Faridkot",TRUE,120616,10676,12958,21708,24878,50396,120392,70241,49037,19212,13398,5292,53374,35659,16258,10033,220954,189903,24168,6883,2011,0.0885123035086556,0.804055846653844,0.417821847847715,0.583435776463552,0.407311117017742,0.159578709548807,0.111286464216891,0.0438747761491013,0.513613450951781,0.0831813358095112,1.83187968428733,0.140531513346669,0.221667579143989
"pc2001__03__14",1,"Bathinda",TRUE,272997,24421,30463,52479,58135,107499,272281,158961,108918,46975,32873,11766,107781,82157,39623,31670,539696,442894,76077,20725,2011,0.0894551954783386,0.79895749770144,0.393773557951186,0.583812311545793,0.400020566987781,0.172523973395132,0.120731890950893,0.0430993747184035,0.562094088946032,0.116008600827115,1.97693014941556,0.17936393821707,0.214096816181484
"pc2001__03__15",1,"Mansa",TRUE,149132,16531,19331,30393,32064,50813,148797,75925,46748,16423,10599,5814,46896,49814,22911,23697,327276,246263,59447,21566,2011,0.110848107716654,0.759528471421291,0.340724995306172,0.510258943392676,0.314173000799747,0.110371848894803,0.0712312748240892,0.0389855966526299,0.646554730037819,0.15889949843092,2.19453906606228,0.247537246849754,0.266204189451076
"pc2001__04__01",1,"Chandigarh",TRUE,240524,8485,26480,51225,47397,106937,240377,178807,129447,95542,69298,11800,123866,66081,24220,14557,397256,379232,15022,3002,2011,0.035277144900301,0.854629891403768,0.444600123064642,0.743860685506517,0.538516580205261,0.397467311764437,0.288288812989596,0.0490595533086095,0.435956494985947,0.0605220269079177,1.65162728043771,0.0453712467527237,0.166555703506436
"pc2001__05__08",1,"Bageshwar",TRUE,57972,3040,7647,11846,12533,22906,57914,32301,17165,8460,3953,4174,15304,21119,8921,8454,123441,77956,35538,9947,2011,0.0524391085351549,0.815652383909474,0.39512178292969,0.557740788065062,0.296387747349518,0.146078668370342,0.0682563801498774,0.0720002759953081,0.664010211826399,0.145829020906645,2.12932105154212,0.368475628032825,0.21868747938881
"pc2001__05__09",1,"Almora",TRUE,140224,9269,21672,26478,26996,55809,140104,79360,46470,25365,13926,11075,42073,44701,21041,21334,296385,199510,68063,28812,2011,0.0661013806481059,0.779345903696942,0.397998916020082,0.566436361559984,0.331682178952778,0.181044081539428,0.0993975903614458,0.0789807736193519,0.620977863989046,0.152142286627111,2.11365386809676,0.326855272702735,0.297414193548387
"pc2001__05__13",1,"Hardwar",TRUE,336008,26306,36687,59107,53613,160295,335061,172306,112003,77736,51019,12897,181317,81602,35797,24395,566066,484130,69414,12522,2011,0.0782898026237471,0.812525297016738,0.477057093878717,0.514252628625832,0.334276445184608,0.232005515413611,0.152267796013263,0.0383830146901264,0.421995904859408,0.0726024380371896,1.68468012666365,0.144746372331142,0.152826596367897
"pc2001__06__01",1,"Panchkula",TRUE,116521,5567,9738,22679,23148,55389,116313,83569,62805,43181,32279,6660,54783,32574,13081,9423,203111,174614,22649,5848,2011,0.0477767955990766,0.868650286214502,0.475356373529235,0.718483746442788,0.539965438085167,0.371248269754886,0.277518420125008,0.0571570789814712,0.472687326747968,0.0808695428291896,1.74312784819904,0.140302593163344,0.205214583991297
"pc2001__06__02",1,"Ambala",TRUE,222912,9529,15607,36716,44204,116856,222399,153695,109779,57800,39072,15861,110710,57686,25979,12676,361936,309486,44851,7599,2011,0.0427478107952914,0.887238013207005,0.52422480620155,0.691077747651743,0.493612830992945,0.259893254915715,0.175684243184547,0.0711536391042205,0.432192973011771,0.0568654895205283,1.62367212173414,0.144915123115689,0.144880838894185
"pc2001__06__03",1,"Yamunanagar",TRUE,235174,12753,18967,38944,45414,119096,234748,144650,98882,49928,32962,12001,121547,60447,27294,13885,388406,338308,40601,9497,2011,0.0542279333599803,0.865121144344188,0.506416525636337,0.616192683217748,0.421226165931126,0.21268764803108,0.14041440182664,0.0510303009686445,0.432131102928045,0.0590413906299166,1.65156862578346,0.128983589336931,0.189568445846142
"pc2001__06__04",1,"Kurukshetra",TRUE,187774,12147,15909,32103,38214,89401,187439,117033,78222,39754,24851,10290,83188,55262,23587,15447,335916,285125,39135,11656,2011,0.0646894671253741,0.8505863431572,0.4761095785359,0.624379131344064,0.417319768031199,0.212090333388462,0.132581799945582,0.0547999190516259,0.502178150329652,0.0822637851885778,1.78893776561185,0.151201490848903,0.229489476482054
"pc2001__06__05",1,"Kaithal",TRUE,204004,14200,21250,40663,44948,82943,203586,115268,64723,30960,15446,9415,90088,61129,24791,18581,373307,290318,64462,18527,2011,0.069606478304347,0.826228897472599,0.406575361267426,0.566188244771252,0.317914787853782,0.15207332527777,0.0758696570491095,0.0461510558616498,0.512249759808631,0.0910815474206388,1.82990039410992,0.22230764491424,0.223246454349372
"pc2001__06__06",1,"Karnal",TRUE,291414,19796,26168,51939,58308,135203,290819,173789,112820,58423,36327,14241,135287,84104,34656,23126,514620,410574,85405,18641,2011,0.0679308475227683,0.842272505782152,0.463955060498123,0.597584752027894,0.387938889824943,0.200891276017042,0.124912746416156,0.0488686199015833,0.486888069893691,0.0793578894631006,1.76594123823838,0.202180249504489,0.179161140264883
"pc2001__06__07",1,"Panipat",TRUE,235354,15678,22845,42530,44705,109596,234874,143739,89207,45240,27755,8768,116787,65863,25473,18463,411422,338234,58727,14461,2011,0.0666145465978908,0.83631890683821,0.465664488387705,0.611983446443625,0.379807897000094,0.192613912140126,0.118169742074474,0.0372545187249845,0.466527018873697,0.0784477850387077,1.74809860890403,0.177890341304063,0.197587036126141
"pc2001__06__08",1,"Sonipat",TRUE,277027,13226,22697,44535,53232,143337,276445,194803,123921,58319,33356,13587,118357,82950,32920,29213,521152,395102,101131,24919,2011,0.0477426388041599,0.870326719056265,0.517411660235284,0.704671815370146,0.448266382101322,0.210960588905569,0.120660529219194,0.0490457608825133,0.523714294996517,0.105451815166031,1.88123179329091,0.241868015473413,0.197691392304641
"pc2001__06__09",1,"Jind",TRUE,249496,13974,23281,46372,55404,110465,248831,152758,84125,39983,18859,10387,90197,79258,33207,36447,522883,385402,107664,29817,2011,0.0560089139705647,0.850678968801103,0.442752589219867,0.613902608597803,0.338080866130024,0.160683355369709,0.0757903958911872,0.0416319299708212,0.596851252124283,0.146082502324687,2.09575704620515,0.262928800515603,0.216880878084972
"pc2001__06__10",1,"Fatehabad",TRUE,180435,14905,20558,34390,38745,71837,180151,91717,52493,24277,12619,6586,65553,60728,24575,22993,368559,285858,63805,18896,2011,0.0826059245711752,0.803458309086375,0.398132291406878,0.509111800656116,0.291383339531837,0.13475917424827,0.070046794078301,0.0365006789148447,0.600193975669909,0.127430930806107,2.04261368359797,0.224390124783278,0.228485749870014
"pc2001__06__11",1,"Sirsa",TRUE,246068,20829,26645,44849,51409,102336,245603,128719,78112,38731,21190,8935,91302,80945,34015,30871,499798,397227,81706,20865,2011,0.0846473332574735,0.807069590519694,0.415885039907668,0.524093761069694,0.318041717731461,0.157697585127217,0.0862774477510454,0.0363111009964725,0.592645122486467,0.125457190695255,2.03113773428483,0.205224910863989,0.203420070000292
"pc2001__06__14",1,"Rohtak",TRUE,206696,8182,15358,33415,42182,107559,206231,150311,99788,54284,32799,14553,98386,57523,21807,14427,345037,288182,47801,9054,2011,0.0395847041065139,0.886112938808685,0.520372914812091,0.72884774839864,0.483865180307519,0.263219399605297,0.15904010551275,0.0704077485776212,0.453598521500174,0.0697981576808453,1.66929693849905,0.164779429452493,0.15924720780934
"pc2001__06__15",1,"Jhajjar",TRUE,185046,6399,13431,29765,38702,96749,184490,138448,86565,39172,20399,12808,83849,51456,20203,16730,326049,246087,64557,15405,2011,0.0345805907720243,0.892837456632405,0.522837564713639,0.7504363380129,0.469212423437585,0.212325871320939,0.110569678573364,0.0692152221609762,0.477659608962096,0.0904099521200134,1.76198891086541,0.245245346558339,0.192654010655061
"pc2001__06__16",1,"Mahendragarh",TRUE,171533,6049,12422,27249,37662,88151,171219,122334,65388,34853,14778,11546,62812,54554,20882,21739,337981,211962,92269,33750,2011,0.0352643514658987,0.892318096226382,0.513901115237301,0.714488462144972,0.381896868922257,0.203558016341644,0.0863105146041035,0.0673106632543009,0.566509068225939,0.126733631429521,1.97035555840567,0.372858237593237,0.267816757790492
"pc2001__06__17",1,"Rewari",TRUE,177925,6549,13642,29553,37772,90409,177565,130716,76915,40190,20318,11600,70274,55558,20426,20067,337212,249765,64531,22916,2011,0.0368076436700857,0.886519600955459,0.508129829984544,0.736158589812181,0.433165319742066,0.226339650268916,0.114425703263594,0.0651960095545876,0.539839820148939,0.112783476183785,1.89524799775186,0.259323511618804,0.262055873843585
"pc2001__08__02",1,"Hanumangarh",TRUE,335835,28592,41333,65286,70435,130189,334712,144744,70921,43548,17388,8272,73809,130004,51367,72383,833414,640518,157298,35598,2011,0.0851370464662706,0.791787633808269,0.387657629490673,0.432443414039533,0.211886636869906,0.130105882071751,0.0519491383637276,0.0246311432697604,0.755591287388152,0.215531436568553,2.48161746095553,0.231452795369408,0.1845450398142
"pc2001__08__05",1,"Jhunjhunun",TRUE,383817,17558,36141,65898,80690,183530,382850,230323,120893,76160,32715,22437,106603,123142,54967,76668,894060,592335,212532,89193,2011,0.045745759046629,0.860092179345886,0.478170586503464,0.601601149275173,0.315771189761003,0.198929084497845,0.0854512211048714,0.0584575461743487,0.663798112121141,0.199751444047554,2.3293913505655,0.337477350513388,0.295610241113597
"pc2001__08__17",1,"Barmer",TRUE,451169,61914,84070,89154,76508,139523,450210,103962,30945,28223,6803,8019,77538,186408,68360,110844,1197425,736556,386884,73985,2011,0.137230173172359,0.676431669729082,0.309247754167507,0.230918904511228,0.0687345905244219,0.0626885231336487,0.0151107261055952,0.0177738275457755,0.810365960427246,0.24568177334879,2.65404981281959,0.384883395619767,0.160533687446975
"pc2001__08__18",1,"Jalor",TRUE,325826,47327,61798,64176,57314,95211,324909,65373,18283,17071,3288,10237,53737,119537,52183,90132,895890,660128,187430,48332,2011,0.145252373966473,0.665081976269543,0.292214249323258,0.201204029435934,0.0562711405347343,0.0525408652884346,0.0101197566087735,0.031418609932909,0.803655939059498,0.276626174706745,2.74959641035399,0.26315953967563,0.205003350836861
"pc2001__08__19",1,"Sirohi",TRUE,201508,38824,39090,38236,31177,54181,201079,53873,20650,17082,6216,9213,68139,69745,27124,27287,417172,310862,86034,20276,2011,0.192667288643627,0.613345375865971,0.268877662425313,0.267919573898816,0.102695955321043,0.0849516856558865,0.0309132231610462,0.0457202691704548,0.616134347023443,0.135413978601346,2.07025031264267,0.25483493618939,0.190725237512934
"pc2001__08__20",1,"Pali",TRUE,417680,63013,77467,80545,68124,128531,416961,123483,47105,37750,11980,25741,133534,151751,55689,50965,841138,604365,197085,39688,2011,0.150864298027198,0.663665964374641,0.307726010342846,0.296149999640254,0.112972196440434,0.0905360453375735,0.0287317039243478,0.0616285194407202,0.618667400881057,0.12201924918598,2.01383355678989,0.281491265404726,0.1676204634819
"pc2001__08__23",1,"Bundi",TRUE,220532,30773,39183,43401,38532,68643,220158,70719,28332,24567,9009,6104,53595,88020,30740,42073,525457,360649,126540,38268,2011,0.139539840023217,0.682785264723487,0.311260950791722,0.321219306134685,0.128689395797564,0.111588041315782,0.0409206115607882,0.0276785228447572,0.729295521738342,0.190779569404894,2.38267915767326,0.313646977773633,0.23219746614242
"pc2001__08__27",1,"Dungarpur",TRUE,281169,38782,55623,62830,50903,73031,280541,78722,39018,23578,8917,9453,53854,133125,41604,43133,639586,215627,293828,130131,2011,0.137931279764128,0.66424107920859,0.259740583065701,0.28060782559412,0.139081275107738,0.0840447563814202,0.031785015380996,0.0336203493272729,0.774843599401072,0.153405958693882,2.27473868029548,0.662864728121003,0.306942416601605
"pc2001__08__32",1,"Jhalawar",TRUE,283178,39351,51705,58506,49240,84376,282887,79217,31637,26611,9545,6803,64651,115420,40075,56229,685310,475207,172383,37720,2011,0.13896206626221,0.678449597073219,0.297960999795182,0.280030542230643,0.11183617486841,0.09406936338538,0.0337413879040041,0.0240237589078248,0.747671076142921,0.198564153995014,2.42006794313118,0.306580963359647,0.179530991942047
"pc2001__09__01",1,"Saharanpur",TRUE,595931,53121,65132,97392,94348,285938,592762,266796,163187,99449,56077,19202,315207,144745,69199,47578,1033545,879649,126189,27707,2011,0.0891395144739911,0.801565953105309,0.47981729428407,0.450089580641134,0.27529936129509,0.167772225615002,0.0946028928979928,0.0322218511874697,0.438846108022573,0.0798381020621515,1.73433669334201,0.148901112191535,0.180037167957582
"pc2001__09__03",1,"Bijnor",TRUE,631568,63295,77463,103547,96634,290629,627955,258208,151768,91688,47905,26586,337667,147680,66213,53422,1084686,837310,205178,42198,2011,0.100218820459555,0.777129303574595,0.460170559623033,0.411188699827217,0.241686108080993,0.146010462533143,0.0762873135813872,0.0420952296506473,0.423256086438832,0.0845862994958579,1.71744926912066,0.228062314808156,0.170582433219067
"pc2001__09__05",1,"Rampur",TRUE,392378,81350,59348,63654,56698,131328,389626,116251,63231,39700,20833,13009,201320,88300,44170,45579,732426,560988,134902,36536,2011,0.207325589100306,0.641422301963923,0.334697663987278,0.29836561215114,0.162286397724998,0.101892584170461,0.0534692243330784,0.0331542543159912,0.45376906962164,0.116160946842076,1.86663370525361,0.234068697725094,0.213114945344673
"pc2001__09__08",1,"Baghpat",TRUE,209549,14492,20994,29058,32618,112387,208149,121798,67894,40851,19010,8967,90415,55518,28230,26419,415463,333526,69354,12583,2011,0.0691580489527509,0.830655359844237,0.536328018745019,0.585148139073452,0.326179803890482,0.196258449476096,0.0913288077290787,0.0427919007010294,0.525733837909033,0.126075524101761,1.98265322191946,0.197218524874658,0.153569205609188
"pc2001__09__10",1,"Gautam Buddha Nagar",TRUE,326005,15290,35690,69467,56838,148720,324631,220545,136224,104563,67252,16915,164300,85160,31846,27784,564863,454740,94848,15275,2011,0.0469011211484486,0.843622030336958,0.456189322249659,0.679371347776398,0.419627207506369,0.32209801282071,0.207164442089634,0.0518857072744283,0.444134292418828,0.0852256867225963,1.73268201407954,0.194955236933557,0.138708535001771
"pc2001__09__11",1,"Bulandshahr",TRUE,585485,53986,70055,89956,92051,279437,582883,296470,150126,92704,42548,21918,250867,161045,75537,76118,1168531,881717,239457,47357,2011,0.0922073153026978,0.788139747388917,0.477274396440558,0.508626945716379,0.257557691680835,0.159043924767063,0.0729957813146035,0.0374356302894182,0.534087124349898,0.130008454529151,1.99583422290921,0.245448344973304,0.165113976305201
"pc2001__09__12",1,"Aligarh",TRUE,609054,67378,75197,92930,90548,283001,605843,312110,161419,102170,51917,25051,281187,158502,72635,71679,1167769,861087,254001,52681,2011,0.110627300699117,0.765907456481691,0.464656664269506,0.515166470521241,0.266437014209952,0.168641050569207,0.0856938183654841,0.0411309998785001,0.497190725288726,0.117689071904954,1.91734887218539,0.262622145304422,0.171777280701182
"pc2001__09__14",1,"Mathura",TRUE,419901,31930,50301,67877,66776,203017,417386,240217,108751,72617,31891,19152,179268,119292,49206,52983,831059,586716,198169,46174,2011,0.0760417336467405,0.804165743830093,0.483487774499227,0.575527209824958,0.260552582022397,0.173980440168094,0.0764064918325004,0.0456107511056178,0.527460044153265,0.126179742367844,1.97917842539075,0.294014023071767,0.18897205976844
"pc2001__09__15",1,"Agra",TRUE,706057,59529,73080,102356,102791,368301,701648,390603,220419,146407,80003,31665,321473,179498,86089,87332,1376464,1040222,281830,54412,2011,0.0843118898332571,0.812183718878221,0.52163068987348,0.556693669760336,0.314144699336419,0.208661608099788,0.114021560668597,0.0448476539429536,0.499844913371017,0.123689730432529,1.94950832581505,0.244279545269618,0.161823924435377
"pc2001__09__16",1,"Firozabad",TRUE,411256,35936,44399,63061,59560,208300,408737,226804,119755,69169,32429,15899,207103,101035,44649,42570,754802,569412,154894,30496,2011,0.0873810959596942,0.80465938490867,0.506497169646157,0.554889819125746,0.292987911542141,0.169226177223985,0.0793395263947233,0.0386596183399148,0.45775380784718,0.103512167603634,1.83535802517167,0.245614081573711,0.1644964669076
"pc2001__09__18",1,"Mainpuri",TRUE,312302,21354,31113,46407,46780,166648,310689,181680,93927,51582,22360,15919,156250,76580,33291,30262,558185,422733,109278,26174,2011,0.0683761231116035,0.831999154664395,0.53361169637082,0.58476482913782,0.302318395565984,0.166024545445767,0.0719690751845093,0.0509730965539766,0.448709902594284,0.0968997957105622,1.78732444877074,0.242665066241479,0.193234503735641
"pc2001__09__20",1,"Bareilly",TRUE,752360,127249,111027,121616,112524,279944,746067,262742,142093,102126,56660,35932,379279,169839,83013,84297,1385384,1031381,299583,54420,2011,0.169133127757988,0.683295231006433,0.372087830294008,0.352169443226949,0.1904560850433,0.13688582928879,0.0759449218367787,0.0477590515178904,0.448121909724068,0.112043436652666,1.84138444361742,0.255526987463404,0.153727510783807
"pc2001__09__21",1,"Pilibhit",TRUE,360952,52989,54953,62297,56782,133931,359258,115278,54267,36654,16129,11736,199438,83216,37345,29217,615325,461262,126601,27462,2011,0.146803453090716,0.700951927126044,0.371049336199827,0.320878031943617,0.151053003690941,0.102026955558401,0.0448953120041864,0.0325140184844522,0.414952680688845,0.0809442806799796,1.70472805248343,0.250376630236054,0.178251754152522
"pc2001__09__22",1,"Shahjahanpur",TRUE,525718,92362,82436,90143,76238,184539,521059,163057,78431,52612,24438,24865,284830,119528,54195,42300,887650,696122,158839,32689,2011,0.175687345687232,0.667506153489133,0.351022791686798,0.312933852020597,0.150522301697121,0.100971291158967,0.0469006388911812,0.0472972201826835,0.410910412046002,0.080461388044541,1.68845274462735,0.215769729059877,0.170674783843616
"pc2001__09__24",1,"Sitapur",TRUE,796247,130309,129204,140816,119812,276106,792015,210805,101701,71586,31396,34542,408625,197179,82659,73242,1409364,1015863,320567,72934,2011,0.16365399178898,0.674079776752691,0.346759234257711,0.266162888329135,0.128407921567142,0.090384651805837,0.0396406633712745,0.0433810111686449,0.443430242123361,0.0919840200339844,1.77000855262249,0.27920466252863,0.185346415892209
"pc2001__09__25",1,"Hardoi",TRUE,727961,102956,113557,120143,109846,281459,714214,235991,107170,72209,28734,47856,346629,176560,81269,75647,1313953,966649,279982,67322,2011,0.141430653565232,0.702576099543794,0.386640218363346,0.330420574225652,0.150053065327759,0.101102750716172,0.0402316392565814,0.0657397855104875,0.458095969426934,0.103916281229352,1.80497718971209,0.264319956649895,0.193841706401308
"pc2001__09__26",1,"Unnao",TRUE,586375,82115,87663,97934,91451,227212,577269,211863,119723,66303,32358,40818,246388,157361,70840,70968,1120019,758971,292479,68569,2011,0.140038371349392,0.710461735237689,0.387485823918141,0.367009141318865,0.207395512317481,0.114856332143247,0.0560535902672757,0.0696107439778299,0.51020081006182,0.121028352163718,1.91007290556385,0.322358817127209,0.189916576189316
"pc2001__09__27",1,"Lucknow",TRUE,852187,68107,82933,134199,136994,429954,848832,522661,396877,304088,214858,48235,420571,208208,93105,82068,1515054,1131016,324734,59304,2011,0.0799202522451058,0.822761905544206,0.504530109001897,0.615741395234864,0.467556595415818,0.358242856065747,0.253121936967504,0.0566014266821719,0.449878958491505,0.0963028067783245,1.77784218721947,0.253481394062522,0.154422218634614
"pc2001__09__28",1,"Rae Bareli",TRUE,618206,74604,84941,104999,99735,253927,615756,248486,141648,77798,37986,37184,253834,180290,71518,75380,1201315,643086,428128,130101,2011,0.120678220528432,0.741922595380828,0.410748197202874,0.403546209862348,0.230039171360084,0.126345500490454,0.061690020072886,0.0601482353778514,0.52925400271107,0.121933465543848,1.94322766197675,0.464681619725051,0.233060267381308
"pc2001__09__29",1,"Farrukhabad",TRUE,313179,35983,38032,48300,45052,145812,311776,147267,77169,46749,22399,13533,152270,75743,36581,35052,589315,472666,97841,18808,2011,0.114895954070995,0.763665507585119,0.465586773059496,0.472348737555168,0.247514240993534,0.149944190701016,0.0718432464333368,0.0432117095973868,0.470580722206789,0.111923213242267,1.88171940008749,0.197939981164572,0.161235844284992
"pc2001__09__30",1,"Kannauj",TRUE,280488,25633,31915,43804,40835,138301,279399,140964,75545,42919,18318,10946,134325,72134,32959,30124,523876,418448,85664,19764,2011,0.0913871538176321,0.794829012292861,0.493072787427626,0.504525785704315,0.270383931223805,0.153611859741803,0.0655621530499393,0.0390248424175009,0.482077664641625,0.107398533983629,1.86773052679616,0.201246096404493,0.187464430701521
"pc2001__09__31",1,"Etawah",TRUE,276312,16655,27149,42316,41884,148308,275111,159734,89738,55627,25608,13770,131532,71901,31456,27653,503363,359703,117213,26447,2011,0.0602760647384116,0.841469063956687,0.536741075306176,0.580616551137541,0.326188338525177,0.202198385378992,0.0930824285470228,0.0498349691652914,0.474137931034483,0.100078896320102,1.82171965025044,0.285400396930247,0.184094389530837
