"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","workers_excl_cultivators_aglab_total","occupation_division_1","occupation_division_2","occupation_division_3","occupation_division_4","occupation_division_5","occupation_division_6","occupation_division_7","occupation_division_8","occupation_division_9","occupation_division_x","census_year","manager_professional_technical_share","clerical_service_sales_share","skilled_agriculture_fishery_share","craft_machine_operator_share","elementary_occupation_share","occupation_not_classified_share"
"pc2001__10__35",1,"Gaya",TRUE,509734,11982,14526,24386,5968,71924,6652,61156,21912,50718,240510,2011,0.0998442324820396,0.15280911220362,0.0130499436961239,0.162963427984007,0.099498954356586,0.471834329277623
"pc2001__10__36",1,"Nawada",TRUE,203163,3359,6428,10967,1927,33578,1653,23687,6723,19540,95301,2011,0.102154427725521,0.174761152375186,0.00813632403538046,0.149682767039274,0.096178930218593,0.469086398606045
"pc2001__10__37",1,"Jamui",TRUE,238558,2598,4616,8512,1236,21752,1720,106590,4832,21930,64772,2011,0.0659210757970808,0.0963623102138683,0.00720998666990837,0.46706461321775,0.0919273300413317,0.271514684060061
"pc2001__11__03",1,"South District",TRUE,33175,1443,2121,4116,836,4665,662,2836,3348,8145,5003,2011,0.231499623210249,0.165817633760362,0.0199547852298417,0.186405425772419,0.245516201959307,0.150806330067822
"pc2001__11__04",1,"East District",TRUE,94479,4185,7167,8675,4369,14618,2419,8199,8515,14901,21431,2011,0.211973031043936,0.200965293874829,0.0256035732808349,0.176907037542734,0.157717588035436,0.226833476222229
"pc2001__12__01",1,"Tawang",TRUE,19616,382,785,764,396,1260,493,939,591,7116,6890,2011,0.0984400489396411,0.08442088091354,0.0251325448613377,0.0779975530179445,0.362765089722675,0.351243882544861
"pc2001__12__09",1,"Upper Siang",TRUE,6864,196,234,786,245,759,376,382,234,931,2721,2011,0.177156177156177,0.146270396270396,0.0547785547785548,0.0897435897435897,0.135635198135198,0.396416083916084
"pc2001__12__10",2,"Dibang Valley;Lower Dibang Valley",TRUE,11444,545,703,1278,507,1829,375,952,686,3100,1469,2011,0.220727018524991,0.204124432016777,0.032768262845159,0.143131772107655,0.270884306186648,0.12836420831877
"pc2001__12__12",1,"Changlang",TRUE,18479,738,934,1855,611,2581,463,1319,889,5369,3720,2011,0.190865306564208,0.172736619946967,0.0250554683695005,0.119486985226473,0.290546025217815,0.201309594675037
"pc2001__12__13",1,"Tirap",TRUE,12391,503,721,1488,492,1733,381,791,500,1687,4095,2011,0.218868533613106,0.179565813897183,0.0307481236381244,0.104188523928658,0.136147203615527,0.3304818013074
"pc2001__13__01",1,"Mon",TRUE,23345,642,1148,2556,509,4057,1025,2596,1030,3268,6514,2011,0.186164060826729,0.195587920325552,0.0439066181195117,0.155322338830585,0.139987149282502,0.279031912615121
"pc2001__13__03",1,"Mokokchung",TRUE,42090,1350,3564,5668,1350,7788,3052,5738,2172,5664,5744,2011,0.251413637443573,0.217106200997862,0.0725112853409361,0.187930624851509,0.134568781183179,0.136469470182941
"pc2001__13__04",1,"Zunheboto",TRUE,22937,751,1890,3785,755,3735,1693,2565,1156,1519,5088,2011,0.280158695557396,0.19575358590923,0.0738108732615425,0.162226969525221,0.0662248768365523,0.221824998910058
"pc2001__13__05",1,"Wokha",TRUE,24473,707,2032,3575,860,4819,1521,1868,1081,2009,6001,2011,0.257998610713848,0.232051648755772,0.0621501246271401,0.120500143014751,0.0820904670453153,0.245209005843174
"pc2001__14__04",1,"Bishnupur",TRUE,61140,984,2460,4094,948,10836,7718,15414,3172,2782,12732,2011,0.123290807981681,0.192737978410206,0.126234870788355,0.30399084069349,0.0455021262675826,0.208243375858685
"pc2001__14__05",1,"Thoubal",TRUE,85100,1236,4056,5786,1052,16164,3076,23736,4920,5110,19964,2011,0.130176263219741,0.202303172737955,0.0361457109283196,0.336733254994125,0.0600470035252644,0.234594594594595
"pc2001__14__06",1,"Imphal West",TRUE,164095,4616,14822,17331,5965,32435,3744,33525,10696,11584,29377,2011,0.22407142204211,0.234010786434687,0.022816051677382,0.269484140284591,0.0705932539077973,0.179024345653432
"pc2001__14__08",1,"Ukhrul",TRUE,27548,691,2461,4040,584,2925,1550,1570,734,812,12181,2011,0.261071584144039,0.127377668070277,0.0562654276172499,0.0836358356323508,0.0294758240162625,0.44217366051982
"pc2001__15__01",1,"Mamit",TRUE,8117,353,597,1510,274,1520,302,474,554,876,1657,2011,0.303067635826044,0.22101761734631,0.037205864235555,0.126647776272022,0.107921645928299,0.20413946039177
"pc2001__15__02",1,"Kolasib",TRUE,12759,529,696,1614,354,2248,603,844,1055,1419,3397,2011,0.222509601065914,0.203934477623638,0.0472607571126264,0.148836115683047,0.111215612508817,0.266243436005957
"pc2001__15__07",1,"Lawngtlai",TRUE,13224,1046,718,2627,609,1987,474,738,711,1876,2438,2011,0.332047791893527,0.196309739866909,0.0358439201451906,0.109573502722323,0.141863278886872,0.184361766485178
"pc2001__16__01",1,"West Tripura",TRUE,426138,7291,26015,31120,12375,86342,9630,63837,23754,93020,72754,2011,0.151185766113325,0.231655003778119,0.0225983132224772,0.205546090703012,0.218286095114728,0.170728731068339
"pc2001__16__02",1,"South Tripura",TRUE,170606,2288,9754,13804,3190,31000,7022,22124,8956,50486,21982,2011,0.151495258080021,0.200403268349296,0.0411591620458835,0.182174132211059,0.29592159713023,0.128846582183511
"pc2001__16__03",1,"Dhalai",TRUE,67804,682,2460,5146,1176,10724,3398,5970,2970,20996,14282,2011,0.12223467642027,0.175505869860185,0.0501150374609168,0.131850628281517,0.309657247360038,0.210636540617073
"pc2001__16__04",1,"North Tripura",TRUE,155582,2020,6798,9716,2704,25018,10020,18454,8974,51048,20830,2011,0.119126891285624,0.178182566106619,0.0644033371469707,0.176292887352007,0.328109935596663,0.133884382512116
"pc2001__17__03",1,"South Garo Hills",TRUE,19741,392,652,2491,288,2962,755,674,1048,3510,6969,2011,0.179068942809381,0.16463198419533,0.0382452763284535,0.0872296236259561,0.177802542930956,0.353021630109923
"pc2001__17__05",1,"Ribhoi",TRUE,30648,498,920,2867,420,4812,1794,1871,2410,5744,9312,2011,0.139813364656748,0.170712607674236,0.0585356303837118,0.139682850430697,0.187418428608718,0.303837118245889
"pc2001__17__06",1,"East Khasi Hills",TRUE,208819,6995,14460,19861,8822,40646,6566,20145,14122,46398,30804,2011,0.197855559120578,0.236894152352037,0.0314434989153286,0.164099052289303,0.222192425018796,0.147515312303957
"pc2001__18__03",1,"Goalpara",TRUE,160330,1622,5526,11488,1570,36366,7224,26306,9822,30778,29628,2011,0.116235264766419,0.236611987775214,0.0450570697935508,0.225335246055012,0.191966568951537,0.184793862658267
"pc2001__18__13",1,"Dhemaji",TRUE,65308,1506,4210,7480,1388,13708,2232,6538,2862,8218,17166,2011,0.202057940834201,0.231150854412936,0.034176517425124,0.143933361915845,0.125834507257916,0.262846818153978
"pc2001__18__14",1,"Tinsukia",TRUE,359568,4058,10482,15198,4156,48454,7480,25030,11468,187414,45828,2011,0.0827048013171361,0.146314466248387,0.0208027410670582,0.101505139500734,0.521219908334446,0.127452943532239
"pc2001__18__15",1,"Dibrugarh",TRUE,363884,5766,14274,18182,4786,46854,6808,25842,10952,166986,63434,2011,0.105038968462477,0.14191335700388,0.0187092589946247,0.101114640929527,0.458898989787954,0.174324784821537
"pc2001__19__07",1,"Murshidabad",TRUE,1366559,12288,36090,47987,8758,176563,27098,711269,30125,142776,173605,2011,0.0705165309364616,0.135611415240762,0.0198293670452575,0.542526155109293,0.104478474767646,0.12703805690058
"pc2001__19__08",1,"Birbhum",TRUE,491506,8372,25282,29310,5850,90268,14912,140474,24302,75516,77220,2011,0.128104234739759,0.195558141711393,0.0303394058261751,0.33524717907818,0.153642071510826,0.157108967133667
"pc2001__19__13",1,"Bankura",TRUE,508402,7874,33614,31700,6428,99996,19764,111112,22530,100610,74774,2011,0.143956947454967,0.209330411760772,0.0388747487224677,0.262866786519329,0.197894579486312,0.147076526056152
"pc2001__19__14",1,"Puruliya",TRUE,488730,4250,20692,24434,4634,74366,18728,136170,16056,116064,73336,2011,0.101029198125755,0.161643443209952,0.0383197266384302,0.311472592228838,0.237480817629366,0.150054222167659
"pc2001__19__16",1,"Haora",TRUE,1559486,30417,69991,51400,25148,238670,14679,575885,88382,199544,265370,2011,0.0973448944075163,0.169169841858151,0.00941271675411001,0.425952525383363,0.127954980038295,0.170165041558565
"pc2001__19__17",1,"Kolkata",TRUE,1765011,58471,95806,69858,37816,413060,3403,206270,126812,239464,514051,2011,0.126987877129378,0.255452232309034,0.00192803330970742,0.188713838044069,0.135672808838019,0.291245210369794
"pc2001__20__01",1,"Garhwa",TRUE,129021,2008,6921,6976,1230,21365,3761,24670,7301,33739,21050,2011,0.123274505700622,0.175126529789724,0.0291502933630959,0.247796870276932,0.261500065880748,0.163151734988878
"pc2001__20__02",2,"Latehar;Palamu",TRUE,265127,2874,17045,13630,2937,50555,7292,38320,10300,60578,61596,2011,0.126539356610228,0.201759911287798,0.0275038000656289,0.183383812286187,0.228486725229796,0.232326394520362
"pc2001__20__03",1,"Chatra",TRUE,89725,1223,7067,3625,982,15152,4004,14800,4216,18038,20618,2011,0.132794650320424,0.179816104764558,0.0446252438005015,0.211936472555029,0.201036500417944,0.229791028141544
"pc2001__20__04",2,"Hazaribagh;Ramgarh",TRUE,414640,6702,29750,20154,8586,68554,4674,76836,33106,106564,59714,2011,0.136518425622227,0.186040902951958,0.0112724290951187,0.265150491993054,0.2570036658306,0.144014084507042
"pc2001__20__05",1,"Kodarma",TRUE,109874,2054,5914,4316,1524,19784,2088,25192,11624,23288,14090,2011,0.111800789995813,0.193931230318365,0.0190035859256967,0.335074721954238,0.211951872144456,0.12823779966143
"pc2001__20__06",1,"Giridih",TRUE,304388,4350,19232,10412,2740,54866,6714,57946,14378,82070,51680,2011,0.111679829691052,0.189251875895239,0.0220573741408991,0.237604636188023,0.269622981195054,0.169783302889733
"pc2001__20__07",1,"Deoghar",TRUE,213852,3602,18244,9280,2726,34588,3060,58328,7524,49410,27090,2011,0.145549258365599,0.17448515795971,0.0143089613377476,0.307932588893253,0.231047640424219,0.126676393019471
"pc2001__20__08",1,"Godda",TRUE,99843,1337,10002,6706,1633,17098,1314,22085,3489,17659,18520,2011,0.180733751990625,0.187604539126428,0.0131606622397164,0.256142143164769,0.17686768226115,0.185491221217311
"pc2001__20__09",1,"Sahibganj",TRUE,173560,1782,7982,4740,1490,22990,3118,70664,12030,32020,16744,2011,0.0835676423138972,0.141046324037797,0.0179649688868403,0.476457709149574,0.184489513712837,0.0964738418990551
"pc2001__20__10",1,"Pakur",TRUE,149048,1672,5262,3906,788,13128,1650,70996,8866,31514,11266,2011,0.0727282486178949,0.0933658955504267,0.0110702592453438,0.535813965970694,0.211435242338039,0.0755863882776018
"pc2001__20__11",2,"Dumka;Jamtara",TRUE,212834,3696,16776,10414,2624,36258,4670,40824,8998,45220,43354,2011,0.145117791330333,0.18268697670485,0.0219419829538514,0.234088538485392,0.212466053356137,0.203698657169437
"pc2001__20__12",1,"Dhanbad",TRUE,645816,10383,41565,30180,14763,96727,6654,91120,44326,219397,90701,2011,0.127169348545096,0.1726343107015,0.0103032442677171,0.209728467551129,0.339720601533564,0.140444027400993
"pc2001__20__13",1,"Bokaro",TRUE,420374,7432,32600,21175,7202,57198,5073,65387,29532,137727,57048,2011,0.145601297891877,0.153196915127957,0.0120678253174554,0.225796552593643,0.327629682140189,0.135707726928878
"pc2001__20__14",2,"Khunti;Ranchi",TRUE,602399,14025,56173,40590,15995,104249,9896,79248,29840,113808,138575,2011,0.18391132787405,0.199608565087259,0.016427650112301,0.18108927803665,0.188924616408726,0.230038562481013
"pc2001__20__15",1,"Lohardaga",TRUE,41032,1088,3696,3006,669,8476,742,7432,2318,7182,6423,2011,0.18985182296744,0.222874829401443,0.0180834470657048,0.237619418990057,0.175034119711445,0.156536361863911
"pc2001__20__16",2,"Gumla;Simdega",TRUE,108957,1487,9730,10071,1952,19531,2233,21294,3906,14033,24720,2011,0.195379828739778,0.197169525592665,0.0204943234486999,0.231283900988463,0.128793927879806,0.226878493350588
"pc2001__20__17",2,"Pashchimi Singhbhum;Saraikela-Kharsawan",TRUE,353712,5170,18992,20234,6470,47222,9498,65600,23142,107832,49552,2011,0.125514542904962,0.151795811281495,0.026852354457864,0.250887727869001,0.304858189713665,0.140091373773013
"pc2001__20__18",1,"Purbi Singhbhum",TRUE,515610,9946,43496,33170,10375,76412,6581,72868,38091,159314,65357,2011,0.16797967456023,0.168319078373189,0.0127635228176335,0.215199472469502,0.308981594616086,0.12675665716336
"pc2001__21__02",1,"Jharsuguda",TRUE,149352,4022,5148,9296,2876,17642,4904,28946,10898,46900,18720,2011,0.123640794900637,0.137380148909958,0.0328351813166211,0.266779152605924,0.314023247094113,0.125341475172746
"pc2001__21__03",1,"Sambalpur",TRUE,257166,5572,8772,15878,5336,31758,6514,71940,11836,59428,40132,2011,0.117519423251907,0.1442414627128,0.0253299425273948,0.325766236594262,0.231088090960702,0.156054843952933
"pc2001__21__07",1,"Mayurbhanj",TRUE,415254,5960,13296,28052,5020,49856,26522,98274,15820,91710,80744,2011,0.113925452855361,0.132150442861478,0.0638693426192162,0.274757136595915,0.220852779262813,0.194444845805218
"pc2001__21__09",1,"Bhadrak",TRUE,161544,4100,12530,16466,3848,31280,9578,21406,8904,18830,34602,2011,0.204872975783687,0.217451592135889,0.0592903481404447,0.187626900411034,0.116562670232259,0.214195513296687
"pc2001__21__14",1,"Dhenkanal",TRUE,201896,3730,8758,15564,3020,31662,8514,26314,16048,55590,32696,2011,0.138942822046994,0.171781511273131,0.0421702262551016,0.209820897888022,0.275339778896065,0.161944763640686
"pc2001__21__17",1,"Khordha",TRUE,583810,24940,42030,48400,18249,107266,21598,63112,33811,95117,129287,2011,0.197615662629965,0.214992891522927,0.0369949127284562,0.166018053818879,0.162924581627584,0.221453897672188
"pc2001__21__18",1,"Puri",TRUE,285202,6100,19992,24040,6938,65758,28374,38800,15676,32592,46932,2011,0.175777168463054,0.254893023190581,0.0994873808739069,0.191008478201415,0.114276898478973,0.16455705079207
"pc2001__21__19",1,"Ganjam",TRUE,651554,11592,31076,43463,10669,114177,38705,117632,32311,164424,87505,2011,0.132193187364363,0.191612667560939,0.0594041322745314,0.23013134751686,0.252356673429984,0.134301991853323
"pc2001__21__20",1,"Gajapati",TRUE,75566,1122,2444,7190,1152,11310,3320,7914,2594,27238,11282,2011,0.142339147235529,0.164915438160019,0.0439351030886907,0.139057247968663,0.360453113834264,0.149299949712834
"pc2001__21__22",1,"Baudh",TRUE,50360,817,1729,4117,653,6682,3342,11460,1859,9903,9798,2011,0.132307386814932,0.14565131056394,0.0663621922160445,0.264475774424146,0.19664416203336,0.194559173947577
"pc2001__21__24",1,"Balangir",TRUE,228128,3484,8852,16878,3720,38290,8310,32222,8226,59020,49126,2011,0.128059685790433,0.184151002945715,0.0364269182213494,0.17730396970122,0.258714405947538,0.215344017393744
"pc2001__21__25",1,"Nuapada",TRUE,60754,1195,2516,6938,1029,10261,2989,9837,2456,10839,12694,2011,0.175280639957863,0.18583138558778,0.0491984066892715,0.202340586628041,0.178408006057214,0.20894097507983
"pc2001__21__26",1,"Kalahandi",TRUE,169792,2940,6304,14902,2904,28750,6294,22620,6780,49014,29284,2011,0.142209291368262,0.186428100263852,0.037068884281945,0.173153034300792,0.288670844327177,0.172469845457972
"pc2001__21__28",1,"Nabarangapur",TRUE,108943,1377,2736,10090,1382,20109,5424,15568,3908,26981,21368,2011,0.130370927916433,0.197268296265019,0.0497875035569059,0.178772385559421,0.247661621214764,0.196139265487457
"pc2001__21__30",1,"Malkangiri",TRUE,53200,830,1683,6039,905,8078,3598,10003,1926,10378,9760,2011,0.160751879699248,0.168853383458647,0.0676315789473684,0.224229323308271,0.195075187969925,0.183458646616541
"pc2001__22__03",1,"Jashpur",TRUE,63283,1600,3526,9400,1807,14890,1857,10042,2724,12328,5109,2011,0.229540318885009,0.263846530663843,0.0293443736864561,0.201728742316262,0.194807452238358,0.0807325822100722
"pc2001__22__05",1,"Korba",TRUE,186122,5626,10100,14688,4878,27306,4886,32490,18438,56876,10834,2011,0.163408946819828,0.172918838181408,0.0262515984139435,0.273626975854547,0.305584509085439,0.0582091316448351
"pc2001__22__10",1,"Durg",TRUE,545501,20726,31851,43247,13733,95515,14200,102274,56088,138678,29189,2011,0.175662372754587,0.200270943591304,0.0260311163499242,0.290305608972303,0.254221348815126,0.0535086095167562
"pc2001__22__11",1,"Raipur",TRUE,664229,21891,39077,52898,21028,127874,13760,101883,67129,158402,60287,2011,0.171425818505365,0.224172687431594,0.0207157471293786,0.25444839054001,0.238474983778185,0.0907623726154685
"pc2001__22__12",1,"Mahasamund",TRUE,82474,2084,4749,9240,2382,20547,2103,12725,8015,12215,8414,2011,0.194885660935568,0.278014889540946,0.0254989451220991,0.251473191551277,0.148107282295026,0.102020030555084
"pc2001__22__13",1,"Dhamtari",TRUE,84780,2198,4352,9408,2780,19384,3102,17810,7368,12730,5648,2011,0.188228355744279,0.261429582448691,0.0365888181174805,0.296980419910356,0.150153338051427,0.066619485727766
"pc2001__23__01",1,"Sheopur",TRUE,55503,845,2713,4328,1496,10535,5837,8487,2643,12775,5844,2011,0.142082409959822,0.216763057852729,0.105165486550277,0.200529701097238,0.230167738680792,0.105291605859143
"pc2001__23__02",1,"Morena",TRUE,223492,3147,7946,16320,4548,31980,47425,21060,12806,44076,34184,2011,0.122657634277737,0.163442091886958,0.212199989261361,0.151531151003168,0.197215112845203,0.152954020725574
"pc2001__23__03",1,"Bhind",TRUE,131583,1870,5700,13860,3258,25527,8588,13896,7335,26247,25302,2011,0.162862983820098,0.218759262214724,0.0652667897828747,0.161350630400584,0.199471056291466,0.192289277490253
"pc2001__23__04",1,"Gwalior",TRUE,435601,11787,22250,34667,14003,88936,10719,57739,29192,101333,64975,2011,0.157722319278422,0.236314884492919,0.0246073815257541,0.19956565756277,0.232628024269917,0.149161732870218
"pc2001__23__07",2,"Ashoknagar;Guna",TRUE,200759,3467,6879,18145,4684,34734,7286,33011,11109,49431,32013,2011,0.141916427158932,0.196344871213744,0.0362922708321918,0.219765988075254,0.246220592850134,0.159459849869744
"pc2001__23__09",1,"Chhatarpur",TRUE,212316,4182,6444,17746,4146,36136,9868,35502,9298,60692,28302,2011,0.133631002844816,0.189726633885341,0.0464778914448275,0.211006235987867,0.285856930236063,0.133301305601085
"pc2001__23__10",1,"Panna",TRUE,97950,1706,2550,9868,2178,14312,5392,13226,3664,31066,13988,2011,0.144196018376723,0.168351199591628,0.055048494129658,0.172434915773354,0.317161817253701,0.142807554874936
"pc2001__23__11",1,"Sagar",TRUE,422832,6508,10488,25422,7524,59922,9452,173326,16798,75074,38318,2011,0.100318802739622,0.159510160063571,0.0223540318613539,0.449644303174783,0.177550421916979,0.0906222802436902
"pc2001__23__12",1,"Damoh",TRUE,208762,2458,4204,11852,3232,23294,7262,83004,6640,41630,25186,2011,0.0886847223153639,0.1270633544419,0.0347860242764488,0.429407650817678,0.199413686398866,0.120644561749744
"pc2001__23__15",1,"Umaria",TRUE,79327,1063,1767,5978,1654,9698,2893,10312,3844,27451,14667,2011,0.111034074148777,0.143103861232619,0.0364692979691656,0.178451220895786,0.346048634134658,0.184892911618995
"pc2001__23__16",2,"Anuppur;Shahdol",TRUE,239162,4336,6450,21378,5850,30946,6196,40192,15074,66936,41804,2011,0.134486247815288,0.153853873106932,0.0259071257139512,0.231081860830734,0.279877238022763,0.174793654510332
"pc2001__23__18",1,"Neemuch",TRUE,107422,2210,3884,10134,2298,25196,4578,17584,7168,25136,9234,2011,0.151067751484798,0.255943847628977,0.0426169685911638,0.230418350058647,0.233993036808103,0.0859600454283108
"pc2001__23__19",1,"Mandsaur",TRUE,131600,2896,4749,14111,3292,30197,3614,22735,8303,28232,13471,2011,0.16531914893617,0.254475683890578,0.0274620060790274,0.235851063829787,0.214528875379939,0.102363221884498
"pc2001__23__20",1,"Ratlam",TRUE,166928,3741,6062,17200,5038,34514,2873,25823,11475,35931,24271,2011,0.161764353493722,0.236940477331544,0.01721101313141,0.223437649765168,0.215248490367104,0.145398015911051
"pc2001__23__21",1,"Ujjain",TRUE,306401,7799,13621,28204,8088,55922,5610,55638,28140,67301,36078,2011,0.161957695960522,0.20890923985235,0.0183093397214761,0.273426000567883,0.219650066416232,0.117747657481536
"pc2001__23__23",1,"Dewas",TRUE,171757,4051,5996,18524,4173,28380,4605,24780,16325,39231,25692,2011,0.166345476458019,0.189529393270725,0.0268111343351363,0.239320668153263,0.22840990469093,0.149583423091926
"pc2001__23__24",2,"Alirajpur;Jhabua",TRUE,107150,2740,2994,16083,3093,19971,5392,13169,6706,20518,16484,2011,0.203611759216052,0.215249650023332,0.0503219785347643,0.185487634157723,0.191488567428838,0.153840410639291
"pc2001__23__25",1,"Dhar",TRUE,204813,3745,5641,22515,4746,33142,4504,28913,21278,41529,38800,2011,0.155756714661667,0.184988257581306,0.0219907916001426,0.24505768676793,0.202765449458775,0.18944109993018
"pc2001__23__26",1,"Indore",TRUE,931279,35734,42402,71829,25043,166590,9997,155924,72324,204546,146890,2011,0.161031226947027,0.205773994689024,0.0107346992684255,0.245090891129296,0.219639871617421,0.157729316348806
"pc2001__23__28",1,"Barwani",TRUE,99231,2078,3144,11804,2781,21110,5633,15300,8426,16336,12619,2011,0.171579445939273,0.240761455593514,0.0567665346514698,0.239098668762786,0.164625973738046,0.127167921314912
"pc2001__23__30",1,"Rajgarh",TRUE,130178,2117,4490,14841,3151,25130,4321,19624,7460,24896,24148,2011,0.164759022261826,0.217248690254882,0.0331930126442256,0.208053588163899,0.191245832629169,0.185499854045999
"pc2001__23__31",1,"Vidisha",TRUE,153037,3146,5903,14377,3820,28678,4329,25254,6830,39954,20746,2011,0.153074093193149,0.212353875206649,0.0282872769330293,0.209648647059208,0.261074119330619,0.135561988277345
"pc2001__23__32",1,"Bhopal",TRUE,689974,30001,33043,55789,24680,119796,9015,80944,45558,160296,130852,2011,0.172228228889784,0.209393397432367,0.0130657097223953,0.183343140466162,0.232321797632954,0.189647725856337
"pc2001__23__33",1,"Sehore",TRUE,157920,2918,4600,13526,3014,25186,21692,22584,9586,34346,20468,2011,0.133257345491388,0.178571428571429,0.137360688956434,0.203710739614995,0.217489868287741,0.129609929078014
"pc2001__23__34",1,"Raisen",TRUE,150395,2643,4132,12735,3047,23390,4245,30375,10792,38853,20183,2011,0.129725057348981,0.175783769407228,0.0282256723960238,0.273725855247847,0.258339705442335,0.134199940157585
"pc2001__23__35",1,"Betul",TRUE,175446,3760,5406,19154,4774,30156,8352,29212,12435,39405,22792,2011,0.161417188194658,0.199092598292352,0.0476043910946958,0.237377882653352,0.224599021921275,0.129908917843667
"pc2001__23__36",1,"Harda",TRUE,61852,1093,2417,5203,1631,11226,2345,9665,3533,13767,10972,2011,0.140868524865809,0.207867166785229,0.0379130828429153,0.213380327232749,0.222579706395913,0.177391191877385
"pc2001__23__38",1,"Katni",TRUE,206568,4022,4310,15200,3646,29150,4356,44364,10974,64372,26174,2011,0.113918903218311,0.158766120599512,0.0210874869292436,0.267892413152086,0.311626195732156,0.126708880368692
"pc2001__23__39",1,"Jabalpur",TRUE,614609,16990,23235,42988,17153,108141,10579,132460,40483,127977,94603,2011,0.135391769401359,0.203859689656351,0.0172125692920214,0.281387028175637,0.208225066668402,0.15392387680623
"pc2001__23__41",1,"Dindori",TRUE,48879,879,1224,6650,1406,6256,1251,4053,1425,8409,17326,2011,0.179074858323615,0.156754434419689,0.0255938132940527,0.112072669244461,0.172037071134843,0.354467153583338
"pc2001__23__42",1,"Mandla",TRUE,92141,1984,2409,12328,3006,15320,3498,9540,4310,19347,20399,2011,0.18147187462693,0.198890830357821,0.0379635558546141,0.150313107085879,0.20997167384769,0.221388958227065
"pc2001__23__44",1,"Seoni",TRUE,134104,2684,4012,15666,3803,23806,5190,16627,7688,34078,20550,2011,0.166751178190061,0.205877527888803,0.0387013064487264,0.181314502177415,0.254116208315934,0.153239276979061
"pc2001__23__45",1,"Balaghat",TRUE,175440,3474,4714,19622,4778,28386,7694,32962,8710,40962,24138,2011,0.158515731874145,0.189033287733698,0.0438554491564067,0.237528499772002,0.233481532147743,0.137585499316005
"pc2001__24__01",1,"Kachchh",TRUE,488508,15612,13520,26228,11626,65304,36830,95522,63578,83404,76884,2011,0.113324653843949,0.157479509035676,0.0753928287766014,0.325685556838373,0.170732106741343,0.157385344764057
"pc2001__24__03",1,"Patan",TRUE,190580,3458,6610,13772,3688,33392,34344,26960,16370,23322,28664,2011,0.125091824955399,0.194563962640361,0.180207786756218,0.227358589568685,0.12237380627558,0.150404029803757
"pc2001__24__04",1,"Mahesana",TRUE,378978,8974,14470,26126,7546,56938,72134,43884,34142,40292,74472,2011,0.130799149290988,0.17015235712891,0.190338225437888,0.205885302049195,0.106317517111811,0.196507448981207
"pc2001__24__07",1,"Ahmadabad",TRUE,2183023,108484,88715,133258,78417,366982,45062,362033,276481,304260,419331,2011,0.151375867317935,0.204028542072163,0.0206420179723255,0.292490734179163,0.139375535667741,0.192087302790671
"pc2001__24__08",1,"Surendranagar",TRUE,268350,5424,8366,15298,5284,39758,28896,41828,27972,60362,35162,2011,0.108395751816657,0.167847959754053,0.107680268306316,0.260108067821874,0.224937581516676,0.131030370784423
"pc2001__24__09",1,"Rajkot",TRUE,916222,46626,27011,47406,19846,153607,32373,162359,123230,175756,128008,2011,0.132110994933542,0.189313288700773,0.0353331397848993,0.311702840577939,0.191826871653377,0.13971286434947
"pc2001__24__11",1,"Porbandar",TRUE,115942,1878,2904,6062,2098,20372,12192,21132,13180,18798,17326,2011,0.0935295233823809,0.19380379845095,0.105156026289007,0.295941073985268,0.162132790533198,0.149436787359197
"pc2001__24__13",1,"Amreli",TRUE,215402,4202,6960,13654,4716,35766,18120,29488,57694,24318,20484,2011,0.115207843938311,0.187936973658555,0.0841217815990566,0.404740903055682,0.112895887689065,0.0950966100593309
"pc2001__24__14",1,"Bhavnagar",TRUE,584176,12211,14947,28667,9550,77845,23576,70787,195219,84385,66989,2011,0.0955619539316918,0.149603886499959,0.0403577004190518,0.455352496507902,0.144451329736244,0.114672632905152
"pc2001__24__15",1,"Anand",TRUE,346426,8178,13074,22008,7448,49964,58162,47626,33010,36998,69958,2011,0.124875153712481,0.165726590960263,0.167891555483711,0.232765439083672,0.106799143251373,0.201942117508501
"pc2001__24__17",1,"Panch Mahals",TRUE,265263,4392,8716,24831,6251,36678,44066,43773,21310,28057,47189,2011,0.143024093069897,0.161835612203737,0.166121924278923,0.245352725408368,0.105770499466567,0.177895145572507
"pc2001__24__18",1,"Dohad",TRUE,171753,2435,4556,14095,3291,21626,6466,43848,7277,33745,34414,2011,0.122769325717746,0.145074612961637,0.037647086222657,0.297665834075678,0.196474006276455,0.200369134745827
"pc2001__24__20",1,"Narmada",TRUE,44033,818,1520,4849,1581,7145,3366,5686,3362,5438,10268,2011,0.163218495219494,0.198169554652193,0.0764426679990007,0.205482251947403,0.123498285376876,0.233188744805033
"pc2001__24__21",1,"Bharuch",TRUE,296022,11132,14460,20526,5902,41490,11826,38936,34072,50756,66922,2011,0.155792474883624,0.160096209065542,0.0399497334657559,0.246630318016904,0.171460229307281,0.226071035260893
"pc2001__24__23",1,"The Dangs",TRUE,13210,213,227,570,253,1408,204,1284,379,1014,7658,2011,0.0764572293716881,0.125738077214232,0.015442846328539,0.125889477668433,0.0767600302800908,0.579712339137017
"pc2001__24__24",1,"Navsari",TRUE,272530,7870,13680,23422,7876,38214,14060,45390,51786,35116,35116,2011,0.16501669540968,0.169118996073827,0.0515906505705794,0.35656991890801,0.128851869518952,0.128851869518952
