"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","workers_total","main_workers_total","marginal_workers_total","industry_agriculture","industry_mining","industry_manufacturing","industry_utilities","industry_construction","industry_trade","industry_transport","industry_accommodation_food","industry_information_communication","industry_finance_realestate_professional","industry_administrative_public","industry_education_health","industry_other_services","census_year","main_worker_share_among_workers","marginal_worker_share_among_workers","agriculture_share_among_workers","mining_share_among_workers","manufacturing_share_among_workers","utilities_share_among_workers","construction_share_among_workers","trade_share_among_workers","transport_share_among_workers","accommodation_food_share_among_workers","information_communication_share_among_workers","finance_realestate_professional_share_among_workers","administrative_public_share_among_workers","education_health_share_among_workers","other_services_share_among_workers"
"pc2001__29__22",1,"Mandya",TRUE,870894,714261,156633,626070,4688,54656,2684,22150,40750,8342,22140,2732,6762,14148,27014,38758,2011,0.820146883547251,0.179853116452749,0.718881976451784,0.00538297427700731,0.0627584987380783,0.00308189056303063,0.0254336348625665,0.0467909986749248,0.00957866284530609,0.025422152408904,0.00313700634061091,0.00776443516662188,0.0162453754417874,0.0310187003240348,0.0445036939053432
"pc2001__29__23",1,"Hassan",TRUE,902508,751851,150657,655982,1864,40564,3080,25408,46160,7288,27592,2814,7490,14582,29732,39952,2011,0.833068515736149,0.166931484263851,0.726843418562495,0.00206535565335709,0.0449458619757387,0.0034127121310836,0.0281526590346014,0.0511463610294867,0.00807527467900562,0.030572582182097,0.00311797790158093,0.00829909540968058,0.0161571974985263,0.0329437522991486,0.0442677516431987
"pc2001__29__24",1,"Dakshina Kannada",TRUE,998705,915596,83109,220975,6270,312287,4597,100588,101386,29631,63692,10926,24840,24533,52314,46666,2011,0.916783234288403,0.0832167657115965,0.221261533686124,0.00627813017858126,0.312691936057194,0.00460296083428039,0.100718430367326,0.101517465117327,0.0296694219013623,0.0637745880915786,0.0109401675169344,0.0248722095113172,0.0245648114308029,0.052381834475646,0.0467265108315268
"pc2001__29__25",1,"Kodagu",TRUE,279363,259107,20256,188737,538,11738,864,11120,16708,3814,11584,1556,3590,6098,12280,10736,2011,0.927492187583896,0.0725078124161038,0.675597699051055,0.00192580978869786,0.0420170172857537,0.00309275029263002,0.0398048417292197,0.0598074906125722,0.0136524879815867,0.0414657631826691,0.0055698141844124,0.0128506638316456,0.0218282306533077,0.0439571453628433,0.0384302860436063
"pc2001__30__01",1,"North Goa",TRUE,327226,269099,58127,32753,10469,49854,2726,29033,36305,16857,26123,3871,11666,48144,21987,37438,2011,0.82236435980026,0.17763564019974,0.100092902153252,0.0319931790261165,0.152353419349318,0.00833063387383643,0.0887246123474296,0.110947785322682,0.0515148551765447,0.0798316759670686,0.0118297445801984,0.0356512013104093,0.1471276732289,0.0671920935377996,0.114410224126445
"pc2001__31__01",1,"Lakshadweep",TRUE,18753,10804,7949,2494,3,1483,500,2653,604,267,2529,191,301,3620,2389,1719,2011,0.576121153948702,0.423878846051298,0.132992054604597,0.000159974404095345,0.0790806804244654,0.0266624006825575,0.14147069802165,0.0322081800245294,0.0142377219644857,0.134858422652376,0.010185037060737,0.0160507652108996,0.193035780941716,0.12739295046126,0.0916653335466325
"pc2001__32__01",1,"Kasaragod",TRUE,462992,373171,89821,151146,5586,77662,1438,62260,50092,12038,30120,2814,9192,10488,24174,25982,2011,0.805998807754778,0.194001192245222,0.326454884749629,0.0120650032829941,0.167739399384871,0.00310588519888033,0.134473165843038,0.108191934201887,0.0260004492518229,0.0650551197428897,0.00607785879669627,0.0198534747900612,0.0226526592252134,0.0522125652279089,0.0561176003041089
"pc2001__32__02",1,"Kannur",TRUE,823931,694130,129801,211738,10359,104099,4036,124065,108670,21619,72757,8367,24564,33283,57860,42514,2011,0.842461322610753,0.157538677389247,0.256985111617356,0.012572654749002,0.126344317667377,0.00489846843971158,0.150576929378795,0.13189211232494,0.0262388476704967,0.0883047245461088,0.0101549765696399,0.0298131761033388,0.0403953729135085,0.0702243270370941,0.0515989809826308
"pc2001__32__03",1,"Wayanad",TRUE,339787,263493,76294,204329,1219,17536,1050,26009,23455,5822,16832,1587,5265,8016,16512,12155,2011,0.77546521791593,0.22453478208407,0.601344371621045,0.00358754160694788,0.0516088019847728,0.00309017119548423,0.0765450120222375,0.0690285384667453,0.0171342635239135,0.0495369157737053,0.00467057303546045,0.0154950012802138,0.0235912498123825,0.0485951493141291,0.0357724103629627
"pc2001__32__04",1,"Kozhikode",TRUE,947006,752359,194647,186385,9170,99240,5188,193598,132636,26801,90795,11264,27662,34566,72723,56978,2011,0.794460647556615,0.205539352443385,0.196815014899589,0.00968314878680811,0.10479342263935,0.0054783179832018,0.204431650908231,0.140058246727053,0.0283007710616406,0.0958758445036251,0.0118943280190411,0.0292099522072722,0.0365002967246248,0.0767925440810301,0.0601664614585335
