table	state_code	relative_path	url
ST16T	23	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-2300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46163/download/50411/1991-ST16T-2300.xlsx
ST16T	24	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-2400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46164/download/50412/1991-ST16T-2400.xlsx
ST16T	25	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-2500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46165/download/50413/1991-ST16T-2500.xlsx
ST16T	26	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-2600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46166/download/50414/1991-ST16T-2600.xlsx
ST16T	27	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-2700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46167/download/50415/1991-ST16T-2700.xlsx
ST16T	29	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-2900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46168/download/50416/1991-ST16T-2900.xlsx
ST16T	30	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-3000.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46169/download/50417/1991-ST16T-3000.xlsx
ST16T	32	data/raw/census_1991/scheduled_tribes/ST16T/1991-ST16T-3200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46170/download/50418/1991-ST16T-3200.xlsx
ST17T_STATE	02	data/raw/census_1991/scheduled_tribes/ST17T/state/1991-ST17T-0200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46628/download/50873/1991-ST17T-0200.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0201.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46625/download/50871/1991-ST17T-0201.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0202.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46626/download/50872/1991-ST17T-0202.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0203.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46627/download/50874/1991-ST17T-0203.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0204.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46629/download/50875/1991-ST17T-0204.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0205.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46630/download/50876/1991-ST17T-0205.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0206.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46631/download/50877/1991-ST17T-0206.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0207.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46632/download/50878/1991-ST17T-0207.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0208.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46633/download/50879/1991-ST17T-0208.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0209.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46634/download/50880/1991-ST17T-0209.xlsx
ST17T_DISTRICT	02	data/raw/census_1991/scheduled_tribes/ST17T/district/1991-ST17T-0210.xlsx	https://censusindia.gov.in/nada/index.php/catalog/46635/download/50881/1991-ST17T-0210.xlsx
