state_code_1991,district_code_1991,ipum1993,district_name_helms_lim,linguistic_distance_1991_helms_lim,source_row_count,source_years
22,01,22001,North (Mangam),4.6530886,3,1991;2001;2011
22,02,22002,East (Gangtok),4.2022066,3,1991;2001;2011
22,03,22003,South (Nimachi),4.1863956,3,1991;2001;2011
22,04,22004,West (Gyalshing),4.389462,3,1991;2001;2011
23,01,23001,Madras,4.9441366,3,1991;2001;2011
23,02,23002,Chengai Anna (Chengalpattu),4.985558,3,1991;2001;2011
23,03,23003,North Arcot Ambedhkar,4.98278,3,1991;2001;2011
23,04,23004,Dharmapuri,4.9892526,3,1991;2001;2011
23,05,23005,Thiruvannamalai Sambuvarayar,4.9931073,3,1991;2001;2011
23,06,23006,South Arcot,4.9978037,3,1991;2001;2011
23,07,23007,Salem,4.9752483,3,1991;2001;2011
23,08,23008,Periyar,4.996229,3,1991;2001;2011
23,09,23009,Nilgiri,4.9811378,3,1991;2001;2011
23,10,23010,Coimbatore,4.9879456,3,1991;2001;2011
23,11,23011,Dindigul-quaide Milleth (Anna),4.9680095,3,1991;2001;2011
23,12,23012,Tiruchirpalli,4.990409,3,1991;2001;2011
23,13,23013,Thanjavur,4.971314,3,1991;2001;2011
23,14,23014,Pudukkottai,4.985228,3,1991;2001;2011
23,15,23015,Pasupomthevar Thirumaganar (Pasumpon Mathuamlinga*,4.998169,3,1991;2001;2011
23,16,23016,Madurai,4.889963,3,1991;2001;2011
23,17,23017,Ramanathapuram,4.931957,3,1991;2001;2011
23,18,23018,Kamarajar,4.9988723,3,1991;2001;2011
23,19,23019,V. O. Chidambaram,4.99667,3,1991;2001;2011
23,20,23020,Tirunelveli Kottabomman,4.988285,3,1991;2001;2011
23,21,23021,Kannyia Kumari,4.995138,3,1991;2001;2011
24,01,24001,West Tripura,3.5178325,3,1991;2001;2011
24,02,24002,North Tripura,3.4955554,3,1991;2001;2011
24,03,24003,South Tripura,3.6811097,3,1991;2001;2011
25,01,25001,Uttar Kashi,3.2320983,3,1991;2001;2011
25,02,25002,Chamoli,4.1207833,3,1991;2001;2011
25,03,25003,Tehri Garhwal,3.1223583,3,1991;2001;2011
25,04,25004,Dehra Dun,2.7124527,3,1991;2001;2011
25,05,25005,Garhwal,3.444376,3,1991;2001;2011
25,06,25006,Pithoragarh,4.558406,3,1991;2001;2011
25,07,25007,Almora,3.7475033,3,1991;2001;2011
25,08,25008,Nainital,2.0294461,3,1991;2001;2011
25,09,25009,Bijnor,1.3311727,3,1991;2001;2011
25,10,25010,Moradabad,1.4035105,3,1991;2001;2011
25,11,25011,Rampur,1.2585018,3,1991;2001;2011
25,12,25012,Saharanpur,1.4035656,3,1991;2001;2011
25,13,25013,Hardwar,1.7382022,3,1991;2001;2011
25,14,25014,Muzaffarnagar,1.1852078,3,1991;2001;2011
25,15,25015,Meerut,2.0491285,3,1991;2001;2011
25,16,25016,Ghaziabad,2.1712155,3,1991;2001;2011
25,17,25017,Bulandshahr,2.303366,3,1991;2001;2011
25,18,25018,Aligarh,2.012379,3,1991;2001;2011
25,19,25019,Mathura,2.9891346,3,1991;2001;2011
25,20,25020,Agra,2.7122169,3,1991;2001;2011
25,21,25021,Firozabad,2.2838516,3,1991;2001;2011
25,22,25022,Etah,2.3821146,3,1991;2001;2011
25,23,25023,Mainpuri,1.6042558,3,1991;2001;2011
25,24,25024,Budaun,1.9303377,3,1991;2001;2011
25,25,25025,Bareilly,1.7605644,3,1991;2001;2011
25,26,25026,Pilibhit,1.7982435,3,1991;2001;2011
25,27,25027,Shahjahanpur,1.0502418,3,1991;2001;2011
25,28,25028,Kheri,1.3543983,3,1991;2001;2011
25,29,25029,Sitapur,2.777686,3,1991;2001;2011
25,30,25030,Hardoi,1.1776024,3,1991;2001;2011
25,31,25031,Unnao,2.283247,3,1991;2001;2011
25,32,25032,Lucknow,2.3923223,3,1991;2001;2011
25,33,25033,Rai Bareli,2.7893996,3,1991;2001;2011
25,34,25034,Farrukhabad,1.9177369,3,1991;2001;2011
25,35,25035,Etawah,2.9407318,3,1991;2001;2011
25,36,25036,Kanpur Dehat,2.9396002,3,1991;2001;2011
25,37,25037,Kanpur Nagar,2.4860969,3,1991;2001;2011
25,38,25038,Jalaun,3.6187677,3,1991;2001;2011
25,39,25039,Jhansi,2.742956,3,1991;2001;2011
25,40,25040,Lalitpur,3.0723386,3,1991;2001;2011
25,41,25041,Hamirpur,2.5047145,3,1991;2001;2011
25,42,25042,Banda,3.1632695,3,1991;2001;2011
25,43,25043,Fatehpur,2.0149064,3,1991;2001;2011
25,44,25044,Pratapgarh,2.7752357,3,1991;2001;2011
25,45,25045,Allahabad,3.0597553,3,1991;2001;2011
25,46,25046,Bahraich,2.4373865,3,1991;2001;2011
25,47,25047,Gonda,3.0375612,3,1991;2001;2011
25,48,25048,Bara Banki,2.3000638,3,1991;2001;2011
25,49,25049,Faizabad,3.1800478,3,1991;2001;2011
25,50,25050,Sultanpur,1.1240761,3,1991;2001;2011
25,51,25051,Sidharthanagar,2.531321,3,1991;2001;2011
25,52,25052,Maharajganj,2.5278325,3,1991;2001;2011
25,53,25053,Basti,3.157428,3,1991;2001;2011
25,54,25054,Gorakhpur,3.3121033,3,1991;2001;2011
25,55,25055,Deeria,2.951305,3,1991;2001;2011
25,56,25056,Maunath Bhanjan,3.8411176,3,1991;2001;2011
25,57,25057,Azamgarh,3.3640077,3,1991;2001;2011
25,58,25058,Jaunpur,2.86615,3,1991;2001;2011
25,59,25059,Ballia,2.612361,3,1991;2001;2011
25,60,25060,Ghazipur,2.285686,3,1991;2001;2011
25,61,25061,Varanasi,2.8933082,3,1991;2001;2011
25,62,25062,Mirzapur,3.0805976,3,1991;2001;2011
25,63,25063,Sonbadra,3.0697718,3,1991;2001;2011
26,01,26001,Kochbihar,3.0053468,3,1991;2001;2011
26,02,26002,Jalpaiguri,3.2404382,3,1991;2001;2011
26,03,26003,Darjiling,3.717293,3,1991;2001;2011
26,04,26004,West Dinajpu,3.1874604,3,1991;2001;2011
26,05,26005,Maldah,3.1139152,3,1991;2001;2011
26,06,26006,Murshidabad,3.017244,3,1991;2001;2011
26,07,26007,Nadia,3.0114818,3,1991;2001;2011
26,08,26008,24-Parganas (North),3.0089223,3,1991;2001;2011
26,09,26009,24-Parganas (South),3.0018394,3,1991;2001;2011
