academic_year,state_report,district_report,medium_slot,language_label,source_pdf,source_page
2005-06,ARUNACHAL PRADESH,UPPER SUBANSIRI,2,Others,District report card 2005-06 vol-1.pdf,62
2005-06,ARUNACHAL PRADESH,WEST KAMENG,1,English,District report card 2005-06 vol-1.pdf,63
2005-06,ARUNACHAL PRADESH,WEST SIANG,1,English,District report card 2005-06 vol-1.pdf,64
2005-06,ASSAM,BARPETA,1,Assamese,District report card 2005-06 vol-1.pdf,65
2005-06,ASSAM,BARPETA,2,Bodo,District report card 2005-06 vol-1.pdf,65
2005-06,ASSAM,BARPETA,3,Bengali,District report card 2005-06 vol-1.pdf,65
2005-06,ASSAM,BARPETA,4,English,District report card 2005-06 vol-1.pdf,65
2005-06,ASSAM,BARPETA,5,Hindi,District report card 2005-06 vol-1.pdf,65
2005-06,ASSAM,BONGAIGAON,1,Assamese,District report card 2005-06 vol-1.pdf,66
2005-06,ASSAM,BONGAIGAON,2,Bodo,District report card 2005-06 vol-1.pdf,66
2005-06,ASSAM,BONGAIGAON,3,Bengali,District report card 2005-06 vol-1.pdf,66
2005-06,ASSAM,BONGAIGAON,4,Hindi,District report card 2005-06 vol-1.pdf,66
2005-06,ASSAM,BONGAIGAON,5,Others,District report card 2005-06 vol-1.pdf,66
2005-06,ASSAM,CACHAR,1,Bengali,District report card 2005-06 vol-1.pdf,67
2005-06,ASSAM,CACHAR,2,Manipuri,District report card 2005-06 vol-1.pdf,67
2005-06,ASSAM,CACHAR,3,Marathi,District report card 2005-06 vol-1.pdf,67
2005-06,ASSAM,CACHAR,4,Hindi,District report card 2005-06 vol-1.pdf,67
2005-06,ASSAM,CACHAR,5,Assamese,District report card 2005-06 vol-1.pdf,67
2005-06,ASSAM,DARRANG,1,Assamese,District report card 2005-06 vol-1.pdf,68
2005-06,ASSAM,DARRANG,2,Bodo,District report card 2005-06 vol-1.pdf,68
2005-06,ASSAM,DARRANG,3,Bengali,District report card 2005-06 vol-1.pdf,68
2005-06,ASSAM,DARRANG,4,Hindi,District report card 2005-06 vol-1.pdf,68
2005-06,ASSAM,DHEMAJI,1,Assamese,District report card 2005-06 vol-1.pdf,69
2005-06,ASSAM,DHEMAJI,2,Bodo,District report card 2005-06 vol-1.pdf,69
2005-06,ASSAM,DHEMAJI,3,Hindi,District report card 2005-06 vol-1.pdf,69
2005-06,ASSAM,DHEMAJI,4,Others,District report card 2005-06 vol-1.pdf,69
2005-06,ASSAM,DHEMAJI,5,French,District report card 2005-06 vol-1.pdf,69
2005-06,ASSAM,DHUBRI,1,Assamese,District report card 2005-06 vol-1.pdf,70
2005-06,ASSAM,DHUBRI,2,Bengali,District report card 2005-06 vol-1.pdf,70
2005-06,ASSAM,DHUBRI,3,Bodo,District report card 2005-06 vol-1.pdf,70
2005-06,ASSAM,DHUBRI,4,Hindi,District report card 2005-06 vol-1.pdf,70
2005-06,ASSAM,DHUBRI,5,Others,District report card 2005-06 vol-1.pdf,70
2005-06,ASSAM,DIBRUGARH,1,Assamese,District report card 2005-06 vol-1.pdf,71
2005-06,ASSAM,DIBRUGARH,2,Hindi,District report card 2005-06 vol-1.pdf,71
2005-06,ASSAM,DIBRUGARH,3,Bengali,District report card 2005-06 vol-1.pdf,71
2005-06,ASSAM,DIBRUGARH,4,English,District report card 2005-06 vol-1.pdf,71
2005-06,ASSAM,GOALPARA,1,Assamese,District report card 2005-06 vol-1.pdf,72
2005-06,ASSAM,GOALPARA,2,Garo,District report card 2005-06 vol-1.pdf,72
2005-06,ASSAM,GOALPARA,3,Bodo,District report card 2005-06 vol-1.pdf,72
2005-06,ASSAM,GOALPARA,4,Hindi,District report card 2005-06 vol-1.pdf,72
2005-06,ASSAM,GOALPARA,5,Bengali,District report card 2005-06 vol-1.pdf,72
2005-06,ASSAM,GOLAGHAT,1,Assamese,District report card 2005-06 vol-1.pdf,73
2005-06,ASSAM,GOLAGHAT,2,Hindi,District report card 2005-06 vol-1.pdf,73
