"district_code_0708","state_code_2001","district_code_2001","social_group","reference_group","ling_distance_nonzero_mean","hindi_belt_2001","log_population_2001","urban_share_2001","adult_secondary_plus_share_2001","sc_share_2001","st_share_2001","muslim_share_2001","agricultural_worker_share_2001","dependency_ratio_2001","electricity_access_share_2001","log_population_density_2001","outcome","group_value","reference_value","gap_percentage_points"
"29322","29","22","Other Backward Class","Other",4.97601298879639,FALSE,14.3829272680037,16.0296081260755,17.7311335221403,14.0166864640062,0.974822887047437,3.96268083381291,73.4582392830243,52.4652513896847,78.6872888387555,5.87636355373348,"enrollment_rate_0708",89.7965469154645,,
"29326","29","26","Other Backward Class","Other",4.938363496855,FALSE,14.7866784146272,37.1873517385472,21.774632012814,17.706748170314,10.2744500529529,8.8716245612029,58.3932289977879,52.704394800674,78.4530355813385,6.03717283115195,"enrollment_rate_0708",71.0210752218326,96.1736909780262,-25.1526157561936
"29327","29","27","Other Backward Class","Other",4.96154924399851,FALSE,13.7803620222305,15.3387704539381,12.6980394462244,24.6124653274805,10.990696682003,4.11864993132821,70.7653740557443,51.9220943068917,64.4847791910819,5.1377954790376,"enrollment_rate_0708",67.2929362425926,,
"29401","29","01","Other Backward Class","Other",4.28618334389624,FALSE,15.2540427047993,24.0287056249785,18.9841508391371,10.9626160130312,5.77650281587043,10.459970981171,68.9088250236716,63.358852643341,77.5554721399003,5.75129426493337,"enrollment_rate_0708",71.4080574930018,71.4785749648613,-0.070517471859489
"29402","29","02","Other Backward Class","Other",4.83289596247278,FALSE,14.3174318556233,28.9679954863877,15.8106588225116,15.1707254469421,4.85388875301775,11.1395297029104,65.0371912252886,67.9034167415863,69.4972166069535,5.52708495297655,"enrollment_rate_0708",65.4247185344984,70.0545912885569,-4.62987275405851
"29403","29","03","Other Backward Class","Other",4.67153891617047,FALSE,14.4071331894634,21.9206959031899,16.4172182250095,18.4985704940678,1.66310812112116,16.2979725698676,70.1456253228499,71.8245826172647,65.6425643801717,5.14719962622839,"enrollment_rate_0708",65.8168979451132,68.7407248302381,-2.9238268851249
"29404","29","04","Other Backward Class","Other",4.58920882784672,FALSE,14.9568380878296,27.2322657670808,14.9848061336659,22.9196064290327,4.92490710404156,17.6041115045344,67.0207218577972,78.1762975073844,67.5573777436424,5.26098925417132,"enrollment_rate_0708",60.5846899860664,73.2297180782646,-12.6450280921982
"29406","29","06","Other Backward Class","Other",4.86268302580153,FALSE,14.3281916592667,25.2034122228198,12.0537047106283,19.0012708397963,18.1488140225972,13.6936880824932,73.034764357322,74.7858337636384,64.3193559208319,5.2862648358084,"enrollment_rate_0708",64.0904335149351,83.6998323786751,-19.60939886374
"29407","29","07","Other Backward Class","Other",4.89506159266935,FALSE,13.9945676254398,16.5783649878897,11.552346205033,15.4845500627462,11.5867631923711,11.4685445648275,72.7488972166216,76.3302378576868,67.1116406913871,5.36962360078604,"enrollment_rate_0708",59.9188620782022,84.365405101997,-24.4465430237948
"29408","29","08","Other Backward Class","Other",4.7762692602751,FALSE,13.7869413159465,35.209989350044,18.1940047961631,14.1396430464019,5.59868701991593,12.9890362047055,69.663861324503,61.812726370049,78.7226020371387,5.34355288514532,"enrollment_rate_0708",78.5700250341077,71.62802443093,6.9420006031777
