"comparison_id","comparison_family","left_round","right_round","district_2001","outcome_id","transform","estimate_left","estimate_right","absolute_change","proportional_change","finite_common","preferred_common","preferred_eligible_left","preferred_eligible_right","n_households_left","n_households_right","n_fsu_left","n_fsu_right","kish_effective_n_left","kish_effective_n_right"
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__14","bottom40_mean_real_mpce","identity",1325.89685810848,1623.32835200716,297.43149389868,0.224324759561611,TRUE,FALSE,FALSE,FALSE,126,54,7,3,49.9640521439965,32.1444111950452
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__01","bottom40_mean_real_mpce","identity",1656.21133622426,1588.11656779884,-68.0947684254202,-0.0411147822358582,TRUE,TRUE,TRUE,TRUE,125,180,7,10,75.3835026555767,104.152448168159
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__02","bottom40_mean_real_mpce","identity",1507.16293982413,2039.94199792748,532.77905810335,0.353497982219175,TRUE,TRUE,TRUE,TRUE,498,306,28,17,295.931226620886,206.211863924435
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__03","bottom40_mean_real_mpce","identity",1913.74876091601,2355.82289078134,442.07412986533,0.230999041720467,TRUE,FALSE,FALSE,FALSE,18,10,1,2,12.4802259887006,5.41495706605849
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__04","bottom40_mean_real_mpce","identity",1502.9462232712,1575.24058583441,72.2943625632099,0.0481017626870637,TRUE,TRUE,TRUE,TRUE,166,205,10,12,100.242582919127,113.781323258871
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__05","bottom40_mean_real_mpce","identity",1513.14142533106,1520.4018916006,7.26046626954007,0.00479827341185346,TRUE,TRUE,TRUE,TRUE,195,183,12,11,122.550323837469,111.522845149117
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__06","bottom40_mean_real_mpce","identity",1966.99964128361,2677.14063181538,710.14099053177,0.36102751400013,TRUE,TRUE,TRUE,TRUE,180,144,10,8,125.883408914273,97.6661307770257
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__07","bottom40_mean_real_mpce","identity",1787.94045024118,2502.14301008508,714.2025598439,0.399455451521083,TRUE,TRUE,TRUE,TRUE,90,162,5,9,70.53878939593,98.6133238027089
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__08","bottom40_mean_real_mpce","identity",2129.86921922314,2584.1353673071,454.26614808396,0.213283587547996,TRUE,FALSE,FALSE,TRUE,72,108,4,6,46.3046272189621,79.5397984296243
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__09","bottom40_mean_real_mpce","identity",2062.46577456834,1928.6963505048,-133.76942406354,-0.0648589788558004,TRUE,TRUE,TRUE,TRUE,273,413,16,25,119.544013045871,180.672701358757
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__10","bottom40_mean_real_mpce","identity",1577.28708350308,1941.57850702419,364.29142352111,0.230960759985453,TRUE,TRUE,TRUE,TRUE,196,143,11,8,128.764983841359,90.2697122479811
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__11","bottom40_mean_real_mpce","identity",2006.35707875279,2265.7225181603,259.36543940751,0.129271824120529,TRUE,TRUE,TRUE,TRUE,597,498,34,29,189.507124537169,156.180895311623
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__02__12","bottom40_mean_real_mpce","identity",2481.46982085756,2346.8523472294,-134.61747362816,-0.0542490875757007,TRUE,FALSE,FALSE,FALSE,32,54,2,3,15.692382065798,39.3697467910313
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__01","bottom40_mean_real_mpce","identity",1430.66187256634,1658.30559811429,227.64372554795,0.159117769134086,TRUE,TRUE,TRUE,TRUE,459,538,27,31,304.926247868944,368.351174015569
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__02","bottom40_mean_real_mpce","identity",1491.74085662686,1575.7078386203,83.96698199344,0.0562879146337166,TRUE,TRUE,TRUE,TRUE,622,610,37,35,184.484451266501,379.832688215803
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__03","bottom40_mean_real_mpce","identity",1542.37826635283,1904.02301928025,361.64475292742,0.234472153048798,TRUE,TRUE,TRUE,TRUE,178,291,11,17,69.8432817903085,119.367056955823
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__04","bottom40_mean_real_mpce","identity",1336.82430499456,1634.42627739049,297.60197239593,0.222618612845419,TRUE,TRUE,TRUE,TRUE,465,583,28,34,273.302999698757,222.682071100301
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__05","bottom40_mean_real_mpce","identity",1591.31195365059,1708.58572480482,117.27377115423,0.073696279906146,TRUE,TRUE,TRUE,TRUE,389,339,23,19,184.993285375478,174.11745195753
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__07","bottom40_mean_real_mpce","identity",2152.18453502265,1688.7028783355,-463.48165668715,-0.215354050335778,TRUE,TRUE,TRUE,TRUE,70,144,4,8,55.0728345550423,74.2087398761632
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__08","bottom40_mean_real_mpce","identity",1940.56558727849,1490.59976721675,-449.96582006174,-0.231873543987135,TRUE,FALSE,FALSE,TRUE,70,125,4,7,46.6893366657118,66.9426556225055
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__09","bottom40_mean_real_mpce","identity",1548.51383742789,1962.64283882784,414.12900139995,0.267436422839996,TRUE,TRUE,TRUE,TRUE,879,756,49,42,597.790328720823,556.838310400057
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__10","bottom40_mean_real_mpce","identity",1728.54875253563,1911.36814408772,182.81939155209,0.105764671828845,TRUE,TRUE,TRUE,TRUE,162,270,9,15,127.930215106074,227.189719730726
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__11","bottom40_mean_real_mpce","identity",1924.4715785764,2344.8686474256,420.3970688492,0.218448052716987,TRUE,TRUE,TRUE,TRUE,162,144,9,8,106.849030670226,74.6678416752269
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__12","bottom40_mean_real_mpce","identity",1526.57179700843,1735.49829847643,208.926501468,0.136859924883603,TRUE,TRUE,TRUE,TRUE,162,144,9,8,134.891839776967,102.288323636971
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__13","bottom40_mean_real_mpce","identity",1925.96553536148,1821.62587280769,-104.33966255379,-0.0541752490571991,TRUE,FALSE,FALSE,FALSE,71,36,4,2,41.2612906905578,31.6150621293845
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__14","bottom40_mean_real_mpce","identity",1654.11348406607,1795.2424674607,141.12898339463,0.08532001265579,TRUE,TRUE,TRUE,TRUE,247,324,14,18,148.184111299254,154.393614985803
