"beta","statistic","p.value","accepted","acceptance_component","specification_id"
-0.00576901446794673,0.345772407737332,0.556809751337641,TRUE,1,"consumption__early_2009__ancova"
-0.00512801286039709,0.380390519441205,0.537704831826353,TRUE,1,"consumption__early_2009__ancova"
-0.00448701125284745,0.417122755727972,0.518703977700704,TRUE,1,"consumption__early_2009__ancova"
-0.00384600964529781,0.456009064831857,0.499840370240334,TRUE,1,"consumption__early_2009__ancova"
-0.00320500803774819,0.49708346256392,0.481147578069691,TRUE,1,"consumption__early_2009__ancova"
-0.00256400643019855,0.540373268313228,0.462659301071976,TRUE,1,"consumption__early_2009__ancova"
-0.00192300482264893,0.585898330165224,0.444409097078108,TRUE,1,"consumption__early_2009__ancova"
-0.00128200321509928,0.63367024939842,0.426430095153063,TRUE,1,"consumption__early_2009__ancova"
-0.000641001607549652,0.683691616072718,0.408754699989095,TRUE,1,"consumption__early_2009__ancova"
0,0.735955268803378,0.391414292518779,TRUE,1,"consumption__early_2009__ancova"
0.000641001607549624,0.790443593042211,0.374438932354134,TRUE,1,"consumption__early_2009__ancova"
0.00128200321509925,0.847127873222648,0.357857067997986,TRUE,1,"consumption__early_2009__ancova"
0.0019230048226489,0.905967714870785,0.34169526094076,TRUE,1,"consumption__early_2009__ancova"
0.00256400643019852,0.966910553200056,0.325977929716847,TRUE,1,"consumption__early_2009__ancova"
0.00320500803774817,1.02989126469494,0.310727119744624,TRUE,1,"consumption__early_2009__ancova"
0.0038460096452978,1.09483189772029,0.295962304299155,TRUE,1,"consumption__early_2009__ancova"
0.00448701125284742,1.16164153719692,0.281700221280687,TRUE,1,"consumption__early_2009__ancova"
0.00512801286039707,1.23021631684169,0.267954749560767,TRUE,1,"consumption__early_2009__ancova"
0.0057690144679467,1.30043959035836,0.254736827645235,TRUE,1,"consumption__early_2009__ancova"
0.00641001607549635,1.37218227031351,0.24205441622724,TRUE,1,"consumption__early_2009__ancova"
0.00705101768304597,1.44530334025377,0.229912504969319,TRUE,1,"consumption__early_2009__ancova"
0.0076920192905956,1.51965054200914,0.218313162601226,TRUE,1,"consumption__early_2009__ancova"
0.00833302089814525,1.59506123614935,0.207255628212266,TRUE,1,"consumption__early_2009__ancova"
0.00897402250569487,1.6713634293647,0.196736440502798,TRUE,1,"consumption__early_2009__ancova"
0.00961502411324452,1.74837695824102,0.186749600794333,TRUE,1,"consumption__early_2009__ancova"
0.0102560257207941,1.82591481467709,0.177286764816342,TRUE,1,"consumption__early_2009__ancova"
0.0108970273283438,1.90378459418636,0.168337457724149,TRUE,1,"consumption__early_2009__ancova"
0.0115380289358934,1.98179004473365,0.159889306466756,TRUE,1,"consumption__early_2009__ancova"
0.012179030543443,2.05973269070463,0.151928283522805,TRUE,1,"consumption__early_2009__ancova"
0.0128200321509927,2.13741350424424,0.144438956143705,TRUE,1,"consumption__early_2009__ancova"
0.0134610337585423,2.21463459465045,0.137404735562247,TRUE,1,"consumption__early_2009__ancova"
0.0141020353660919,2.29120088581297,0.130808121115079,TRUE,1,"consumption__early_2009__ancova"
0.0147430369736416,2.36692175191605,0.124630934846502,TRUE,1,"consumption__early_2009__ancova"
0.0153840385811912,2.44161258275207,0.118854542871197,TRUE,1,"consumption__early_2009__ancova"
0.0160250401887409,2.51509625197242,0.11346006053329,TRUE,1,"consumption__early_2009__ancova"
0.0166660417962905,2.58720446435295,0.108428539169583,TRUE,1,"consumption__early_2009__ancova"
0.0173070434038401,2.65777896155753,0.103741133031639,TRUE,1,"consumption__early_2009__ancova"
0.0179480450113898,2.72667256977414,0.0993792456182943,TRUE,1,"consumption__early_2009__ancova"
0.0185890466189394,2.79375007685428,0.0953246552925337,TRUE,1,"consumption__early_2009__ancova"
0.019230048226489,2.85888893098642,0.0915596205938269,TRUE,1,"consumption__early_2009__ancova"
0.0198710498340387,2.92197975735332,0.0880669660980108,TRUE,1,"consumption__early_2009__ancova"
0.0205120514415883,2.98292669347436,0.0848301500218803,TRUE,1,"consumption__early_2009__ancova"
0.021153053049138,3.04164754789146,0.0818333150209268,TRUE,1,"consumption__early_2009__ancova"
0.0217940546566876,3.09807379040262,0.0790613237932587,TRUE,1,"consumption__early_2009__ancova"
0.0224350562642372,3.15215038507972,0.0764997811909343,TRUE,1,"consumption__early_2009__ancova"
0.0230760578717868,3.2038354797977,0.0741350445613563,TRUE,1,"consumption__early_2009__ancova"
0.0237170594793365,3.25309996787668,0.0719542240101762,TRUE,1,"consumption__early_2009__ancova"
0.0243580610868861,3.29992693873842,0.0699451742028769,TRUE,1,"consumption__early_2009__ancova"
0.0249990626944357,3.34431103519549,0.0680964792173962,TRUE,1,"consumption__early_2009__ancova"
0.0256400643019854,3.38625773517494,0.0663974318344215,TRUE,1,"consumption__early_2009__ancova"
0.026281065909535,3.42578257539491,0.0648380085134801,TRUE,1,"consumption__early_2009__ancova"
0.0269220675170846,3.46291033381325,0.0634088411597016,TRUE,1,"consumption__early_2009__ancova"
0.0275630691246343,3.49767418664313,0.0621011866430485,TRUE,1,"consumption__early_2009__ancova"
0.0282040707321839,3.53011485444149,0.0609068948940315,TRUE,1,"consumption__early_2009__ancova"
