"target_unit_2001","migrant_stock_share_population_2011","recent_0_9_migrant_share_population_2011","interdistrict_migrant_share_population_2011","interstate_migrant_share_population_2011","migrant_stock_share_population_2001","recent_0_9_migrant_share_population_2001","interdistrict_migrant_share_population_2001","interstate_migrant_share_population_2001","migrant_stock_share_population_change_2011_2001","recent_0_9_migrant_share_population_change_2011_2001","interdistrict_migrant_share_population_change_2011_2001","interstate_migrant_share_population_change_2011_2001"
"pc2001__09__63",0.286264720934238,0.0528947389540135,0.0546556642531238,0.0236868374152024,0.261580883684214,0.0509697206712002,0.0379498265510823,0.0155061159754057,0.024683837250024,0.00192501828281329,0.0167058377020415,0.0081807214397967
"pc2001__09__64",0.28008141152471,0.0543531179270011,0.0865788468881252,0.00446842199419519,0.268534304578673,0.0610760750051321,0.0717223984892421,0.00611962280135972,0.011547106946037,-0.006722957078131,0.0148564483988831,-0.00165120080716453
"pc2001__09__65",0.267629910271836,0.0545329793263924,0.0703130265494157,0.0176738296722784,0.25109248079558,0.0551326680234476,0.0536782216908054,0.0145201018441642,0.016537429476256,-0.000599688697055199,0.0166348048586103,0.0031537278281142
"pc2001__09__66",0.287700562691908,0.0662002830870831,0.103845027233305,0.0345793330042258,0.270931829647449,0.0637066400689852,0.0791370277577802,0.027689622583525,0.016768733044459,0.0024936430180979,0.0247079994755248,0.0068897104207008
"pc2001__09__67",0.326634466924188,0.081955134856253,0.113634231123946,0.0212021678391859,0.231132858461432,0.0510289227510625,0.066419194620908,0.0140804818345089,0.095501608462756,0.0309262121051905,0.047215036503038,0.007121686004677
"pc2001__09__69",0.270849870042492,0.0646904047705819,0.0948549642166306,0.011938469424943,0.245120843537132,0.0620195629387318,0.081267763116233,0.0122544826614973,0.02572902650536,0.0026708418318501,0.0135872011003976,-0.000316013236554301
"pc2001__09__70",0.317886842779209,0.0829600565673356,0.1276120649064,0.059453150208933,0.302084223026828,0.0878744997502595,0.134501841110365,0.0580272616891205,0.015802619752381,-0.0049144431829239,-0.006889776203965,0.0014258885198125
"pc2001__10__01",0.252098452824646,0.0616366991762731,0.0347848892082982,0.0101800692343309,0.253155119853483,0.062380522732963,0.0570951014402658,0.039488201938185,-0.001056667028837,-0.000743823556689893,-0.0223102122319676,-0.0293081327038541
"pc2001__10__02",0.245106112106768,0.0606835627374435,0.0467502756712544,0.00237342997793257,0.259039621010884,0.0653040911630725,0.0347161463669815,0.00229969618248906,-0.013933508904116,-0.004620528425629,0.0120341293042729,7.373379544351e-05
"pc2001__10__03",0.129515456094209,0.0321678151181112,0.0705604300826215,0.00168839124352758,0.238060628613403,0.0606363659268821,0.128835318948525,0.00296146414166962,-0.108545172519194,-0.0284685508087709,-0.0582748888659035,-0.00127307289814204
"pc2001__10__04",0.249141102251624,0.0612380512295046,0.0577294371320731,0.0026285396489166,0.25435860010797,0.0649872268112959,0.04711525241237,0.00179412819193912,-0.00521749785634601,-0.0037491755817913,0.0106141847197031,0.00083441145697748
"pc2001__10__05",0.254903809105493,0.0612295061326445,0.04283948380558,0.00195392455150323,0.259942983145804,0.0643834698772352,0.0302400666869037,0.00146087820306375,-0.00503917404031101,-0.0031539637445907,0.0125994171186763,0.00049304634843948
"pc2001__10__06",0.258164818068114,0.0723739343117956,0.0714941975957751,0.00189630142713842,0.240069237525248,0.068261979699334,0.0607266911591694,0.00246536376491857,0.018095580542866,0.00411195461246161,0.0107675064366057,-0.00056906233778015
"pc2001__10__08",0.208457169900615,0.0579774017983909,0.0580466161855182,0.0289777567439659,0.179404758598771,0.0528353497671921,0.0502519385226806,0.0225919274762641,0.029052411301844,0.0051420520311988,0.0077946776628376,0.0063858292677018
"pc2001__10__09",0.233749788260131,0.0602437834246508,0.0877021177662692,0.00673861176449687,0.211358199204227,0.0614314320059184,0.0978685834818561,0.0423696766671567,0.022391589055904,-0.0011876485812676,-0.0101664657155869,-0.0356310649026598
"pc2001__10__11",0.245048612172676,0.0730746212586711,0.107341432198233,0.00179991427552326,0.234521388235559,0.0655070423748639,0.0881169989204321,0.0117798158571233,0.010527223937117,0.0075675788838072,0.0192244332778009,-0.00997990158160004
"pc2001__10__12",0.257112130990219,0.0748434360467227,0.0917002032450816,0.00269116901962002,0.235811062590589,0.0685255493037313,0.0928190364292904,0.0325013824591462,0.02130106839963,0.0063178867429914,-0.0011188331842088,-0.0298102134395262
