"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__23__20","23","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__21","23","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__23","23","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__24","23","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__25","23","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__26","23","26",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__28","23","28",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__30","23","30",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__31","23","31",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__32","23","32",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__33","23","33",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__34","23","34",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__35","23","35",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__36","23","36",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__38","23","38",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__39","23","39",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__41","23","41",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__42","23","42",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__44","23","44",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__23__45","23","45",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__01","24","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__03","24","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__04","24","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__07","24","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__08","24","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__09","24","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__11","24","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__13","24","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__14","24","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__15","24","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__17","24","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__18","24","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__20","24","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__21","24","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__23","24","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__24","24","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__24__25","24","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__25__01","25","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__25__02","25","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__26__01","26","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__01","27","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__02","27","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__04","27","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__05","27","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__06","27","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__07","27","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__08","27","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__09","27","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__10","27","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__11","27","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__12","27","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__13","27","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__14","27","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__15","27","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__16","27","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__17","27","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__20","27","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__22","27","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__23","27","23",FALSE,FALSE,FALSE,FALSE,"not_in_iv_panel"
"pc2001__27__24","27","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__25","27","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__27","27","27",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__31","27","31",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__32","27","32",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__33","27","33",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__34","27","34",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__27__35","27","35",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__01","28","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__02","28","02",TRUE,TRUE,TRUE,TRUE,"included"
