"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","migrants_recent_0_9","migrants_within_state_outside_place","migrants_within_district","migrants_other_district_same_state","migrants_interstate","migrants_outside_india","population_total_2011","census_year","migrant_stock_share_population","recent_0_9_migrant_share_population","interdistrict_migrant_share_population","interstate_migrant_share_population","recent_0_9_share_among_migrants","within_district_share_among_migrants","other_district_same_state_share_among_migrants","interstate_share_among_migrants","outside_india_share_among_migrants"
"pc2001__10__11",1,"Madhepura",TRUE,490529,146278,483750,272481,211269,3603,3134,2001762,2011,0.245048612172676,0.0730746212586711,0.107341432198233,0.00179991427552326,0.298204591369725,0.55548397750184,0.43069624833598,0.0073451314805037,0.00638902083261132
"pc2001__10__12",1,"Saharsa",TRUE,488683,142252,481030,311854,169176,5115,2473,1900661,2011,0.257112130990219,0.0748434360467227,0.0917002032450816,0.00269116901962002,0.291092589674697,0.638151930801767,0.346187610373187,0.0104669079955718,0.00506054026843578
"pc2001__10__14",1,"Muzaffarpur",TRUE,1326190,321793,1298158,892932,405226,19148,8825,4801062,2011,0.276228467784836,0.0670253789682366,0.088391693337849,0.00398828425877441,0.242644719082484,0.673306238171001,0.305556519050815,0.0144383534787625,0.00665440095310627
"pc2001__10__15",1,"Gopalganj",TRUE,693775,170869,603619,444409,159210,86132,3820,2562012,2011,0.270793032975646,0.0666932863702434,0.0957614562304938,0.03361889015352,0.24628878238622,0.640566466073295,0.229483622211812,0.124149760368996,0.00550610788800404
"pc2001__10__16",1,"Siwan",TRUE,853521,201319,799410,584399,215011,51391,2595,3330464,2011,0.256276903158239,0.0604477334089184,0.0799894549227975,0.0154305826455413,0.235868830409562,0.6846919993767,0.251910614970223,0.0602105864999221,0.00304034698619015
"pc2001__10__17",1,"Saran",TRUE,1038596,233000,1012041,822727,189314,22426,4064,3951862,2011,0.262811808711944,0.0589595486886941,0.0535798061774424,0.00567479329996847,0.224341322323598,0.792153060477799,0.182278768645364,0.021592611564073,0.00391297482370431
"pc2001__10__19",1,"Samastipur",TRUE,1102714,305681,1083032,706169,376863,14335,5298,4261566,2011,0.25875793077005,0.0717297350316762,0.0917967714215854,0.00336378692715307,0.277207870762501,0.640391796966394,0.341759513346162,0.0129997442673259,0.00480450960085752
"pc2001__10__20",1,"Begusarai",TRUE,834026,216390,812471,568304,244167,15541,5871,2970541,2011,0.280765692175264,0.0728453167285016,0.0874278456348524,0.00523170695169668,0.259452343212322,0.68139842163194,0.292757060331452,0.0186337116588691,0.00703934889319997
"pc2001__10__21",1,"Khagaria",TRUE,426316,119107,419084,227021,192063,5630,1512,1666886,2011,0.255755942517965,0.0714547965487742,0.118600192214705,0.0033775555136944,0.27938665215474,0.532518132089811,0.45051792567016,0.0132061663179426,0.0035466649152272
"pc2001__10__23",1,"Banka",TRUE,542079,137762,473434,351028,122406,65997,2544,2034763,2011,0.266408913470512,0.0677041994571358,0.0925921102359341,0.0324347356424311,0.254136389714414,0.647558750661804,0.22580841537857,0.121747937108798,0.00469304289596166
"pc2001__10__24",1,"Munger",TRUE,370054,98385,351510,194473,157037,16683,1609,1367765,2011,0.270553786651947,0.0719312162542542,0.12701012235289,0.0121972707299865,0.265866603252498,0.525526004312884,0.42436239035384,0.0450826095650905,0.00434801407362169
"pc2001__10__25",1,"Lakhisarai",TRUE,264355,71305,254863,125536,129327,8166,1157,1000912,2011,0.264114127915341,0.0712400290934668,0.137367720638777,0.00815855939383282,0.269731989181215,0.474876586408428,0.489217151179285,0.0308902801157534,0.00437669043521023
"pc2001__10__26",1,"Sheikhpura",TRUE,172236,43046,167714,72246,95468,3644,645,636342,2011,0.27066577406489,0.0676460142501988,0.15575272416405,0.00572648041461981,0.249924522167259,0.419459346478088,0.554285979702269,0.0211570171160501,0.00374486170138647
"pc2001__10__27",1,"Nalanda",TRUE,811986,199617,794170,565700,228470,14983,2748,2877653,2011,0.282169531906731,0.0693679884266797,0.0846012357987568,0.00520667363299189,0.245837982428268,0.696686888690199,0.281371846312621,0.0184522885862564,0.00338429480311237
"pc2001__10__28",1,"Patna",TRUE,1936192,517691,1845777,1227354,618423,71954,18313,5838465,2011,0.331626891657311,0.0886690251632921,0.118246319880311,0.0123241297156016,0.267375859418901,0.633900976762635,0.319401691567778,0.0371626367632962,0.0094582562059961
"pc2001__10__30",1,"Buxar",TRUE,465802,119504,416777,285348,131429,46741,1943,1706352,2011,0.272981190281958,0.0700347876639755,0.10441573602633,0.0273923551529813,0.256555360432115,0.612595051116139,0.282156366868326,0.100345211055341,0.00417130025203842
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,445699,112721,385818,298740,87078,58060,1521,1626384,2011,0.27404290745605,0.0693077403614399,0.0892396875522632,0.0356988263534319,0.25290835294672,0.670272986926154,0.195374008018865,0.130267288012762,0.00341261703526371
"pc2001__10__32",1,"Rohtas",TRUE,862875,211037,809517,615722,193795,49060,4204,2959918,2011,0.291519900213452,0.0712982589382544,0.0820478810561644,0.0165747834906237,0.244574243082718,0.713570331739823,0.224592206287122,0.0568564392293206,0.00487208460089816
"pc2001__10__35",1,"Gaya",TRUE,1186336,262409,1117140,900472,216668,59725,9370,4391418,2011,0.27014873100215,0.0597549584211751,0.06293935125283,0.0136003905799903,0.221192815526124,0.759036225824724,0.182636285167103,0.0503440846438109,0.00789826828149866
"pc2001__10__36",1,"Nawada",TRUE,555514,144266,528276,395352,132924,25022,1666,2219146,2011,0.250327828813426,0.0650096929179063,0.0711742264817186,0.011275508686675,0.259698225427262,0.711686834175196,0.239281098226147,0.0450429692140972,0.00299902432701966
"pc2001__10__37",1,"Jamui",TRUE,427378,123638,379374,291666,87708,45013,2744,1760405,2011,0.242772543818042,0.070232702133884,0.0753923102922339,0.025569684248795,0.289294254734685,0.682454408041593,0.205223478981136,0.105323624519746,0.00642054574638844
"pc2001__11__03",1,"South District",TRUE,50948,21777,35865,23560,12305,11487,3567,146850,2011,0.346939053455907,0.14829417773238,0.162015662240381,0.0782226762002043,0.427435816911361,0.462432283897307,0.241520766271492,0.225465180183717,0.0700125618277459
"pc2001__11__04",1,"East District",TRUE,144928,58745,94041,74186,19855,40168,10563,283583,2011,0.511060253964448,0.207152755983257,0.211659373093592,0.14164459787787,0.405339202914551,0.511881761978362,0.136999061603003,0.277158313093398,0.0728844667697063
"pc2001__12__01",1,"Tawang",TRUE,20168,11319,14165,11704,2461,5400,594,49977,2011,0.403545630990256,0.226484182724053,0.157292354483062,0.108049702863317,0.561235620785403,0.580325267750893,0.1220249900833,0.267750892502975,0.0294525981753273
"pc2001__12__09",1,"Upper Siang",TRUE,12813,4777,10314,8275,2039,2332,159,35320,2011,0.362768969422424,0.135249150622877,0.123754246885617,0.0660249150622877,0.372824475142433,0.645828455474908,0.159135253258409,0.182002653554983,0.0124092718332943
"pc2001__12__10",2,"Dibang Valley;Lower Dibang Valley",TRUE,33812,16378,21701,15336,6365,11023,1081,62084,2011,0.544616970556021,0.263803878616069,0.28007216029895,0.177549771277624,0.484384242280847,0.453566781024488,0.188246776292441,0.326008517686029,0.0319708979060689
"pc2001__12__12",1,"Changlang",TRUE,58512,21591,35711,28740,6971,18391,4396,148226,2011,0.394748559631913,0.145662704248917,0.171103585066048,0.124074049087205,0.369001230516817,0.491181296144381,0.119137954607602,0.314311594202899,0.0751298878862456
"pc2001__12__13",1,"Tirap",TRUE,35950,13655,30345,27893,2452,5424,179,111975,2011,0.321053806653271,0.121946863139094,0.0703371288233981,0.0484393837910248,0.379833101529903,0.775883171070932,0.0682058414464534,0.150876216968011,0.00497913769123783
"pc2001__13__01",1,"Mon",TRUE,42972,17947,37907,34767,3140,4643,412,250260,2011,0.171709422200911,0.071713418045233,0.0310996563573883,0.0185527051866059,0.417644047286605,0.809061714604859,0.0730708368239784,0.108047100437494,0.00958763846225449
"pc2001__13__03",1,"Mokokchung",TRUE,48282,23687,39593,26782,12811,8096,588,194622,2011,0.248080895273916,0.121707720607126,0.107423621173351,0.0415985859769194,0.490596909821466,0.55469947392403,0.265336978584151,0.167681537633072,0.0121784515968684
"pc2001__13__04",1,"Zunheboto",TRUE,33150,17316,31244,23595,7649,1728,172,140757,2011,0.235512265819817,0.123020524734116,0.0666183564582934,0.0122764764807434,0.522352941176471,0.711764705882353,0.230739064856712,0.0521266968325792,0.00518853695324284
"pc2001__13__05",1,"Wokha",TRUE,34512,14765,30286,24261,6025,4020,205,166343,2011,0.20747491628743,0.0887623765352314,0.060387272082384,0.024166932182298,0.42782220676866,0.702972878998609,0.174576958738989,0.116481223922114,0.00593996291145109
"pc2001__14__04",1,"Bishnupur",TRUE,40497,13341,39706,26358,13348,616,170,237399,2011,0.170586228248645,0.0561965298927123,0.0588208037944557,0.00259478767812838,0.329431809763686,0.650863026890881,0.329604662073734,0.0152110032841939,0.00419784181544312
"pc2001__14__05",1,"Thoubal",TRUE,69253,19000,68289,53356,14933,701,248,422168,2011,0.164041329518107,0.0450057796896022,0.0370326505088022,0.00166047639802164,0.274356345573477,0.77045037760097,0.215629647813091,0.0101223051708951,0.00358107230011696
"pc2001__14__06",1,"Imphal West",TRUE,169803,49780,163734,117667,46067,5456,570,517992,2011,0.327810082008989,0.0961018702991552,0.0994667871318476,0.0105329812043429,0.293163253888329,0.692961844019246,0.271296737984606,0.0321313522140363,0.00335683115139308
"pc2001__14__08",1,"Ukhrul",TRUE,42983,13226,40480,36788,3692,2309,189,183998,2011,0.233605800063044,0.071881216100175,0.0326144849400537,0.0125490494461896,0.307703045390038,0.855873252215992,0.0858944233766838,0.0537189121280506,0.00439708722052905
"pc2001__15__01",1,"Mamit",TRUE,23274,10646,16699,11114,5585,6109,461,86364,2011,0.269487286369321,0.123268954657033,0.135403640405725,0.0707354916400352,0.45742029732749,0.477528572656183,0.239967345535791,0.262481739279883,0.0198075105267681
"pc2001__15__02",1,"Kolasib",TRUE,37402,11763,29857,20588,9269,7294,245,83955,2011,0.445500565779287,0.14011077362873,0.197284259424692,0.0868798761241141,0.314501898294209,0.550451847494786,0.247820972140527,0.195016309288273,0.00655045184749479
"pc2001__15__07",1,"Lawngtlai",TRUE,29568,12781,26632,20302,6330,941,1994,117894,2011,0.250801567509797,0.108410945425552,0.0616740461770743,0.00798174631448589,0.432257846320346,0.686620670995671,0.214082792207792,0.0318249458874459,0.0674377705627706
"pc2001__16__01",1,"West Tripura",TRUE,662870,170018,517078,459405,57673,27544,118128,1725739,2011,0.384107909712882,0.0985189533295591,0.0493800047399983,0.0159606985760883,0.256487697436903,0.693054445064643,0.0870049934376273,0.0415526422978865,0.178206888228461
"pc2001__16__02",1,"South Tripura",TRUE,292750,81647,219288,182857,36431,11256,62165,876001,2011,0.33418911622247,0.0932042315020188,0.054437152469004,0.012849300400342,0.278896669513237,0.624618274978651,0.124444064901793,0.0384491887275833,0.212348420153715
"pc2001__16__03",1,"Dhalai",TRUE,113100,35481,97354,75500,21854,4049,11692,378230,2011,0.299024403140946,0.093808000423023,0.0684847843904502,0.0107051265103244,0.313713527851459,0.667550839964633,0.193227232537577,0.0358001768346596,0.103377541998232
"pc2001__16__04",1,"North Tripura",TRUE,230903,66935,155903,132666,23237,44529,30446,693947,2011,0.332738667362205,0.0964554929987449,0.097652990790363,0.064167724624503,0.289883630788686,0.574552950806183,0.10063533171938,0.192847212898923,0.131856234003023
"pc2001__17__03",1,"South Garo Hills",TRUE,31970,7444,30398,26326,4072,1361,209,142334,2011,0.224612531088847,0.0522995208453356,0.0381707814014923,0.00956201610296907,0.232843290584923,0.823459493274945,0.127369408820769,0.042571160462934,0.00653737879261808
"pc2001__17__05",1,"Ribhoi",TRUE,60209,16956,51305,35561,15744,8454,428,258840,2011,0.23261087930768,0.0655076495132128,0.0934863235975892,0.0326611033843301,0.281619027055756,0.59062598614825,0.261489146140942,0.140410902024614,0.00710857180820143
"pc2001__17__06",1,"East Khasi Hills",TRUE,221486,81909,158859,126520,32339,58359,4190,825922,2011,0.268168180530365,0.0991728032429212,0.109814243960083,0.0706592147926802,0.369815699412152,0.571232493250138,0.146009228574267,0.263488437192418,0.0189176742548062
"pc2001__18__03",1,"Goalpara",TRUE,347643,112100,333072,265060,68012,10618,3909,1008183,2011,0.3448213270805,0.111190131156744,0.0779917931565995,0.010531818132224,0.322457233426245,0.762448834004999,0.195637478677839,0.0305428269805519,0.0112442937151043
"pc2001__18__13",1,"Dhemaji",TRUE,246602,59882,235525,157783,77742,9199,1675,686133,2011,0.359408452880127,0.0872746245990209,0.126711585071699,0.0134070216707256,0.242828525316096,0.639828549646799,0.315252917656791,0.0373030226843254,0.00679232123016034
"pc2001__18__14",1,"Tinsukia",TRUE,433963,113311,380192,291540,88652,49207,4506,1327929,2011,0.326796839288848,0.0853291102159829,0.103815038304006,0.0370554449823748,0.261107513774216,0.671808426063973,0.20428469708247,0.113389851208513,0.0103833736977576
"pc2001__18__15",1,"Dibrugarh",TRUE,487837,112495,457279,371085,86194,27971,2510,1326335,2011,0.367808283729224,0.0848164302382128,0.0860755389852488,0.0210889405768528,0.230599565018644,0.76067415960659,0.176686065222605,0.0573367743734075,0.00514516119113556
"pc2001__19__07",1,"Murshidabad",TRUE,2235468,608258,2165968,1932710,233258,35227,33972,7103807,2011,0.314685914186576,0.0856242293744748,0.0377945234154025,0.00495889035273622,0.272094254983744,0.864566166905543,0.104344146281673,0.0157582215446609,0.015196817847538
"pc2001__19__08",1,"Birbhum",TRUE,1192589,327162,1119663,913271,206392,65793,6981,3498925,2011,0.34084440220925,0.0935035760983731,0.0777910358181441,0.0188037754453153,0.274329211488618,0.765788549114573,0.173062136243081,0.0551682096682092,0.00585365117404236
"pc2001__19__13",1,"Bankura",TRUE,1334084,373070,1309130,1081165,227965,18302,6486,3596674,2011,0.370921579214574,0.103726387212185,0.0684707593737992,0.00508859018081705,0.279645059831315,0.81041748495597,0.170877545941635,0.0137187763289268,0.0048617628275281
"pc2001__19__14",1,"Puruliya",TRUE,921486,227434,794318,708156,86162,125376,1622,2930115,2011,0.314487997911345,0.0776194790989432,0.0721944360545576,0.0427887642635187,0.24681221418448,0.768493498544742,0.0935033196380629,0.136058496819268,0.00176020037200782
"pc2001__19__16",1,"Haora",TRUE,1845731,501523,1614769,1260838,353931,202316,28386,4850029,2011,0.380560817265216,0.103406185818683,0.11468941732101,0.0417143897490097,0.271720526989036,0.683110377406025,0.191756545238716,0.109612939263631,0.0153792724942042
"pc2001__19__17",1,"Kolkata",TRUE,837138,198576,333392,0,333392,393911,109334,4496694,2011,0.186167437677547,0.0441604432056084,0.161741715135609,0.0876001346767203,0.23720820223189,0,0.398252140029481,0.470544880294527,0.130604512039831
"pc2001__20__01",1,"Garhwa",TRUE,347021,103588,303851,245705,58146,42444,666,1322784,2011,0.262341395118175,0.0783105934151003,0.0760441614050367,0.0320868713259308,0.298506430446572,0.708040723760234,0.167557582970483,0.12230960085989,0.0019191922102697
"pc2001__20__02",2,"Latehar;Palamu",TRUE,715123,196348,629223,479392,149831,84465,1319,2666847,2011,0.268152991153973,0.0736255210741374,0.0878550588016485,0.0316722331652322,0.274565354491465,0.670363000490825,0.209517803231053,0.118112548470683,0.0018444379498352
"pc2001__20__03",1,"Chatra",TRUE,268520,83238,228339,156695,71644,39520,602,1042886,2011,0.257477806778497,0.0798150516930901,0.106592666887848,0.0378948418139662,0.309988082824371,0.583550573514077,0.266810665872188,0.147177119022792,0.00224191866527633
"pc2001__20__04",2,"Hazaribagh;Ramgarh",TRUE,800509,257371,688504,402314,286190,110122,1752,2683938,2011,0.298259125210791,0.0958930496904176,0.147660638956638,0.0410300088899222,0.321509189778004,0.502572738095387,0.357510034240714,0.137564974285111,0.00218860749847909
"pc2001__20__05",1,"Kodarma",TRUE,200807,63012,165495,106176,59319,34537,703,716259,2011,0.280355290474535,0.0879737636804564,0.131036398844552,0.0482185913196204,0.313793841848143,0.528746507840862,0.295403048698502,0.171991016249434,0.00350087397351686
"pc2001__20__06",1,"Giridih",TRUE,647405,195592,600945,475178,125767,44662,1723,2445474,2011,0.26473599801102,0.0799812224542154,0.0696916017099344,0.0182631260851679,0.302116912906141,0.733973324271515,0.194263250978908,0.0689861833010249,0.0026613943358485
"pc2001__20__07",1,"Deoghar",TRUE,417110,129865,328634,240811,87823,86936,1470,1492073,2011,0.279550665416504,0.087036626224052,0.117124966405799,0.0582652457352958,0.311344729208123,0.577332118625782,0.210551173551341,0.208424636187097,0.00352425019778955
"pc2001__20__08",1,"Godda",TRUE,343740,101856,255985,216760,39225,86471,1230,1313551,2011,0.261687593401398,0.0775424783658952,0.0956917546406649,0.0658299525484736,0.2963169837668,0.630592889974981,0.114112410542852,0.251559318089254,0.00357828591377204
"pc2001__20__09",1,"Sahibganj",TRUE,273226,81949,202751,167820,34931,68673,1754,1150567,2011,0.237470742685997,0.0712248830359292,0.0900460381707454,0.0596862242702946,0.299931192492662,0.614216802207696,0.127846544618741,0.251341380395716,0.0064195940357067
"pc2001__20__10",1,"Pakur",TRUE,222685,78158,173453,141124,32329,48395,807,900422,2011,0.247311816015157,0.0868015219530398,0.0896512968363723,0.0537470208413388,0.350980083975122,0.633738240114961,0.14517816646833,0.217324920852325,0.00362395311763253
"pc2001__20__11",2,"Dumka;Jamtara",TRUE,604789,179585,510458,384019,126439,93053,1217,2112484,2011,0.286292819259223,0.0850112947601023,0.103902325414062,0.0440490910227012,0.296938271033369,0.63496359887498,0.209062995524059,0.153860271929549,0.00201227204859877
"pc2001__20__12",1,"Dhanbad",TRUE,908132,261653,541643,373876,167767,362101,4023,2684487,2011,0.33828884252373,0.097468529368926,0.197381473629785,0.134886479241658,0.288122211308488,0.411697858901569,0.184738562235446,0.398731682178362,0.00442997273524113
"pc2001__20__13",1,"Bokaro",TRUE,729514,205936,463641,292720,170921,261519,4117,2062330,2011,0.353732913743193,0.0998559881299307,0.209685161928498,0.12680754292475,0.282292046485743,0.401253437219848,0.234294338422566,0.358483867341819,0.00564348319566177
"pc2001__20__14",2,"Khunti;Ranchi",TRUE,1153364,368919,869705,580630,289075,279335,3964,3446138,2011,0.334683056801556,0.107052880644942,0.164941160220514,0.0810574039693129,0.319863460277935,0.503423030370291,0.250636399263372,0.242191537103638,0.00343690283379748
"pc2001__20__15",1,"Lohardaga",TRUE,122325,40974,115653,70575,45078,6476,190,461790,2011,0.264893133242383,0.0887286428896251,0.111639489811386,0.0140236904220533,0.334960147148988,0.576946658491723,0.368510116492949,0.0529409360310648,0.00155323932147966
"pc2001__20__16",2,"Gumla;Simdega",TRUE,426189,134464,383742,297259,86483,41659,719,1624791,2011,0.262303890161873,0.0827577208391725,0.0788667588631399,0.0256396053400099,0.315503215709462,0.697481633735268,0.202921708443906,0.0977477128691731,0.00168704494954117
"pc2001__20__17",2,"Pashchimi Singhbhum;Saraikela-Kharsawan",TRUE,712624,252276,562837,424629,138208,148384,1266,2567394,2011,0.277567058269981,0.0982615056356757,0.111627588130221,0.0577955701384361,0.354009968791396,0.595866824580705,0.193942387570444,0.208222007678664,0.00177653292619951
"pc2001__20__18",1,"Purbi Singhbhum",TRUE,766619,264225,405232,303983,101249,356769,4207,2293919,2011,0.334196194373036,0.11518497383735,0.199666160836542,0.15552815945114,0.34466273337864,0.396524218679683,0.132072124484261,0.465379804048687,0.00548773249815097
"pc2001__21__02",1,"Jharsuguda",TRUE,266325,82653,214985,126688,88297,49495,1538,579505,2011,0.459573256486139,0.142626897093209,0.237775342749415,0.0854090991449599,0.310346381301042,0.475689477142589,0.331538533746363,0.185844363090209,0.00577489908945837
"pc2001__21__03",1,"Sambalpur",TRUE,463438,125656,429276,277936,151340,31996,1524,1041099,2011,0.445143065164792,0.120695534238339,0.176098526653085,0.0307329082056558,0.27113874995145,0.599726392742934,0.326559324008821,0.0690405189043626,0.00328846577104165
"pc2001__21__07",1,"Mayurbhanj",TRUE,876743,272239,807421,704093,103328,67633,1616,2519738,2011,0.347950064649579,0.108042582204975,0.0678487207797001,0.0268412827047891,0.310511746315625,0.80307798294369,0.117854376938282,0.077141191888615,0.00184318551730667
"pc2001__21__09",1,"Bhadrak",TRUE,471862,121641,456951,367974,88977,12602,2259,1506337,2011,0.313251284407141,0.0807528461426626,0.067434445280173,0.00836598981502811,0.257789353666962,0.779833934497798,0.188565724724602,0.0267069609334933,0.00478741665995566
"pc2001__21__14",1,"Dhenkanal",TRUE,417229,114763,410839,316593,94246,4980,1387,1192811,2011,0.349786345028676,0.0962122247363581,0.0831866909342721,0.00417501179985765,0.275059979052271,0.758799124701303,0.225885544868645,0.0119358913210731,0.00332431350649164
"pc2001__21__17",1,"Khordha",TRUE,1155564,417914,1087606,528675,558931,63200,4548,2251673,2011,0.513202405500266,0.185601550491568,0.276297224330531,0.0280680187576082,0.36165370329986,0.457503868240963,0.483686753827568,0.0546919080206722,0.00393574046958888
"pc2001__21__18",1,"Puri",TRUE,571191,149684,560035,430179,129856,9134,1929,1698730,2011,0.336245901349832,0.0881152390315118,0.0818199478433889,0.00537695808044833,0.262055949761113,0.75312636228512,0.227342517651714,0.015991148319914,0.00337715405179703
"pc2001__21__19",1,"Ganjam",TRUE,1337233,410303,1274193,1181536,92657,57303,5626,3529031,2011,0.378923562870374,0.11626505972886,0.0424932509802266,0.0162376017666039,0.306829849397973,0.883567785120469,0.0692900937981638,0.0428519188503425,0.00420719500640502
"pc2001__21__20",1,"Gajapati",TRUE,213758,57741,188905,164934,23971,23342,833,577817,2011,0.369940655951625,0.0999295624739321,0.0818823260651729,0.0403968730584251,0.270123223458303,0.771592174327978,0.112140832155989,0.109198252229156,0.00389693017337363
"pc2001__21__22",1,"Baudh",TRUE,165957,39509,164783,118544,46239,686,340,441162,2011,0.376181538754471,0.0895566707921353,0.1063668221651,0.00155498433681958,0.23806769223353,0.714305512873817,0.278620365516369,0.00413360087251517,0.00204872346451189
"pc2001__21__24",1,"Balangir",TRUE,605269,143842,591683,479988,111695,11947,1424,1648997,2011,0.367052820593367,0.087229994960573,0.0749801242816088,0.00724501014859336,0.237649706163706,0.793015997845586,0.184537784026606,0.0197383312213247,0.0023526729437655
"pc2001__21__25",1,"Nuapada",TRUE,223761,60058,201434,163315,38119,21672,518,610382,2011,0.366591740909791,0.0983941204032884,0.0979566894174468,0.0355056341766304,0.26840244725399,0.729863559780301,0.170355870772834,0.0968533390537225,0.00231496999030215
"pc2001__21__26",1,"Kalahandi",TRUE,556514,138507,540566,460860,79706,13678,2195,1576869,2011,0.352923419764102,0.0878367194738434,0.0592211528034352,0.00867415111845055,0.248883226657371,0.828119328534412,0.143223710454724,0.0245779980377852,0.00394419547396831
"pc2001__21__28",1,"Nabarangapur",TRUE,432446,113363,393769,338115,55654,30642,7920,1220946,2011,0.354189292564946,0.0928484961660876,0.0706796205565193,0.0250969330338934,0.262143712741013,0.781866406441498,0.128695837168109,0.070857401849017,0.0183144253849035
"pc2001__21__30",1,"Malkangiri",TRUE,223089,66623,191699,157243,34456,16703,14600,613192,2011,0.363815901055461,0.108649493144072,0.0834306383644927,0.0272394290858328,0.298638659907033,0.704844254983437,0.154449569454343,0.0748714638552327,0.065444732819637
"pc2001__22__03",1,"Jashpur",TRUE,263268,95022,226074,185577,40497,35669,1298,851669,2011,0.309120092430275,0.111571514285479,0.0894314575263395,0.041881294258685,0.360932585806099,0.704897670814531,0.15382423993801,0.135485512861419,0.00493033714693772
"pc2001__22__05",1,"Korba",TRUE,460499,157411,386680,195683,190997,72025,1703,1206640,2011,0.381637439501425,0.130453987933435,0.217978850361334,0.0596905456474176,0.341827018082558,0.424936861969299,0.414760944106285,0.156406419992226,0.00369816221099286
"pc2001__22__10",1,"Durg",TRUE,1336789,411262,1080280,726197,354083,247760,8384,3343872,2011,0.399772778383862,0.122989755588731,0.17998386301868,0.0740937452151278,0.307649150314672,0.543239808227028,0.264875758253546,0.185339645972551,0.00627174520436658
"pc2001__22__11",1,"Raipur",TRUE,1560026,536508,1261797,837374,424423,286322,11403,4063872,2011,0.383876755960818,0.132018921855806,0.174893549796844,0.070455467101326,0.343909652787838,0.536769258973889,0.272061491282838,0.183536684645,0.00730949355972272
"pc2001__22__12",1,"Mahasamund",TRUE,366427,117627,320385,241608,78777,43909,2071,1032754,2011,0.35480569428925,0.113896436130966,0.118794988932505,0.0425164172687784,0.321010733379363,0.659361892000317,0.214986886883336,0.119830143521083,0.00565187608991696
"pc2001__22__13",1,"Dhamtari",TRUE,283181,89334,270269,168331,101938,11358,1509,799781,2011,0.354073177532349,0.111698077348674,0.141658779090776,0.0142013876298637,0.315466079998305,0.5944290047708,0.359974715817798,0.0401086231067762,0.00532874733827481
"pc2001__23__01",1,"Sheopur",TRUE,199335,71724,166327,127300,39027,32525,408,687861,2011,0.289789652269863,0.104271066392774,0.104021015873847,0.0472842623727759,0.359816389495071,0.63862342288108,0.195785988411468,0.163167532044046,0.00204680562871548
"pc2001__23__02",1,"Morena",TRUE,618833,199758,538041,414588,123453,79304,1212,1965970,2011,0.314772351561824,0.101607857698744,0.103133313326246,0.0403383571468537,0.322797911552875,0.669951343900535,0.199493239694716,0.12815089046641,0.00195852515945336
"pc2001__23__03",1,"Bhind",TRUE,528592,151374,419801,323981,95820,107789,897,1703005,2011,0.310387814480873,0.088886409611246,0.119558662481907,0.0632934137010755,0.286372097950782,0.612913173108938,0.181274026091958,0.203917198898205,0.00169696098314012
"pc2001__23__04",1,"Gwalior",TRUE,677657,225491,535180,268988,266192,138123,4125,2032036,2011,0.333486709881124,0.110968014346203,0.19897039225683,0.0679727130818548,0.332750934469798,0.396938274082611,0.392812292944661,0.203824353618423,0.00608715028399323
"pc2001__23__07",2,"Ashoknagar;Guna",TRUE,650176,202220,591877,388084,203793,56847,1334,2086590,2011,0.311597390958454,0.096914103872826,0.124911937659051,0.0272439722226216,0.31102347672015,0.596890688059848,0.313442821635988,0.0874332488433901,0.00205175214095876
"pc2001__23__09",1,"Chhatarpur",TRUE,537861,165699,440204,337380,102824,96521,1039,1762375,2011,0.305191006454358,0.0940202851266047,0.113111568196326,0.0547675721682389,0.308070300691071,0.627262433974577,0.191172068619959,0.179453427558421,0.00193172585482123
"pc2001__23__10",1,"Panna",TRUE,298851,86918,275980,198162,77818,21034,1764,1016520,2011,0.293994215558966,0.0855054499665526,0.0972455042694684,0.0206921654271436,0.290840586111474,0.663079594848269,0.260390629444104,0.0703828998397195,0.0059026069847516
"pc2001__23__11",1,"Sagar",TRUE,753370,243267,697026,514789,182237,53569,2633,2378458,2011,0.31674723707545,0.102279291877342,0.0991423855287754,0.0225225755510503,0.322905079841247,0.683314971395198,0.241895748437023,0.071105831132113,0.00349496263456203
"pc2001__23__12",1,"Damoh",TRUE,410298,115506,399132,284432,114700,10113,999,1264219,2011,0.324546617318677,0.0913654991737982,0.0987273565735051,0.00799940516635172,0.281517336180045,0.693232723532652,0.279552910323716,0.0246479388152026,0.0024348156705614
"pc2001__23__15",1,"Umaria",TRUE,211972,59234,200703,125978,74725,10857,327,644758,2011,0.328762109194457,0.0918701280170234,0.132735072693941,0.016838875981376,0.279442567886325,0.594314343403846,0.352522974732512,0.051219028928349,0.00154265657728379
"pc2001__23__16",2,"Anuppur;Shahdol",TRUE,604831,172119,515415,353564,161851,87961,1300,1815300,2011,0.33318514846031,0.0948157329367047,0.137614719330138,0.048455351732496,0.28457370736619,0.584566597942235,0.267597064303913,0.14543070709008,0.00214936073051811
"pc2001__23__18",1,"Neemuch",TRUE,317344,104886,233619,154620,78999,82651,982,826067,2011,0.384162543716188,0.126970330493774,0.195686306316558,0.10005362761132,0.330511999596652,0.487231521629525,0.248938060905516,0.260446077442775,0.00309443380054452
