"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","migrants_illiterate","migrants_literate","migrants_literate_below_matric","migrants_matric_below_graduate","migrants_technical_diploma_below_degree","migrants_graduate_nontechnical","migrants_technical_degree","migrants_literate_education_not_classified","census_year","literate_share_among_migrants","graduate_or_technical_degree_share_among_migrants","technical_credential_share_among_migrants"
"pc2001__10__05",1,"Madhubani",TRUE,1143850,762441,381409,216516,92530,115,25966,2235,44047,2011,0.333443196223281,0.0246544564409669,0.00205446518337195
"pc2001__10__06",1,"Supaul",TRUE,575469,391287,184182,105243,40057,80,8779,784,29239,2011,0.320055467801046,0.0166177500438773,0.00150138408845655
"pc2001__10__08",1,"Kishanganj",TRUE,352376,231988,120388,75911,20481,79,5770,661,17486,2011,0.34164642313892,0.0182503916271256,0.0021000295139283
"pc2001__10__09",1,"Purnia",TRUE,763104,501516,261588,140059,62669,169,20752,2331,35608,2011,0.34279469115612,0.0302488258481151,0.00327609342894284
"pc2001__10__11",1,"Madhepura",TRUE,490529,347678,142851,73552,38049,39,8799,901,21511,2011,0.291218256209113,0.0197745699031046,0.00191629852669261
"pc2001__10__12",1,"Saharsa",TRUE,488683,327038,161645,83575,43945,84,15520,1771,16750,2011,0.330776802139628,0.035382855552577,0.00379591678040775
"pc2001__10__14",1,"Muzaffarpur",TRUE,1326190,726265,599925,325086,150271,431,57523,7089,59525,2011,0.452367307851816,0.0487200174937226,0.0056703790557914
"pc2001__10__15",1,"Gopalganj",TRUE,693775,424027,269748,159574,64318,103,13323,1104,31326,2011,0.388811934705056,0.0207949263089618,0.00173975712586934
"pc2001__10__16",1,"Siwan",TRUE,853521,494619,358902,218631,90700,124,17853,1743,29851,2011,0.42049580502413,0.0229590133107446,0.0021874095657869
"pc2001__10__17",1,"Saran",TRUE,1038596,618441,420155,245793,119524,113,25472,2065,27188,2011,0.404541323093869,0.0265136780807937,0.00209706180266437
"pc2001__10__19",1,"Samastipur",TRUE,1102714,680884,421830,252116,110546,162,28052,2985,27969,2011,0.382537992625468,0.0281460106609692,0.00285386782066792
"pc2001__10__20",1,"Begusarai",TRUE,834026,451101,382925,216498,99115,274,29190,3492,34356,2011,0.459128372496781,0.039185828739152,0.00451544676065255
"pc2001__10__21",1,"Khagaria",TRUE,426316,261248,165068,88044,41906,148,7886,781,26303,2011,0.387196352001801,0.0203299899604988,0.00217913472635322
