"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","work_employment","business","education","marriage","moved_after_birth","moved_with_household","other_reason","recent_0_9_work_employment_within_india_classified_origin","census_year","work_employment_share_among_migrants","business_share_among_migrants","education_share_among_migrants","marriage_share_among_migrants","moved_after_birth_share_among_migrants","moved_with_household_share_among_migrants","other_reason_share_among_migrants"
"pc2001__10__27",1,"Nalanda",TRUE,811986,21993,2520,4582,586498,10301,38549,147543,7001,2011,0.0270854423598436,0.00310350178451353,0.00564295443517499,0.722300630799053,0.0126861793183626,0.0474749564647666,0.181706334838285
"pc2001__10__28",1,"Patna",TRUE,1936192,155807,14052,22228,953908,55111,283853,451233,50855,2011,0.080470841734704,0.00725754470631012,0.0114802664198592,0.492672214325852,0.0284636027831951,0.146603745909497,0.233051784120583
"pc2001__10__30",1,"Buxar",TRUE,465802,10699,1115,3695,368643,2646,24530,54474,3951,2011,0.0229689868227273,0.00239372093722225,0.00793255503411321,0.791415665883788,0.00568052520169514,0.0526618606188896,0.116946685501565
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,445699,7465,1927,1831,344528,5446,13732,70770,2359,2011,0.0167489718397394,0.0043235457113433,0.00410815370911759,0.773005997321062,0.0122190087929298,0.030810030985037,0.158784291640771
"pc2001__10__32",1,"Rohtas",TRUE,862875,26602,3366,4579,611819,17758,49686,149065,8018,2011,0.0308294944227148,0.00390091264667536,0.0053066782558308,0.709047080979284,0.0205800376647834,0.0575819209039548,0.172753875126756
"pc2001__10__35",1,"Gaya",TRUE,1186336,32303,5782,5907,778153,15686,53504,295001,8317,2011,0.0272292166806031,0.00487383001105926,0.00497919645024681,0.65592968602487,0.0132222237207671,0.0451002076983249,0.248665639414129
"pc2001__10__36",1,"Nawada",TRUE,555514,13676,1974,1879,428758,4193,24920,80114,4254,2011,0.0246186414743823,0.00355346579924178,0.00338245300748496,0.771822132295496,0.00754796458775116,0.0448593554797899,0.144215987355854
"pc2001__10__37",1,"Jamui",TRUE,427378,7278,858,677,357224,3929,12659,44753,2783,2011,0.0170294212617402,0.00200759047026286,0.00158407779530065,0.8358502309431,0.00919326685042281,0.0296201489079925,0.104715263771181
"pc2001__11__03",1,"South District",TRUE,50948,9250,1097,1370,18731,1144,10598,8758,5097,2011,0.181557666640496,0.0215317578707702,0.0268901625186465,0.367649367983042,0.0224542670958624,0.208016016330376,0.171900761560807
"pc2001__11__04",1,"East District",TRUE,144928,29834,3134,4915,33228,3977,28727,41113,14564,2011,0.205853941267388,0.0216245308015014,0.0339133914771473,0.229272466328108,0.027441212188121,0.19821566570987,0.283678792227865
"pc2001__12__01",1,"Tawang",TRUE,20168,7319,556,750,2295,230,2751,6267,5610,2011,0.362901626338754,0.0275684252280841,0.0371876239587465,0.113794129313764,0.0114042046806823,0.136404204680682,0.310739785799286
"pc2001__12__09",1,"Upper Siang",TRUE,12813,2836,371,421,739,99,3047,5300,1472,2011,0.221337703894482,0.0289549676110201,0.0328572543510497,0.0576757980176383,0.00772652774525872,0.237805353937407,0.413642394443144
"pc2001__12__10",2,"Dibang Valley;Lower Dibang Valley",TRUE,33812,8840,1114,1404,3914,448,9126,8966,4758,2011,0.26144564060097,0.0329468827635159,0.0415237193895658,0.115757719152963,0.0132497338223116,0.269904176032178,0.265172128238495
"pc2001__12__12",1,"Changlang",TRUE,58512,10893,1781,1127,8013,730,20948,15020,5619,2011,0.186166940114848,0.0304382007109653,0.0192610062893082,0.136946267432322,0.0124760732841127,0.358012031719989,0.256699480448455
"pc2001__12__13",1,"Tirap",TRUE,35950,5202,1031,2109,3002,372,9328,14906,2413,2011,0.144700973574409,0.0286787204450626,0.0586648122392211,0.0835048678720445,0.0103477051460362,0.259471488178025,0.414631432545202
"pc2001__13__01",1,"Mon",TRUE,42972,6200,1492,4515,6574,227,8082,15882,2546,2011,0.144279996276645,0.0347202829749604,0.105068416643396,0.152983337987527,0.00528250954109653,0.18807595643675,0.369589500139626
"pc2001__13__03",1,"Mokokchung",TRUE,48282,13540,1551,4310,4944,292,11325,12320,6129,2011,0.280435773165983,0.0321237728345967,0.0892672217389503,0.102398409345098,0.00604780249368295,0.23455946315397,0.255167557267719
"pc2001__13__04",1,"Zunheboto",TRUE,33150,5744,1077,3453,5228,242,4598,12808,2248,2011,0.173273001508296,0.0324886877828054,0.104162895927602,0.157707390648567,0.00730015082956259,0.138702865761689,0.386365007541478
"pc2001__13__05",1,"Wokha",TRUE,34512,7106,1315,2156,5736,136,8716,9347,3029,2011,0.20589939731108,0.038102688919796,0.0624710245711637,0.166203059805285,0.00394065832174316,0.252549837737599,0.270833333333333
"pc2001__14__04",1,"Bishnupur",TRUE,40497,908,250,72,23623,3638,2904,9102,437,2011,0.0224214139318962,0.00617329678741635,0.00177790947477591,0.583327160036546,0.0898338148504828,0.0717090154826283,0.224757389436255
"pc2001__14__05",1,"Thoubal",TRUE,69253,869,305,102,46621,751,3317,17288,292,2011,0.0125481928580711,0.00440414133683739,0.00147286038149972,0.673198272999004,0.0108442955539832,0.0478968420140644,0.249635394856541
"pc2001__14__06",1,"Imphal West",TRUE,169803,5943,2992,2390,78669,8680,24001,47128,2263,2011,0.0349993816363669,0.0176204189560844,0.0140751341260166,0.463295701489373,0.0511180603405122,0.141346148183483,0.277545155268164
"pc2001__14__08",1,"Ukhrul",TRUE,42983,3306,1042,3902,5258,538,5616,23321,1634,2011,0.0769141288416351,0.0242421422422818,0.0907800758439383,0.122327431775353,0.012516576320871,0.130656305981435,0.542563338994486
"pc2001__15__01",1,"Mamit",TRUE,23274,3076,201,369,2437,455,9705,7031,1883,2011,0.132164647245854,0.00863624645527198,0.0158546017014695,0.104709117470138,0.0195497121251182,0.416988914668729,0.302096760333419
"pc2001__15__02",1,"Kolasib",TRUE,37402,4447,251,465,3133,1181,13259,14666,1986,2011,0.118897385166569,0.00671087107641303,0.0124324902411636,0.0837655740334741,0.0315758515587402,0.354499759371157,0.392118068552484
"pc2001__15__07",1,"Lawngtlai",TRUE,29568,3605,507,1494,3378,801,10494,9289,1683,2011,0.121922348484848,0.0171469155844156,0.0505275974025974,0.11424512987013,0.0270900974025974,0.354910714285714,0.314157196969697
"pc2001__16__01",1,"West Tripura",TRUE,662870,46814,6933,5945,257728,4513,138168,202769,19977,2011,0.0706231991189826,0.0104590643715962,0.00896857604055094,0.388806251602878,0.00680827311539216,0.208439060449259,0.305895575301341
"pc2001__16__02",1,"South Tripura",TRUE,292750,18293,2170,2977,131707,2223,65190,70190,8480,2011,0.0624867634500427,0.00741246797608881,0.0101690862510675,0.449895815542272,0.0075935098206661,0.22268146883006,0.239760888129804
"pc2001__16__03",1,"Dhalai",TRUE,113100,9992,1467,1078,37355,1071,24933,37204,4401,2011,0.0883465959328028,0.0129708222811671,0.00953138815207781,0.330282935455349,0.00946949602122016,0.220450928381963,0.32894783377542
"pc2001__16__04",1,"North Tripura",TRUE,230903,16998,2447,2294,87368,1859,49884,70053,6928,2011,0.0736153276484065,0.010597523635466,0.00993490773181812,0.378375335097422,0.00805099977046639,0.216038769526598,0.303387136589823
"pc2001__17__03",1,"South Garo Hills",TRUE,31970,1285,642,653,9787,180,4081,15342,640,2011,0.0401939318110729,0.0200813262433531,0.0204253988113857,0.306130747575852,0.00563027838598686,0.127650922740069,0.47988739443228
"pc2001__17__05",1,"Ribhoi",TRUE,60209,5757,800,528,11928,1820,14817,24559,1729,2011,0.0956169343453637,0.0132870501087877,0.0087694530717999,0.198109917122025,0.0302280389974921,0.246092776827385,0.407895829527147
"pc2001__17__06",1,"East Khasi Hills",TRUE,221486,30561,3499,13835,42198,15760,46312,69321,11347,2011,0.137981633150628,0.0157978382380828,0.0624644447053087,0.190522200048762,0.071155738963185,0.209096737491309,0.312981407402725
"pc2001__18__03",1,"Goalpara",TRUE,347643,8990,4338,1366,148199,2636,82749,99365,2733,2011,0.0258598619848523,0.0124783182747819,0.00392931829491749,0.426296516829046,0.0075824912338232,0.238028667339771,0.285824826042808
"pc2001__18__13",1,"Dhemaji",TRUE,246602,10294,5222,1237,94111,3289,62880,69569,3232,2011,0.0417433759661317,0.0211758217694909,0.00501617991743781,0.381631130323355,0.0133372803140283,0.254985766538795,0.282110445170761
"pc2001__18__14",1,"Tinsukia",TRUE,433963,40292,16333,2670,160087,6138,77756,130687,12957,2011,0.0928466251731138,0.037636849224473,0.00615259826298555,0.368895504916318,0.0141440629731106,0.179176565744084,0.301147793705915
"pc2001__18__15",1,"Dibrugarh",TRUE,487837,35989,12648,3627,203387,4247,46614,181325,11993,2011,0.0737725920748119,0.0259266927272839,0.00743486041444171,0.416915896088243,0.00870577672460269,0.0955524078739415,0.371691774096676
"pc2001__19__07",1,"Murshidabad",TRUE,2235468,41971,13851,9653,1218019,180750,181746,589478,14870,2011,0.0187750394995589,0.00619601801501967,0.0043181114648029,0.544860852403166,0.080855552394398,0.0813010966831107,0.263693329539944
"pc2001__19__08",1,"Birbhum",TRUE,1192589,37232,10691,4585,714283,92597,87243,245958,10563,2011,0.0312194729282259,0.00896453011054102,0.00384457679888042,0.598934754555006,0.07764368110053,0.0731542886945964,0.20623869581222
"pc2001__19__13",1,"Bankura",TRUE,1334084,25644,6557,3913,891706,142943,64800,198521,9269,2011,0.0192221779138345,0.0049149828646472,0.00293309866545135,0.66840318900459,0.107146926280504,0.0485726535960254,0.148806971674947
"pc2001__19__14",1,"Puruliya",TRUE,921486,16172,3682,4214,678957,15545,36188,166728,5408,2011,0.017549913943348,0.00399571995667867,0.00457304831543832,0.736806636237555,0.0168694912348099,0.0392713508398391,0.180933839472331
"pc2001__19__16",1,"Haora",TRUE,1845731,122255,28938,7395,844803,143340,226846,472154,34458,2011,0.0662366292812983,0.0156783409933517,0.00400654266520961,0.457706458850179,0.0776602874416694,0.122903066589877,0.255808674178415
"pc2001__19__17",1,"Kolkata",TRUE,837138,175582,28266,16099,149299,22806,186521,258565,45470,2011,0.209740807369872,0.0337650423227712,0.0192309989511885,0.178344550121963,0.0272428201801853,0.222807948032463,0.308867833021557
"pc2001__20__01",1,"Garhwa",TRUE,347021,10090,892,1866,276728,3826,20866,32753,4291,2011,0.0290760501525844,0.00257044962696782,0.00537719619273762,0.797438771716985,0.0110252693641019,0.0601289259151463,0.0943833370314765
"pc2001__20__02",2,"Latehar;Palamu",TRUE,715123,28601,2056,6695,546261,8535,39767,83208,11433,2011,0.0399945184255016,0.00287502988996299,0.00936202583331818,0.763869991595851,0.0119350097815341,0.0556086155808162,0.116354808893016
"pc2001__20__03",1,"Chatra",TRUE,268520,5979,484,2173,217346,1045,11432,30061,2165,2011,0.0222664978400119,0.0018024728139431,0.00809250707582303,0.809422016981975,0.00389170266646805,0.0425741099359452,0.111950692685833
"pc2001__20__04",2,"Hazaribagh;Ramgarh",TRUE,800509,65505,3076,7120,546495,11326,105248,61739,20013,2011,0.0818291861802928,0.00384255517427037,0.0088943409755543,0.682684392055555,0.014148498018136,0.131476348173475,0.0771246794227173
"pc2001__20__05",1,"Kodarma",TRUE,200807,6410,696,1281,153588,1083,15570,22179,2432,2011,0.0319211979662064,0.00346601463096406,0.0063792596871623,0.764853814857052,0.00539323828352597,0.0775371376495839,0.110449336925506
"pc2001__20__06",1,"Giridih",TRUE,647405,15127,1567,3329,557241,2366,24815,42960,5550,2011,0.0233655903182706,0.00242043234142461,0.00514206717587909,0.860730145735668,0.00365459024876237,0.0383299480232621,0.0663572261567334
"pc2001__20__07",1,"Deoghar",TRUE,417110,19036,1523,3330,323724,3064,34723,31710,6607,2011,0.0456378413368176,0.00365131500083911,0.0079835055500947,0.776111817026684,0.00734578408573278,0.0832466255903718,0.0760231114094603
"pc2001__20__08",1,"Godda",TRUE,343740,11120,684,3320,280478,1680,20481,25977,3673,2011,0.0323500320009309,0.00198987606912201,0.00965846279164485,0.815959737010531,0.00488741490661547,0.0595828242276139,0.0755716529935416
"pc2001__20__09",1,"Sahibganj",TRUE,273226,12169,648,1053,202950,4846,23642,27918,3695,2011,0.0445382211063369,0.00237166301889278,0.00385395240570078,0.74279168161156,0.0177362330085717,0.0865291004516408,0.102179148397297
"pc2001__20__10",1,"Pakur",TRUE,222685,10518,545,1574,166362,2958,20858,19870,4151,2011,0.0472326380312998,0.00244740328266385,0.00706828030626221,0.74707322001931,0.0132833374497609,0.093665940678537,0.0892291802321665
"pc2001__20__11",2,"Dumka;Jamtara",TRUE,604789,23360,2150,4207,464289,6954,35870,67959,8221,2011,0.038625041130047,0.00355495883688361,0.00695614503570667,0.767687573682722,0.0114982250007854,0.0593099411530302,0.112368115160825
"pc2001__20__12",1,"Dhanbad",TRUE,908132,134921,7746,5985,454541,23253,169788,111898,27996,2011,0.148569811437104,0.00852959701893557,0.00659045160835649,0.500523051714949,0.0256053084793841,0.186964009637365,0.123217770103906
"pc2001__20__13",1,"Bokaro",TRUE,729514,107041,5111,5806,394337,15732,130626,70861,21309,2011,0.146729192311594,0.00700603415424516,0.00795872320476372,0.54054754261056,0.021565041932026,0.179058935126673,0.0971345306601381
"pc2001__20__14",2,"Khunti;Ranchi",TRUE,1153364,149252,7359,26134,559720,24874,205107,180918,56589,2011,0.129405807706847,0.00638046618413614,0.0226589350803389,0.485293454624906,0.0215664785791823,0.177833710779945,0.156861147044645
"pc2001__20__15",1,"Lohardaga",TRUE,122325,6761,294,2941,87592,2199,10824,11714,3310,2011,0.0552707950132843,0.00240343347639485,0.0240425097077458,0.71605967708972,0.0179767014101778,0.0884855916615573,0.09576129164112
"pc2001__20__16",2,"Gumla;Simdega",TRUE,426189,23581,1228,11711,299353,3378,37869,49069,10900,2011,0.0553299123158974,0.00288135076222052,0.0274784191989939,0.702394946842833,0.00792606097294862,0.0888549446372384,0.115134365269869
"pc2001__20__17",2,"Pashchimi Singhbhum;Saraikela-Kharsawan",TRUE,712624,66263,2792,6465,472650,7999,94017,62438,27061,2011,0.092984519185433,0.00391791463661061,0.00907210534587665,0.66325299176003,0.011224713172725,0.131930723635466,0.0876170322638586
"pc2001__20__18",1,"Purbi Singhbhum",TRUE,766619,128525,4975,6011,368136,22034,166777,70161,42239,2011,0.167651727911779,0.0064895339144999,0.00784092228342893,0.480207247668007,0.028741786989365,0.21754874324795,0.0915200379849704
"pc2001__21__02",1,"Jharsuguda",TRUE,266325,30117,5853,3919,106840,10264,45941,63391,14294,2011,0.113083638411715,0.0219769079132639,0.0147151037266498,0.401163991363935,0.0385393785788041,0.172499765324322,0.23802121468131
"pc2001__21__03",1,"Sambalpur",TRUE,463438,34446,9243,8847,191600,16176,67696,135430,14251,2011,0.0743270944549217,0.0199444154342113,0.0190899322023658,0.41343178591311,0.034904345349324,0.146073476926795,0.292228949719272
"pc2001__21__07",1,"Mayurbhanj",TRUE,876743,26091,7806,30665,530260,20417,75880,185624,11184,2011,0.0297590057747823,0.00890340726986129,0.0349760420100303,0.604806653717224,0.0232873259324568,0.0865475971864047,0.211719968109241
"pc2001__21__09",1,"Bhadrak",TRUE,471862,9020,2916,1847,331275,4306,33672,88826,3644,2011,0.0191157584208942,0.00617977289970373,0.00391428002254897,0.702059076594428,0.00912554941910983,0.0713598467348504,0.188245715908465
"pc2001__21__14",1,"Dhenkanal",TRUE,417229,15701,3197,4570,252372,7916,40556,92917,8553,2011,0.0376316123759374,0.00766245874567683,0.0109532175376112,0.604876458731296,0.0189727943167901,0.0972032145416546,0.222700243751034
"pc2001__21__17",1,"Khordha",TRUE,1155564,167470,35052,42889,373149,24195,269112,243697,71534,2011,0.144924902471867,0.0303332398724779,0.0371152095426995,0.32291504408237,0.0209378277620279,0.232883682773087,0.210890093495471
"pc2001__21__18",1,"Puri",TRUE,571191,19537,8056,5789,372264,15688,47968,101889,8301,2011,0.0342039703006525,0.0141038636813255,0.0101349636111213,0.651732957977279,0.0274654187478444,0.0839789142335926,0.178379911448185
"pc2001__21__19",1,"Ganjam",TRUE,1337233,51001,17971,21331,635035,100629,151166,360100,26267,2011,0.0381392023678746,0.013438944447228,0.0159515955708541,0.474887323301175,0.0752516577141007,0.113043874926808,0.26928740167196
"pc2001__21__20",1,"Gajapati",TRUE,213758,6296,2230,6333,80973,6914,18239,92773,2924,2011,0.0294538683932297,0.0104323580871827,0.0296269613301023,0.378806875064325,0.0323449882577494,0.0853254615031952,0.434009487364216
"pc2001__21__22",1,"Baudh",TRUE,165957,3892,1340,1568,92872,4475,14144,47666,1741,2011,0.0234518580114126,0.00807438071307628,0.00944823056574896,0.559614839988672,0.0269648161873256,0.0852268961236947,0.28721897841007
"pc2001__21__24",1,"Balangir",TRUE,605269,18898,5223,4877,341359,17611,47424,169877,6487,2011,0.0312224812438767,0.00862922105708371,0.00805757440080361,0.563978991159303,0.0290961539414707,0.0783519393856285,0.280663638811834
"pc2001__21__25",1,"Nuapada",TRUE,223761,5881,1558,2885,134960,5688,17176,55613,2837,2011,0.0262825067817895,0.00696278618704779,0.0128932208919338,0.603143532608453,0.0254199793529704,0.0767604721108683,0.248537502066938
"pc2001__21__26",1,"Kalahandi",TRUE,556514,16423,4348,7241,334930,9962,47845,135765,6828,2011,0.0295104885052308,0.00781292114843472,0.0130113528141251,0.601835713027884,0.0179007176818553,0.0859726799325803,0.24395612688989
"pc2001__21__28",1,"Nabarangapur",TRUE,432446,12687,4980,9685,222731,4472,45050,132841,4501,2011,0.0293377670275595,0.0115158886889924,0.0223958598298978,0.515049277828908,0.0103411755456173,0.104174856513877,0.307185174565148
"pc2001__21__30",1,"Malkangiri",TRUE,223089,11626,2423,8061,93776,2565,40861,63777,4198,2011,0.0521137303945959,0.0108611361384918,0.0361335610451434,0.420352415403718,0.011497653402902,0.183160084091999,0.28588141952315
"pc2001__22__03",1,"Jashpur",TRUE,263268,20622,863,13422,176739,5769,27490,18363,11053,2011,0.0783308263822417,0.00327802847288694,0.0509822690186426,0.671327316650713,0.0219130315875838,0.104418311378519,0.0697502165094125
"pc2001__22__05",1,"Korba",TRUE,460499,82532,2156,4796,210166,15452,111392,34005,28707,2011,0.17922297333979,0.00468187770223171,0.0104147891743522,0.456387527443056,0.0335549045709111,0.241894119205471,0.073843808564188
"pc2001__22__10",1,"Durg",TRUE,1336789,193043,4186,12042,681948,73946,249796,121828,60441,2011,0.144407980616238,0.00313138423490917,0.00900815311915343,0.510138847641625,0.0553161344086464,0.186862698600901,0.0911348013785272
"pc2001__22__11",1,"Raipur",TRUE,1560026,231775,8575,15573,744620,65258,305873,188352,101285,2011,0.148571241761355,0.00549670326007387,0.0099825259322601,0.477312557611219,0.0418313540928164,0.196069168077968,0.120736449264307
"pc2001__22__12",1,"Mahasamund",TRUE,366427,30108,1444,3900,237629,14118,49813,29415,11110,2011,0.0821664342420182,0.00394075764067604,0.0106433204976707,0.648502976036155,0.0385288202015681,0.135942493320634,0.0802751980612782
"pc2001__22__13",1,"Dhamtari",TRUE,283181,21403,582,2943,181984,17024,35302,23943,8324,2011,0.0755806357064916,0.00205522263146186,0.0103926463992994,0.642641985161434,0.060117027625441,0.124662318446506,0.0845501640293664
"pc2001__23__01",1,"Sheopur",TRUE,199335,13085,443,1217,138064,5796,19956,20774,4824,2011,0.0656432638523089,0.00222238944490431,0.00610530012290867,0.692622971379838,0.0290766799608699,0.100112875310407,0.104216519928763
"pc2001__23__02",1,"Morena",TRUE,618833,40190,1673,5132,405264,13197,86319,67058,12333,2011,0.0649448235630614,0.00270347573578009,0.00829302897550712,0.654884274109493,0.0213256241990973,0.139486743596415,0.108362029820646
"pc2001__23__03",1,"Bhind",TRUE,528592,31523,1927,5070,362179,4375,66090,57428,9251,2011,0.0596357871477434,0.00364553379544147,0.00959151860035718,0.685176847171353,0.00827670490661985,0.12503026909223,0.108643339286255
"pc2001__23__04",1,"Gwalior",TRUE,677657,91520,4940,15537,285463,9034,155636,115527,30764,2011,0.135053574300863,0.00728982361283068,0.0229275282333098,0.421249983398681,0.0133312280401442,0.229667811296866,0.170480051117306
"pc2001__23__07",2,"Ashoknagar;Guna",TRUE,650176,56942,2631,6380,423665,12396,73441,74721,19498,2011,0.087579363126292,0.00404659661383994,0.00981272763067231,0.651615870164386,0.019065606851068,0.112955568953637,0.114924266660104
"pc2001__23__09",1,"Chhatarpur",TRUE,537861,37989,2281,6846,361756,11606,60847,56536,13267,2011,0.0706297723761344,0.00424087264181638,0.0127281955746931,0.672582693298083,0.0215780657084265,0.113127741182201,0.105112659218646
"pc2001__23__10",1,"Panna",TRUE,298851,15989,779,2733,209409,7460,22366,40115,5063,2011,0.0535015777092933,0.00260665013669019,0.00914502544746379,0.700713733599687,0.0249622721690742,0.0748399704200421,0.13423077051775
"pc2001__23__11",1,"Sagar",TRUE,753370,69335,2578,8669,468862,15009,101331,87586,27037,2011,0.0920331311307857,0.00342195733835964,0.0115069620505197,0.622352894328152,0.0199224816491233,0.134503630354275,0.116258943148785
"pc2001__23__12",1,"Damoh",TRUE,410298,30936,1235,3960,274034,8749,42218,49166,10499,2011,0.0753988564409283,0.00301000736050383,0.00965152157700013,0.667890167634256,0.0213235258275692,0.102895943923685,0.119829977236058
"pc2001__23__15",1,"Umaria",TRUE,211972,16212,618,2251,131766,3572,24234,33319,6120,2011,0.0764817994829506,0.00291547940294001,0.0106193270809352,0.62161983658219,0.0168512822448248,0.114326420470628,0.157185854735531
"pc2001__23__16",2,"Anuppur;Shahdol",TRUE,604831,61297,3522,8160,352060,11161,86873,81758,17392,2011,0.101345665152745,0.00582311422529599,0.0134913719700214,0.582079952912467,0.018453088548702,0.143631857494077,0.135174949696692
"pc2001__23__18",1,"Neemuch",TRUE,317344,25982,1098,2741,186616,30782,33410,36715,11129,2011,0.0818732983765252,0.00345996773217707,0.00863731471211052,0.588055863668448,0.0969988403751134,0.105280074619341,0.115694640516285
"pc2001__23__19",1,"Mandsaur",TRUE,506307,29451,1582,1952,319525,49452,39328,65017,10207,2011,0.0581682654989957,0.00312458646631392,0.00385536838321414,0.631089437831197,0.0976719658231073,0.0776761925077078,0.128414183489464
"pc2001__23__20",1,"Ratlam",TRUE,523922,33619,1523,5130,311853,57604,41421,72772,11467,2011,0.0641679486641141,0.00290692125927142,0.00979153385427602,0.595227915605758,0.109947663965247,0.0790594783192918,0.138898538332042
"pc2001__23__21",1,"Ujjain",TRUE,800500,66628,2460,4550,414269,107172,87906,117515,21714,2011,0.0832329793878826,0.00307307932542161,0.005683947532792,0.517512804497189,0.133881324172392,0.109813866333542,0.146801998750781
"pc2001__23__23",1,"Dewas",TRUE,626496,62980,1615,4878,327632,72730,85951,70710,21959,2011,0.100527377668812,0.00257782970681377,0.0077861630401471,0.522959444274185,0.116090126672796,0.137193214322198,0.112865844315048
"pc2001__23__24",2,"Alirajpur;Jhabua",TRUE,499280,21580,1536,11481,347338,44716,30027,42602,11412,2011,0.0432222400256369,0.00307643005928537,0.0229951129626662,0.695677775997436,0.0895609677936228,0.0601406024675533,0.0853268706937991
"pc2001__23__25",1,"Dhar",TRUE,796594,80761,2703,10645,434553,62711,93490,111731,42374,2011,0.101382887644145,0.00339319653424455,0.0133631435838081,0.545513774896622,0.0787239170769551,0.117362169436375,0.14026091082785
"pc2001__23__26",1,"Indore",TRUE,1417889,270807,15261,28379,431082,101581,332343,238436,112211,2011,0.190993089021778,0.0107631838599495,0.0200149659105896,0.304030851498248,0.0716424205279821,0.234392819184012,0.16816266999744
"pc2001__23__28",1,"Barwani",TRUE,419251,35699,1617,6247,263831,32959,44715,34183,15603,2011,0.0851494689338845,0.00385687809927704,0.0149003818714803,0.62929128374172,0.0786140044984985,0.106654486214702,0.0815334966404374
"pc2001__23__30",1,"Rajgarh",TRUE,487030,26871,1410,2923,355499,17174,31937,51216,10585,2011,0.0551731926164713,0.00289509886454633,0.00600168367451697,0.729932447693161,0.0352627148224955,0.0655750159127775,0.105159846416032
"pc2001__23__31",1,"Vidisha",TRUE,467440,46998,1625,6351,285524,17117,64769,45056,16382,2011,0.100543385247304,0.00347638199555023,0.0135867704946089,0.610824918706144,0.0366186034571282,0.138561098750642,0.0963888413486223
"pc2001__23__32",1,"Bhopal",TRUE,1069428,222677,10731,28073,253013,40679,266471,247784,72627,2011,0.208220656276065,0.0100343361123891,0.0262504815658464,0.236587222328198,0.0380380913909118,0.249171519728303,0.231697692598286
"pc2001__23__33",1,"Sehore",TRUE,456474,43332,1377,6627,271619,32804,56323,44392,17392,2011,0.0949276410047451,0.00301660116457892,0.0145178038617753,0.595037176268528,0.071863895862634,0.123387093240798,0.0972497885969409
"pc2001__23__34",1,"Raisen",TRUE,462577,63420,1713,5212,245280,15560,83982,47410,24915,2011,0.137101498777501,0.00370316725647838,0.0112673133337801,0.530246856199076,0.0336376430302415,0.181552476668749,0.102491044734174
"pc2001__23__35",1,"Betul",TRUE,524159,58610,1980,9946,283577,28915,79746,61385,19465,2011,0.111817215768498,0.00377747973420279,0.0189751583012025,0.54101331847779,0.0551645588456938,0.152140858022089,0.117111410850524
"pc2001__23__36",1,"Harda",TRUE,233150,27588,906,2991,105312,16414,43664,36275,11035,2011,0.118327257130603,0.00388591035813854,0.0128286510829938,0.45169204374866,0.0704010293802273,0.187278576024019,0.155586532275359
"pc2001__23__38",1,"Katni",TRUE,431926,34424,2679,3730,266740,11181,53906,59266,11702,2011,0.0796988373008339,0.00620245134583239,0.00863573852928511,0.617559489356973,0.0258863786852378,0.124803785833684,0.137213318948153
"pc2001__23__39",1,"Jabalpur",TRUE,812736,110350,7538,14892,359069,27080,152168,141639,34374,2011,0.135775946924955,0.00927484447594299,0.0183232931726908,0.441802750216552,0.0333195527206867,0.187229309394441,0.174274303094732
"pc2001__23__41",1,"Dindori",TRUE,204077,10259,732,3759,131928,4663,15396,37340,4091,2011,0.0502702411344738,0.00358688142220828,0.0184195181230614,0.646461874684555,0.022849218677264,0.0754421125359546,0.182970153422483
"pc2001__23__42",1,"Mandla",TRUE,333784,23882,1154,5434,200171,10587,36147,56409,8584,2011,0.0715492653931884,0.00345732569565947,0.0162799894542578,0.599702202622055,0.0317181171056731,0.108294585720106,0.16899851400906
"pc2001__23__44",1,"Seoni",TRUE,471388,40474,1465,5036,278822,23090,63275,59226,14636,2011,0.0858613286719221,0.00310784322044685,0.0106833436574542,0.591491510178452,0.0489830033857459,0.134231248992338,0.125641721893642
"pc2001__23__45",1,"Balaghat",TRUE,567509,47206,1916,6783,363806,20336,67576,59886,16218,2011,0.083181059683635,0.00337615791115207,0.0119522333566516,0.641057674856258,0.0358337929442529,0.119074763572031,0.105524317676019
"pc2001__24__01",1,"Kachchh",TRUE,998173,172890,18322,8125,281688,87936,267945,161267,113495,2011,0.173206448180826,0.0183555355634745,0.00813987154531329,0.282203585951533,0.0880969531333747,0.268435431533412,0.161562174092066
"pc2001__24__03",1,"Patan",TRUE,494942,22723,5538,3633,280035,47791,48864,86358,11006,2011,0.045910429908959,0.0111891898444666,0.00734025400956072,0.565793567731169,0.0965587887065555,0.0987267194944054,0.174481050304884
"pc2001__24__04",1,"Mahesana",TRUE,904561,59349,15459,8288,450766,84429,136693,149577,26370,2011,0.0656108322158483,0.0170900580502586,0.00916245560000929,0.498325707166239,0.0933369888818996,0.151115292390452,0.165358665695293
"pc2001__24__07",1,"Ahmadabad",TRUE,3246537,490619,99908,29507,786295,230991,671159,938058,164750,2011,0.151120717244251,0.0307737136524241,0.00908876134786081,0.242194991155191,0.0711499668723936,0.20673074109428,0.288941108633599
"pc2001__24__08",1,"Surendranagar",TRUE,682657,42071,7988,7243,371528,66050,90978,96799,16840,2011,0.0616283140728067,0.0117013375677683,0.0106100135206993,0.544238175247599,0.0967542997435022,0.13327044181778,0.141797418029845
