"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","recent_work_migrants_total","recent_work_migrants_within_state","recent_work_migrants_outside_state","recent_work_migrants_rural_origin","recent_work_migrants_urban_origin","recent_work_migrants_illiterate","recent_work_migrants_literate","recent_work_migrants_literate_below_matric","recent_work_migrants_matric_below_graduate","recent_work_migrants_technical_diploma_below_degree","recent_work_migrants_graduate_nontechnical","recent_work_migrants_technical_degree","recent_work_migrants_literate_education_not_classified","census_year","outside_state_share_among_recent_work_migrants","rural_origin_share_among_recent_work_migrants","literate_share_among_recent_work_migrants","graduate_or_technical_degree_share_among_recent_work_migrants","technical_credential_share_among_recent_work_migrants"
"pc2001__09__26",1,"Unnao",TRUE,13543,12318,1225,9441,4102,3787,9756,3884,3201,14,1943,137,577,2011,0.0904526323561988,0.697112899652957,0.720372147973123,0.153584877796648,0.0111496714169682
"pc2001__09__27",1,"Lucknow",TRUE,103821,88726,15095,53414,50407,17156,86665,19045,23257,1642,32655,6627,3439,2011,0.145394477032585,0.514481655927028,0.834754047832327,0.378362758979397,0.0796466996079791
"pc2001__09__28",1,"Rae Bareli",TRUE,10603,9034,1569,8009,2594,2757,7846,2417,2337,101,2301,388,302,2011,0.147976987645006,0.755352258794681,0.739979251155333,0.25360746958408,0.0461190229180421
"pc2001__09__29",1,"Farrukhabad",TRUE,7456,5453,2003,5461,1995,3042,4414,1206,1321,18,1329,186,354,2011,0.268642703862661,0.73243025751073,0.59200643776824,0.203192060085837,0.0273605150214592
"pc2001__09__30",1,"Kannauj",TRUE,5433,3921,1512,4274,1159,2045,3388,983,1099,23,1031,154,98,2011,0.27829928216455,0.786674029081539,0.62359653966501,0.218111540585312,0.0325786858089453
"pc2001__09__31",1,"Etawah",TRUE,10956,9997,959,8333,2623,2988,7968,2489,2387,160,2217,444,271,2011,0.0875319459656809,0.760587805768529,0.727272727272727,0.242880613362541,0.0551296093464768
"pc2001__09__32",1,"Auraiya",TRUE,7104,6343,761,5416,1688,1459,5645,1682,1854,55,1534,384,136,2011,0.107122747747748,0.762387387387387,0.794622747747748,0.269988738738739,0.0617961711711712
"pc2001__09__33",1,"Kanpur Dehat",TRUE,5716,5252,464,4661,1055,1311,4405,1464,1577,12,995,167,190,2011,0.0811756473058083,0.815430370888733,0.770643806857943,0.203289013296011,0.0313156053184045
"pc2001__09__34",1,"Kanpur Nagar",TRUE,66000,59834,6166,44120,21880,17231,48769,18448,14777,534,10812,1783,2415,2011,0.0934242424242424,0.668484848484848,0.738924242424242,0.190833333333333,0.0351060606060606
"pc2001__09__35",1,"Jalaun",TRUE,7924,7466,458,6236,1688,1463,6461,2013,2232,30,1602,292,292,2011,0.057799091367996,0.786976274608783,0.815371024734982,0.23902069661787,0.0406360424028269
"pc2001__09__36",1,"Jhansi",TRUE,14773,10980,3793,7930,6843,2027,12746,3533,3872,452,3528,836,525,2011,0.256752183036621,0.536790090029107,0.862790225411223,0.295403777161037,0.0871860827184729
"pc2001__09__37",1,"Lalitpur",TRUE,4855,3901,954,3483,1372,986,3869,1491,967,53,992,194,172,2011,0.196498455200824,0.71740473738414,0.796910401647786,0.244284243048404,0.050875386199794
"pc2001__09__38",1,"Hamirpur",TRUE,4110,3948,162,3139,971,740,3370,1112,936,19,985,149,169,2011,0.0394160583941606,0.76374695863747,0.819951338199513,0.275912408759124,0.0408759124087591
"pc2001__09__39",1,"Mahoba",TRUE,3824,3348,476,2594,1230,924,2900,1094,827,22,679,112,166,2011,0.124476987447699,0.678347280334728,0.75836820083682,0.206851464435146,0.0350418410041841
"pc2001__09__40",1,"Banda",TRUE,5631,5181,450,4130,1501,1055,4576,1452,1253,38,1456,241,136,2011,0.079914757591902,0.733439886343456,0.812644290534541,0.301367430296573,0.0495471497069792
"pc2001__09__41",1,"Chitrakoot",TRUE,2879,2591,288,2235,644,681,2198,702,605,20,670,121,80,2011,0.100034734282737,0.776311219173324,0.763459534560611,0.274748176450156,0.0489753386592567
"pc2001__09__42",1,"Fatehpur",TRUE,7373,7023,350,6089,1284,1947,5426,1728,1686,23,1531,191,267,2011,0.047470500474705,0.825851078258511,0.735928387359284,0.233554862335549,0.0290248202902482
"pc2001__09__43",1,"Pratapgarh",TRUE,5709,4166,1543,4771,938,2134,3575,1551,947,16,780,86,195,2011,0.270275004379051,0.835698020669119,0.626204238921002,0.151690313540025,0.0178665265370468
"pc2001__09__48",1,"Ambedkar Nagar",TRUE,4862,3082,1780,3944,918,1640,3222,1104,761,69,955,222,111,2011,0.366104483751543,0.811188811188811,0.662690250925545,0.242081447963801,0.0598519127930893
"pc2001__09__50",1,"Bahraich",TRUE,5639,5073,566,4502,1137,2494,3145,1143,800,35,812,119,236,2011,0.100372406455045,0.798368505054088,0.557723000532009,0.165100195070048,0.0273098067033162
"pc2001__09__52",1,"Balrampur",TRUE,3247,2848,399,2561,686,1334,1913,740,435,17,514,98,109,2011,0.12288266091777,0.788728056667693,0.589159223898984,0.18848167539267,0.0354173082845704
"pc2001__09__53",1,"Gonda",TRUE,7018,5755,1263,5145,1873,2309,4709,1440,1343,53,1360,196,317,2011,0.179965802222856,0.73311484753491,0.670988885722428,0.221715588486748,0.0354801937874038
"pc2001__09__55",1,"Basti",TRUE,6321,4221,2100,5653,668,2437,3884,1379,1003,32,1088,167,215,2011,0.332225913621262,0.894320518905237,0.614459737383325,0.198544534092707,0.0314823603860149
"pc2001__09__60",1,"Deoria",TRUE,6776,4578,2198,5411,1365,1863,4913,1327,1690,45,1421,208,222,2011,0.324380165289256,0.798553719008264,0.725059031877214,0.240407319952775,0.0373376623376623
"pc2001__09__61",1,"Azamgarh",TRUE,6998,5403,1595,5652,1346,1800,5198,1342,1562,49,1712,252,281,2011,0.227922263503858,0.807659331237496,0.742783652472135,0.280651614747071,0.043012289225493
"pc2001__09__62",1,"Mau",TRUE,3775,3000,775,2740,1035,1003,2772,767,831,26,810,121,217,2011,0.205298013245033,0.725827814569536,0.73430463576159,0.246622516556291,0.0389403973509934
"pc2001__09__63",1,"Ballia",TRUE,4052,3545,507,3272,780,840,3212,718,1132,28,909,139,286,2011,0.125123395853899,0.807502467917078,0.792694965449161,0.258637709772952,0.0412142152023692
"pc2001__09__64",1,"Jaunpur",TRUE,7290,4603,2687,6388,902,3327,3963,1428,1059,23,1072,190,191,2011,0.368587105624143,0.876268861454047,0.543621399176955,0.173113854595336,0.0292181069958848
"pc2001__09__65",1,"Ghazipur",TRUE,5357,4182,1175,4344,1013,1587,3770,951,1303,30,1114,146,226,2011,0.219339182378197,0.810901624043308,0.703752100056002,0.235206272167258,0.0328542094455852
"pc2001__09__66",1,"Chandauli",TRUE,4666,3355,1311,2979,1687,1335,3331,786,1265,71,920,147,142,2011,0.280968709815688,0.638448349764252,0.713887698242606,0.228675525075011,0.0467209601371625
"pc2001__09__67",1,"Varanasi",TRUE,24924,19733,5191,15541,9383,3902,21022,3968,6294,381,8070,1392,917,2011,0.208273150377147,0.623535548066121,0.843444069972717,0.379634087626384,0.0711362542128069
"pc2001__09__69",1,"Mirzapur",TRUE,5226,4128,1098,4092,1134,1965,3261,1119,950,37,869,109,177,2011,0.210103329506315,0.78300803673938,0.623995407577497,0.187141216991963,0.0279372368924608
"pc2001__09__70",1,"Sonbhadra",TRUE,13588,9137,4451,9954,3634,1837,11751,2609,4044,666,2921,987,524,2011,0.327568442743597,0.732558139534884,0.86480718280836,0.287606711804533,0.121651457168089
"pc2001__10__01",1,"Pashchim Champaran",TRUE,4922,4478,444,3914,1008,1458,3464,1164,1137,21,794,121,227,2011,0.090207232832182,0.795205201137749,0.703778951645673,0.185900040633889,0.028850060950833
"pc2001__10__02",1,"Purba Champaran",TRUE,5848,4737,1111,4169,1679,1561,4287,1306,1574,20,1025,138,224,2011,0.189979480164159,0.712893296853625,0.733071135430917,0.198871409028728,0.0270177838577291
"pc2001__10__03",1,"Sheohar",TRUE,366,333,33,279,87,102,264,74,70,2,69,20,29,2011,0.0901639344262295,0.762295081967213,0.721311475409836,0.243169398907104,0.0601092896174863
"pc2001__10__04",1,"Sitamarhi",TRUE,4082,3505,577,3146,936,1065,3017,828,942,10,930,119,188,2011,0.141352278294953,0.770700636942675,0.739098481136698,0.256981871631553,0.0316021558059775
"pc2001__10__05",1,"Madhubani",TRUE,4117,3320,797,2856,1261,996,3121,859,846,8,1047,180,181,2011,0.193587563760019,0.69370901141608,0.758076269128006,0.298032547971824,0.0456643186786495
"pc2001__10__06",1,"Supaul",TRUE,3023,2753,270,2480,543,777,2246,556,716,18,660,107,189,2011,0.0893152497519021,0.820377108832286,0.742970559047304,0.253721468739663,0.0413496526629176
"pc2001__10__08",1,"Kishanganj",TRUE,5242,3027,2215,4166,1076,2272,2970,1137,773,5,693,117,245,2011,0.422548645555132,0.794734834032812,0.566577642121328,0.154521175123998,0.0232735597100343
"pc2001__10__09",1,"Purnia",TRUE,7595,6891,704,5897,1698,2215,5380,1386,1784,12,1539,269,390,2011,0.0926925608953259,0.776431863067808,0.708360763660303,0.238051349572087,0.0369980250164582
"pc2001__10__11",1,"Madhepura",TRUE,1748,1659,89,1509,239,592,1156,278,396,3,348,61,70,2011,0.0509153318077803,0.863272311212815,0.661327231121281,0.233981693363844,0.0366132723112128
"pc2001__10__12",1,"Saharsa",TRUE,3595,3311,284,2813,782,565,3030,556,1089,6,1110,166,103,2011,0.0789986091794159,0.782475660639777,0.842837273991655,0.354937413073714,0.0478442280945758
"pc2001__10__14",1,"Muzaffarpur",TRUE,12752,11771,981,9350,3402,2092,10660,2176,3434,43,3756,657,594,2011,0.0769291091593476,0.733218318695107,0.83594730238394,0.346063362609787,0.0548933500627353
"pc2001__10__15",1,"Gopalganj",TRUE,4563,3000,1563,3052,1511,1289,3274,1070,1070,8,792,107,227,2011,0.342537804076266,0.668858207319746,0.717510409818102,0.197019504711812,0.0252027175104098
"pc2001__10__16",1,"Siwan",TRUE,4939,3816,1123,3915,1024,1173,3766,1096,1165,11,1060,169,265,2011,0.227373962340555,0.792670581089289,0.762502530876696,0.248835796719984,0.0364446244178984
"pc2001__10__17",1,"Saran",TRUE,4910,4248,662,3614,1296,931,3979,843,1388,8,1400,190,150,2011,0.134826883910387,0.736048879837067,0.810386965376782,0.323828920570265,0.0403258655804481
"pc2001__10__19",1,"Samastipur",TRUE,5303,4786,517,4257,1046,1193,4110,1096,1230,8,1325,260,191,2011,0.0974919856684895,0.802753158589478,0.775033000188572,0.298887422213841,0.0505374316424665
"pc2001__10__20",1,"Begusarai",TRUE,6995,6225,770,5320,1675,1056,5939,1350,2113,17,1818,395,246,2011,0.110078627591137,0.760543245175125,0.84903502501787,0.316368834882059,0.0588992137240886
"pc2001__10__21",1,"Khagaria",TRUE,2036,1894,142,1624,412,571,1465,382,548,0,360,63,112,2011,0.0697445972495088,0.797642436149312,0.719548133595285,0.207760314341847,0.030943025540275
