"target_unit_2001","census_2011_source_district_count","census_2011_parent_reconstruction_complete","log_nonfarm_employment_2013","log_firms_total_2013","mean_employment_per_firm_2013","female_employment_share_2013","hired_employment_share_2013","private_employment_share_2013","manufacturing_employment_share_2013","services_employment_share_2013","log_nonfarm_employment_2005","log_firms_total_2005","mean_employment_per_firm_2005","female_employment_share_2005","hired_employment_share_2005","private_employment_share_2005","manufacturing_employment_share_2005","services_employment_share_2005","log_nonfarm_employment_change_2013_2005","log_firms_total_change_2013_2005","mean_employment_per_firm_change_2013_2005","female_employment_share_change_2013_2005","hired_employment_share_change_2013_2005","private_employment_share_change_2013_2005","manufacturing_employment_share_change_2013_2005","services_employment_share_change_2013_2005"
"pc2001__28__10",1,TRUE,12.8669187171604,12.1006510168939,2.15172038291229,0.321163171403046,0.359016334181974,0.909056872698729,0.130714768930455,0.601351456029911,12.3944591068864,11.3061226732441,2.96933028357805,0.275225710262569,0.622446782075706,0.888333471382424,0.156116955189265,0.73055992711008,0.472459610274001,0.7945283436498,-0.81760990066576,0.045937461140477,-0.263430447893732,0.020723401316305,-0.02540218625881,-0.129208471080169
"pc2001__28__11",1,TRUE,12.7369449844475,12.0247965420594,2.03836586930071,0.333633260115913,0.357562712631916,0.927832323285786,0.203747320507053,0.680007527574151,12.439815821811,11.7774259077218,1.93942185173245,0.274847227939081,0.351593420511034,0.905542538707533,0.209277934331761,0.658376341702815,0.2971291626365,0.247370634337599,0.0989440175682599,0.058786032176832,0.00596929212088204,0.022289784578253,-0.00553061382470801,0.0216311858713359
"pc2001__28__12",1,TRUE,12.8949331514145,12.1658546352414,2.07316933519332,0.301218461971081,0.343077514066419,0.932117131027972,0.187680302493918,0.673576222290849,12.7463162849287,11.9190103809578,2.28714863451327,0.28976215098242,0.444467425025853,0.931523369794777,0.228550621203956,0.678780022430342,0.148616866485801,0.2468442542836,-0.21397929931995,0.011456310988661,-0.101389910959434,0.000593761233194989,-0.040870318710038,-0.00520380013949295
"pc2001__28__13",1,TRUE,13.2470823040618,12.4883941256461,2.13547302264733,0.300881862238818,0.420594440472092,0.945515214109796,0.214341075006841,0.715210578815886,12.9174943256092,11.7944133932587,3.07431137272659,0.328285592951983,0.627757580815805,0.885442722588659,0.175667747565523,0.743930069689747,0.329587978452601,0.693980732387399,-0.93883835007926,-0.027403730713165,-0.207163140343713,0.060072491521137,0.038673327441318,-0.0287194908738609
"pc2001__28__14",1,TRUE,13.4148822337351,12.7763683425249,1.89366459557098,0.275410173772464,0.364139967368215,0.951265787827717,0.213284390632021,0.710925079750828,13.1639812151573,12.4122409287984,2.12068741049343,0.220574467432009,0.501592332248757,0.912980001841734,0.174715298667813,0.750450841058383,0.2509010185778,0.3641274137265,-0.22702281492245,0.054835706340455,-0.137452364880542,0.038285785985983,0.038569091964208,-0.039525761307555
"pc2001__28__15",1,TRUE,13.061185602627,12.413277853576,1.91153722662743,0.302059413855862,0.403469493629977,0.937218281709785,0.246942559235257,0.704136262353081,13.0400920214715,12.0452464002808,2.70430682138495,0.325154013693484,0.613309996938184,0.922012720651624,0.227247557604487,0.72261031766885,0.0210935811555011,0.368031453295201,-0.79276959475752,-0.023094599837622,-0.209840503308207,0.0152055610581611,0.01969500163077,-0.018474055315769
"pc2001__28__16",1,TRUE,13.4720705023763,12.553152705437,2.50657629706063,0.270965677276739,0.528707533630517,0.93776909347747,0.205693855857532,0.753123387553819,13.1374332542569,12.1434735757737,2.70191202146233,0.282971362826837,0.579364923009031,0.921222162681839,0.177731327522892,0.767837160554146,0.3346372481194,0.409679129663301,-0.1953357244017,-0.012005685550098,-0.0506573893785139,0.016546930795631,0.02796252833464,-0.0147137730003269
"pc2001__28__17",1,TRUE,13.2030231254385,12.3833439713481,2.26977147379926,0.268962603390031,0.467916110855884,0.942878334172815,0.185774564991578,0.798393360897858,12.9575335445309,12.0586451477135,2.45687052756613,0.24819406677531,0.564462913218511,0.910673814145121,0.161436162058776,0.810836306863608,0.2454895809076,0.3246988236346,-0.18709905376687,0.020768536614721,-0.096546802362627,0.0322045200276939,0.024338402932802,-0.01244294596575
"pc2001__28__18",1,TRUE,13.0914442703676,12.2567752655039,2.3040512922881,0.30491545597254,0.470276023821262,0.944681781520163,0.33182886151777,0.592841657091817,12.9223209289981,11.8154345716652,3.02492518012193,0.35601248815189,0.621969571122859,0.926299871991557,0.377241369201755,0.555204862366495,0.169123341369499,0.441340693838701,-0.72087388783383,-0.05109703217935,-0.151693547301597,0.0183819095286061,-0.045412507683985,0.037636794725322
"pc2001__28__19",1,TRUE,12.9104885943533,12.1541528391355,2.13045539048141,0.295345497153508,0.417508583972136,0.927096182511686,0.199417600047462,0.73928208576309,12.628643938341,11.909766828587,2.05212760234547,0.285936639840617,0.426544027053241,0.897681993341547,0.215551026293024,0.673784963430938,0.2818446560123,0.244386010548501,0.0783277881359399,0.00940885731289098,-0.00903544308110499,0.029414189170139,-0.016133426245562,0.065497122332152
