"target_unit_2001","level","state_code","district_code","state_std","district_std","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","nonfarm_employment","female_employment","hired_employment","private_employment","manufacturing_employment","services_employment","firms_total","harmonized_available","log_nonfarm_employment","log_firms_total","mean_employment_per_firm","female_employment_share","hired_employment_share","private_employment_share","manufacturing_employment_share","services_employment_share"
"pc2001__09__18","district","09","18","uttar pradesh","mainpuri",1,"mainpuri",TRUE,72758,9643,29399,62632,11926,60777,39670,TRUE,11.1948941446237,10.5883505135084,1.83408116964961,0.132535253855246,0.404065532312598,0.860826300887875,0.163913246653289,0.835330822727398
"pc2001__09__19","district","09","19","uttar pradesh","budaun",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__20","district","09","20","uttar pradesh","bareilly",1,"bareilly",TRUE,436662,100492,126564,423347,194264,241250,217610,TRUE,12.9869147194292,12.2904597487903,2.00662653370709,0.230136810622404,0.28984431894692,0.969507307711685,0.44488414380001,0.552486820469837
"pc2001__09__21","district","09","21","uttar pradesh","pilibhit",1,"pilibhit",TRUE,129321,24204,47391,118558,42410,86320,67722,TRUE,11.7700529645654,11.1231663691837,1.90958624966776,0.187162177836546,0.366460203679217,0.916772991238855,0.327943644110392,0.667486332459539
"pc2001__09__22","district","09","22","uttar pradesh","shahjahanpur",1,"shahjahanpur",TRUE,149606,25335,57904,132692,49457,99911,74600,TRUE,11.9157604506701,11.2198957861919,2.00544235924933,0.169344812373835,0.38704330040239,0.886943037043969,0.330581661163322,0.667827493549724
"pc2001__09__23","district","09","23","uttar pradesh","kheri",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__24","district","09","24","uttar pradesh","sitapur",1,"sitapur",TRUE,210839,31615,76189,190203,57822,152061,103456,TRUE,12.2588500880249,11.5469016805252,2.03795816579029,0.14994853893255,0.361361038517542,0.902124369779785,0.274247174384246,0.721218560133562
"pc2001__09__25","district","09","25","uttar pradesh","hardoi",1,"hardoi",TRUE,162843,25791,58866,151750,43047,119244,81869,TRUE,12.0005418254391,11.3128756878095,1.98906790115917,0.158379543486671,0.361489287227575,0.931879171963179,0.264346640629318,0.732263591311877
"pc2001__09__26","district","09","26","uttar pradesh","unnao",1,"unnao",TRUE,102585,17449,37204,92212,24562,76052,54234,TRUE,11.5384470022003,10.9010632970265,1.89152561124018,0.170093093532193,0.362665106984452,0.89888385241507,0.239430715991617,0.741355948725447
"pc2001__09__27","district","09","27","uttar pradesh","lucknow",1,"lucknow",TRUE,482302,80029,220936,455091,103631,377263,206533,TRUE,13.0863257528451,12.238215484911,2.33522972115836,0.165931304452397,0.458086427176334,0.943580992821925,0.214867448196358,0.782213219103383
"pc2001__09__28","district","09","28","uttar pradesh","rae bareli",1,"rae bareli",TRUE,126821,24308,48787,113769,33406,92614,64287,TRUE,11.7505319224145,11.0711127124912,1.97273165647798,0.191671726291387,0.384691809716056,0.897083290622216,0.263410633885555,0.730273377437491
"pc2001__09__29","district","09","29","uttar pradesh","farrukhabad",1,"farrukhabad",TRUE,84856,16047,33793,76825,28667,55967,39556,TRUE,11.3487109811853,10.5854726683899,2.14521185155223,0.189108607523334,0.398239370227208,0.905357311209579,0.337831149241067,0.659552653907797
"pc2001__09__30","district","09","30","uttar pradesh","kannauj",1,"kannauj",TRUE,76849,19516,29415,70569,25469,51040,39891,TRUE,11.2495977365203,10.5939060135248,1.92647464340327,0.253952556311728,0.382763601348098,0.918281304896615,0.331416153756067,0.664159585681011
"pc2001__09__31","district","09","31","uttar pradesh","etawah",1,"etawah",TRUE,80133,10540,28813,74364,13882,65754,44535,TRUE,11.2914430332327,10.704030675866,1.799326372516,0.131531329165263,0.359564723646937,0.928007188049867,0.173236993498309,0.820560817640672
"pc2001__09__32","district","09","32","uttar pradesh","auraiya",1,"auraiya",TRUE,48056,6744,18463,42822,7981,40015,26361,TRUE,10.78012227653,10.179640924164,1.82299609271272,0.140336274346596,0.384197602796737,0.891085400366239,0.166077076743799,0.832674379890128
