"target_unit_2001","level","state_code","district_code","state_std","district_std","name_key","key","nonfarm_firms_raw","nonfarm_employment_raw","it_firms","it_employment","ec05_source_district_count","source_available","it_firm_share_nonfarm","it_employment_share_nonfarm"
"pc2001__10__04","district","10","04","bihar","sitamarhi","sitamarhi","10/04",26309,50909,28,53,1,TRUE,0.00106427458284237,0.00104107328763087
"pc2001__10__05","district","10","05","bihar","madhubani","madhubani","10/05",41499,74883,43,66,1,TRUE,0.00103616954625413,0.000881374944914066
"pc2001__10__06","district","10","06","bihar","supaul","supaul","10/06",21688,33408,4,4,1,TRUE,0.000184433788270011,0.000119731800766284
"pc2001__10__07","district","10","07","bihar","araria","araria","10/07",27522,47534,15,31,1,TRUE,0.000545018530630041,0.000652164766272563
"pc2001__10__08","district","10","08","bihar","kishanganj","kishanganj","10/08",14813,27582,8,10,1,TRUE,0.000540066158104368,0.000362555289681676
"pc2001__10__09","district","10","09","bihar","purnia","purnia","10/09",33778,55899,8,11,1,TRUE,0.000236840547101664,0.000196783484498828
"pc2001__10__10","district","10","10","bihar","katihar","katihar","10/10",32448,58705,7,23,1,TRUE,0.000215729783037475,0.000391789455753343
"pc2001__10__11","district","10","11","bihar","madhepura","madhepura","10/11",14814,25816,8,12,1,TRUE,0.00054002970163359,0.000464828013634955
"pc2001__10__12","district","10","12","bihar","saharsa","saharsa","10/12",20103,36578,4,4,1,TRUE,0.000198975277321793,0.000109355350210509
"pc2001__10__13","district","10","13","bihar","darbhanga","darbhanga","10/13",45050,79570,49,65,1,TRUE,0.00108768035516093,0.000816890787985422
"pc2001__10__14","district","10","14","bihar","muzaffarpur","muzaffarpur","10/14",43107,93001,309,596,1,TRUE,0.00716820933955042,0.00640853324157805
"pc2001__10__15","district","10","15","bihar","gopalganj","gopalganj","10/15",30033,52914,1,1,1,TRUE,3.32967069556821e-05,1.88985901651737e-05
"pc2001__10__16","district","10","16","bihar","siwan","siwan","10/16",41617,70630,2,3,1,TRUE,4.80572842828652e-05,4.24748690358205e-05
"pc2001__10__17","district","10","17","bihar","saran","saran","10/17",49509,77878,2,4,1,TRUE,4.0396695550304e-05,5.13623873237628e-05
"pc2001__10__18","district","10","18","bihar","vaishali","vaishali","10/18",44485,84519,7,15,1,TRUE,0.0001573564122738,0.000177474887303447
"pc2001__10__19","district","10","19","bihar","samastipur","samastipur","10/19",60507,114880,48,96,1,TRUE,0.000793296643363578,0.000835654596100279
"pc2001__10__20","district","10","20","bihar","begusarai","begusarai","10/20",28072,48639,13,16,1,TRUE,0.000463094898831576,0.000328954131458295
"pc2001__10__21","district","10","21","bihar","khagaria","khagaria","10/21",16611,33708,3,8,1,TRUE,0.000180603214737222,0.000237332384003797
"pc2001__10__22","district","10","22","bihar","bhagalpur","bhagalpur","10/22",37995,78685,30,44,1,TRUE,0.000789577575996842,0.000559191713795514
"pc2001__10__23","district","10","23","bihar","banka","banka","10/23",20359,29659,65,92,1,TRUE,0.00319269119308414,0.00310192521662902
"pc2001__10__24","district","10","24","bihar","munger","munger","10/24",20979,52769,17,34,1,TRUE,0.000810334143667477,0.000644317686520495
"pc2001__10__25","district","10","25","bihar","lakhisarai","lakhisarai","10/25",12669,26008,1,1,1,TRUE,7.89328281632331e-05,3.84497077822209e-05
"pc2001__10__26","district","10","26","bihar","sheikhpura","sheikhpura","10/26",9514,18881,6,10,1,TRUE,0.000630649569056128,0.000529632964355701
"pc2001__10__27","district","10","27","bihar","nalanda","nalanda","10/27",44012,79384,6,9,1,TRUE,0.000136326456420976,0.000113372971883503
"pc2001__10__28","district","10","28","bihar","patna","patna","10/28",97820,239410,234,584,1,TRUE,0.00239214884481701,0.00243933001963159
"pc2001__10__29","district","10","29","bihar","bhojpur","bhojpur","10/29",28125,52890,53,92,1,TRUE,0.00188444444444444,0.00173945925505767
"pc2001__10__30","district","10","30","bihar","buxar","buxar","10/30",15546,26188,0,0,1,TRUE,0,0
"pc2001__10__31","district","10","31","bihar","kaimur bhabua","kaimur bhabua","10/31",22314,40939,3,4,1,TRUE,0.00013444474321054,9.77063435843572e-05
"pc2001__10__32","district","10","32","bihar","rohtas","rohtas","10/32",45133,76572,26,40,1,TRUE,0.000576075155651076,0.000522384161312229
"pc2001__10__33","district","10","33","bihar","jehanabad","jehanabad","10/33",,,,,,FALSE,,
"pc2001__10__34","district","10","34","bihar","aurangabad","aurangabad","10/34",30329,51168,17,25,1,TRUE,0.000560519634673085,0.000488586616635397
"pc2001__10__35","district","10","35","bihar","gaya","gaya","10/35",47890,76870,5,8,1,TRUE,0.000104405930256839,0.000104071809548589
"pc2001__10__36","district","10","36","bihar","nawada","nawada","10/36",24162,37588,0,0,1,TRUE,0,0
"pc2001__10__37","district","10","37","bihar","jamui","jamui","10/37",13915,23863,1,2,1,TRUE,7.18648939992814e-05,8.38117587897582e-05
"pc2001__11__01","district","11","01","sikkim","north","north","11/01",1481,4142,6,14,1,TRUE,0.00405131667792032,0.00338000965717045
"pc2001__11__02","district","11","02","sikkim","west","west","11/02",3888,11262,0,0,1,TRUE,0,0
"pc2001__11__03","district","11","03","sikkim","south","south","11/03",3063,9722,12,27,1,TRUE,0.0039177277179236,0.00277720633614483
"pc2001__11__04","district","11","04","sikkim","east","east","11/04",8677,39394,16,51,1,TRUE,0.00184395528408436,0.00129461339290247
"pc2001__12__01","district","12","01","arunachal pradesh","tawang","tawang","12/01",987,3714,0,0,1,TRUE,0,0
"pc2001__12__02","district","12","02","arunachal pradesh","west kameng","west kameng","12/02",2436,8844,2,3,1,TRUE,0.000821018062397373,0.00033921302578019
"pc2001__12__03","district","12","03","arunachal pradesh","east kameng","east kameng","12/03",1330,3802,2,4,1,TRUE,0.00150375939849624,0.00105207785376118
"pc2001__12__04","district","12","04","arunachal pradesh","papum pare","papum pare","12/04",5377,26586,2,4,1,TRUE,0.000371954621536173,0.000150455126758444
"pc2001__12__05","district","12","05","arunachal pradesh","lower subansiri","lower subansiri","12/05",2707,11183,3,7,1,TRUE,0.00110823790173624,0.00062595010283466
"pc2001__12__06","district","12","06","arunachal pradesh","upper subansiri","upper subansiri","12/06",1170,5094,3,6,1,TRUE,0.00256410256410256,0.00117785630153121
"pc2001__12__07","district","12","07","arunachal pradesh","west siang","west siang","12/07",2925,9930,4,9,1,TRUE,0.00136752136752137,0.000906344410876133
"pc2001__12__08","district","12","08","arunachal pradesh","east siang","east siang","12/08",2058,8275,3,8,1,TRUE,0.00145772594752187,0.000966767371601208
"pc2001__12__09","district","12","09","arunachal pradesh","upper siang","upper siang","12/09",624,3060,1,12,1,TRUE,0.0016025641025641,0.00392156862745098
"pc2001__12__10","district","12","10","arunachal pradesh","dibang valley","dibang valley","12/10",1865,6339,0,0,1,TRUE,0,0
"pc2001__12__11","district","12","11","arunachal pradesh","lohit","lohit","12/11",3221,9782,0,0,1,TRUE,0,0
"pc2001__12__12","district","12","12","arunachal pradesh","changlang","changlang","12/12",2332,7305,0,0,1,TRUE,0,0
"pc2001__12__13","district","12","13","arunachal pradesh","tirap","tirap","12/13",1306,4364,0,0,1,TRUE,0,0
"pc2001__13__01","district","13","01","nagaland","mon","mon","13/01",2293,14995,0,0,1,TRUE,0,0
"pc2001__13__02","district","13","02","nagaland","tuensang","tuensang","13/02",4031,17786,9,24,1,TRUE,0.00223269660133962,0.00134937591363994
"pc2001__13__03","district","13","03","nagaland","mokokchung","mokokchung","13/03",2952,14448,1,3,1,TRUE,0.000338753387533875,0.000207641196013289
"pc2001__13__04","district","13","04","nagaland","zunheboto","zunheboto","13/04",2658,9766,0,0,1,TRUE,0,0
"pc2001__13__05","district","13","05","nagaland","wokha","wokha","13/05",2642,10823,1,1,1,TRUE,0.000378501135503407,9.23958237087684e-05
"pc2001__13__06","district","13","06","nagaland","dimapur","dimapur","13/06",8434,35226,26,89,1,TRUE,0.00308276025610624,0.00252654289445296
"pc2001__13__07","district","13","07","nagaland","kohima","kohima","13/07",8356,55815,24,81,1,TRUE,0.00287218764959311,0.0014512227895727
"pc2001__13__08","district","13","08","nagaland","phek","phek","13/08",2935,12423,0,0,1,TRUE,0,0
"pc2001__14__01","district","14","01","manipur","senapati excl 3 sub divisions","senapati excl 3 sub divisions","14/01",5491,12891,0,0,1,TRUE,0,0
"pc2001__14__02","district","14","02","manipur","tamenglong","tamenglong","14/02",2142,5852,0,0,1,TRUE,0,0
"pc2001__14__03","district","14","03","manipur","churachandpur","churachandpur","14/03",5888,13501,21,58,1,TRUE,0.00356657608695652,0.0042959780756981
"pc2001__14__04","district","14","04","manipur","bishnupur","bishnupur","14/04",11852,23544,6,13,1,TRUE,0.000506243671954101,0.000552157662249405
"pc2001__14__05","district","14","05","manipur","thoubal","thoubal","14/05",16071,32651,22,41,1,TRUE,0.00136892539356605,0.00125570426633181
"pc2001__14__06","district","14","06","manipur","imphal west","imphal west","14/06",28858,78114,45,127,1,TRUE,0.0015593596229815,0.00162582891671147
"pc2001__14__07","district","14","07","manipur","imphal east","imphal east","14/07",19175,39497,4,12,1,TRUE,0.000208604954367666,0.000303820543332405
"pc2001__14__08","district","14","08","manipur","ukhrul","ukhrul","14/08",3381,9091,0,0,1,TRUE,0,0
"pc2001__14__09","district","14","09","manipur","chandel","chandel","14/09",3581,6426,0,0,1,TRUE,0,0
"pc2001__15__01","district","15","01","mizoram","mamit","mamit","15/01",2032,4118,0,0,1,TRUE,0,0
"pc2001__15__02","district","15","02","mizoram","kolasib","kolasib","15/02",2618,5501,0,0,1,TRUE,0,0
"pc2001__15__03","district","15","03","mizoram","aizawl","aizawl","15/03",17267,46468,6,8,1,TRUE,0.000347483639311982,0.000172161487475252
"pc2001__15__04","district","15","04","mizoram","champhai","champhai","15/04",3581,7329,1,2,1,TRUE,0.000279251605696733,0.000272888525037522
"pc2001__15__05","district","15","05","mizoram","serchhip","serchhip","15/05",2211,4634,0,0,1,TRUE,0,0
"pc2001__15__06","district","15","06","mizoram","lunglei","lunglei","15/06",5456,13296,4,9,1,TRUE,0.000733137829912023,0.000676895306859206
"pc2001__15__07","district","15","07","mizoram","lawngtlai","lawngtlai","15/07",1998,5917,0,0,1,TRUE,0,0
"pc2001__15__08","district","15","08","mizoram","saiha","saiha","15/08",1785,5962,0,0,1,TRUE,0,0
"pc2001__16__01","district","16","01","tripura","west tripura","west tripura","16/01",87586,187433,92,185,1,TRUE,0.00105039618203823,0.000987019361585206
"pc2001__16__02","district","16","02","tripura","south tripura","south tripura","16/02",44336,82652,16,26,1,TRUE,0.000360880548538434,0.000314571940182936
"pc2001__16__03","district","16","03","tripura","dhalai","dhalai","16/03",15183,30089,3,4,1,TRUE,0.000197589409207666,0.000132938947788228
"pc2001__16__04","district","16","04","tripura","north tripura","north tripura","16/04",31848,67512,42,82,1,TRUE,0.00131876412961567,0.00121459888612395
"pc2001__17__01","district","17","01","meghalaya","west garo hills","west garo hills","17/01",17325,45163,7,19,1,TRUE,0.000404040404040404,0.000420698359276399
"pc2001__17__02","district","17","02","meghalaya","east garo hills","east garo hills","17/02",5362,14782,4,10,1,TRUE,0.000745990302126072,0.000676498444053579
"pc2001__17__03","district","17","03","meghalaya","south garo hills","south garo hills","17/03",4229,10586,0,0,1,TRUE,0,0
"pc2001__17__04","district","17","04","meghalaya","west khasi hills","west khasi hills","17/04",9204,23333,9,22,1,TRUE,0.000977835723598436,0.00094287061243732
"pc2001__17__05","district","17","05","meghalaya","ri bhoi","ri bhoi","17/05",6159,19491,0,0,1,TRUE,0,0
"pc2001__17__06","district","17","06","meghalaya","east khasi hills","east khasi hills","17/06",27223,92914,68,168,1,TRUE,0.00249788781545017,0.00180812364121661
"pc2001__17__07","district","17","07","meghalaya","jaintia hills","jaintia hills","17/07",10333,28651,3,5,1,TRUE,0.000290331946191813,0.000174513978569683
"pc2001__18__01","district","18","01","assam","kokrajhar","kokrajhar","18/01",,,,,,FALSE,,
"pc2001__18__02","district","18","02","assam","dhubri","dhubri","18/02",53427,107344,13,35,1,TRUE,0.000243322664570348,0.000326054553584737
"pc2001__18__03","district","18","03","assam","goalpara","goalpara","18/03",31242,67691,6,13,1,TRUE,0.000192049164586134,0.000192049164586134
"pc2001__18__04","district","18","04","assam","bongaigaon","bongaigaon","18/04",,,,,,FALSE,,
"pc2001__18__05","district","18","05","assam","barpeta","barpeta","18/05",,,,,,FALSE,,
"pc2001__18__06","district","18","06","assam","kamrup","kamrup","18/06",,,,,,FALSE,,
"pc2001__18__07","district","18","07","assam","nalbari","nalbari","18/07",,,,,,FALSE,,
"pc2001__18__08","district","18","08","assam","darrang","darrang","18/08",,,,,,FALSE,,
"pc2001__18__09","district","18","09","assam","marigaon","marigaon","18/09",20372,49365,0,0,1,TRUE,0,0
"pc2001__18__10","district","18","10","assam","nagaon","nagaon","18/10",83728,177117,13,32,1,TRUE,0.00015526466653927,0.0001806715335061
"pc2001__18__11","district","18","11","assam","sonitpur","sonitpur","18/11",,,,,,FALSE,,
"pc2001__18__12","district","18","12","assam","lakhimpur","lakhimpur","18/12",30934,71596,5,9,1,TRUE,0.000161634447533458,0.000125705346667412
"pc2001__18__13","district","18","13","assam","dhemaji","dhemaji","18/13",13223,31259,3,7,1,TRUE,0.000226877410572487,0.000223935506574107
"pc2001__18__14","district","18","14","assam","tinsukia","tinsukia","18/14",33840,89309,22,58,1,TRUE,0.000650118203309693,0.000649430628492089
"pc2001__18__15","district","18","15","assam","dibrugarh","dibrugarh","18/15",38413,108656,38,122,1,TRUE,0.000989248431520579,0.00112280960094242
"pc2001__18__16","district","18","16","assam","sibsagar","sibsagar","18/16",38245,100745,23,61,1,TRUE,0.00060138580206563,0.000605489106159115
"pc2001__18__17","district","18","17","assam","jorhat","jorhat","18/17",32532,85953,12,22,1,TRUE,0.000368867576540022,0.000255953835235536
"pc2001__18__18","district","18","18","assam","golaghat","golaghat","18/18",32288,72883,8,20,1,TRUE,0.000247770069375619,0.000274412414417628
"pc2001__18__19","district","18","19","assam","karbi anglong","karbi anglong","18/19",17990,42464,6,43,1,TRUE,0.000333518621456365,0.00101262245666918
"pc2001__18__20","district","18","20","assam","north cachar hills","north cachar hills","18/20",6576,17260,0,0,1,TRUE,0,0
"pc2001__18__21","district","18","21","assam","cachar","cachar","18/21",64719,120582,38,89,1,TRUE,0.000587153695205427,0.000738086944983497
"pc2001__18__22","district","18","22","assam","karimganj","karimganj","18/22",42042,73108,6,15,1,TRUE,0.000142714428428714,0.000205175904141818
"pc2001__18__23","district","18","23","assam","hailakandi","hailakandi","18/23",15667,36343,2,4,1,TRUE,0.000127656858364716,0.000110062460446303
"pc2001__19__01","district","19","01","west bengal","darjiling","darjiling","19/01",67610,206799,68,157,1,TRUE,0.00100576837745896,0.000759191292027524
"pc2001__19__02","district","19","02","west bengal","jalpaiguri","jalpaiguri","19/02",145020,335965,16,34,1,TRUE,0.000110329609709006,0.000101201017963181
"pc2001__19__03","district","19","03","west bengal","koch bihar","koch bihar","19/03",101640,218651,46,145,1,TRUE,0.000452577725304998,0.000663157268889692
"pc2001__19__04","district","19","04","west bengal","uttar dinajpur","uttar dinajpur","19/04",77987,154189,8,13,1,TRUE,0.000102581199430674,8.43121104618358e-05
"pc2001__19__05","district","19","05","west bengal","dakshin dinajpur","dakshin dinajpur","19/05",76635,170214,3,4,1,TRUE,3.91466040321002e-05,2.34998296262352e-05
"pc2001__19__06","district","19","06","west bengal","maldah","maldah","19/06",170580,350248,8,18,1,TRUE,4.68988158049009e-05,5.13921564148832e-05
"pc2001__19__07","district","19","07","west bengal","murshidabad","murshidabad","19/07",391741,802180,23,49,1,TRUE,5.87122614176203e-05,6.10835473335162e-05
"pc2001__19__08","district","19","08","west bengal","birbhum","birbhum","19/08",121480,255737,35,171,1,TRUE,0.00028811326967402,0.000668655689243246
"pc2001__19__09","district","19","09","west bengal","barddhaman","barddhaman","19/09",291893,783876,111,225,1,TRUE,0.000380276334136139,0.000287035194341962
"pc2001__19__10","district","19","10","west bengal","nadia","nadia","19/10",238821,447924,8,10,1,TRUE,3.34978917264395e-05,2.23252158848376e-05
"pc2001__19__11","district","19","11","west bengal","north twenty four parganas","north twenty four parganas","19/11",470637,1157996,368,1691,1,TRUE,0.000781918973646356,0.00146028138266453
"pc2001__19__12","district","19","12","west bengal","hugli","hugli","19/12",225161,547877,99,243,1,TRUE,0.000439685380683156,0.000443530208422693
"pc2001__19__13","district","19","13","west bengal","bankura","bankura","19/13",128815,270718,17,93,1,TRUE,0.000131972208205566,0.000343530906699961
"pc2001__19__14","district","19","14","west bengal","puruliya","puruliya","19/14",89785,225640,16,29,1,TRUE,0.000178203486105697,0.000128523311469598
"pc2001__19__15","district","19","15","west bengal","medinipur","medinipur","19/15",,,,,,FALSE,,
"pc2001__19__16","district","19","16","west bengal","haora","haora","19/16",208379,575752,156,437,1,TRUE,0.000748635899010937,0.000759007350386972
"pc2001__19__17","district","19","17","west bengal","kolkata","kolkata","19/17",357223,1393847,888,5774,1,TRUE,0.00248584217701548,0.00414249196647839
"pc2001__19__18","district","19","18","west bengal","south twenty four parganas","south twenty four parganas","19/18",369430,749582,128,269,1,TRUE,0.000346479711988739,0.000358866675026882
"pc2001__20__01","district","20","01","jharkhand","garhwa","garhwa","20/01",11758,19196,2,2,1,TRUE,0.000170096955264501,0.00010418837257762
"pc2001__20__02","district","20","02","jharkhand","palamu","palamu","20/02",24944,46831,2,3,2,TRUE,8.01796023091725e-05,6.4060131109735e-05
"pc2001__20__03","district","20","03","jharkhand","chatra","chatra","20/03",9603,17428,1,1,1,TRUE,0.000104134124752681,5.73789304567363e-05
"pc2001__20__04","district","20","04","jharkhand","hazaribagh","hazaribagh","20/04",39654,84964,20,36,1,TRUE,0.00050436273768094,0.00042370886493103
"pc2001__20__05","district","20","05","jharkhand","kodarma","kodarma","20/05",11517,22816,2,4,1,TRUE,0.000173656334114787,0.00017531556802244
"pc2001__20__06","district","20","06","jharkhand","giridih","giridih","20/06",26558,49329,23,39,1,TRUE,0.00086602906845395,0.000790609986012285
"pc2001__20__07","district","20","07","jharkhand","deoghar","deoghar","20/07",24946,50364,37,99,1,TRUE,0.00148320372003528,0.00196568977841315
"pc2001__20__08","district","20","08","jharkhand","godda","godda","20/08",14568,29882,6,11,1,TRUE,0.000411861614497529,0.00036811458403052
"pc2001__20__09","district","20","09","jharkhand","sahibganj","sahibganj","20/09",16051,30994,5,39,1,TRUE,0.000311507071210516,0.00125830805962444
"pc2001__20__10","district","20","10","jharkhand","pakaur","pakaur","20/10",11925,21346,8,15,1,TRUE,0.000670859538784067,0.000702707767263187
"pc2001__20__11","district","20","11","jharkhand","dumka","dumka","20/11",32948,63878,6,7,2,TRUE,0.000182105135364817,0.000109583894298507
"pc2001__20__12","district","20","12","jharkhand","dhanbad","dhanbad","20/12",65524,193800,25,42,1,TRUE,0.000381539588547708,0.00021671826625387
"pc2001__20__13","district","20","13","jharkhand","bokaro","bokaro","20/13",33182,83542,278,437,1,TRUE,0.00837803628473269,0.00523090182183812
"pc2001__20__14","district","20","14","jharkhand","ranchi","ranchi","20/14",55381,146851,164,293,1,TRUE,0.00296130441848287,0.00199521964440147
"pc2001__20__15","district","20","15","jharkhand","lohardaga","lohardaga","20/15",7879,15754,1,1,1,TRUE,0.000126919659855312,6.34759426177479e-05
"pc2001__20__16","district","20","16","jharkhand","gumla","gumla","20/16",17561,37925,15,28,2,TRUE,0.000854165480325722,0.000738299274884641
"pc2001__20__17","district","20","17","jharkhand","pashchimi singhbhum","pashchimi singhbhum","20/17",29941,90150,13,35,2,TRUE,0.000434187234895294,0.000388241819190238
"pc2001__20__18","district","20","18","jharkhand","purbi singhbhum","purbi singhbhum","20/18",44243,120610,46,156,1,TRUE,0.00103971249689216,0.00129342508913025
"pc2001__21__01","district","21","01","odisha","bargarh","bargarh","21/01",62558,144839,32,74,1,TRUE,0.000511525304517408,0.000510912116211794
"pc2001__21__02","district","21","02","odisha","jharsuguda","jharsuguda","21/02",25009,63412,12,37,1,TRUE,0.000479827262185613,0.000583485775562985
"pc2001__21__03","district","21","03","odisha","sambalpur","sambalpur","21/03",61588,120988,61,147,1,TRUE,0.000990452685588102,0.00121499652858135
"pc2001__21__04","district","21","04","odisha","debagarh","debagarh","21/04",11923,21143,8,16,1,TRUE,0.000670972070787553,0.000756751643569976
"pc2001__21__05","district","21","05","odisha","sundargarh","sundargarh","21/05",61746,175143,48,116,1,TRUE,0.000777378291711204,0.00066231593612077
"pc2001__21__06","district","21","06","odisha","kendujhar","kendujhar","21/06",68801,147851,21,35,1,TRUE,0.000305228121684278,0.000236724810789241
"pc2001__21__07","district","21","07","odisha","mayurbhanj","mayurbhanj","21/07",151311,328414,31,62,1,TRUE,0.000204876049989756,0.000188786105342647
"pc2001__21__08","district","21","08","odisha","baleshwar","baleshwar","21/08",89105,165053,86,190,1,TRUE,0.000965153470624544,0.00115114538966271
"pc2001__21__09","district","21","09","odisha","bhadrak","bhadrak","21/09",52364,85744,22,45,1,TRUE,0.000420135971277977,0.000524818063071469
"pc2001__21__10","district","21","10","odisha","kendrapara","kendrapara","21/10",47200,79550,12,61,1,TRUE,0.000254237288135593,0.00076681332495286
"pc2001__21__11","district","21","11","odisha","jagatsinghapur","jagatsinghapur","21/11",45056,84459,22,48,1,TRUE,0.00048828125,0.000568323091677619
"pc2001__21__12","district","21","12","odisha","cuttack","cuttack","21/12",127634,252051,229,505,1,TRUE,0.00179419276995158,0.0020035627710265
"pc2001__21__13","district","21","13","odisha","jajapur","jajapur","21/13",63644,120437,34,52,1,TRUE,0.000534221607692791,0.000431761003678272
"pc2001__21__14","district","21","14","odisha","dhenkanal","dhenkanal","21/14",38735,77785,9,17,1,TRUE,0.000232348005679618,0.000218551134537507
"pc2001__21__15","district","21","15","odisha","anugul","anugul","21/15",52488,110569,40,47,1,TRUE,0.000762078951379363,0.000425073935732439
"pc2001__21__16","district","21","16","odisha","nayagarh","nayagarh","21/16",42067,72506,8,17,1,TRUE,0.000190172819549766,0.000234463354756848
"pc2001__21__17","district","21","17","odisha","khordha","khordha","21/17",91892,241075,111,360,1,TRUE,0.00120793975536499,0.00149331121020429
"pc2001__21__18","district","21","18","odisha","puri","puri","21/18",69768,127552,50,93,1,TRUE,0.0007166609333792,0.000729114400401405
"pc2001__21__19","district","21","19","odisha","ganjam","ganjam","21/19",139214,264382,107,211,1,TRUE,0.000768600859108998,0.000798087615647056
"pc2001__21__20","district","21","20","odisha","gajapati","gajapati","21/20",19787,39138,12,16,1,TRUE,0.000606458786071663,0.000408809852317441
"pc2001__21__21","district","21","21","odisha","kandhamal","kandhamal","21/21",26114,49752,3,5,1,TRUE,0.000114880906793291,0.000100498472423219
"pc2001__21__22","district","21","22","odisha","baudh","baudh","21/22",13529,26483,1,1,1,TRUE,7.3915293074137e-05,3.77600724993392e-05
"pc2001__21__23","district","21","23","odisha","sonapur","sonapur","21/23",26851,60440,11,27,1,TRUE,0.000409668168783286,0.000446724023825281
"pc2001__21__24","district","21","24","odisha","balangir","balangir","21/24",66656,138373,30,73,1,TRUE,0.000450072011521844,0.000527559567256618
"pc2001__21__25","district","21","25","odisha","nuapada","nuapada","21/25",17478,35934,30,43,1,TRUE,0.0017164435290079,0.00119663828129348
"pc2001__21__26","district","21","26","odisha","kalahandi","kalahandi","21/26",46222,88823,16,36,1,TRUE,0.000346155510363031,0.000405300428942954
"pc2001__21__27","district","21","27","odisha","rayagada","rayagada","21/27",26184,54601,3,6,1,TRUE,0.000114573785517874,0.000109888097287595
"pc2001__21__28","district","21","28","odisha","nabarangapur","nabarangapur","21/28",38504,66326,12,45,1,TRUE,0.000311655931851236,0.000678466966197268
"pc2001__21__29","district","21","29","odisha","koraput","koraput","21/29",42261,102789,23,54,1,TRUE,0.000544237003383734,0.00052534804307854
"pc2001__21__30","district","21","30","odisha","malkangiri","malkangiri","21/30",12313,24513,5,7,1,TRUE,0.00040607488020791,0.000285562762615755
"pc2001__22__01","district","22","01","chhattisgarh","koriya","koriya","22/01",14031,34069,67,137,1,TRUE,0.00477514075974628,0.00402125099063665
"pc2001__22__02","district","22","02","chhattisgarh","surguja","surguja","22/02",30452,62595,63,118,1,TRUE,0.00206882963352161,0.00188513459541497
"pc2001__22__03","district","22","03","chhattisgarh","jashpur","jashpur","22/03",12968,27101,17,27,1,TRUE,0.00131091918568785,0.000996273200250913
"pc2001__22__04","district","22","04","chhattisgarh","raigarh","raigarh","22/04",32141,68893,26,47,1,TRUE,0.000808935627391805,0.00068221735154515
"pc2001__22__05","district","22","05","chhattisgarh","korba","korba","22/05",19063,59233,13,18,1,TRUE,0.00068194932591932,0.00030388465888947
"pc2001__22__06","district","22","06","chhattisgarh","janjgir champa","janjgir champa","22/06",30891,62082,48,134,1,TRUE,0.0015538506361076,0.00215843561740923
"pc2001__22__07","district","22","07","chhattisgarh","bilaspur","bilaspur","22/07",52178,121519,163,299,1,TRUE,0.00312392195944651,0.00246052057702911
"pc2001__22__08","district","22","08","chhattisgarh","kawardha","kawardha","22/08",14765,26906,18,27,1,TRUE,0.00121909922113105,0.00100349364454025
"pc2001__22__09","district","22","09","chhattisgarh","rajnandgaon","rajnandgaon","22/09",39381,87262,71,130,1,TRUE,0.00180289987557452,0.00148976645045954
"pc2001__22__10","district","22","10","chhattisgarh","durg","durg","22/10",94254,237420,197,431,1,TRUE,0.0020900969720118,0.0018153483278578
"pc2001__22__11","district","22","11","chhattisgarh","raipur","raipur","22/11",103139,260397,189,496,1,TRUE,0.0018324784998885,0.0019047838492763
"pc2001__22__12","district","22","12","chhattisgarh","mahasamund","mahasamund","22/12",24968,48744,46,91,1,TRUE,0.00184235821851971,0.00186689643853603
"pc2001__22__13","district","22","13","chhattisgarh","dhamtari","dhamtari","22/13",24698,53163,3,11,1,TRUE,0.000121467325289497,0.000206910821435961
"pc2001__22__14","district","22","14","chhattisgarh","kanker","kanker","22/14",17843,37847,29,55,1,TRUE,0.00162528722748417,0.00145321954183951
"pc2001__22__15","district","22","15","chhattisgarh","bastar","bastar","22/15",30798,86742,47,111,1,TRUE,0.00152607312163127,0.00127965691360587
"pc2001__22__16","district","22","16","chhattisgarh","dantewada","dantewada","22/16",8097,21540,21,33,1,TRUE,0.00259355316783994,0.00153203342618384
"pc2001__23__01","district","23","01","madhya pradesh","sheopur","sheopur","23/01",7587,14154,31,44,1,TRUE,0.00408593647027811,0.00310866186237106
"pc2001__23__02","district","23","02","madhya pradesh","morena","morena","23/02",27985,58289,51,110,1,TRUE,0.00182240485974629,0.00188714851858841
"pc2001__23__03","district","23","03","madhya pradesh","bhind","bhind","23/03",23460,55447,4,8,1,TRUE,0.000170502983802217,0.000144281926885134
"pc2001__23__04","district","23","04","madhya pradesh","gwalior","gwalior","23/04",66703,156146,145,321,1,TRUE,0.00217381527067748,0.00205576831939339
"pc2001__23__05","district","23","05","madhya pradesh","datia","datia","23/05",14826,32055,40,79,1,TRUE,0.00269796303790638,0.0024645141163625
"pc2001__23__06","district","23","06","madhya pradesh","shivpuri","shivpuri","23/06",25604,52428,54,124,1,TRUE,0.00210904546164662,0.00236514839398795
"pc2001__23__07","district","23","07","madhya pradesh","guna","guna","23/07",38897,80757,7,9,2,TRUE,0.000179962464971592,0.000111445447453472
"pc2001__23__08","district","23","08","madhya pradesh","tikamgarh","tikamgarh","23/08",27604,52098,51,86,1,TRUE,0.00184755832488045,0.00165073515298092
"pc2001__23__09","district","23","09","madhya pradesh","chhatarpur","chhatarpur","23/09",46975,94059,88,135,1,TRUE,0.00187333688131985,0.0014352693522151
"pc2001__23__10","district","23","10","madhya pradesh","panna","panna","23/10",19676,41782,6,8,1,TRUE,0.000304940028461069,0.000191470011009526
"pc2001__23__11","district","23","11","madhya pradesh","sagar","sagar","23/11",100737,221270,135,259,1,TRUE,0.0013401232913428,0.00117051565960139
