"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__28__08",1,"Nalgonda",TRUE,875432,14689,288432,367946,341298,598439,33692,162241,1354,347474,229084,294211,290175,57670,73153,485478,228985,616135,236936,789225,74807,1889,2787,1684,5040,355700,432185,44340,464172,588791,286559,143010,18927,53777,7715,760789,103172,616296,175273,66605,47378,19227,17258,2011,0.0167791444681026,0.329473905454678,0.389862376518108,0.683592786190132,0.038486141699184,0.185326787231904,0.00154666496084219,0.396917179175538,0.261681090021841,0.336075217721079,0.331464922461139,0.0658760474828428,0.083562172733005,0.554558206691096,0.261568002997377,0.703806806239662,0.270650376042914,0.901526332142302,0.0854515256467664,0.00215779181021484,0.00575715760904331,0.406313682844584,0.493681976441346,0.0506492794414643,0.530220508274772,0.67257194162425,0.327334390335286,0.163359347156604,0.0216201829496751,0.703990715441062,0.200213151906716,0.0760824370139543,0.0219628709025944,0.869044083378264,0.117852671595281,0.0614291001471274,0.00881279185590657
"pc2001__28__09",1,"Warangal",TRUE,888553,17090,295996,355131,335697,597926,73608,174218,1205,461825,210483,314955,253585,106071,85782,528545,272987,621914,241201,828077,50790,1494,2240,1402,4550,388583,428950,71400,462819,568508,311837,139404,15727,59006,12952,761465,117060,586665,221477,72257,37258,34999,8154,2011,0.0192335178655634,0.333121378240803,0.377801886888008,0.672921030034224,0.0828403032796018,0.19606933970174,0.00135613745043908,0.519749525351892,0.236882887120971,0.354458315936134,0.285390967111697,0.119374983822012,0.0965412305174818,0.594837899371225,0.307226468201672,0.699917731412758,0.271453700567102,0.931938781367009,0.0571603494670549,0.00168138535349045,0.00512068497883638,0.437321127721138,0.482751169598212,0.0803553642832785,0.520868198070346,0.639813269439189,0.350949239944044,0.156888784349386,0.0176995632224527,0.660247616067922,0.249255812540164,0.0813198537397319,0.0393887590273174,0.856971953276845,0.131742282114854,0.0664068434859823,0.0145765080979975
"pc2001__28__10",1,"Khammam",TRUE,747586,26524,314465,277481,305375,468045,52581,210458,5356,354579,152392,298007,320268,37554,75870,464652,236576,496544,236009,668519,70022,1773,2257,968,4047,360531,340102,35761,416734,427722,267852,115078,11887,42171,8628,616617,115379,513352,75331,149291,51095,98196,9612,2011,0.0354795301142611,0.420640568442962,0.408481432236559,0.626075127142563,0.0703343829338698,0.281516775327521,0.00716439312667706,0.474298609123231,0.203845443868665,0.398625709951765,0.42840288608936,0.0502336854890273,0.101486651702948,0.62153651887542,0.316453224110671,0.664196493781318,0.315694782941361,0.894236917224239,0.093664140312954,0.00237163349768455,0.00541342400740517,0.482260234942869,0.454933612989007,0.0478352992164112,0.557439545416848,0.572137519964258,0.358289213548675,0.153932791678817,0.0159005117805844,0.686679525833817,0.100765664418542,0.199697426115524,0.13135077435907,0.824810790999296,0.154335420941537,0.0564095635819825,0.0115411471054835
"pc2001__28__11",1,"Srikakulam",TRUE,689323,15727,268373,227978,283276,179917,209003,282509,11644,107308,187026,149744,130895,13539,53965,419292,435711,526149,154564,615432,69572,931,1396,256,1736,146386,331482,19494,297418,332230,180824,64087,5264,32280,3988,610487,68045,507274,48742,131719,107127,24592,1588,2011,0.0228151389116568,0.389328370009415,0.410948133168341,0.261005363233201,0.303200386466141,0.409835447243165,0.0168919360009749,0.155671579216129,0.271318380497967,0.217233430481792,0.189889210138063,0.0196410100925111,0.078286956912797,0.608266371497832,0.632085393929986,0.763283685587163,0.224225798355778,0.892806420212295,0.100928011976969,0.00135060051673889,0.00251841299361838,0.212361984149666,0.48088051610058,0.0282799210239612,0.431463914594464,0.481965638749904,0.262321146980443,0.0929709294481687,0.00763647810968153,0.735901747076479,0.0707099574510063,0.191084585890794,0.0356755831446216,0.885632714997178,0.0987127950177203,0.046828554973503,0.00578538653142286
"pc2001__28__12",1,"Vizianagaram",TRUE,596605,16303,251246,195525,264865,259205,78249,246172,5179,95138,104524,182467,123698,6188,65004,245060,310682,446816,142827,527736,65540,758,1166,195,1210,131289,322947,28633,278230,265587,168297,61858,5002,24128,4453,514227,68076,440744,33239,121279,93179,28100,1343,2011,0.0273262879124379,0.421126205781044,0.443953704712498,0.434466690691496,0.131157130764911,0.412621416179885,0.0086807854443057,0.159465643097192,0.175197995323539,0.305842223916997,0.207336512432849,0.0103720216893925,0.108956512265234,0.410757536393426,0.52074990990689,0.74893103477175,0.23939960275224,0.884565164556113,0.109854929140721,0.00127052237242397,0.00202814257339446,0.220060173816847,0.541307900537206,0.0479932283504161,0.466355461318628,0.445163885652986,0.28209116584675,0.103683341574409,0.00838410673728849,0.738753446585262,0.0557135793364119,0.203281903436947,0.0470998399275903,0.861922042222241,0.114105647790414,0.0404421686040177,0.00746389990026902
"pc2001__28__13",1,"Visakhapatnam",TRUE,1126166,25656,523309,370496,533727,634191,92869,319590,7456,384258,247081,604286,547404,22116,263841,459163,683260,585271,505469,1010250,106249,4369,1966,548,2784,577722,584782,181071,666976,657824,297276,241192,46469,124729,45492,817426,287779,867604,130576,122919,96944,25975,5067,2011,0.0227817213448106,0.46468193854192,0.473932794987595,0.56314166827981,0.0824647520880581,0.283785871709854,0.00662069357448191,0.341209022470932,0.219400159479153,0.536586968528618,0.486077540966429,0.0196383126466258,0.234282512524797,0.407722307368541,0.606713397492022,0.51970224638286,0.448840579452763,0.897070236537065,0.0943457714049261,0.0038795346334377,0.00247210446772501,0.512998971732409,0.519268029757602,0.160785354912153,0.592253717480371,0.584127029230149,0.263971741288584,0.214170912636325,0.041263010959308,0.770405073497158,0.115947382535079,0.109148207280277,0.0230649833150708,0.725848587153226,0.255538703885573,0.110755430371721,0.0403954656773513
"pc2001__28__14",1,"East Godavari",TRUE,1407410,32692,619064,539067,584953,908806,127973,342767,12207,613789,235274,736857,743966,50195,184231,718824,642943,885781,489519,1297273,102146,2776,1397,523,3295,800168,551705,113126,821421,732492,779052,232073,25381,93784,22411,1088823,278383,1026698,154878,218562,109889,108673,7272,2011,0.0232284835264777,0.439860452888639,0.415623734377331,0.645729389445862,0.0909280167115482,0.243544525049559,0.00867337875956544,0.436112433477096,0.167168060479889,0.523555325029664,0.528606447303913,0.0356648027227318,0.130900732551282,0.510742427579739,0.456827079529064,0.629369551161353,0.347815490866201,0.921744907312013,0.0725772873576286,0.00197241741923107,0.0023411798978265,0.568539373743259,0.392000198947002,0.0803788519336938,0.583640161715492,0.520453883374425,0.553535927696975,0.164893669932713,0.0180338352008299,0.729494603562572,0.110044692022936,0.155293766564114,0.0772148840778451,0.773635969617951,0.197798083003531,0.0666358772496998,0.0159235759302549
"pc2001__28__15",1,"West Godavari",TRUE,1075780,22581,460965,415975,425228,900503,22341,126299,18666,593261,143553,622255,661410,30148,109796,538199,500131,605916,439383,1017568,52448,1026,1246,316,3176,694857,468728,70135,648607,578252,605463,182698,14687,55613,12050,836015,207958,767881,107779,195070,86466,108604,5050,2011,0.0209903511870457,0.428493744074067,0.395274126680176,0.837069846994739,0.0207672572459053,0.117402256967038,0.0173511312721932,0.55147056089535,0.133440852218855,0.578422168101285,0.61481901504025,0.0280243172395843,0.102061759839372,0.500287233449218,0.464900816152001,0.563234118500065,0.408432021417018,0.9458885645764,0.0487534626038781,0.000953726598375132,0.00295227648775772,0.645909944412426,0.43570990351187,0.0651945565078362,0.602917882838499,0.537518823551284,0.562813028686163,0.16982840357694,0.0136524196397033,0.71378999423674,0.100186841175705,0.181328896242726,0.100953726598375,0.777124505010318,0.193309040881965,0.0516955139526669,0.0112011749614233
"pc2001__28__16",1,"Krishna",TRUE,1227257,34503,580567,383621,507893,903992,91871,205072,7689,611878,227575,768798,820621,32758,249340,489995,583886,531514,645108,1163932,53310,3440,1850,660,4065,863417,648787,112568,794346,743696,525079,212111,27969,101450,30438,863382,328243,889413,104808,224923,113593,111330,8113,2011,0.0281139158301806,0.47306065477728,0.413844044075528,0.736595513409172,0.074858811153654,0.167097845031644,0.00626519139837866,0.498573648388235,0.185433857782029,0.626436027661688,0.668662716937039,0.0266920457573271,0.203168529493008,0.399260301632013,0.4757650598041,0.433091031462848,0.525650291666701,0.948401190622665,0.0434383344319894,0.00280299888287457,0.00331226466828056,0.703533978620615,0.528648033785914,0.0917232494905305,0.647253183318571,0.60598228406927,0.427847630936308,0.1728334000132,0.0227898476032322,0.724716175992478,0.0854002054989297,0.183272941201395,0.0907144958227983,0.703505459736632,0.26746068671843,0.0826640222871004,0.0248016511619001
"pc2001__28__17",1,"Guntur",TRUE,1287831,42165,655609,387589,600027,739450,72390,428749,10071,554667,267760,723742,698011,58852,172335,442520,561592,594034,656420,1186028,90231,2960,2187,1001,5424,762845,620301,106907,816849,733133,454586,190079,17424,80434,19383,981115,276073,963523,126402,186484,75217,111267,11422,2011,0.0327410972402435,0.509079995744783,0.465920606042252,0.574182482018215,0.0562107916333743,0.332923341649642,0.0078201254667732,0.430698593216035,0.207915479593207,0.561985229428395,0.542005123343047,0.0456985427435743,0.133818024259394,0.343616514899859,0.43607585156748,0.461267045132475,0.509709736758938,0.920950031487051,0.0700643174453791,0.00229843822675491,0.00421173275064818,0.592348685502989,0.481663354896722,0.0830132214552996,0.634282759150851,0.569277335302536,0.352985756671489,0.147596229629509,0.0135297255618167,0.748175032282963,0.0981510772764439,0.144804714283163,0.0863987588433576,0.761835209744136,0.214370519113145,0.0624569528144609,0.01505088788824
"pc2001__28__18",1,"Prakasam",TRUE,857276,29883,468295,259658,450784,481021,95471,244709,8584,197300,253399,342807,278956,39145,67786,482397,303878,549581,295836,763746,84769,1920,1893,502,4446,321332,497558,40847,468022,494689,226045,105940,9071,43611,6151,717208,127205,680355,79570,89217,43931,45286,8134,2011,0.0348580853774047,0.546259314386499,0.525832987275976,0.561104008510678,0.111365534553633,0.285449493512008,0.0100131112967119,0.230147583741992,0.295586252268814,0.399879385402134,0.325398121491795,0.0456620738245326,0.0790713842449806,0.562709092520962,0.354469272439681,0.641078252511443,0.345088396269113,0.890898613748664,0.0988818070259753,0.00223965210737265,0.0051861944111348,0.374829109878266,0.580394178770898,0.0476474320988806,0.545940863852482,0.577047531950037,0.263678208651589,0.123577470966177,0.0105811897218632,0.793624223703918,0.0928172490539803,0.104070334408055,0.0528254611117073,0.836612712825274,0.148382784540801,0.0508715979451192,0.00717505214190062
"pc2001__28__19",1,"Sri Potti Sriramulu Nellore",TRUE,772625,40879,448020,189516,392858,529838,57124,167584,2591,338967,107370,336840,278326,21976,113877,423662,307555,508355,237170,696024,71049,1098,1377,523,2554,306095,417498,41899,486148,443579,162980,108096,11661,39583,10201,624970,130421,609118,46307,112939,73633,39306,4261,2011,0.0529092379873807,0.579867335382624,0.508471768322278,0.685763468694386,0.0739349619802621,0.216902119398156,0.00335350266947096,0.438721242517392,0.138967804562369,0.435968289920725,0.360234266299951,0.0284432939653778,0.147389742760071,0.548341045138327,0.398065038019738,0.657958259181362,0.306966510273419,0.90085617214043,0.0919579356091247,0.00142112926710888,0.00330561397832066,0.396175376152726,0.540363048050477,0.0542294127163889,0.629215984468533,0.574119398155638,0.210943213072318,0.139907458340074,0.0150927034460443,0.788374696651027,0.0599346384080246,0.146175699724964,0.050873321469018,0.808891765086556,0.168802459149005,0.0512318395081702,0.0132030415790325
"pc2001__28__20",1,"Y.S.R.",TRUE,703136,30731,321056,224198,337068,598146,5447,82945,2164,238688,89559,377834,202132,106296,173628,317363,315632,464574,213936,671764,27291,1709,674,409,1289,314726,423213,54033,409629,439641,130524,98736,7558,39923,6667,559338,136435,531145,109366,50363,43867,6496,12262,2011,0.043705627360852,0.456605834433168,0.47937810039594,0.850683224866882,0.00774672325126291,0.117964376735084,0.0030776407409093,0.339462067082328,0.12737080735448,0.537355504482774,0.287472124880535,0.151174168297456,0.246933736858872,0.45135364993401,0.448891821781277,0.660717130114231,0.304259773358212,0.955382742456651,0.0388132594547854,0.00243053975333364,0.00183321576480226,0.447603308606016,0.601893517043644,0.076845731124562,0.582574352614572,0.625257418195058,0.18563122923588,0.140422336503891,0.0107489873936194,0.755394404496427,0.155540322213626,0.0716262572247759,0.00923861102261867,0.795490488326583,0.194037853274473,0.056778489509853,0.0094818072179493
"pc2001__28__21",1,"Kurnool",TRUE,877182,43728,392955,311418,489919,696977,20574,138946,9649,227045,218712,514412,286588,58115,168567,337123,417880,648711,201594,816721,50591,3649,1806,779,3636,353289,511370,79714,543044,572406,271815,118153,10622,56478,10081,710444,156505,476529,280800,100940,58369,42571,18913,2011,0.0498505441288125,0.447974308638344,0.558514652603451,0.794563727937874,0.0234546536522637,0.158400423173298,0.0109999977199715,0.258834540608448,0.249334801671717,0.586437022191518,0.326714410464419,0.066251929474157,0.1921687859532,0.384325031749398,0.476389164392338,0.739539799038284,0.229820037346868,0.931073597041435,0.0576744620842653,0.00415991208209927,0.00414509189655054,0.402754502486371,0.582969098773117,0.0908750977562239,0.619077910855444,0.652551009938644,0.309872979609705,0.134696106395252,0.0121092316075797,0.543249861488266,0.320116007852418,0.11507304071447,0.0485315476149761,0.809916300152078,0.178417933792531,0.0643857261092909,0.0114924838858983
"pc2001__28__22",1,"Anantapur",TRUE,961165,35618,382272,383822,470138,819675,7181,117001,670,225275,207645,533253,235452,96437,189549,471072,477260,703144,229107,897970,55180,2255,2372,717,2671,353948,610085,63528,559461,581087,206433,144214,9915,48299,8606,779195,172680,707401,164229,49579,39782,9797,39956,2011,0.0370571129826825,0.397717353420068,0.489133499451187,0.852793224888547,0.00747114179147181,0.121728319279208,0.0006970707422763,0.234377032039244,0.216034707880541,0.554798603777707,0.244965224493193,0.10033344951179,0.197207555414523,0.490105236874002,0.496543257401175,0.731553895533025,0.238363860523427,0.934251663346044,0.0574094978489645,0.00234611122960158,0.00277891933226865,0.368248947891361,0.634734931047219,0.0660947912169086,0.582065514245733,0.604565293159863,0.214773738119886,0.150040835860648,0.0103156065815963,0.735982895756712,0.170864523781037,0.0515821945243533,0.0101928388986282,0.810677667205943,0.179656978770554,0.0502504772853776,0.00895371762392513
"pc2001__28__23",1,"Chittoor",TRUE,1022116,40738,450875,323930,467755,835606,10657,135531,1042,342011,140697,508160,337857,32299,217876,437944,596675,649428,333227,944555,69695,2553,2473,488,2352,382377,659766,93489,611465,632803,225856,186568,16296,67087,13763,815953,196720,835208,65882,114397,98544,15853,6629,2011,0.0398565329179858,0.441119207604616,0.457633967181807,0.81752560374752,0.010426409526903,0.132598452621816,0.00101945376062991,0.334610748682146,0.137652673473461,0.497164705375906,0.330546630715105,0.0316001314919246,0.213161715500002,0.428468001674957,0.583764465090068,0.635376023856392,0.326016812181788,0.924117223485397,0.0681869768206348,0.0024977595497967,0.00230110868042375,0.374103330737411,0.645490335734887,0.0914661349592414,0.598234446970794,0.61911074672542,0.220969048522868,0.182531141279463,0.0159433958572217,0.817136215458911,0.064456480477754,0.111921738824165,0.0155099812545738,0.79829784486301,0.192463477726599,0.0656354073314575,0.0134652035581089
"pc2001__29__02",1,"Bagalkot",TRUE,355377,53319,130842,104623,182732,225386,14916,99744,10534,102487,86279,196757,62101,3249,40945,220466,308409,299531,51058,301389,49877,627,1116,146,2222,66813,224914,37022,161280,234284,153879,69279,9726,26297,3745,287059,54451,152002,159672,40655,26636,14019,3048,2011,0.150035033218244,0.368178019399117,0.514191970780326,0.634216620659187,0.0419723279784567,0.280670949442423,0.0296417607217124,0.288389513108614,0.242781609389465,0.553657102175999,0.174746818167749,0.00914240370085852,0.115215672370469,0.620372168148192,0.86783612895601,0.842854208347755,0.143672775672033,0.848082458909834,0.140349544286772,0.00176432352121831,0.00625251493484384,0.18800597675145,0.632888453670328,0.104176691232128,0.453827906701897,0.659254819529683,0.433002135760052,0.19494508648562,0.0273681189272238,0.427720420848845,0.449303134417815,0.114399637567991,0.0394482479170008,0.807759084015004,0.153220382861018,0.0739974731060254,0.010538104604406
"pc2001__29__05",1,"Bidar",TRUE,313521,5493,116748,106321,179763,158928,52385,93538,1810,92061,100961,139240,61864,5489,28931,177981,160288,269773,36377,271439,37907,539,564,497,2575,72805,152132,21485,116314,187983,102869,44813,9724,36072,3971,278386,30830,232495,71056,5496,2973,2523,4474,2011,0.0175203574880152,0.372376969963734,0.573368291119255,0.506913412498684,0.167086096306149,0.29834684120043,0.00577313800351492,0.293635833006402,0.322023086172856,0.444116980999678,0.197320115717926,0.0175075991719853,0.0922777102650221,0.567684461327949,0.511251239948839,0.860462297581342,0.11602731555462,0.865776136207782,0.120907371436044,0.00171918308502461,0.00821316594422702,0.232217299638621,0.48523703356394,0.0685281049754243,0.370992692674494,0.599586630560632,0.328108802919103,0.14293460406161,0.0310154662686072,0.741561171340995,0.226638725954561,0.0175299262250376,0.00804730783583875,0.887934141572654,0.0983347208002016,0.115054493957343,0.0126658182386507
"pc2001__29__06",1,"Raichur",TRUE,359337,46601,142428,106973,198485,219549,19011,76635,33342,86575,130909,188808,63689,7075,37946,228846,250016,296282,56388,314547,40009,1101,731,243,2706,74326,181738,43144,162411,242634,120959,70603,11104,33903,5200,300223,48296,165819,116342,72552,31994,40558,4624,2011,0.129686060717377,0.396363302415282,0.552364493497747,0.610983561392231,0.0529057681229598,0.213267768139657,0.0927875504053298,0.240929823536123,0.364307043249095,0.525434341579075,0.177240306453274,0.0196890384235411,0.105600035621158,0.636856210187095,0.695770265795062,0.824524054021712,0.156922331961362,0.875353776538458,0.111341164422255,0.00306397615608746,0.00753053540269997,0.206842045211041,0.505759217670321,0.120065565193676,0.451974052212825,0.675226876163601,0.336617158823055,0.196481297500675,0.0309013544388694,0.461458185491614,0.323768495868781,0.20190517536463,0.112868978145863,0.83549147457679,0.134403081230154,0.0943487589644262,0.0144710953784331
"pc2001__29__07",1,"Koppal",TRUE,259396,59149,102488,63971,134089,186903,6680,57314,6563,58883,73097,165012,39452,7984,12795,152286,209512,222601,32770,223166,33221,388,529,215,1877,47931,158016,27892,113995,166636,97577,45100,6211,15263,2135,212484,41112,129218,81555,44826,32096,12730,3797,2011,0.228025875495382,0.395102468812164,0.516927786087681,0.720531542506438,0.0257521318755879,0.220951749448719,0.0253010840568089,0.227000416351833,0.281796943669139,0.636139339080017,0.152091782448457,0.0307791947447146,0.049326126848525,0.587079214791284,0.807691714598529,0.858151243658345,0.126331940353745,0.860329380560996,0.128070594766303,0.00149578251013894,0.00723604064827522,0.184779256426468,0.609168992582769,0.107526715909266,0.439463214544557,0.642400037009052,0.376170025752132,0.17386544125584,0.0239440854909097,0.498149547410137,0.314403460346343,0.172809141235794,0.0490755447269811,0.819149100217428,0.158491264321732,0.0588405372480686,0.00823065891532637
"pc2001__29__08",1,"Gadag",TRUE,215602,68420,82050,41892,97359,156686,5545,29366,21517,63805,54924,157598,40395,4322,23306,100545,196828,179019,33523,198064,16236,370,293,88,551,45668,156994,29345,104708,128416,73191,30957,5205,15625,3373,175742,32788,95363,72217,46186,36120,10066,1836,2011,0.317343994953665,0.380562332445896,0.451568167271176,0.726737228782664,0.0257186853554234,0.136204673426035,0.0997996308011985,0.295938813183551,0.25474717303179,0.730967245201807,0.187359115407093,0.0200461962319459,0.108097327483047,0.466345395682786,0.912922885687517,0.83032161111678,0.155485570634781,0.918655671097671,0.0753054238828953,0.00171612508232762,0.0025556349198987,0.21181621691821,0.728165786959305,0.136107271732173,0.485654121946921,0.595615996141038,0.339472732163895,0.143584011280044,0.0241417055500413,0.442310368178403,0.334955148839065,0.214218792033469,0.0466878785911077,0.815122308698435,0.152076511349616,0.0724714984091057,0.0156445673045705
"pc2001__29__09",1,"Dharwad",TRUE,372054,68799,115921,96553,157228,300159,3467,40704,24895,213137,52813,316091,197887,12686,150280,119499,357222,209858,142902,347962,22217,414,433,178,850,212091,267629,77142,233604,266330,111313,91208,21127,49585,15013,275419,87134,204509,120931,44972,37551,7421,1642,2011,0.184916705639504,0.311570363441866,0.422594569605487,0.806761921656534,0.00931853978185962,0.109403473689303,0.0669123299306015,0.572865766797293,0.141949824487843,0.849583662586614,0.53187709311014,0.034097200943949,0.403919861095432,0.32118724701253,0.960134819139157,0.564052530009085,0.384089406376494,0.935245958919942,0.0597144500529493,0.00111274169878566,0.00228461459895607,0.570054346949636,0.719328377063545,0.207340869873728,0.627876598558274,0.715836948399963,0.299185064533643,0.245147209813629,0.0567847678025233,0.549675584726948,0.325036150666301,0.120874926757944,0.019946029339827,0.740266197917507,0.234197186429927,0.133273664575572,0.0403516693813264
"pc2001__29__11",1,"Haveri",TRUE,325456,72544,101720,85670,140874,244655,3257,70577,3193,91633,69107,243224,79822,39861,21638,105051,305423,278954,44106,295937,27487,392,350,100,1190,121420,210416,35550,155076,194815,117943,47577,5681,17819,2456,280133,37221,143965,153288,26674,20660,6014,1529,2011,0.222899562460056,0.31254608917949,0.432851138095472,0.751729880536847,0.010007497173197,0.216855734722973,0.00981085000737427,0.281552652278649,0.212338995132983,0.747332972813529,0.245262032348459,0.12247738557593,0.0664851777198761,0.322780959638169,0.938446364485522,0.857117398357996,0.135520623371516,0.909299567376235,0.0844568851088934,0.00120446389066418,0.00365640823951625,0.373076544909296,0.646526719433656,0.10923135539059,0.476488373236321,0.598590900152402,0.362393073103584,0.146185659505432,0.0174555085787326,0.442348581682316,0.470994543041148,0.0819588515805516,0.018478688363404,0.860740007865887,0.114365689985743,0.0547508726217983,0.00754633498844698
"pc2001__29__13",1,"Chitradurga",TRUE,354143,84834,126039,87957,159753,232128,5115,112447,1795,86859,76978,207139,38081,63566,30825,185216,283537,283877,62476,307257,41592,1967,546,173,2608,107142,190436,50130,174344,206637,102607,55959,7425,28897,5711,298987,46758,217148,103123,30987,10808,20179,2885,2011,0.239547301513795,0.355898605930373,0.451097438040566,0.655464035714387,0.014443318094668,0.317518629480182,0.00506857399412102,0.245265330671508,0.217364172099971,0.584902144049155,0.107530009064135,0.179492464908243,0.0870411105118554,0.522997772086417,0.800628559649633,0.801588623804508,0.176414612176437,0.867607153042697,0.117444083322274,0.00555425350776381,0.00736425681151399,0.302538804946025,0.537737580581855,0.141552988482054,0.492298308875228,0.583484637561663,0.28973324335085,0.15801244130196,0.0209661069116148,0.613164738537822,0.291190281891778,0.0874985528444724,0.0569798075918485,0.844255004334407,0.132031411040173,0.081596982010092,0.0161262540838023
"pc2001__29__16",1,"Udupi",TRUE,246313,8135,29731,69413,66716,45737,181067,12889,3095,185404,27194,220845,184927,29634,18147,179906,238196,157919,86561,224814,19643,933,393,113,417,214808,230832,78521,173033,220948,79637,65169,21349,24817,9070,220662,21037,193637,49870,2362,1291,1071,444,2011,0.0330270834263721,0.120704144726425,0.270858622971585,0.185686504569389,0.735109393332873,0.0523277293524905,0.0125653132396585,0.752717071368543,0.110404241757439,0.896603102556503,0.750780510975872,0.120310336847832,0.0736745522972803,0.730395878414862,0.967045994324295,0.641131405975324,0.35142684308177,0.91271674657854,0.0797481253527016,0.00378786340956425,0.00169296789044833,0.872093636957854,0.937149074551485,0.318785447783917,0.702492357285243,0.897021269685319,0.323316268325261,0.264577996289274,0.0866742721659027,0.786142022548546,0.202465968097502,0.0095894248375035,0.00434812616467665,0.895860145424724,0.0854075911543443,0.10075391879438,0.0368230665860105
"pc2001__29__20",1,"Bangalore",TRUE,2377056,166274,789220,754239,882820,1880155,19282,400927,9959,1826106,152054,2287438,1906695,330756,1832088,111827,2283507,166376,1813770,2330631,35488,2646,2167,1911,4213,2254599,1590792,1008239,2042977,2180792,545433,1053876,414862,790103,430880,912272,1394999,2218103,135134,16967,5867,11100,6852,2011,0.069949551041288,0.332015737113471,0.371392175867964,0.790959489385189,0.00811171465880484,0.168665357484216,0.00418963625594012,0.768221699446711,0.0639673613074324,0.962298742646366,0.80212456080126,0.139145228383345,0.770738257744033,0.0470443271004133,0.960645016356367,0.0699924612630077,0.763032086749324,0.98046953879084,0.0149293916508488,0.00111314163402124,0.00177236043240041,0.948483754694883,0.669227817939502,0.424154500356744,0.859456823903181,0.917434002396241,0.229457362384395,0.443353459068697,0.174527651010325,0.933130309088217,0.056849312763351,0.00713782090114831,0.00466964177537256,0.383782292045286,0.58685996459486,0.33238720501326,0.181266238574102
"pc2001__29__22",1,"Mandya",TRUE,426578,80635,177214,110578,202338,330827,8291,84217,805,160714,57395,367498,65597,91950,52177,148939,393170,325613,83448,391033,33480,408,352,170,1135,159818,235721,103964,236020,265094,192330,96273,8188,20265,3367,370797,47339,280612,127999,17296,11636,5660,671,2011,0.189027563540548,0.4154316443886,0.47432825884129,0.775536947521907,0.019436070308361,0.197424621054063,0.00188711091523707,0.376751731219144,0.134547491900661,0.861502468481731,0.153774925101623,0.215552607026148,0.122315262390466,0.349148338639123,0.921683724899081,0.763314094960359,0.19562190267665,0.916674090084346,0.0784850601765679,0.000956448762008355,0.00266070917862618,0.374651294722184,0.552585928013165,0.243716272287835,0.553286854924539,0.621443206166281,0.450867133326144,0.225686744276545,0.0191946138806971,0.657821078442864,0.300060012471342,0.0405459259502365,0.0132683823357041,0.869236106878461,0.110973843001749,0.0475059660835767,0.00789304652373071
"pc2001__29__23",1,"Hassan",TRUE,429292,82124,147647,110817,168015,272269,12311,140251,2021,147920,64031,390343,74993,95056,49323,216949,413074,314804,97500,400702,26408,374,411,98,1299,171212,318373,94906,272295,307439,138247,97603,14979,23444,4851,363138,57085,208494,214719,5573,3166,2407,506,2011,0.191301025875162,0.343931403333861,0.391376964863077,0.634227984681755,0.0286774503135395,0.32670303662775,0.00470775136736767,0.344567334122229,0.149154887582345,0.90927154477605,0.174689954622961,0.221425044025978,0.114893825181927,0.505364646907,0.962221518220698,0.733309728576354,0.227118138702794,0.933401973481919,0.0615152390447528,0.000871201885895847,0.00302591243256338,0.398824110395721,0.74162341716128,0.221075631504896,0.634288549518742,0.716153573791266,0.322034885346105,0.227358068633937,0.0348923343551708,0.485669427802055,0.500170047426926,0.012981839866571,0.00560690625495001,0.845899760535952,0.132974758439477,0.0546108476281878,0.0113000009317667
