"model","term","estimate","std.error","statistic","p.value","partial_f","partial_p","model_f","model_p","nobs","r.squared","adj.r.squared","sigma","status"
"consumption_ancova","state_code_200107","-46.6309265184404","3.58962290007081","-12.9904805648305","1.15856139501762e-33","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200108","-40.7789233859056","2.88213186121433","-14.148874981981","9.59038543639417e-39","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200109","-46.5352439255661","2.88694461406409","-16.1192021831192","8.47093532918183e-48","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200110","-47.411929354764","3.36430024943229","-14.0926569686414","1.71027612294651e-38","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200111","34.541084479455","2.7745750503508","12.4491440500368","2.31545385524402e-31","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200112","24.4996130435288","3.11493067448952","7.86521935918972","2.1053332180666e-14","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200113","26.1453801876558","3.02493151277474","8.64329657621668","6.59667572436642e-17","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200114","-1.60011310084305","2.79885745453988","-0.57170224880427","0.567767926455243","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200115","-9.29155754809644","3.66198607180369","-2.5373000786756","0.0114588083473179","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200116","-46.9224526713817","3.08893067436972","-15.1905165955063","1.7855853599585e-43","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200117","-4.70007122822844","3.81226423663285","-1.23288180894295","0.218170583269485","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200118","-49.9367941200871","2.69458505040008","-18.5322760967121","2.18888638728571e-59","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200119","-51.5240989739242","3.40072897246425","-15.150898348888","2.71730129053069e-43","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200120","-47.5733281432551","3.12867572439507","-15.2055797193406","1.52194676919294e-43","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200121","-45.0082723239432","2.86551504165681","-15.7068700284748","7.22686997082457e-46","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200122","-44.419847233586","2.46647532829746","-18.0094431612449","7.68425462820834e-57","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200123","-41.1550869289104","2.39971791503192","-17.149968615525","1.07585364730729e-52","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200124","-46.3028443278308","2.90561662650659","-15.9356344210835","6.16199933492682e-47","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200125","-35.3811794420656","4.56847584091486","-7.74463533881364","4.95954284901128e-14","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200126","-46.7163285164861","4.0082340273963","-11.6550900464344","4.39529424517121e-28","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200127","-43.4738851278838","2.46909137512451","-17.6072402851804","6.79570495152727e-55","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200128","-35.905197830453","3.21522014222243","-11.1672595474705","3.93852566546805e-26","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200129","-41.9371589227269","2.75588079627783","-15.2173341384607","1.34350751850091e-43","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200130","-16.2586831324269","2.57794460126623","-6.30683961340404","6.0419526332249e-10","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
