"district_order","district_code","state","district","emi_exposure_all_children_0708","ling_distance_nonzero_mean","region","state_prefix"
181,"10108","Bihar","Kishanganj",0.251573150530586,3.57851149928695,"Eastern","10"
182,"10109","Bihar","Purnea",0.268922368612233,3.3493839035145,"Eastern","10"
183,"10110","Bihar","Katihar",4.07599877281093,3.38141769432884,"Eastern","10"
184,"10111","Bihar","Madhepura",1.36772154295165,3.00481007959954,"Eastern","10"
185,"10112","Bihar","Saharsa",0.918030622120573,3.00616848436224,"Eastern","10"
186,"10113","Bihar","Darbhanga",1.11212261356002,2.99866603582937,"Eastern","10"
187,"10114","Bihar","Muzaffarpur",1.19778937206443,2.9139676426063,"Eastern","10"
188,"10115","Bihar","Gopalganj",1.75138036294843,3.00081180315282,"Eastern","10"
189,"10116","Bihar","Siwan",0,2.99975316357959,"Eastern","10"
190,"10117","Bihar","Saran",3.56110454461126,3.00031946327538,"Eastern","10"
191,"10118","Bihar","Vaishali",3.04292148720036,3.32898641964205,"Eastern","10"
192,"10119","Bihar","Samastipur",0.735841208050547,2.99999934258362,"Eastern","10"
193,"10120","Bihar","Begusarai",1.22570982867135,3.0040323919806,"Eastern","10"
194,"10121","Bihar","Khagaria",0.106147407745318,2.95573913043478,"Eastern","10"
195,"10222","Bihar","Bhagalpur",3.8790731131487,3.22534460879757,"Eastern","10"
196,"10223","Bihar","Banka",1.29328175812096,4.83999313331925,"Eastern","10"
197,"10224","Bihar","Munger",9.07490853490296,3.93933494894919,"Eastern","10"
198,"10225","Bihar","Lakhisarai",0.280724422588464,3.00207559729878,"Eastern","10"
199,"10226","Bihar","Sheikhpura",1.59403196395336,3.00139483180594,"Eastern","10"
200,"10227","Bihar","Nalanda",0.758348163548422,3.00007206792456,"Eastern","10"
201,"10228","Bihar","Patna",17.1716619170165,2.99820100833908,"Eastern","10"
202,"10229","Bihar","Bhojpur",7.29933632455485,2.99975268551784,"Eastern","10"
203,"10230","Bihar","Buxar",0.475627585020713,2.99984647834677,"Eastern","10"
204,"10231","Bihar","Kaimur(Bhabua)",0.453710311008369,3.00387247822775,"Eastern","10"
205,"10232","Bihar","Rohtas",1.67051416369624,3.00484802454327,"Eastern","10"
206,"10233","Bihar","Jehanabad",0.553753775605953,2.99927311618069,"Eastern","10"
207,"10234","Bihar","Aurangabad",5.60984069318754,3.00011002534658,"Eastern","10"
208,"10235","Bihar","Gaya",6.43279722219778,2.99986693718494,"Eastern","10"
209,"10236","Bihar","Nawada",0,3.00062315402001,"Eastern","10"
210,"10237","Bihar","Jamui",0.710388227178493,3.35484475004988,"Eastern","10"
211,"11101","Sikkim","North (Mongam)",81.9155817292781,4.86397995068515,"North Eastern","11"
212,"11102","Sikkim","West (Gyalshing)",79.8571549299286,4.93181695098836,"North Eastern","11"
213,"11103","Sikkim","South (Nimachai)",80.9680790062398,4.58479614286383,"North Eastern","11"
214,"11104","Sikkim","East (Gangtok)",78.974375573725,4.4637031759721,"North Eastern","11"
215,"12101","Arunachal Pradesh","Tawang",74.6850260194093,3.33308632826973,"North Eastern","12"
216,"12102","Arunachal Pradesh","West Kameng",61.1520746040192,4.01839069363325,"North Eastern","12"
217,"12103","Arunachal Pradesh","East Kameng",75.1763136741225,4.84282684918852,"North Eastern","12"
218,"12104","Arunachal Pradesh","Papum Pare",84.6898136433082,4.33294785329731,"North Eastern","12"
219,"12105","Arunachal Pradesh","Lower Subansiri",67.2778593442862,4.88336470799157,"North Eastern","12"
