"district_1991","pop_1991","district_2001","pct_01in91","pct_91in01",".source_row","source_name_key","target_name_key","state_code_1991","district_code_1991","state_code_2001","district_code_2001","source_name_exact_unique","target_name_exact_unique","source_share_to_2001","target_share_from_1991","source_identity_key","source_unit_id","target_unit_id","source_code_identity_count","transition_status"
"Rohtas",2900685,"Rohtas",66.1,100,59,"rohtas","rohtas","05","04","10","32",TRUE,TRUE,0.661,1,"rohtas__2900685","census1991__05__04","census2001__10__32",1,"matched_exact_names"
"Saharsa",2475254,"Saharsa",45.75,100,60,"saharsa","saharsa","05","21","10","12",TRUE,TRUE,0.4575,1,"saharsa__2475254","census1991__05__21","census2001__10__12",1,"matched_exact_names"
"Saharsa",2475254,"Supaul",54.25,100,61,"saharsa","supaul","05","21","10","06",TRUE,TRUE,0.5425,1,"saharsa__2475254","census1991__05__21","census2001__10__06",1,"matched_exact_names"
"Saran",2572980,"Saran",100,100,62,"saran","saran","05","09","10","17",TRUE,TRUE,1,1,"saran__2572980","census1991__05__09","census2001__10__17",1,"matched_exact_names"
"Siwan",2170971,"Siwan",100,100,63,"siwan","siwan","05","10","10","16",TRUE,TRUE,1,1,"siwan__2170971","census1991__05__10","census2001__10__16",1,"matched_exact_names"
"Chandigarh",642015,"Chandigarh",100,100,64,"chandigarh","chandigarh","28","01","04","01",TRUE,TRUE,1,1,"chandigarh__642015","census1991__28__01","census2001__04__01",1,"matched_exact_names"
"Ahmadabad",4801812,"Ahmadabad",95.54,100,65,"ahmadabad","ahmadabad",NA,NA,"24","07",FALSE,TRUE,0.9554,1,"ahmadabad__4801812",NA,"census2001__24__07",NA,"source_name_not_unique_exact"
"Ahmadabad",4801812,"Gandhinagar",4.46,19.89,66,"ahmadabad","gandhinagar",NA,NA,"24","06",FALSE,TRUE,0.0446,0.1989,"ahmadabad__4801812",NA,"census2001__24__06",NA,"source_name_not_unique_exact"
"Amreli",1252589,"Amreli",86.76,83.03,67,"amreli","amreli","07","05","24","13",TRUE,TRUE,0.8676,0.8303,"amreli__1252589","census1991__07__05","census2001__24__13",1,"matched_exact_names"
"Amreli",1252589,"Junagadh",13.24,7.93,68,"amreli","junagadh","07","05","24","12",TRUE,TRUE,0.1324,0.0793,"amreli__1252589","census1991__07__05","census2001__24__12",1,"matched_exact_names"
