"specification_id","term","estimate","std.error","statistic","p.value"
"state_expanded__distance_shares_all","ling_share_distance_1",0.0333795454479886,0.0179999070851542,1.85442876399729,0.0642437710737935
"state_expanded__distance_shares_all","ling_share_distance_2",-0.0190916968972847,0.0450405442081513,-0.423878024409606,0.671830055584529
"state_expanded__distance_shares_all","ling_share_distance_3",-0.00808096401413707,0.0124138062915206,-0.650965854015047,0.51535607210944
"state_expanded__distance_shares_all","ling_share_distance_4",0.263786359850251,0.0708006020035846,3.72576436337216,0.000216043555622758
"state_expanded__distance_shares_all","ling_share_distance_5",0.0215604526600529,0.0505946052614317,0.426141335595881,0.670181199138585
"state_expanded__distance_shares_all_unmapped","ling_share_distance_1",0.032144591027436,0.017288817469611,1.85927065769173,0.0635555789124489
"state_expanded__distance_shares_all_unmapped","ling_share_distance_2",-0.019925646853372,0.0524317523254625,-0.380030152905943,0.704078799679978
"state_expanded__distance_shares_all_unmapped","ling_share_distance_3",-0.0109796612886851,0.0199676971476115,-0.549871184820052,0.582644729979771
"state_expanded__distance_shares_all_unmapped","ling_share_distance_4",0.262476392404093,0.0670095838694572,3.91699779714239,0.000101667435434409
"state_expanded__distance_shares_all_unmapped","ling_share_distance_5",0.017496827246768,0.0503542833148649,0.347474456887023,0.72837604289411
"state_expanded__distance_shares_mapped","ling_mapped_share_distance_1",0.0185531874448801,0.0194987181917068,0.95150805619475,0.3417885775915
"state_expanded__distance_shares_mapped","ling_mapped_share_distance_2",0.0156294419452638,0.0410012383674915,0.381194387476253,0.703214708488621
"state_expanded__distance_shares_mapped","ling_mapped_share_distance_3",-0.00289128825845003,0.0117233501938996,-0.246626451537254,0.805294660481188
"state_expanded__distance_shares_mapped","ling_mapped_share_distance_4",0.1878017943615,0.0934362413107236,2.00994594524583,0.0449529056738261
"state_expanded__distance_shares_mapped","ling_mapped_share_distance_5",0.038961624456054,0.0411276788330041,0.947333415392948,0.343908926100252
"state_expanded__glottolog_mean","ling_distance_glottolog_nonhindi_mean",-0.107816909006001,0.208187189740672,-0.517884453603042,0.604757464494261
"state_expanded__glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean",-0.0744035620320584,0.229649710549166,-0.323987179666526,0.746077512155243
"state_expanded__dyen_noncognate","ling_distance_dyen_noncognate_pct",0.014983018848835,0.0356227646458482,0.420602359131642,0.674217906599224
