"harmonized_component_id","source_vintage","target_vintage","n_source_units","n_target_units","component_class","source_coverage_complete","target_coverage_complete","deterministic_amalgamation_eligible"
"geo_component_0298",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0299",1991,2001,3,4,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0300",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0301",1991,2001,2,4,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0302",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0303",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0304",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0305",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0306",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0307",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0308",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0309",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0310",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0311",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0312",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0313",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0314",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0315",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0316",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0317",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0318",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0319",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0320",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0321",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
