"sample","predictor","fixed_effect","variable","domain","source","label","estimate","std.error","p.value","standardized_effect","n","n_states","population_1991","status","predictor_id"
"preferred_geography","ling_distance_nonzero_mean_2001","state","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",0.253864221370769,2.5181799595104,0.919778769169535,0.0250390542957667,283,28,478363810,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","rural_primary_schools_per_100k_1991","rural_development","VD91","Rural primary schools per 100,000 district residents",7.27962927037612,5.29854121300743,0.170710392350578,0.312039756701349,278,28,469521527,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","rural_high_schools_per_100k_1991","rural_development","VD91","Rural high schools per 100,000 district residents",0.231521595876053,0.227016969683543,0.308792923557386,0.0747619061834378,278,28,469521527,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","rural_hospitals_per_100k_1991","rural_development","VD91","Rural hospitals per 100,000 district residents",0.38413809401588,0.203183847279366,0.0598443790575179,0.382736071825234,276,27,469238959,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","rural_phc_per_100k_1991","rural_development","VD91","Rural primary health centres per 100,000 district residents",0.170927258469564,0.109563184111878,0.120047895908701,0.162877203611862,270,27,458384429,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","urban_literacy_share_7plus_1991","urban_development","TD91","Urban literacy share, age 7+",4.03042812901879,1.56520028193696,0.0106087670895713,0.525590326592043,275,28,477810289,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","urban_primary_schools_per_100k_7plus_1991","urban_development","TD91","Urban primary schools per 100,000 urban residents age 7+",-1.82857627724917,2.0204242658497,0.366326696782832,-0.142192729318882,275,28,477810289,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","urban_hospitals_per_100k_7plus_1991","urban_development","TD91","Urban hospitals per 100,000 urban residents age 7+",0.805132900011318,0.216693179756663,0.000251000737249399,0.296729661108319,275,28,477810289,"estimated","census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","state","urban_banks_per_100k_7plus_1991","urban_development","TD91","Urban banks per 100,000 urban residents age 7+",0.4919338648229,1.16882430504547,0.674210736621794,0.0679515115056073,275,28,477810289,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","log_population_1991","demography","PCA91","Log population",0.0988564602939467,0.0461164857785002,0.0359931984902658,0.233029882150646,64,24,72333659,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","female_share_1991","demography","PCA91","Female population share",0.69205154341764,0.251280462643823,0.00771334546859397,0.491833616627658,64,24,72333659,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-1.25343702013294,0.308229366053632,0.00013695325619242,-0.540127098232507,64,24,72333659,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.997814104938559,0.538591033929155,0.0686954524251778,-0.274212662908482,64,24,72333659,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.0391321621857373,0.868464199289452,0.964205065916189,-0.00460089214192284,64,24,72333659,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",9.46544342275481,2.10401913067262,3.06492129641814e-05,0.712720478950015,64,24,72333659,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",-1.03795378434292,0.626677635277481,0.102718091433535,-0.33555807687581,64,24,72333659,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.688950850198598,0.38638900841235,0.0794733774240113,-0.409294829085508,64,24,72333659,"estimated","census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-8.37846794331434,1.89130650814693,3.90680822405679e-05,-0.597979334155326,64,24,72333659,"estimated","census_2001_ld"
