"bin","instrument","treatment","n","specification_id"
1,-0.911281264851617,-0.710955134139661,57,"state_main__nonzero_mean_hindi_urdu_separate"
2,-0.440956396854768,0.0134400504614983,57,"state_main__nonzero_mean_hindi_urdu_separate"
3,-0.233186627024302,-0.52208900969365,57,"state_main__nonzero_mean_hindi_urdu_separate"
4,-0.108902165535013,-0.7286840868974,58,"state_main__nonzero_mean_hindi_urdu_separate"
5,-0.0358305151599772,0.292652473084916,57,"state_main__nonzero_mean_hindi_urdu_separate"
6,0.0354324461786001,-0.60894637822177,57,"state_main__nonzero_mean_hindi_urdu_separate"
7,0.124888152513956,0.685975471581765,58,"state_main__nonzero_mean_hindi_urdu_separate"
8,0.225206354737094,0.630429720452736,57,"state_main__nonzero_mean_hindi_urdu_separate"
9,0.447310794000227,0.66272497992707,57,"state_main__nonzero_mean_hindi_urdu_separate"
10,0.881572580461753,0.28126668416641,58,"state_main__nonzero_mean_hindi_urdu_separate"
1,-0.932918623243008,-0.815542915206139,57,"state_expanded__nonzero_mean"
2,-0.448594236325389,0.326860226832175,57,"state_expanded__nonzero_mean"
3,-0.232981889080367,-1.14289010522185,57,"state_expanded__nonzero_mean"
4,-0.125933947761197,-0.300117725311103,58,"state_expanded__nonzero_mean"
5,-0.0367021254711729,0.340101052777656,57,"state_expanded__nonzero_mean"
6,0.0385648508037329,0.0444002665769875,57,"state_expanded__nonzero_mean"
7,0.129278993665617,0.241537849486987,58,"state_expanded__nonzero_mean"
8,0.245961606566415,-0.38407922118879,57,"state_expanded__nonzero_mean"
9,0.465600182040174,1.87245978259694,57,"state_expanded__nonzero_mean"
10,0.882189495103306,-0.178568709839987,58,"state_expanded__nonzero_mean"
1,-23.1195968596157,-1.27774056356661,57,"state_expanded__distant_share"
2,-8.94423053134635,0.212325431175441,57,"state_expanded__distant_share"
3,-5.22426764160393,0.15235981078502,57,"state_expanded__distant_share"
4,-2.91205838666974,-0.797854126675843,58,"state_expanded__distant_share"
5,-1.00470493491839,0.970977825549884,57,"state_expanded__distant_share"
6,0.541688848952349,-0.665165451966428,57,"state_expanded__distant_share"
7,2.2681500409807,1.05919101356724,58,"state_expanded__distant_share"
8,4.57360891436043,0.0714524619190488,57,"state_expanded__distant_share"
9,8.35173104077637,-0.460132170953533,57,"state_expanded__distant_share"
10,25.0416489717843,0.717414689871682,58,"state_expanded__distant_share"
1,-0.890727522981643,-0.334834970679375,57,"state_expanded__top3_legacy"
2,-0.377591281127445,-0.182336868372773,57,"state_expanded__top3_legacy"
3,-0.202651043349942,-1.44840393462322,57,"state_expanded__top3_legacy"
4,-0.121800739746845,-0.271500886042398,58,"state_expanded__top3_legacy"
5,-0.0453469654128599,-1.11532315383752,57,"state_expanded__top3_legacy"
6,0.0192678923614752,1.51549559663284,57,"state_expanded__top3_legacy"
7,0.0974802613726789,0.623805720557868,58,"state_expanded__top3_legacy"
8,0.183470861813899,-0.0827174671406168,57,"state_expanded__top3_legacy"
9,0.308535908736306,-0.152758341923415,57,"state_expanded__top3_legacy"
10,1.01203431540403,1.41752466508475,58,"state_expanded__top3_legacy"
1,-0.912837787118601,-1.39549367057261,57,"state_expanded__nonzero_mean_hindi_urdu"
2,-0.452031650116773,0.280776363482464,57,"state_expanded__nonzero_mean_hindi_urdu"
3,-0.241768209594533,-0.236882801497017,57,"state_expanded__nonzero_mean_hindi_urdu"
4,-0.129636271148724,-0.13197131633343,58,"state_expanded__nonzero_mean_hindi_urdu"
5,-0.0341796570147687,0.0586772047642952,57,"state_expanded__nonzero_mean_hindi_urdu"
6,0.0450006786569566,-0.359943538085289,57,"state_expanded__nonzero_mean_hindi_urdu"
7,0.1310442398616,0.800314827959123,58,"state_expanded__nonzero_mean_hindi_urdu"
8,0.251283417066386,0.0369737666889952,57,"state_expanded__nonzero_mean_hindi_urdu"
9,0.453577173922794,0.891855640499046,57,"state_expanded__nonzero_mean_hindi_urdu"
10,0.874186754551204,0.0432101259440665,58,"state_expanded__nonzero_mean_hindi_urdu"
1,-0.892614239040094,-0.922760128694958,57,"state_expanded__nonzero_mean_hindi_urdu_separate"
2,-0.446202000751954,0.604979551298648,57,"state_expanded__nonzero_mean_hindi_urdu_separate"
3,-0.230048612280035,-1.72005856800365,57,"state_expanded__nonzero_mean_hindi_urdu_separate"
4,-0.127205892890215,-0.277416280094414,58,"state_expanded__nonzero_mean_hindi_urdu_separate"
5,-0.0311373224449427,0.0219597187701593,57,"state_expanded__nonzero_mean_hindi_urdu_separate"
6,0.046045440409823,0.48074437612809,57,"state_expanded__nonzero_mean_hindi_urdu_separate"
7,0.128039898618336,0.142013397907113,58,"state_expanded__nonzero_mean_hindi_urdu_separate"
8,0.232623875723861,0.450696283224763,57,"state_expanded__nonzero_mean_hindi_urdu_separate"
9,0.437250855191841,1.46188025441666,57,"state_expanded__nonzero_mean_hindi_urdu_separate"
10,0.868005204304906,-0.235530993105159,58,"state_expanded__nonzero_mean_hindi_urdu_separate"
1,-1.19181236416942,-7.58920508990229,57,"absorption__region_fe"
2,-0.799754258448154,-6.84219890535922,57,"absorption__region_fe"
3,-0.541820800258087,-1.96984759776652,57,"absorption__region_fe"
4,-0.34914807256449,0.0128755104428264,58,"absorption__region_fe"
5,-0.0448574600204312,-0.204019040070548,57,"absorption__region_fe"
6,0.0587355402392006,1.46389716701408,57,"absorption__region_fe"
7,0.193110890593763,0.000130431805374455,58,"absorption__region_fe"
8,0.457942520521092,3.06661949968979,57,"absorption__region_fe"
9,0.746004922607729,10.505688250647,57,"absorption__region_fe"
10,1.4489169797828,1.52900691633142,58,"absorption__region_fe"
1,-0.998614596616573,-0.539801850065879,57,"absorption__state_fe"
2,-0.443621082139831,0.900462796831794,57,"absorption__state_fe"
3,-0.212747903850723,-0.753252187833287,57,"absorption__state_fe"
4,-0.107491244865776,-1.11544103244679,58,"absorption__state_fe"
5,-0.0305455685759766,1.06691522984178,57,"absorption__state_fe"
6,0.00995826980747991,-0.320799727244798,57,"absorption__state_fe"
7,0.060813203414776,0.0175405147660067,58,"absorption__state_fe"
8,0.198845398974337,1.3884563314802,57,"absorption__state_fe"
9,0.46174293792752,1.12829734086552,57,"absorption__state_fe"
10,1.04416088688212,-1.72288986561049,58,"absorption__state_fe"
1,-1.83243938915636,-6.72859264925983,57,"absorption__census_controls"
2,-1.18530472399242,-3.22808013961894,57,"absorption__census_controls"
3,-0.853716538141989,-5.58879272569673,57,"absorption__census_controls"
4,-0.550099382507112,-4.39084346750415,58,"absorption__census_controls"
5,-0.209145580929809,-1.78665608097842,57,"absorption__census_controls"
6,0.0999516614542281,-1.27400938974776,57,"absorption__census_controls"
7,0.481590727048527,5.89802959758788,58,"absorption__census_controls"
8,0.914050526223123,2.93783466693701,57,"absorption__census_controls"
9,1.28809585674372,3.6315926563028,57,"absorption__census_controls"
10,1.81635290898569,10.3219881584943,58,"absorption__census_controls"
1,-1.85330235038394,-8.75305314929809,57,"absorption__expanded_controls"
2,-1.16181680208167,-3.12489581589795,57,"absorption__expanded_controls"
3,-0.787079878069653,-5.62341469081874,57,"absorption__expanded_controls"
4,-0.510648136879631,-5.34283069045289,58,"absorption__expanded_controls"
5,-0.221552664342609,-0.406577676498782,57,"absorption__expanded_controls"
6,0.121823990183367,-2.12134129978516,57,"absorption__expanded_controls"
7,0.510274122789156,4.00686344562252,58,"absorption__expanded_controls"
8,0.901015756017192,5.6286878443137,57,"absorption__expanded_controls"
9,1.23427837543937,5.45771882894596,57,"absorption__expanded_controls"
10,1.73654838778983,10.1246556873343,58,"absorption__expanded_controls"
1,-1.10285740387453,-2.95681381608518,57,"absorption__region_fe_main_without_human_capital"
2,-0.675512533756557,-2.36284792314033,57,"absorption__region_fe_main_without_human_capital"
3,-0.479805228213052,-4.33215861780824,57,"absorption__region_fe_main_without_human_capital"
4,-0.250281550496022,-2.07077683969473,58,"absorption__region_fe_main_without_human_capital"
5,-0.077391005618526,-1.13073963765552,57,"absorption__region_fe_main_without_human_capital"
6,0.0673498457665105,-0.298519200335049,57,"absorption__region_fe_main_without_human_capital"
7,0.236258585934503,-0.844244425537736,58,"absorption__region_fe_main_without_human_capital"
8,0.429804756768349,4.55038743656297,57,"absorption__region_fe_main_without_human_capital"
9,0.688984441572154,3.94216823380465,57,"absorption__region_fe_main_without_human_capital"
10,1.14363238282483,5.45891507394682,58,"absorption__region_fe_main_without_human_capital"
1,-0.963015117656387,-1.69649960007625,57,"absorption__state_fe_main_without_human_capital"
2,-0.440453864308828,0.420460629922695,57,"absorption__state_fe_main_without_human_capital"
3,-0.236376861461722,-1.4448939804727,57,"absorption__state_fe_main_without_human_capital"
4,-0.115729593504898,-1.22221158335217,58,"absorption__state_fe_main_without_human_capital"
5,-0.0387703236871072,0.404160385131413,57,"absorption__state_fe_main_without_human_capital"
6,0.0285080702033215,1.54308503462402,57,"absorption__state_fe_main_without_human_capital"
7,0.118915161076886,0.0259178742143858,58,"absorption__state_fe_main_without_human_capital"
8,0.247342363833747,0.546062905840644,57,"absorption__state_fe_main_without_human_capital"
9,0.475041135870084,1.4971374551732,57,"absorption__state_fe_main_without_human_capital"
10,0.908543777958923,-0.0513309687613782,58,"absorption__state_fe_main_without_human_capital"
1,-1.09081067134413,-3.56650370170549,57,"absorption__region_fe_expanded_without_human_capital"
2,-0.666313843084811,-3.76432242367957,57,"absorption__region_fe_expanded_without_human_capital"
3,-0.472385036880253,-3.82253131646961,57,"absorption__region_fe_expanded_without_human_capital"
4,-0.252497651867979,-1.51859379594176,58,"absorption__region_fe_expanded_without_human_capital"
5,-0.0995594867813985,-1.28863445039334,57,"absorption__region_fe_expanded_without_human_capital"
6,0.0528816496548981,0.0491028137194514,57,"absorption__region_fe_expanded_without_human_capital"
7,0.237967751406137,-0.560114065249464,58,"absorption__region_fe_expanded_without_human_capital"
8,0.461082726730814,1.87311998453497,57,"absorption__region_fe_expanded_without_human_capital"
9,0.698421380221839,6.97730645838968,57,"absorption__region_fe_expanded_without_human_capital"
10,1.11196002191931,5.56009355480197,58,"absorption__region_fe_expanded_without_human_capital"
1,-0.953286098568495,-1.44138240620283,57,"absorption__state_fe_expanded_without_human_capital"
2,-0.446827969146555,0.733306078954676,57,"absorption__state_fe_expanded_without_human_capital"
3,-0.245852082744352,-1.72908965377077,57,"absorption__state_fe_expanded_without_human_capital"
4,-0.122879671121429,-1.441050437831,58,"absorption__state_fe_expanded_without_human_capital"
5,-0.0305959957415484,-0.0942769542693249,57,"absorption__state_fe_expanded_without_human_capital"
6,0.0362079390851995,1.17851247704478,57,"absorption__state_fe_expanded_without_human_capital"
7,0.125612906270203,0.780828670565308,58,"absorption__state_fe_expanded_without_human_capital"
8,0.255450089364251,0.0918946381127339,57,"absorption__state_fe_expanded_without_human_capital"
9,0.464960495153011,1.90935613355786,57,"absorption__state_fe_expanded_without_human_capital"
10,0.901349290508363,0.02307939027696,58,"absorption__state_fe_expanded_without_human_capital"
1,-1.14328885204816,0.00555841475127687,57,"absorption__region_fe_plus_basic_scale_geography"
2,-0.743715796552779,-4.97034977632875,57,"absorption__region_fe_plus_basic_scale_geography"
3,-0.489406053489391,-5.49996765677289,57,"absorption__region_fe_plus_basic_scale_geography"
4,-0.266601267511641,-1.63673653666398,58,"absorption__region_fe_plus_basic_scale_geography"
5,-0.090117991928361,-3.00151117876547,57,"absorption__region_fe_plus_basic_scale_geography"
6,0.0527817042342043,-0.0110123542228538,57,"absorption__region_fe_plus_basic_scale_geography"
7,0.213737616688799,1.55866105203802,58,"absorption__region_fe_plus_basic_scale_geography"
8,0.416258696228853,2.78638152257516,57,"absorption__region_fe_plus_basic_scale_geography"
9,0.716192744342747,6.73843498738704,57,"absorption__region_fe_plus_basic_scale_geography"
10,1.3120678974631,3.96239555977182,58,"absorption__region_fe_plus_basic_scale_geography"
1,-1.1067617183186,-1.58314313705155,57,"absorption__region_fe_plus_social_composition"
2,-0.679551581278715,-0.476524750902059,57,"absorption__region_fe_plus_social_composition"
3,-0.487591829564759,-6.78198760320168,57,"absorption__region_fe_plus_social_composition"
4,-0.25329111688352,-1.19543775842458,58,"absorption__region_fe_plus_social_composition"
5,-0.0817791797651432,-2.32875676309308,57,"absorption__region_fe_plus_social_composition"
6,0.0698001276767485,1.77206012931564,57,"absorption__region_fe_plus_social_composition"
7,0.222229286073754,0.106558749278753,58,"absorption__region_fe_plus_social_composition"
8,0.427640977913294,3.59251380523894,57,"absorption__region_fe_plus_social_composition"
9,0.6970902140247,4.1651557306832,57,"absorption__region_fe_plus_social_composition"
10,1.17219494099616,2.70127396731142,58,"absorption__region_fe_plus_social_composition"
1,-1.100278682333,-1.33362358942025,57,"absorption__region_fe_plus_human_capital"
2,-0.674825033818931,-0.731253878011905,57,"absorption__region_fe_plus_human_capital"
3,-0.492380331801699,-6.61469660412641,57,"absorption__region_fe_plus_human_capital"
4,-0.260662363139427,-1.9841607501634,58,"absorption__region_fe_plus_human_capital"
5,-0.0797295438364716,-1.277457239103,57,"absorption__region_fe_plus_human_capital"
6,0.0777681281474796,3.55008714782587,57,"absorption__region_fe_plus_human_capital"
