"specification_id","adjustment_id","construction_id","estimate_2sls","std_error_clustered","p_value_clustered","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason"
"unadjusted__glottolog_mean_shastry","unadjusted","glottolog_mean_shastry",0.00131720470052344,0.00326779504872002,0.687035861374123,0.197706318427785,0.656747721379452,0.197706318427783,0.656747721379453,-0.00330715117507722,0.0281107849881565,FALSE,1,FALSE,TRUE,-0.00330715117507722,0.0281107849881565,FALSE,FALSE,"[-0.00330715, 0.0281108]",573,"estimated",NA
"unadjusted__dyen_noncognate","unadjusted","dyen_noncognate",-0.00684829633692178,0.00418115998379744,0.101994740907007,3.30254967533876,0.0696964518413229,3.30254967533879,0.0696964518413216,-0.0391346222384139,0.000551191862512873,FALSE,1,FALSE,TRUE,-0.0391346222384139,0.000551191862512873,FALSE,FALSE,"[-0.0391346, 0.000551192]",573,"estimated",NA
"unadjusted__dyen_noncognate_shastry","unadjusted","dyen_noncognate_shastry",-0.00721820262507941,0.00837602128089418,0.389177200715,0.922262901222603,0.337289410675769,0.922262901222609,0.337289410675767,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__nonzero_mean","region_main","nonzero_mean",0.00117665062622091,0.00531394297015259,0.824841242589031,0.0529519681995167,0.818088640813838,0.052951968199519,0.818088640813834,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__distant_share","region_main","distant_share",-0.0196662435852759,0.02945251743447,0.504584875732426,1.52201467865267,0.21783612293818,1.52201467865265,0.217836122938183,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__top3_legacy","region_main","top3_legacy",0.00142492335938537,0.00460548052097616,0.757135216953567,0.101692908542855,0.74992722177134,0.101692908542855,0.749927221771339,-0.0104726453877446,0.0396858141009268,FALSE,1,FALSE,TRUE,-0.0104726453877446,0.0396858141009268,FALSE,FALSE,"[-0.0104726, 0.0396858]",573,"estimated",NA
"region_main__nonzero_mean_hindi_urdu","region_main","nonzero_mean_hindi_urdu",0.00122771562950796,0.00541059668957367,0.820577690728285,0.0554707997325027,0.81389017666485,0.0554707997324964,0.81389017666486,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__nonzero_mean_shastry","region_main","nonzero_mean_shastry",0.0013890097404559,0.00534696891304389,0.795133717538794,0.073504489432901,0.786401946516334,0.0735044894328968,0.78640194651634,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__nonzero_mean_sensitivity_low","region_main","nonzero_mean_sensitivity_low",0.00123116119710067,0.00539654332444075,0.819622475548055,0.0560385714474374,0.812957894527511,0.0560385714474366,0.812957894527512,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__nonzero_mean_sensitivity_high","region_main","nonzero_mean_sensitivity_high",0.020990571179572,0.074422614955677,0.778013874808361,0.601996259262953,0.43814846461889,0.601996259262952,0.43814846461889,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__nonzero_mean_hindi_urdu_separate","region_main","nonzero_mean_hindi_urdu_separate",0.00175362387739845,0.00580954034738162,0.762877837474204,0.102952227965297,0.74843620175505,0.102952227965294,0.748436201755053,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__distance_shares_all","region_main","distance_shares_all",-0.00459751374382043,0.00214229570096731,0.0322996739665309,3.7629830199286,0.00232907250006713,3.76298301992867,0.00232907250006675,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,573,"estimated",NA
"region_main__distance_shares_all_unmapped","region_main","distance_shares_all_unmapped",-0.0044809022134523,0.00203136716406051,0.0278038812884581,4.91076999980396,0.000208934702695056,4.91076999980362,0.000208934702695207,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,573,"estimated",NA
"region_main__distance_shares_mapped","region_main","distance_shares_mapped",-0.0027468831448745,0.00181921809858889,0.131630591639742,5.88650049686087,2.59331386587504e-05,5.88650049686067,2.59331386587613e-05,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,573,"estimated",NA
"region_main__glottolog_mean","region_main","glottolog_mean",-0.00354883924455818,0.0313448343801162,0.909897586423119,0.0128753803788594,0.909699116148831,0.0128753803788598,0.90969911614883,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"region_main__glottolog_mean_shastry","region_main","glottolog_mean_shastry",-0.00425466745031921,0.0342592449541371,0.901209612696012,0.0158134528230504,0.899974214121263,0.0158134528230507,0.899974214121262,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
