"panel_unit_id","vanneman_state_id","vanneman_district_id","year","version","population","rural_population","main_workers","farm_workers","literates","primary_plus","matriculate_plus","log_population","urban_share","main_worker_share","nonfarm_worker_share_main_workers","literate_share_population","primary_plus_share_population","matriculate_plus_share_population","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","pretrend_geography_status","preferred_vanneman_pretrend_eligible"
"2814","28","14",1961,5,1585027,1384429,501689,325561,275902,88331,26822,14.2761119998487,0.126558096486684,0.316517636608083,0.351070085252019,0.17406769726951,0.0557283882230397,0.0169221092132815,"25","17",NA,NA,"splits_across_2001_districts",FALSE
"2814","28","14",1971,5,1891511,1639344,503367,360286,414656,368812,88780,14.4528865385287,0.133315111569534,0.266118991642132,0.284247874811023,0.219219449424296,0.194982741311047,0.046936020990626,"25","17",NA,NA,"splits_across_2001_districts",FALSE
"2814","28","14",1981,5,2358270,1902245,610352,426709,683187,455301,151465,14.6734388573412,0.193372684213428,0.258813452234053,0.300880475528875,0.289698380592553,0.193065679502347,0.0642271665246134,"25","17",NA,NA,"splits_across_2001_districts",FALSE
"2814","28","14",1991,5,2849859,2257064,758260,513253,1011768,739586,285017,14.8627800773368,0.208008536562686,0.26606930377959,0.323117400363991,0.355023880128806,0.259516698896331,0.100010912820599,"25","17",NA,NA,"splits_across_2001_districts",FALSE
"2815","28","15",1961,5,1973801,1536048,632565,439655,270540,124912,32123,14.4954716833569,0.22178172976911,0.320480636092494,0.304964707184242,0.137065489378109,0.0632850018821553,0.016274690305659,"25","10",NA,NA,"splits_across_2001_districts",FALSE
"2815","28","15",1971,5,2428971,1851714,710456,517119,415990,261716,73308,14.7029782688435,0.237654957593154,0.29249258224985,0.272130856801829,0.171261822393104,0.107747684101622,0.0301806814490581,"25","10",NA,NA,"splits_across_2001_districts",FALSE
"2815","28","15",1981,5,3149406,2300740,895256,624217,624297,421529,143958,14.9627244215914,0.269468591855099,0.284261857632836,0.302750274781738,0.198226903739943,0.133843969307228,0.045709571900225,"25","10",NA,NA,"splits_across_2001_districts",FALSE
"2815","28","15",1991,5,4121035,2981566,1159225,781637,998934,772462,278027,15.2316149033691,0.276500684900759,0.281294626228605,0.325724514222864,0.24239881486083,0.187443688296751,0.0674653333446573,"25","10",NA,NA,"splits_across_2001_districts",FALSE
"2816","28","16",1961,5,701537,555555,230900,170269,84697,31113,8268,13.4610289212535,0.208088810711338,0.329134457626611,0.262585534863577,0.120730624329152,0.0443497634479721,0.0117855508690205,"25","11","09","05","preferred_single_target",TRUE
"2816","28","16",1971,5,901209,725164,275005,211266,116276,70527,19776,13.7114924741748,0.195343144597979,0.305151191344072,0.231773967746041,0.129022235685618,0.0782582064759673,0.0219438554208846,"25","11","09","05","preferred_single_target",TRUE
"2816","28","16",1981,5,1178621,863514,346788,258469,192560,125995,42013,13.9798556689771,0.267352270153001,0.294231988060623,0.25467720913065,0.163377370673015,0.106900352191247,0.0356458946514613,"25","11","09","05","preferred_single_target",TRUE
"2816","28","16",1991,5,1502141,1109425,440011,319495,297588,230176,77481,14.2224019817338,0.261437508196634,0.292922568520532,0.273893152671183,0.198109232089398,0.153231953591574,0.0515803776076946,"25","11","09","05","preferred_single_target",TRUE
"2817","28","17",1961,5,1411657,1292498,478681,404144,136018,48453,10466,14.160274749679,0.0844107315020575,0.339091578194986,0.155713303849537,0.096353434297425,0.0343234935965323,0.00741398229173234,"25","24","09","19","preferred_single_target",TRUE
"2817","28","17",1971,5,1645967,1492096,519083,457826,208437,130303,27841,14.3138386114155,0.0934836482140894,0.315366589974161,0.118010029224613,0.126634981138747,0.0791650136363609,0.016914676904215,"25","24","09","19","preferred_single_target",TRUE
"2817","28","17",1981,5,1971946,1653722,617422,532902,317422,215844,61671,14.4945314304026,0.161375615762298,0.313102894298323,0.136891785521086,0.160968910913382,0.109457358365797,0.0312741829644422,"25","24","09","19","preferred_single_target",TRUE
"2817","28","17",1991,5,2448338,2017033,748222,635536,476481,370679,122062,14.7109199849787,0.176162359935597,0.305604046500116,0.15060503433473,0.19461406064032,0.151400256010404,0.0498550445240812,"25","24","09","19","preferred_single_target",TRUE
"2818","28","18",1961,5,1478490,1152167,489786,334654,224107,104526,30130,14.20653185464,0.220713701141029,0.331274475985634,0.316734247201839,0.151578299481227,0.0706978065458677,0.0203789000940148,"25","25","09","20","preferred_single_target",TRUE
"2818","28","18",1971,5,1779867,1383369,540508,396875,317129,213583,67214,14.3920492003755,0.222768330442668,0.303678870387506,0.265737047370252,0.178175672676666,0.119999415686678,0.0377634958117657,"25","25","09","20","preferred_single_target",TRUE
"2818","28","18",1981,5,2273030,1614003,655950,462763,501069,359491,133251,14.6366243011638,0.28993326088965,0.288579561202448,0.294514825825139,0.220440997259165,0.158154973757496,0.0586226314654888,"25","25","09","20","preferred_single_target",TRUE
"2818","28","18",1991,5,2834616,1905151,814147,549742,735676,576760,224064,14.8574170362344,0.327898029221595,0.287215975638323,0.324763218435983,0.259532860888388,0.203470240766298,0.0790456273442329,"25","25","09","20","preferred_single_target",TRUE
"2819","28","19",1961,5,616225,531888,210164,152549,82598,30763,6480,13.3313674355648,0.136860724573005,0.341050752566027,0.274143050189376,0.134038703395675,0.0499217006775123,0.010515639579699,"25","26","09","21","preferred_single_target",TRUE
"2819","28","19",1971,5,752114,649304,238104,194843,125859,89335,17436,13.5306431871872,0.13669470319659,0.316579667444031,0.181689513825891,0.167340323408419,0.118778536232539,0.0231826558207931,"25","26","09","21","preferred_single_target",TRUE
