"state_code_1991","district_code_1991","district_name","mother_tongue","mother_tongue_speakers","monolingual_speakers","bilingual_speakers","english_second_language","english_third_language","hindi_second_language","hindi_third_language","english_acquisition_speakers","hindi_acquisition_speakers","bilingual_share","english_acquisition_share","hindi_acquisition_share","english_minus_hindi_acquisition_share","validation_status","n_language_cells","n_mismatched_cells","absolute_speaker_difference","shastry_distance_1991","distance_mapping_status","st16_exact_validation","hindi_belt_1991","preferred_st_language_sample"
"05","37","GUMLA","Korwa",43,22,21,0,0,11,0,0,11,0.488372093023256,0,0.255813953488372,-0.255813953488372,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Kannada",72,31,41,0,0,39,0,0,39,0.569444444444444,0,0.541666666666667,-0.541666666666667,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Munda",11515,6145,5370,13,308,5093,102,321,5195,0.466348241424229,0.0278766825879288,0.451150673035172,-0.423273990447243,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Tulu",21,21,0,0,0,0,0,0,0,0,0,0,0,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Mundari",108950,49403,59547,99,2217,57753,509,2316,58262,0.546553464892152,0.0212574575493346,0.53475906379073,-0.513501606241395,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Marathi",18668,12978,5690,31,867,4768,174,898,4942,0.304799657167345,0.0481037068780801,0.264731090636383,-0.216627383758303,"st16_unavailable",43,NA,NA,2,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Juang",1,1,0,0,0,0,0,0,0,0,0,0,0,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Kabui",19,15,4,0,1,4,0,1,4,0.210526315789474,0.0526315789473684,0.210526315789474,-0.157894736842105,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Mishmi",40,11,29,0,0,29,0,0,29,0.725,0,0.725,-0.725,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Assamese",58,55,3,0,0,3,0,0,3,0.0517241379310345,0,0.0517241379310345,-0.0517241379310345,"st16_unavailable",43,NA,NA,3,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Khasi",44,14,30,0,11,30,0,11,30,0.681818181818182,0.25,0.681818181818182,-0.431818181818182,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
