"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"1006","07","06",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0351624204218,14.3203243468098,0.285161926388,1245643
"1007","07","07","24","01",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.4537369234805,13.6527198268259,0.198982903345399,696440
"1008","07","08",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.8116471044296,14.0508854011176,0.239238296688001,996144
"1009","07","09","24","05",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.7305918988033,13.9874761766576,0.256884277854299,918587
"1010","07",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3059361079985,14.5538547885168,0.2479186805183,1633011
"1011","07","11","24","06",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,11.8274514927508,12.2092775044791,0.3818260117283,136961
"1012","07","12",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.5717841693814,14.8837691318649,0.3119849624835,2130323
"1013","07","13",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4973642059794,14.712164544783,0.214800338803601,1977540
"1014","07","14",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2000556947799,14.4300495015055,0.2299938067256,1468946
"1015","07","15",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2390290519192,14.4986402304147,0.259611178495501,1527326
"1016","07","16",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.701186657595,13.919511049208,0.218324391612999,891969
"1017","07",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.712261220071,14.9835450481662,0.2712838280952,2451624
"1019","07","19","24","23",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,11.1783893528498,11.4530162122163,0.274626859366499,71567
"1101","08","01",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.6941956676455,13.9093696855013,0.2151740178558,885755
"1103","08",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1467247093379,14.431414857675,0.2846901483371,1392658
"1104","08","14",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.2337974118505,13.5471028687372,0.313305456886701,558940
"1106","08",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1664427437877,14.3952280881204,0.228785344332699,1420391
"1108","08",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.8126615032595,14.1319345942816,0.319273091022099,997155
"1109","08","12","06","16",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.2758464058306,13.5503541992268,0.2745077933962,582944
"1110","08","13","06","13",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1764802816509,13.4633255192984,0.2868452376475,527804
"1111","08",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0183436410529,14.3428959094481,0.3245522683952,1224868
