"harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0039",1991,"04","08","census1991__04__08","source"
"geo_component_0039",2001,"18","08","census2001__18__08","target"
"geo_component_0040",1991,"04","09","census1991__04__09","source"
"geo_component_0040",2001,"18","11","census2001__18__11","target"
"geo_component_0041",1991,"04","10","census1991__04__10","source"
"geo_component_0041",2001,"18","12","census2001__18__12","target"
"geo_component_0042",1991,"04","11","census1991__04__11","source"
"geo_component_0042",2001,"18","13","census2001__18__13","target"
"geo_component_0043",1991,"04","12","census1991__04__12","source"
"geo_component_0043",2001,"18","09","census2001__18__09","target"
"geo_component_0044",1991,"04","13","census1991__04__13","source"
"geo_component_0044",2001,"18","10","census2001__18__10","target"
"geo_component_0045",1991,"04","14","census1991__04__14","source"
"geo_component_0045",2001,"18","18","census2001__18__18","target"
"geo_component_0046",1991,"04","15","census1991__04__15","source"
"geo_component_0046",2001,"18","17","census2001__18__17","target"
"geo_component_0047",1991,"04","16","census1991__04__16","source"
"geo_component_0047",2001,"18","16","census2001__18__16","target"
"geo_component_0048",1991,"04","17","census1991__04__17","source"
"geo_component_0048",2001,"18","15","census2001__18__15","target"
"geo_component_0049",1991,"04","18","census1991__04__18","source"
"geo_component_0049",2001,"18","14","census2001__18__14","target"
"geo_component_0050",1991,"04","19","census1991__04__19","source"
"geo_component_0050",2001,"18","19","census2001__18__19","target"
"geo_component_0051",1991,"04","20","census1991__04__20","source"
"geo_component_0051",2001,"18","20","census2001__18__20","target"
"geo_component_0052",1991,"04","21","census1991__04__21","source"
"geo_component_0052",2001,"18","22","census2001__18__22","target"
"geo_component_0053",1991,"04","22","census1991__04__22","source"
"geo_component_0053",2001,"18","23","census2001__18__23","target"
"geo_component_0054",1991,"04","23","census1991__04__23","source"
"geo_component_0054",2001,"18","21","census2001__18__21","target"
"geo_component_0055",1991,"05","01","census1991__05__01","source"
"geo_component_0055",2001,"10","28","census2001__10__28","target"
"geo_component_0056",1991,"05","02","census1991__05__02","source"
"geo_component_0056",1991,"05","17","census1991__05__17","source"
"geo_component_0056",1991,"05","26","census1991__05__26","source"
"geo_component_0056",2001,"10","20","census2001__10__20","target"
"geo_component_0056",2001,"10","24","census2001__10__24","target"
