"mother_tongue_code","mother_tongue","canonical_language","national_speakers","n_districts","match_term","term_source","language_glottocode","glottolog_name","family_id","countries","iso639P3code","alias_basis","provider","is_india_language","candidate_count","candidate_status","review_status","reviewed_glottocode"
"003001","Bodo","Bodo",1330775,223,"Bodo","mother_tongue","budu1250","Budu","atla1278","CD","buu","alternate_name","multitree",FALSE,6,"exact_ambiguous","accepted_manual","bodo1269"
"003001","Bodo","Bodo",1330775,223,"Bodo","mother_tongue","gorr1238","Gor","cent2225","CF;TD","gqr","alternate_name","multitree",FALSE,6,"exact_ambiguous","accepted_manual","bodo1269"
"003001","Bodo","Bodo",1330775,223,"Bodo","mother_tongue","naga1394","Naga Pidgin","indo1319","IN","nag","alternate_name","multitree",TRUE,6,"exact_ambiguous","accepted_manual","bodo1269"
"006026","Banjari","Hindi",1259821,203,"Banjari","mother_tongue","lamb1269","Lambadi","indo1319","IN","lmn","alternate_name","moseley & asher (1994)",TRUE,1,"exact_unique","unresolved",""
"006204","Nagpuria","Hindi",1242586,173,"Nagpuria","mother_tongue","sadr1248","Sadri","indo1319","BD;IN","sck","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"006265","Surjapuri","Hindi",1217019,74,"Surjapuri","mother_tongue","surj1235","Surjapuri","indo1319","IN","sjp","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","surj1235"
"006138","Kangri","Hindi",1122843,119,"Kangri","mother_tongue","kang1280","Kangri","indo1319","IN","xnr","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","kang1280"
"091004","Mundari","Mundari",1046951,302,"Mundari","mother_tongue","mund1320","Mundari","aust1305","BD;IN;NP","unr","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","mund1320"
"048002","Ho","Ho",1037987,156,"Ho","mother_tongue","hooo1248","Ho","aust1305","IN","hoc","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","hooo1248"
"070001","Kui","Kui",915392,44,"Kui","mother_tongue","kuii1253","Kui (Indonesia)","timo1261","ID","kvd","primary_name","glottolog",FALSE,1,"exact_unique","unresolved",""
"043005","Garo","Garo",885522,163,"Garo","mother_tongue","garo1247","Garo","sino1245","BD;IN","grt","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","garo1247"
"055006","Khasi","Khasi",828545,174,"Khasi","mother_tongue","khas1269","Khasi","aust1305","BD;IN","kha","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","khas1269"
"019008","Kachchhi","Sindhi",823058,184,"Kachchhi","mother_tongue","kach1277","Kachchi","indo1319","IN;PK","kfr","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"006103","Gojri","Hindi",762332,69,"Gojri","mother_tongue","guja1253","Gujari","indo1319","AF;IN;PK","gju","alternate_name","lexvo",TRUE,1,"exact_unique","unresolved",""
"115002","Kok Barak","Tripuri",761964,81,"Tripuri","canonical_language","kokb1239","Kok Borok","sino1245","BD;IN","trp","alternate_name","moseley & asher (1994)",TRUE,1,"exact_unique","unresolved",""
"030006","Bhilali","Bhili/Bhilodi",680689,62,"Bhilali","mother_tongue","bhil1253","Bhilali","indo1319","IN","bhi","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","bhil1253"
"082003","Lushai/Mizo","Lushai/Mizo",671911,225,"Lushai/Mizo","mother_tongue","lush1249","Mizo","sino1245","BD;IN;MM","lus","alternate_name","ruhlen (1987)",TRUE,1,"exact_unique","accepted_manual","lush1249"
"016001","Bagri","Punjabi",646921,108,"Bagri","mother_tongue","bagr1243","Bagri","indo1319","IN;PK","bgq","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","bagr1243"
"006196","Mewati","Hindi",645291,89,"Mewati","mother_tongue","mewa1250","Mewati","indo1319","IN","wtm","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","mewa1250"
"030003","Barel","Bhili/Bhilodi",637751,57,"Barel","mother_tongue","rath1242","Rathwi Bareli","indo1319","IN","bgd","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"006188","Mandeali","Hindi",611930,61,"Mandeali","mother_tongue","mand1409","Mandeali","indo1319","IN","mjl","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","mand1409"
"045001","Halabi","Halabi",592501,79,"Halabi","mother_tongue","halb1244","Halbi","indo1319","IN","hlb","alternate_name","multitree",TRUE,1,"exact_unique","accepted_manual","halb1244"
"002999","Others","Bengali",585116,161,"Bengali","canonical_language","beng1280","Bengali","indo1319","BD;IN;NP","ben","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"006059","Brajbhasha","Hindi",574245,290,"Hindi","canonical_language","hind1269","Hindi","indo1319","BD;BT;IN;NP","hin","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"086003","Miri/Mishing","Miri/Mishing",551182,61,"Miri","mother_tongue_component","katc1249","Katcha-Kadugli-Miri","kadu1256","SD","xtc","primary_name","glottolog",FALSE,1,"exact_unique","accepted_manual","misi1242"
"067001","Korku","Korku",541880,48,"Korku","mother_tongue","kork1243","Korku","aust1305","IN","kfq","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","kork1243"
"015042","Sambalpuri","Oriya",518803,40,"Sambalpuri","mother_tongue","samb1325","Sambalpuri","indo1319","IN","spv","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","samb1325"
"030052","Varli","Bhili/Bhilodi",475433,23,"Varli","mother_tongue","varl1238","Dungar Varli","indo1319","IN","vav","alternate_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"090006","Munda","Munda",426820,282,"Munda","mother_tongue","mund1320","Mundari","aust1305","BD;IN;NP","unr","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"006165","Kurmali Thar","Hindi",425920,111,"Kurmali Thar","mother_tongue","kudm1238","Kudmali","indo1319","IN","kyw","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"006234","Pawari/Powari","Hindi",425745,64,"Pawari","mother_tongue_component","bund1253","Bundeli","indo1319","IN","bns","primary_name","glottolog",TRUE,2,"exact_ambiguous","unresolved",""
"006234","Pawari/Powari","Hindi",425745,64,"Powari","mother_tongue_component","powa1246","Powari","indo1319","IN","pwr","primary_name","glottolog",TRUE,2,"exact_ambiguous","unresolved",""
"052002","Karbi","Karbi / Mikir",419512,67,"Karbi","mother_tongue","kabi1260","Kabikabi","pama1250","AU","gbw","alternate_name","elcat",FALSE,2,"exact_ambiguous","accepted_manual","karb1241"
"052002","Karbi","Karbi / Mikir",419512,67,"Karbi","mother_tongue","karb1241","Hills Karbi","sino1245","IN","mjw","alternate_name","elcat",TRUE,2,"exact_ambiguous","accepted_manual","karb1241"
"030053","Vasava","Bhili/Bhilodi",417665,32,"Vasava","mother_tongue","vasa1239","Vasavi","indo1319","IN","vas","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"001999","Others","Assamese",389749,132,"Assamese","canonical_language","assa1263","Assamese","indo1319","BD;BT;IN","asm","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"018009","Karmali","Santali",368853,51,"Karmali","mother_tongue","sant1410","Santali","aust1305","BD;BT;IN;NP","sat","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","sant1410"
"069001","Koya","Koya",362070,55,"Koya","mother_tongue","koya1251","Koya","drav1251","IN","kff","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","koya1251"
"030018","Gamti/Gavit","Bhili/Bhilodi",283697,28,"Gamti","mother_tongue_component","mawc1242","Mawchi","indo1319","IN","mke","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","mawc1242"
"027001","Ao","Ao",257404,80,"Ao","mother_tongue","aona1235","Ao Naga","sino1245","IN","njo","alternate_name","lexvo",TRUE,1,"exact_unique","unresolved",""
"105002","Savara","Savara",252487,91,"Savara","mother_tongue","sora1254","Sora","aust1305","IN","srb","alternate_name","elcat",TRUE,1,"exact_unique","unresolved",""
"066001","Konyak","Konyak",248109,23,"Konyak","mother_tongue","kony1248","Konyak Naga","sino1245","IN;MM","nbe","alternate_name","elcat",TRUE,1,"exact_unique","unresolved",""
"055008","Pnar/Synteng","Khasi",243441,23,"Pnar","mother_tongue_component","pnar1238","Pnar","aust1305","BD;IN","pbv","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","pnar1238"
"054004","Kharia","Kharia",237479,196,"Kharia","mother_tongue","khar1287","Kharia","aust1305","IN;NP","khr","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","khar1287"
"013999","Others","Marathi",235416,359,"Marathi","canonical_language","mara1378","Marathi","indo1319","IN","mar","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"040001","English","English",226449,580,"English","mother_tongue","stan1293","English","indo1319","AU;BM;BR;BZ;CA;CC;CK;CU;CX;DO;FK;GB;GG;GI;GP;GS;GT;GY;HN;IE;IM;IO;JE;KY;LR;MX;NF;PN;SH;SR;UM;US;VE;ZA","eng","primary_name","glottolog",FALSE,1,"exact_unique","unresolved",""
"015006","Bhatri","Oriya",216940,21,"Bhatri","mother_tongue","bhat1265","Bhatri","indo1319","IN","bgw","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","bhat1265"
"030010","Chodhari","Bhili/Bhilodi",209363,28,"Chodhari","mother_tongue","chod1238","Chodri","indo1319","IN","cdi","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"006224","Panch Pargania","Hindi",193769,50,"Hindi","canonical_language","hind1269","Hindi","indo1319","BD;BT;IN;NP","hin","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"030999","Others","Bhili/Bhilodi",191262,237,"Bhili","canonical_language_component","bhil1251","Bhili","indo1319","IN","bhb","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"113015","Thado","Thado",186471,74,"Thado","mother_tongue","thad1238","Thado Chin","sino1245","IN;MM","tcz","alternate_name","elcat",TRUE,1,"exact_unique","unresolved",""
"005036","Saurashtra/Saurashtri","Gujarati",185420,148,"Saurashtra","mother_tongue_component","saur1248","Saurashtra","indo1319","IN","saz","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","saur1248"
"016004","Bilaspuri  Kahluri","Punjabi",179511,16,"Punjabi","canonical_language","panj1256","Eastern Panjabi","indo1319","BD;IN;PK","pan","alternate_name","lexvo",TRUE,1,"exact_unique","unresolved",""
"002007","Chakma","Bengali",176458,79,"Chakma","mother_tongue","chak1266","Chakma","indo1319","BD;IN","ccp","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","chak1266"
"021037","Vadari","Telugu",171725,63,"Vadari","mother_tongue","telu1262","Telugu","drav1251","IN","tel","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","telu1262"
"006160","Kulvi","Hindi",170770,27,"Kulvi","mother_tongue","kull1236","Kullu Pahari","indo1319","IN","kfx","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"081001","Lotha","Lotha",170001,58,"Lotha","mother_tongue","loth1237","Lotha Naga","sino1245","IN","njh","alternate_name","elcat",TRUE,1,"exact_unique","unresolved",""
"030013","Dhodia","Bhili/Bhilodi",169290,28,"Dhodia","mother_tongue","dhod1238","Dhodia-Kukna","indo1319","IN","dho","alternate_name","lexvo",TRUE,1,"exact_unique","unresolved",""
"037001","Coorgi/Kodagu","Coorgi/Kodagu",166187,118,"Kodagu","mother_tongue_component","koda1255","Kodava","drav1251","IN","kfa","alternate_name","elcat",TRUE,1,"exact_unique","accepted_manual","koda1255"
"101002","Rabha","Rabha",164266,69,"Rabha","mother_tongue","rabh1238","Rabha","sino1245","IN","rah","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","rabh1238"
"006262","Sugali","Hindi",160736,32,"Sugali","mother_tongue","lamb1269","Lambadi","indo1319","IN","lmn","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"018999","Others","Santali",157068,192,"Santali","canonical_language","sant1410","Santali","aust1305","BD;BT;IN;NP","sat","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
