"source_unit_id","target_set_reference","n_targets_reference","target_set_candidate","n_targets_candidate","source_status"
"census1991__15__02","census2001__14__02",1,"census2001__14__02",1,"exact_target_set_agreement"
"census1991__15__03","census2001__14__03",1,"census2001__14__03",1,"exact_target_set_agreement"
"census1991__15__04","census2001__14__09",1,"census2001__14__09",1,"exact_target_set_agreement"
"census1991__15__05","census2001__14__05",1,"census2001__14__05",1,"exact_target_set_agreement"
"census1991__15__06","census2001__14__04",1,"census2001__14__04",1,"exact_target_set_agreement"
"census1991__15__07","census2001__14__06|census2001__14__07",2,"census2001__14__06|census2001__14__07",2,"exact_target_set_agreement"
"census1991__15__08","census2001__14__08",1,"census2001__14__08",1,"exact_target_set_agreement"
"census1991__16__01","census2001__17__07",1,"census2001__17__07",1,"exact_target_set_agreement"
"census1991__16__02","census2001__17__04|census2001__17__05|census2001__17__06",3,"census2001__17__04|census2001__17__05|census2001__17__06",3,"exact_target_set_agreement"
"census1991__16__03","census2001__17__04",1,"census2001__17__04",1,"exact_target_set_agreement"
"census1991__18__01","census2001__13__06|census2001__13__07",2,"census2001__13__06|census2001__13__07",2,"exact_target_set_agreement"
"census1991__18__02","census2001__13__08",1,"census2001__13__08",1,"exact_target_set_agreement"
"census1991__18__03","census2001__13__04",1,"census2001__13__04",1,"exact_target_set_agreement"
"census1991__18__04","census2001__13__05",1,"census2001__13__05",1,"exact_target_set_agreement"
"census1991__18__06","census2001__13__02",1,"census2001__13__02",1,"exact_target_set_agreement"
"census1991__18__07","census2001__13__01",1,"census2001__13__01",1,"exact_target_set_agreement"
"census1991__19__06","census2001__21__10|census2001__21__11|census2001__21__12|census2001__21__13|census2001__21__19",5,"census2001__21__10|census2001__21__11|census2001__21__12|census2001__21__13",4,"target_set_conflict"
"census1991__19__07","census2001__21__14|census2001__21__15",2,"census2001__21__14|census2001__21__15",2,"exact_target_set_agreement"
"census1991__19__10","census2001__21__25|census2001__21__26",2,"census2001__21__25|census2001__21__26",2,"exact_target_set_agreement"
"census1991__19__11","census2001__21__27|census2001__21__28|census2001__21__29|census2001__21__30",4,"census2001__21__27|census2001__21__28|census2001__21__29|census2001__21__30",4,"exact_target_set_agreement"
"census1991__19__13","census2001__21__16|census2001__21__17|census2001__21__18",3,"census2001__21__16|census2001__21__17|census2001__21__18",3,"exact_target_set_agreement"
"census1991__20__01","census2001__03__01",1,"census2001__03__01",1,"exact_target_set_agreement"
"census1991__20__02","census2001__03__02",1,"census2001__03__02",1,"exact_target_set_agreement"
"census1991__20__03","census2001__03__02|census2001__03__04|census2001__03__10|census2001__03__11|census2001__03__12",5,"census2001__03__02|census2001__03__04|census2001__03__10|census2001__03__11|census2001__03__12",5,"exact_target_set_agreement"
"census1991__20__04","census2001__03__09",1,"census2001__03__07|census2001__03__08|census2001__03__09",3,"target_set_conflict"
"census1991__20__05","census2001__03__04|census2001__03__06|census2001__03__09",3,"census2001__03__04|census2001__03__06|census2001__03__09",3,"exact_target_set_agreement"
"census1991__20__07","census2001__03__01|census2001__03__05|census2001__03__06|census2001__03__09",4,"census2001__03__01|census2001__03__05|census2001__03__06|census2001__03__09",4,"exact_target_set_agreement"
"census1991__20__09","census2001__03__07|census2001__03__08|census2001__03__09|census2001__03__17",4,"census2001__03__07|census2001__03__08|census2001__03__09|census2001__03__17",4,"exact_target_set_agreement"
"census1991__20__10","census2001__03__09|census2001__03__16",2,"census2001__03__09|census2001__03__16",2,"exact_target_set_agreement"
"census1991__20__12","census2001__03__10|census2001__03__12|census2001__03__13",3,"census2001__03__10|census2001__03__12|census2001__03__13",3,"exact_target_set_agreement"
"census1991__21__05","census2001__08__06",1,"census2001__08__06",1,"exact_target_set_agreement"
"census1991__21__08","census2001__08__09|census2001__08__10|census2001__08__11",3,"census2001__08__09|census2001__08__10|census2001__08__11",3,"exact_target_set_agreement"
"census1991__21__09","census2001__08__11|census2001__08__12|census2001__08__30",3,"census2001__08__11|census2001__08__12",2,"target_set_conflict"
"census1991__21__13","census2001__08__16",1,"census2001__08__16",1,"exact_target_set_agreement"
"census1991__21__14","census2001__08__15",1,"census2001__08__15",1,"exact_target_set_agreement"
"census1991__21__21","census2001__08__25|census2001__08__26",2,"census2001__08__25|census2001__08__26",2,"exact_target_set_agreement"
"census1991__21__25","census2001__08__23",1,"census2001__08__23",1,"exact_target_set_agreement"
"census1991__21__26","census2001__08__30|census2001__08__31",2,"census2001__08__30|census2001__08__31",2,"exact_target_set_agreement"
"census1991__21__27","census2001__08__32",1,"census2001__08__32",1,"exact_target_set_agreement"
"census1991__23__13","census2001__33__19|census2001__33__20|census2001__33__21|census2001__33__28",4,"census2001__33__19|census2001__33__20|census2001__33__21",3,"target_set_conflict"
"census1991__23__16","census2001__33__24|census2001__33__25",2,"census2001__33__24|census2001__33__25",2,"exact_target_set_agreement"
"census1991__23__17","census2001__33__26|census2001__33__28",2,"census2001__33__23|census2001__33__27",2,"target_set_conflict"
"census1991__23__18","census2001__33__23|census2001__33__26|census2001__33__27",3,"census2001__33__26",1,"target_set_conflict"
"census1991__24__01","census2001__16__01",1,"census2001__16__01",1,"exact_target_set_agreement"
"census1991__24__02","census2001__16__03|census2001__16__04",2,"census2001__16__03|census2001__16__04",2,"exact_target_set_agreement"
"census1991__24__03","census2001__16__02|census2001__16__03",2,"census2001__16__02|census2001__16__03",2,"exact_target_set_agreement"
"census1991__25__02","census2001__05__02|census2001__05__03",2,"census2001__05__02|census2001__05__03",2,"exact_target_set_agreement"
"census1991__25__03","census2001__05__03|census2001__05__04",2,"census2001__05__03|census2001__05__04",2,"exact_target_set_agreement"
"census1991__25__05","census2001__05__03|census2001__05__06",2,"census2001__05__03|census2001__05__06|census2001__05__11",3,"target_set_conflict"
"census1991__25__06","census2001__05__07|census2001__05__10",2,"census2001__05__07|census2001__05__10",2,"exact_target_set_agreement"
"census1991__25__07","census2001__05__08|census2001__05__09",2,"census2001__05__08|census2001__05__09",2,"exact_target_set_agreement"
"census1991__25__08","census2001__05__10|census2001__05__11|census2001__05__12",3,"census2001__05__10|census2001__05__11|census2001__05__12",3,"exact_target_set_agreement"
"census1991__25__09","census2001__09__03",1,"census2001__09__03",1,"exact_target_set_agreement"
"census1991__25__10","census2001__09__04|census2001__09__06",2,"census2001__09__04|census2001__09__06",2,"exact_target_set_agreement"
"census1991__25__12","census2001__09__01",1,"census2001__09__01",1,"exact_target_set_agreement"
"census1991__25__13","census2001__05__13",1,"census2001__05__13",1,"exact_target_set_agreement"
"census1991__25__14","census2001__09__02",1,"census2001__09__02",1,"exact_target_set_agreement"
"census1991__25__15","census2001__09__07|census2001__09__08",2,"census2001__09__07|census2001__09__08",2,"exact_target_set_agreement"
"census1991__25__16","census2001__09__09|census2001__09__10",2,"census2001__09__09|census2001__09__10",2,"exact_target_set_agreement"
"census1991__25__17","census2001__09__10|census2001__09__11",2,"census2001__09__10|census2001__09__11",2,"exact_target_set_agreement"
"census1991__25__18","census2001__09__12|census2001__09__13",2,"census2001__09__12|census2001__09__13",2,"exact_target_set_agreement"
"census1991__25__19","census2001__09__13|census2001__09__14",2,"census2001__09__13|census2001__09__14",2,"exact_target_set_agreement"
"census1991__25__20","census2001__09__15",1,"census2001__09__15",1,"exact_target_set_agreement"
"census1991__25__21","census2001__09__16",1,"census2001__09__16",1,"exact_target_set_agreement"
"census1991__25__23","census2001__09__18|census2001__09__31",2,"census2001__09__18|census2001__09__31",2,"exact_target_set_agreement"
"census1991__25__31","census2001__09__26",1,"census2001__09__26",1,"exact_target_set_agreement"
"census1991__25__35","census2001__09__31|census2001__09__32",2,"census2001__09__31|census2001__09__32",2,"exact_target_set_agreement"
"census1991__25__36","census2001__09__33|census2001__09__34",2,"census2001__09__33|census2001__09__34",2,"exact_target_set_agreement"
"census1991__25__37","census2001__09__34",1,"census2001__09__34",1,"exact_target_set_agreement"
"census1991__25__43","census2001__09__42",1,"census2001__09__42",1,"exact_target_set_agreement"
"census1991__25__49","census2001__09__47|census2001__09__48",2,"census2001__09__47|census2001__09__48",2,"exact_target_set_agreement"
"census1991__25__50","census2001__09__49",1,"census2001__09__49",1,"exact_target_set_agreement"
"census1991__25__53","census2001__09__54|census2001__09__55|census2001__09__56",3,"census2001__09__55|census2001__09__56",2,"target_set_conflict"
"census1991__25__57","census2001__09__48|census2001__09__61",2,"census2001__09__48|census2001__09__61",2,"exact_target_set_agreement"
"census1991__25__59","census2001__09__63",1,"census2001__09__63",1,"exact_target_set_agreement"
"census1991__25__61","census2001__09__66|census2001__09__67|census2001__09__68",3,"census2001__09__66|census2001__09__67|census2001__09__68",3,"exact_target_set_agreement"
"census1991__25__62","census2001__09__69",1,"census2001__09__69",1,"exact_target_set_agreement"
"census1991__26__06","census2001__19__07",1,"census2001__19__07",1,"exact_target_set_agreement"
"census1991__26__07","census2001__19__10",1,"census2001__19__10",1,"exact_target_set_agreement"
"census1991__26__10","census2001__19__17",1,"census2001__19__17",1,"exact_target_set_agreement"
"census1991__28__01","census2001__04__01",1,"census2001__04__01",1,"exact_target_set_agreement"
"census1991__08__02","census2001__06__03|census2001__06__04",2,NA,NA,"reference_only"
"census1991__11__15","census2001__29__22",1,NA,NA,"reference_only"
"census1991__02__03","census2001__28__13",1,NA,NA,"reference_only"
"census1991__02__04","census2001__28__14",1,NA,NA,"reference_only"
"census1991__02__05","census2001__28__15",1,NA,NA,"reference_only"
"census1991__02__06","census2001__28__16",1,NA,NA,"reference_only"
"census1991__14__23","census2001__27__05|census2001__27__06",2,NA,NA,"reference_only"
"census1991__14__24","census2001__27__07",1,NA,NA,"reference_only"
"census1991__14__25","census2001__27__14",1,NA,NA,"reference_only"
"census1991__14__26","census2001__27__08",1,NA,NA,"reference_only"
"census1991__04__17","census2001__18__15",1,NA,NA,"reference_only"
"census1991__08__13","census2001__06__13",1,NA,NA,"reference_only"
"census1991__14__29","census2001__27__13",1,NA,NA,"reference_only"
"census1991__02__14","census2001__28__07",1,NA,NA,"reference_only"
"census1991__02__15","census2001__28__06",1,NA,NA,"reference_only"
"census1991__04__22","census2001__18__23",1,NA,NA,"reference_only"
"census1991__25__22","census2001__09__17",1,NA,NA,"reference_only"
"census1991__09__03","census2001__02__06",1,NA,NA,"reference_only"
"census1991__02__19","census2001__28__01",1,NA,NA,"reference_only"
"census1991__02__20","census2001__28__03",1,NA,NA,"reference_only"
"census1991__02__21","census2001__28__09",1,NA,NA,"reference_only"
"census1991__02__22","census2001__28__10",1,NA,NA,"reference_only"
"census1991__09__08","census2001__02__03",1,NA,NA,"reference_only"
"census1991__03__01","census2001__12__01",1,NA,NA,"reference_only"
"census1991__03__02","census2001__12__02",1,NA,NA,"reference_only"
"census1991__03__03","census2001__12__03|census2001__12__07",2,NA,NA,"reference_only"
"census1991__09__12","census2001__02__12",1,NA,NA,"reference_only"
"census1991__11__01","census2001__29__20",1,NA,NA,"reference_only"
"census1991__11__02","census2001__29__21",1,NA,NA,"reference_only"
"census1991__17__03","census2001__15__07|census2001__15__08",2,NA,NA,"reference_only"
"census1991__03__08","census2001__12__10",1,NA,NA,"reference_only"
"census1991__03__09","census2001__12__05|census2001__12__11",2,NA,NA,"reference_only"
"census1991__03__10","census2001__12__12",1,NA,NA,"reference_only"
"census1991__03__11","census2001__12__13",1,NA,NA,"reference_only"
"census1991__18__05","census2001__13__03",1,NA,NA,"reference_only"
"census1991__11__09","census2001__29__16|census2001__29__24",2,NA,NA,"reference_only"
"census1991__25__42","census2001__09__40|census2001__09__41",2,NA,NA,"reference_only"
"census1991__11__11","census2001__29__04",1,NA,NA,"reference_only"
"census1991__11__12","census2001__29__23",1,NA,NA,"reference_only"
"census1991__11__13","census2001__29__25",1,NA,NA,"reference_only"
"census1991__11__14","census2001__29__19",1,NA,NA,"reference_only"
"census1991__13__21","census2001__23__24",1,NA,NA,"reference_only"
