"state_code_1991","district_code_1991","state_code_2001","district_code_2001","n_shrid_mapped","population_1991_mapped","area_1991_mapped","n_shrid_total","population_1991_total","area_1991_total","population_share_to_2001","area_share_to_2001","n_target_2001_districts","shrid_coverage","mapping_class"
"05","34","20","05",518,394712,1258.002380758,3363,2836894,10500.088745041,0.139135265540411,0.11980873793587,3,0.995242343146001,"non_nested_or_incomplete"
"05","35","20","02",2413,1648377,7682.89460924799,3284,2451191,11705.832716794,0.672480031135885,0.656330463207934,2,0.99299634591961,"non_nested_or_incomplete"
"05","35","20","01",848,801292,3983.82720874,3284,2451191,11705.832716794,0.326899046218757,0.340328390565886,2,0.99299634591961,"non_nested_or_incomplete"
"05","36","20","15",353,288553,1489.50730291,353,288553,1489.50730291,1,1,1,1,"deterministic_containment"
"05","37","20","16",1394,1153700,9068.90680278,1394,1153700,9068.90680278,1,1,1,1,"deterministic_containment"
"05","38","20","14",2041,2185588,7500.50540062,2046,2187092,7507.15440064,0.99931232888237,0.999114311540011,1,0.997556207233627,"non_nested_or_incomplete"
"05","39","20","18",1585,1612942,3462.059073941,1589,1613088,3466.411074031,0.999909490368783,0.998744522794021,1,0.997482693517936,"non_nested_or_incomplete"
"05","40","20","17",2784,1785958,8208.89946832501,2795,1787955,8220.82256812501,0.998883081509322,0.998549646376479,1,0.996064400715563,"non_nested_or_incomplete"
"05","41","10","07",706,1611638,2771.46295934001,706,1611638,2771.46295934001,1,1,1,1,"deterministic_containment"
"05","42","10","08",716,983960,1909.171187525,718,984107,1910.207187525,0.999850625999002,0.999457650454482,1,0.997214484679666,"non_nested_or_incomplete"
"06","01","30","01",233,641437,1659.62590375,233,641437,1659.62590375,1,1,1,1,"deterministic_containment"
"06","02","30","02",153,504989,1871.7145069,153,504989,1871.7145069,1,1,1,1,"deterministic_containment"
"07","01","24","10",709,1563084,10162.549571745,709,1563084,10162.549571745,1,1,1,1,"deterministic_containment"
"07","02","24","09",850,2511261,10898.1306222,850,2511261,10898.1306222,1,1,1,1,"deterministic_containment"
"07","03","24","08",656,1203234,10248.94230894,657,1203236,10248.94230894,0.99999833781569,1,1,0.998477929984779,"non_nested_or_incomplete"
"07","04","24","14",797,2058435,8043.0365179,879,2280642,9151.54391349999,0.902568224210551,0.878872089116595,2,0.998862343572241,"non_nested_or_incomplete"
"07","04","24","13",81,222073,1108.5073956,879,2280642,9151.54391349999,0.0973730204039038,0.121127910883406,2,0.998862343572241,"non_nested_or_incomplete"
"07","05","24","13",536,1042975,6038.1877939,603,1225443,6609.5397915,0.851100377577741,0.913556462987821,4,0.996683250414594,"non_nested_or_incomplete"
"07","05","24","12",63,165020,534.4719976,603,1225443,6609.5397915,0.134661506083922,0.0808637234149557,4,0.996683250414594,"non_nested_or_incomplete"
"07","05","24","20",1,10716,15.22,603,1225443,6609.5397915,0.00874459277175683,0.00230273218410353,4,0.996683250414594,"non_nested_or_incomplete"
"07","05","24","25",1,6713,21.66,603,1225443,6609.5397915,0.00547801896946655,0.00327708141311974,4,0.996683250414594,"non_nested_or_incomplete"
"07","06","24","12",845,1923626,8397.41663941601,1044,2389286,10739.215597096,0.805104956041261,0.781939478120428,2,0.986590038314176,"non_nested_or_incomplete"
"07","06","24","11",185,465293,2320.01782754,1044,2389286,10739.215597096,0.194741441585478,0.21603233556158,2,0.986590038314176,"non_nested_or_incomplete"
"07","07","24","01",885,1225537,19025.403833486,892,1225871,19064.059433586,0.999727540662925,0.99797233111685,1,0.992152466367713,"non_nested_or_incomplete"
"07","08","24","02",1237,1966536,10390.72467212,1365,2146603,12329.27277832,0.916115369260175,0.842768657888016,2,1,"non_nested_or_incomplete"
"07","08","24","03",128,180067,1938.5481062,1365,2146603,12329.27277832,0.0838846307398247,0.157231342111984,2,1,"non_nested_or_incomplete"
"07","09","24","05",1363,1758030,7245.60728339999,1364,1758238,7245.60728339999,0.999881699747133,1,1,0.999266862170088,"non_nested_or_incomplete"
"07","10","24","04",590,1638339,4533.74668339,1093,2932919,9314.18822704,0.55860356184402,0.486757039140361,3,0.999085086916743,"non_nested_or_incomplete"
"07","10","24","03",387,850063,3825.25888245,1093,2932919,9314.18822704,0.289835143759511,0.410691601802173,3,0.999085086916743,"non_nested_or_incomplete"
