"state_code_2001","district_code_2001","leverage","cooks_distance","studentized_residual","instrument_dfbeta"
"07","01",0.151004221298306,0.00407545692160383,1.05973039846137,-0.00779943291192809
"07","02",0.152260307231148,0.0594794257132555,-4.08823056319682,0.0421323811946156
"07","03",0.178661965266795,6.62914856543309e-05,0.122085256287264,0.00393061130414976
"07","04",0.149719582830189,0.0384069807314699,3.29993188026434,0.02284604312446
"07","07",0.15132706452002,2.76957035703871e-05,0.08715744059047,-0.00352679697089234
"07","08",0.158623151752812,0.00346037115173529,-0.94826473394818,-0.0114118227547684
"07","09",0.146634185318933,0.000647076626526988,0.429227543889592,0.00326530650799599
"08","01",0.0670055497800325,0.000216131846933943,0.383696540746316,0.00328656512014347
"08","02",0.0536130645433682,6.27257932477293e-07,-0.023270493788806,-0.00020580914212218
"08","04",0.0677352850400433,5.78443025685869e-08,0.00623987218476849,5.52633137592977e-05
"08","05",0.052720762210793,0.00153965752694728,1.16467820410721,0.0143078354531508
"08","07",0.0494663800845701,1.05612203996808e-05,0.0996260911192767,0.00192098564840811
"08","08",0.0781132191481015,1.80438515828359e-05,-0.102053690405588,-0.000954248051359703
"08","09",0.0557365565067981,5.49873623474544e-05,-0.213456863323894,-0.00140165280228534
"08","10",0.0473912011774493,0.000836886283208414,-0.907751047382712,-0.0036547224017588
"08","11",0.0545853604935861,0.000381036598380844,-0.56829483179954,-0.00460407755556876
"08","12",0.0529450681275299,1.26658363893684e-05,0.105263936637689,0.00105717184298482
"08","13",0.0519178016003124,1.2740007811266e-07,0.0106667713106836,0.00013788435096515
"08","14",0.044993914472201,6.35497626142722e-05,-0.256858403492183,-0.00231072504324942
"08","15",0.0555119944829955,5.77330180326391e-06,-0.0693110014648691,0.000282138339265792
"08","16",0.129137150583425,0.000282868309257557,-0.305466373461764,0.0111246845365869
"08","17",0.0718885236868939,0.000276291372837378,0.417743436982576,-0.00193991203919277
"08","18",0.0535808817900224,0.000119288593361935,0.321042340567779,0.000938783584688151
"08","19",0.0661937332921518,5.93873914026622e-05,-0.202426484259401,0.000994747894595966
"08","20",0.0557501706000141,0.00546064388154742,2.13605154711777,0.00400985973320031
"08","21",0.0459820355274707,0.000141000480501783,0.378300685606423,0.000689689934413042
"08","22",0.0434087489437661,0.000347163009816735,-0.611899267219528,0.00190073400616159
"08","23",0.0433938897423392,0.000188119446138142,-0.450439633544048,0.00207265206048107
