"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"geo_component_0122",NA,NA,"08",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1059941293105,13.3434520188367,0.237457889526201,491882
"geo_component_0123",NA,NA,"33",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.410032821042,14.7630503133363,0.353017492294301,1812165
"geo_component_0124",NA,NA,"33",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.9141928441825,15.0824550628552,0.1682622186727,3000210
"geo_component_0125",NA,NA,"33",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.9822390228232,15.1862335623236,0.203994539500401,3211469
"geo_component_0127",NA,NA,"33",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.6999167371348,14.8664045577993,0.1664878206645,2421546
"geo_component_0130",NA,NA,"05",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.512020079515,14.710870154016,0.198850074500999,2006736
"geo_component_0131",NA,NA,"05",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.2136107697989,13.382622350377,0.1690115805781,547770
"geo_component_0132",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.9902929330806,14.2144108312881,0.224117898207501,1190987
"geo_component_0133",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4954716833569,14.7029782688435,0.2075065854866,1973801
"geo_component_0134",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2951414460791,14.5357056240609,0.240564177981801,1615478
"geo_component_0136",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1835652067539,14.4045680816498,0.221002874895898,1444921
"geo_component_0139",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.8581004931138,15.0399140276233,0.1818135345095,2836554
"geo_component_0140",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4372379959951,14.6521682982198,0.214930302224701,1862142
"geo_component_0142",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.6754831816663,14.8778861568496,0.202402975183301,2363096
"geo_component_0143",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0199197112222,14.2105164924474,0.190596781225201,1226800
"geo_component_0145",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.8791902729334,14.0610056422157,0.181815369282301,1065751
"geo_component_0149",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1112909999222,14.2785745384518,0.167283538529599,1344175
"geo_component_0150",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.6762581354701,14.8636919872584,0.187433851788301,2364928
"geo_component_0151",NA,NA,"09",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0361742369353,14.2479992184472,0.211824981511899,1246904
"geo_component_0152",NA,NA,"19",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.6462342511081,14.8961869558988,0.249952704790701,2294979
"geo_component_0153",NA,NA,"19",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3513025129538,14.6147289016123,0.2634263886585,1708801
"geo_component_0154",NA,NA,"19",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.889587296707,14.9625148363028,0.0729275395957991,2927289
"geo_component_0001",NA,NA,"28",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"urban_share","demography","Urban share",FALSE,0.0874199781999878,0.10645593220339,0.0190359540034022,1555045
"geo_component_0002",NA,NA,"28",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"urban_share","demography","Urban share",FALSE,0.126257214893688,0.162861598877133,0.036604383983445,1350505
"geo_component_0003",NA,NA,"28",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"urban_share","demography","Urban share",FALSE,0.20743834501013,0.249828088569894,0.042389743559764,2327265
"geo_component_0004",NA,NA,"28",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"urban_share","demography","Urban share",FALSE,0.167763122476447,0.110744038395933,-0.057019084080514,1671750
"geo_component_0005",NA,NA,"28",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"urban_share","demography","Urban share",FALSE,0.110037239391441,0.157418596978631,0.04738135758719,1414094
"geo_component_0006",NA,NA,"28",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"urban_share","demography","Urban share",FALSE,0.11469415401003,0.134521583431827,0.019827429421797,1900123
