"source_unit_id","target_unit_id","population_weight_reference","mapping_class_reference","evidence_source_reference","population_weight_candidate","mapping_class_candidate","evidence_source_candidate","edge_status","population_weight_abs_diff"
"census1991__09__10","census2001__02__09",0.999466296068293,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000533703931707041
"census1991__11__03","census2001__29__01",0.999985007602277,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",1.49923977229571e-05
"census1991__11__04","census2001__29__12",0.874338316067879,"non_nested_or_incomplete","district_transition",0.8761,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00176168393212095
"census1991__11__04","census2001__29__14",0.125345205923306,"non_nested_or_incomplete","district_transition",0.1239,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00144520592330601
"census1991__11__08","census2001__29__13",0.608169797253198,"non_nested_or_incomplete","district_transition",0.602,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.006169797253198
"census1991__11__08","census2001__29__14",0.391765167685936,"non_nested_or_incomplete","district_transition",0.398,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00623483231406402
"census1991__11__10","census2001__29__09",0.393045932591713,"non_nested_or_incomplete","district_transition",0.3925,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000545932591712983
"census1991__11__10","census2001__29__11",0.358707478768138,"non_nested_or_incomplete","district_transition",0.3623,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00359252123186199
"census1991__11__10","census2001__29__08",0.246998095343252,"non_nested_or_incomplete","district_transition",0.2452,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00179809534325201
"census1991__11__17","census2001__29__06",0.582055028000974,"non_nested_or_incomplete","district_transition",0.5852,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00314497199902608
"census1991__11__17","census2001__29__07",0.411080119265173,"non_nested_or_incomplete","district_transition",0.4148,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00371988073482699
"census1991__11__18","census2001__29__15",0.755257591291378,"non_nested_or_incomplete","district_transition",0.7605,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00524240870862192
"census1991__11__18","census2001__29__14",0.244625040395601,"non_nested_or_incomplete","district_transition",0.2395,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00512504039560102
"census1991__11__20","census2001__29__10",0.999809731832803,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000190268167197027
"census1991__12__02","census2001__32__02",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__12__03","census2001__32__03",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__12__04","census2001__32__04",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__12__06","census2001__32__06",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__12__08","census2001__32__08",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__12__09","census2001__32__09",0.978625612903106,"non_nested_or_incomplete","district_transition",0.9786,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",2.56129031059871e-05
"census1991__12__09","census2001__32__08",0.0213743870968939,"non_nested_or_incomplete","district_transition",0.0214,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",2.56129031060981e-05
"census1991__12__10","census2001__32__10",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__12__12","census2001__32__12",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__12__13","census2001__32__13",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__13__03","census2001__23__04",0.915455787513893,"non_nested_or_incomplete","district_transition",0.9157,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000244212486106954
"census1991__13__03","census2001__23__05",0.0841789311982784,"non_nested_or_incomplete","district_transition",0.0843,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000121068801721594
"census1991__13__04","census2001__23__05",0.999992430302006,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",7.569697993981e-06
"census1991__13__28","census2001__23__32",0.999978523116163,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",2.14768838370238e-05
"census1991__13__29","census2001__23__33",0.999726359546899,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000273640453100965
"census1991__13__32","census2001__23__37",0.69845420946644,"non_nested_or_incomplete","district_transition",0.6995,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00104579053356002
"census1991__13__32","census2001__23__36",0.301471206656056,"non_nested_or_incomplete","district_transition",0.3005,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00097120665605599
"census1991__13__43","census2001__22__10",0.999924562887455,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",7.54371125449849e-05
"census1991__14__04","census2001__27__32",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__14__05","census2001__27__33",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__14__12","census2001__27__35",0.999867776764868,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000132223235131956
"census1991__14__13","census2001__27__30",0.999762876822944,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000237123177056042
"census1991__14__14","census2001__27__34",0.999067403628916,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000932596371084005
"census1991__14__16","census2001__27__18",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__14__17","census2001__27__17",0.61013442025351,"non_nested_or_incomplete","district_transition",0.6108,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000665579746490064
"census1991__14__17","census2001__27__16",0.389702333521973,"non_nested_or_incomplete","district_transition",0.3892,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000502333521972986
"census1991__14__18","census2001__27__27",0.999998353522803,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",1.64647719702593e-06
"census1991__14__20","census2001__27__29",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__14__21","census2001__27__28",0.999791845720103,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000208154279896955
"census1991__14__27","census2001__27__09",0.998846897510811,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00115310248918898
"census1991__14__28","census2001__27__11",0.515375808550746,"non_nested_or_incomplete","district_transition",0.5154,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",2.41914492539186e-05
"census1991__14__28","census2001__27__10",0.483574670874238,"non_nested_or_incomplete","district_transition",0.4846,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00102532912576198
"census1991__15__02","census2001__14__02",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__15__03","census2001__14__03",0.996842543201438,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00315745679856205
"census1991__15__04","census2001__14__09",0.984016536625131,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.015983463374869
"census1991__15__05","census2001__14__05",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__15__06","census2001__14__04",0.99841206592008,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00158793407991997
"census1991__15__07","census2001__14__07",0.382218113178474,"non_nested_or_incomplete","district_transition",0.4646,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.082381886821526
"census1991__15__07","census2001__14__06",0.305725695648266,"non_nested_or_incomplete","district_transition",0.5354,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.229674304351734
"census1991__15__08","census2001__14__08",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__16__01","census2001__17__07",0.367663156737644,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.632336843262356
"census1991__16__02","census2001__17__06",0.5065514765547,"non_nested_or_incomplete","district_transition",0.8051,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.2985485234453
"census1991__16__02","census2001__17__05",0.12398978925941,"non_nested_or_incomplete","district_transition",0.1914,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.06741021074059
"census1991__16__02","census2001__17__04",0.00114940917564935,"non_nested_or_incomplete","district_transition",0.0035,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00235059082435065
