"analysis_id","predictor_id","sample_id","period_id","domain","predictor","tested_measures","joint_f","joint_p","n","n_states","population_1961","status","reason"
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1981_1991","demography","ling_distance_helms_lim_1991","log_population;urban_share",13.19541695572,3.09261831497694e-05,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1981_1991","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",1.71537797320989,0.191449167310479,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1981_1991","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.36039120986206,0.268326408336171,54,10,64441939,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1981","demography","ling_distance_helms_lim_1991","log_population;urban_share",0.468846223909006,0.628745809739967,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1981","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",0.992406730954069,0.378649731462725,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1981","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.986723586319689,0.407792402780871,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1991","demography","ling_distance_helms_lim_1991","log_population;urban_share",1.11493252466012,0.336826075408023,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1991","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",0.947109745755612,0.395454974847539,59,12,68802676,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","historical_ld_support","1961_1991","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.677469354666728,0.570853699340396,54,10,64441939,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1971","demography","ling_distance_nonzero_mean_1991","log_population;urban_share",1.73709583395929,0.187626253228567,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1971","labor","ling_distance_nonzero_mean_1991","main_worker_share;nonfarm_worker_share_main_workers",0.50281023454151,0.608186089419177,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1971","education","ling_distance_nonzero_mean_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",3.87553587274923,0.0152390155090749,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1971_1981","demography","ling_distance_nonzero_mean_1991","log_population;urban_share",1.05117523260217,0.357950951535556,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1971_1981","labor","ling_distance_nonzero_mean_1991","main_worker_share;nonfarm_worker_share_main_workers",0.936651457704634,0.399444574187004,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1971_1981","education","ling_distance_nonzero_mean_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.12683223011013,0.348567614619888,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1981_1991","demography","ling_distance_nonzero_mean_1991","log_population;urban_share",14.9779574354156,1.03311484227609e-05,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1981_1991","labor","ling_distance_nonzero_mean_1991","main_worker_share;nonfarm_worker_share_main_workers",1.71007714583696,0.192394546470321,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1981_1991","education","ling_distance_nonzero_mean_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.35664334784562,0.269472627440387,54,10,64441939,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1981","demography","ling_distance_nonzero_mean_1991","log_population;urban_share",0.581224090284506,0.563355857425386,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1981","labor","ling_distance_nonzero_mean_1991","main_worker_share;nonfarm_worker_share_main_workers",0.997668713622727,0.376746464690952,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1981","education","ling_distance_nonzero_mean_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.957068838735719,0.421436974024557,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1991","demography","ling_distance_nonzero_mean_1991","log_population;urban_share",1.2541268556663,0.295105667553624,59,12,68802676,"estimated",NA
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1991","labor","ling_distance_nonzero_mean_1991","main_worker_share;nonfarm_worker_share_main_workers",0.948565644552381,0.39490289153533,59,12,68802676,"estimated",NA
