"specification_id","adjustment_id","construction_id","instrument","fixed_effect","linear_slope","spearman_rho","isotonic_r_squared","n_bins","share_nondecreasing_bin_steps","n_negative_bin_steps","n_state_slopes","share_negative_state_slopes","n","status","reason","construct_id","treatment","analysis_scope"
"state_expanded__dyen_noncognate_shastry","state_expanded","dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct","state",0.0146465296366337,0.0174466962924021,0.0204869470638123,10,0.555555555555556,4,25,0.48,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__region_fe","region_fe","nonzero_mean","ling_distance_nonzero_mean","region",7.40821421238121,0.276533379202372,0.130243116757176,10,0.666666666666667,3,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__state_fe","state_fe","nonzero_mean","ling_distance_nonzero_mean","state",0.445228765468921,0.0611247662050306,0.0396683405438175,10,0.666666666666667,3,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__census_controls","census_controls","nonzero_mean","ling_distance_nonzero_mean","none",5.20070639763986,0.40249451878378,0.142577702247269,10,0.777777777777778,2,25,0.24,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__expanded_controls","expanded_controls","nonzero_mean","ling_distance_nonzero_mean","none",6.27883408611058,0.443799974226122,0.18895235932158,10,0.888888888888889,1,25,0.16,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__region_fe_main_without_human_capital","region_fe_main_without_human_capital","nonzero_mean","ling_distance_nonzero_mean","region",4.86182453798233,0.271230975763167,0.0635483064155937,10,0.444444444444444,5,25,0.24,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__state_fe_main_without_human_capital","state_fe_main_without_human_capital","nonzero_mean","ling_distance_nonzero_mean","state",0.96456615351258,0.0713210989913197,0.0476319767990706,10,0.666666666666667,3,25,0.4,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__region_fe_expanded_without_human_capital","region_fe_expanded_without_human_capital","nonzero_mean","ling_distance_nonzero_mean","region",5.45077674565068,0.265227454471128,0.0722614653456816,10,0.666666666666667,3,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__state_fe_expanded_without_human_capital","state_fe_expanded_without_human_capital","nonzero_mean","ling_distance_nonzero_mean","state",1.29779111069181,0.0606768288571845,0.0611928859106196,10,0.666666666666667,3,25,0.4,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__region_fe_plus_basic_scale_geography","region_fe_plus_basic_scale_geography","nonzero_mean","ling_distance_nonzero_mean","region",5.16181727484988,0.254842544649829,0.0833591748989008,10,0.555555555555556,4,25,0.28,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__region_fe_plus_social_composition","region_fe_plus_social_composition","nonzero_mean","ling_distance_nonzero_mean","region",4.12799444958684,0.262309544271756,0.0555080853832978,10,0.666666666666667,3,25,0.28,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__region_fe_plus_human_capital","region_fe_plus_human_capital","nonzero_mean","ling_distance_nonzero_mean","region",3.2734013733574,0.191406716058065,0.0436089226200748,10,0.555555555555556,4,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__region_fe_plus_demography","region_fe_plus_demography","nonzero_mean","ling_distance_nonzero_mean","region",3.24531359487454,0.193461969448567,0.0417019647828851,10,0.555555555555556,4,25,0.4,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__region_fe_plus_economic_structure","region_fe_plus_economic_structure","nonzero_mean","ling_distance_nonzero_mean","region",4.41591690652253,0.236970152654752,0.055065340009458,10,0.555555555555556,4,25,0.4,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__state_fe_plus_basic_scale_geography","state_fe_plus_basic_scale_geography","nonzero_mean","ling_distance_nonzero_mean","state",1.05239460311964,0.171394665490058,0.043205191143275,10,0.555555555555556,4,25,0.32,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__state_fe_plus_social_composition","state_fe_plus_social_composition","nonzero_mean","ling_distance_nonzero_mean","state",0.978486483921073,0.106943158358289,0.0521302314757335,10,0.444444444444444,5,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__state_fe_plus_human_capital","state_fe_plus_human_capital","nonzero_mean","ling_distance_nonzero_mean","state",0.667708233358667,0.0544479994947637,0.0390916131176681,10,0.555555555555556,4,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__state_fe_plus_demography","state_fe_plus_demography","nonzero_mean","ling_distance_nonzero_mean","state",0.652069861817949,0.047391077629725,0.0399619846655893,10,0.555555555555556,4,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"absorption__state_fe_plus_economic_structure","state_fe_plus_economic_structure","nonzero_mean","ling_distance_nonzero_mean","state",1.15513492270108,0.0533101937393373,0.0510024840020081,10,0.555555555555556,4,25,0.48,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__nonzero_mean","unadjusted","nonzero_mean","ling_distance_nonzero_mean","none",6.78357260843303,0.487253852029759,0.246406330332637,10,0.555555555555556,4,24,0.458333333333333,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__distant_share","unadjusted","distant_share","ling_share_distance_ge3","none",0.159131922281749,0.478436875957935,0.143691369611937,10,0.666666666666667,3,24,0.458333333333333,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__top3_legacy","unadjusted","top3_legacy","ling_distance_top3_legacy","none",5.78010339934259,0.635154716697467,0.24209906837707,10,0.888888888888889,1,24,0.625,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","ling_distance_nonzero_mean","none",5.66727222449318,0.45146440689864,0.15587626024585,10,0.555555555555556,4,24,0.333333333333333,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__nonzero_mean_shastry","unadjusted","nonzero_mean_shastry","ling_distance_nonzero_mean","none",5.68990314322381,0.474704234204678,0.163405919127387,10,0.555555555555556,4,24,0.333333333333333,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__nonzero_mean_sensitivity_low","unadjusted","nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low","none",5.67256487879582,0.475849381856967,0.162655542081766,10,0.555555555555556,4,24,0.333333333333333,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__nonzero_mean_sensitivity_high","unadjusted","nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high","none",4.8427300892882,0.446465252831502,0.12126491584659,10,0.555555555555556,4,24,0.375,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__nonzero_mean_hindi_urdu_separate","unadjusted","nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean","none",5.95731678027543,0.462983083403734,0.166743287595201,10,0.666666666666667,3,24,0.416666666666667,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__glottolog_mean","unadjusted","glottolog_mean","ling_distance_glottolog_nonhindi_mean","none",1.15293542097726,0.600741852612761,0.132628681691084,10,0.555555555555556,4,24,0.416666666666667,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__glottolog_mean_shastry","unadjusted","glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean","none",0.569246159627652,0.463724906255712,0.07711468542519,10,0.444444444444444,5,24,0.291666666666667,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__dyen_noncognate","unadjusted","dyen_noncognate","ling_distance_dyen_noncognate_pct","none",0.203906500644779,0.477506609573927,0.123876930204547,10,0.555555555555556,4,24,0.5,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"unadjusted__dyen_noncognate_shastry","unadjusted","dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct","none",0.0828441258929904,0.345178017187082,0.0689544834537935,10,0.555555555555556,4,24,0.291666666666667,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"region_main__nonzero_mean","region_main","nonzero_mean","ling_distance_nonzero_mean","region",4.91039459219766,0.259803187739825,0.0562306513906465,10,0.444444444444444,5,24,0.166666666666667,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"region_main__distant_share","region_main","distant_share","ling_share_distance_ge3","region",-0.0554317526252908,0.0294994806677954,0.0287206279111615,10,0.555555555555556,4,24,0.458333333333333,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"region_main__top3_legacy","region_main","top3_legacy","ling_distance_top3_legacy","region",2.72409514179987,0.269296496751262,0.0598699022818338,10,0.555555555555556,4,24,0.333333333333333,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
"region_main__nonzero_mean_hindi_urdu","region_main","nonzero_mean_hindi_urdu","ling_distance_nonzero_mean","region",4.91951683111705,0.258020639512753,0.0575677301678819,10,0.555555555555556,4,24,0.166666666666667,458,"estimated",NA,"emi_total_0508_pooled","dise_emi_enrollment_share_total_0508_pooled","structural_iv"
