"state_key","district_key","target_unit_2001","n_candidate_targets","bridge_status","bridge_sources"
"uttar pradesh","ballia","pc2001__09__63",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","balrampur","pc2001__09__52",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","balrampur u p",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","banda","pc2001__09__40",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","barabanki","pc2001__09__46",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","bareilly","pc2001__09__20",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","basti","pc2001__09__55",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","bhadohi",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","bhadoi",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","bijnor","pc2001__09__03",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","budaun","pc2001__09__19",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","bulandshahr","pc2001__09__11",1,"deterministic_to_2001","reviewed_deterministic_nss_lineage"
"uttar pradesh","chandauli","pc2001__09__66",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","chitrakoot","pc2001__09__41",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","csmaharaj nagar",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","deoria","pc2001__09__60",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","etah","pc2001__09__17",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","etawah","pc2001__09__31",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","faizabad","pc2001__09__47",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","farrukhabad","pc2001__09__29",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
