"target_unit_2001","dise_source_district_count_0708","dise_emi_enrollment_share_total_0708","dise_hindi_enrollment_share_total_0708","dise_english_share_english_hindi_0708","dise_private_enrollment_share_0708","dise_private_school_share_0708","dise_emi_gross_enrollment_ratio_age_6_13_0708","dise_elementary_gross_enrollment_ratio_age_6_13_0708","dise_english_identity_resolved_0708","dise_hindi_identity_resolved_0708","dise_baseline_years_observed","dise_emi_enrollment_share_total_0508_pooled","dise_age_6_13_baseline_years_observed","dise_emi_gross_enrollment_ratio_age_6_13_0508_pooled"
"pc2001__27__10",1,5.30800923420189,1.47736184595672,78.2272505290575,44.7825654733633,31.7380352644836,5.4678057875,103.010479941679,TRUE,TRUE,3,4.2876859266441,3,4.4421536790578
"pc2001__27__11",1,5.40022312090364,14.4331334541905,27.2279838284409,33.343128075383,26.1660079051383,5.42928692408312,100.538196339832,TRUE,TRUE,3,4.71106491449501,3,4.72884520747891
"pc2001__27__12",1,2.40326099437364,2.5548283385004,48.471514590088,31.3836261338845,17.9847685998828,2.38033988691202,99.0462497616664,TRUE,TRUE,3,2.15457346833311,3,2.11749609721652
"pc2001__27__13",1,9.98465173448137,3.94214786557212,71.6937991585879,43.4425968501029,23.9695340501792,9.81298094357201,98.2806531917732,TRUE,TRUE,3,8.78676290477979,3,8.81833935469245
"pc2001__27__14",1,3.13141423319788,1.03365728334018,75.1827242524917,29.8639778969848,20.6809127127852,3.09455085743496,98.8227882669719,TRUE,TRUE,3,2.85664370261345,3,2.78586886591708
"pc2001__27__15",1,1.60830511488312,0.610026554326948,72.5006606183388,44.7490235081021,25.9853505406348,1.38581974368795,86.1664699604378,TRUE,TRUE,3,1.59740644840167,3,1.34243560823695
"pc2001__27__16",1,0.785347383885795,0.95872875268039,45.0294208733354,28.5798391496211,17.434869739479,0.706901576455392,90.0113237734028,TRUE,TRUE,2,NA,2,NA
"pc2001__27__17",1,0.919856750938226,NA,NA,43.1182422804482,25.0177683013504,0.843722340709542,91.7232318889838,TRUE,FALSE,3,0.897711348735579,3,0.794510542545871
"pc2001__27__20",1,5.26588075460154,0.572676622152643,90.1914705089186,49.8626790739104,26.4439805149617,4.8150963714477,91.4395254248793,TRUE,TRUE,3,4.97630550395082,3,4.27234050991625
"pc2001__27__22",1,37.2327911277832,16.1708611897153,69.7195594533959,56.519972726342,48.0444444444444,28.010203695827,75.2299326679426,TRUE,TRUE,3,41.8052133127138,3,23.2523189068295
"pc2001__27__23",1,48.8052192256756,8.54240452368837,85.1041700332298,95.1137156317292,95.4810495626822,76.3310248208844,156.39930735262,TRUE,TRUE,3,40.1424450665531,3,64.0636060822973
"pc2001__27__25",1,13.5054341286508,0.802641780690768,94.3902884931807,51.1354278820448,27.7698863636364,10.5737503454786,78.2925616811324,TRUE,TRUE,3,12.5850185098574,3,10.4442432750808
"pc2001__27__27",1,1.18642340702452,0.0171374843099384,98.5761015970752,44.2394893956026,25.0852595680182,1.19003038150686,100.304020846267,TRUE,TRUE,3,0.977158957625044,3,0.971525508875374
"pc2001__27__31",1,4.24037473527808,0,100,46.3488878061488,23.4805810850875,4.08875265117296,96.4243234720815,TRUE,TRUE,3,3.57687449637866,3,3.45952909494205
"pc2001__27__32",1,5.22308721149559,0,100,32.8307250286742,13.8182973316391,5.53011616571233,105.878304186478,TRUE,TRUE,3,4.70786085655691,3,5.07545879673935
