"target_unit_2001","census_2001_district_name","census_age_6_13_population_2001","census_age_6_13_population_2011","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","census_age_6_13_anchor_status","census_age_6_13_annual_log_growth_2001_2011"
"pc2001__10__31","Kaimur (Bhabua) *",290495,368184,1,"Kaimur (Bhabua)",TRUE,"two_census_anchors",0.0236996448770698
"pc2001__10__32","Rohtas",555290,652339,1,"Rohtas",TRUE,"two_census_anchors",0.0161073865654094
"pc2001__10__35","Gaya",816282,978672,1,"Gaya",TRUE,"two_census_anchors",0.0181436667145187
"pc2001__10__36","Nawada",432844,516941,1,"Nawada",TRUE,"two_census_anchors",0.0177551362122793
"pc2001__10__37","Jamui *",328649,390679,1,"Jamui",TRUE,"two_census_anchors",0.0172895938982088
"pc2001__11__03","South",27937,25281,1,"South District",TRUE,"two_census_anchors",-0.00998988496635842
"pc2001__11__04","East",46049,41876,1,"East District",TRUE,"two_census_anchors",-0.00949931764818204
"pc2001__12__01","Tawang",7386,7873,1,"Tawang",TRUE,"two_census_anchors",0.00638528677719588
"pc2001__12__09","Upper Siang *",6779,6861,1,"Upper Siang",TRUE,"two_census_anchors",0.00120236052599253
"pc2001__12__10","Dibang Valley",12937,12226,2,"Dibang Valley;Lower Dibang Valley",TRUE,"two_census_anchors",-0.00565265913292312
"pc2001__12__12","Changlang",27208,29947,1,"Changlang",TRUE,"two_census_anchors",0.00959181048946124
"pc2001__12__13","Tirap",22494,24272,1,"Tirap",TRUE,"two_census_anchors",0.00760748156243464
"pc2001__13__01","Mon",57863,53671,1,"Mon",TRUE,"two_census_anchors",-0.00752053290970154
"pc2001__13__03","Mokokchung",43470,32563,1,"Mokokchung",TRUE,"two_census_anchors",-0.0288894370518631
"pc2001__13__04","Zunheboto",35786,28889,1,"Zunheboto",TRUE,"two_census_anchors",-0.0214095855643912
"pc2001__13__05","Wokha",36574,30381,1,"Wokha",TRUE,"two_census_anchors",-0.0185520192434184
"pc2001__14__04","Bishnupur",37232,39688,1,"Bishnupur",TRUE,"two_census_anchors",0.00638802684388118
"pc2001__14__05","Thoubal",69851,76236,1,"Thoubal",TRUE,"two_census_anchors",0.00874693900796351
"pc2001__14__06","Imphal West",71497,75759,1,"Imphal West",TRUE,"two_census_anchors",0.00579017584353535
"pc2001__14__08","Ukhrul",28356,33806,1,"Ukhrul",TRUE,"two_census_anchors",0.0175799653535215
"pc2001__15__01","Mamit *",12998,16140,1,"Mamit",TRUE,"two_census_anchors",0.0216505163369646
"pc2001__15__02","Kolasib *",12846,14712,1,"Kolasib",TRUE,"two_census_anchors",0.0135631008466419
"pc2001__15__07","Lawngtlai",15849,23964,1,"Lawngtlai",TRUE,"two_census_anchors",0.041344629737139
"pc2001__16__01","West Tripura",290818,237819,1,"West Tripura",TRUE,"two_census_anchors",-0.0201187761815805
"pc2001__16__02","South Tripura",152643,139006,1,"South Tripura",TRUE,"two_census_anchors",-0.00935847639281719
"pc2001__16__03","Dhalai  *",66090,66416,1,"Dhalai",TRUE,"two_census_anchors",0.00049205418283215
"pc2001__16__04","North Tripura",119698,113482,1,"North Tripura",TRUE,"two_census_anchors",-0.00533276699502643
"pc2001__17__03","South Garo Hills *",23030,29693,1,"South Garo Hills",TRUE,"two_census_anchors",0.0254113613961061
"pc2001__17__05","Ri Bhoi  *",45322,57754,1,"Ribhoi",TRUE,"two_census_anchors",0.0242400045259789
"pc2001__17__06","East Khasi Hills",136568,155222,1,"East Khasi Hills",TRUE,"two_census_anchors",0.0128033691202039
"pc2001__18__03","Goalpara",186101,194704,1,"Goalpara",TRUE,"two_census_anchors",0.00451909195055445
"pc2001__18__13","Dhemaji",130040,131067,1,"Dhemaji",TRUE,"two_census_anchors",0.000786654740095818
"pc2001__18__14","Tinsukia",233578,230228,1,"Tinsukia",TRUE,"two_census_anchors",-0.00144459461835079
"pc2001__18__15","Dibrugarh",230615,212383,1,"Dibrugarh",TRUE,"two_census_anchors",-0.0082358404921281
"pc2001__19__07","Murshidabad",1324026,1296087,1,"Murshidabad",TRUE,"two_census_anchors",-0.00213273694776199
"pc2001__19__08","Birbhum",615846,566329,1,"Birbhum",TRUE,"two_census_anchors",-0.00838217508635024
"pc2001__19__13","Bankura",590540,537940,1,"Bankura",TRUE,"two_census_anchors",-0.00932903427683513
"pc2001__19__14","Puruliya",502901,494975,1,"Puruliya",TRUE,"two_census_anchors",-0.00158860754000719
"pc2001__19__16","Haora",741305,669251,1,"Haora",TRUE,"two_census_anchors",-0.010225296993824
"pc2001__19__17","Kolkata",593260,494940,1,"Kolkata",TRUE,"two_census_anchors",-0.0181196208373154
"pc2001__20__01","Garhwa *",254999,307671,1,"Garhwa",TRUE,"two_census_anchors",0.018777140666049
"pc2001__20__02","Palamu",507015,601963,2,"Latehar;Palamu",TRUE,"two_census_anchors",0.0171655392673599
"pc2001__20__03","Chatra *",196987,242787,1,"Chatra",TRUE,"two_census_anchors",0.0209046779029187
"pc2001__20__04","Hazaribag",532934,543641,2,"Hazaribagh;Ramgarh",TRUE,"two_census_anchors",0.00198915134315536
"pc2001__20__05","Kodarma *",116880,153746,1,"Kodarma",TRUE,"two_census_anchors",0.0274154122645592
"pc2001__20__06","Giridih",455257,538296,1,"Giridih",TRUE,"two_census_anchors",0.0167546500082188
"pc2001__20__07","Deoghar",266656,306237,1,"Deoghar",TRUE,"two_census_anchors",0.0138399873778565
"pc2001__20__08","Godda",237821,277693,1,"Godda",TRUE,"two_census_anchors",0.0154997897075663
"pc2001__20__09","Sahibganj",216392,251326,1,"Sahibganj",TRUE,"two_census_anchors",0.0149659323483074
"pc2001__20__10","Pakaur *",163536,195842,1,"Pakur",TRUE,"two_census_anchors",0.0180275062103395
"pc2001__20__11","Dumka",385350,407284,2,"Dumka;Jamtara",TRUE,"two_census_anchors",0.0055358718575042
"pc2001__20__12","Dhanbad",520013,489993,1,"Dhanbad",TRUE,"two_census_anchors",-0.00594627059746334
"pc2001__20__13","Bokaro *",378782,386010,1,"Bokaro",TRUE,"two_census_anchors",0.00189024341615326
"pc2001__20__14","Ranchi",592368,632659,2,"Khunti;Ranchi",TRUE,"two_census_anchors",0.00658035090304349
"pc2001__20__15","Lohardaga",89138,103921,1,"Lohardaga",TRUE,"two_census_anchors",0.0153445264452657
