"specification_id","adjustment_id","construction_id","estimate_2sls","std_error_clustered","p_value_clustered","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason","construct_id","treatment","analysis_scope","domain","margin","source_side","paper_role","label"
"region_expanded__nonzero_mean","region_expanded","nonzero_mean",-0.000466173894967508,0.00396587407273635,0.906474344828438,7.89524050053393,23.1085112116065,0.637742322864243,1,0.013320370236516,0.908163390746758,0.0133203702365153,0.90816339074676,-0.00767027150973548,0.0158199349888295,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.0158199349888295,FALSE,FALSE,"[-0.00767027, 0.0158199]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distant_share","region_expanded","distant_share",-0.0450191965677842,0.188962740685681,0.811789631660443,0.0636247898684598,23.1085112116065,0.99851255235747,1,1.08700446532674,0.297639709175162,1.08700446532674,0.297639709175162,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__top3_legacy","region_expanded","top3_legacy",-0.000713546655958444,0.00599015552674687,0.905228217946561,2.55049002451194,23.1085112116065,0.941239089050656,1,0.0139607781809805,0.905991711896237,0.0139607781809804,0.905991711896237,NA,NA,FALSE,1,FALSE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_hindi_urdu","region_expanded","nonzero_mean_hindi_urdu",-0.000467285858465249,0.00399212410015338,0.906865992449928,7.89016661447053,23.1085112116065,0.638080829709791,1,0.0132077216132691,0.908550915470688,0.0132077216132687,0.908550915470689,-0.00767027150973548,0.0162993269581879,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.0162993269581879,FALSE,FALSE,"[-0.00767027, 0.0162993]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_shastry","region_expanded","nonzero_mean_shastry",-0.0001612240989679,0.00405289171741719,0.968284450465598,7.1667101723939,23.1085112116065,0.68623505511267,1,0.00156221524304093,0.968487766504698,0.00156221524304078,0.9684877665047,-0.00767027150973548,0.0186962868049803,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.0186962868049803,FALSE,FALSE,"[-0.00767027, 0.0186963]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_sensitivity_low","region_expanded","nonzero_mean_sensitivity_low",-9.62715372116246e-05,0.00410069467667746,0.981279280285215,7.28445088477298,23.1085112116065,0.678427289443418,1,0.000547118907906393,0.981348093728876,0.000547118907906475,0.981348093728875,-0.00767027150973548,0.0182168948356218,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.0182168948356218,FALSE,FALSE,"[-0.00767027, 0.0182169]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_sensitivity_high","region_expanded","nonzero_mean_sensitivity_high",0.00552938744601357,0.00967058345180232,0.567733125294942,1.65216840727799,23.1085112116065,0.969739168861972,1,0.697892934460458,0.403893213892884,0.697892934460443,0.40389321389289,NA,NA,FALSE,2,TRUE,TRUE,-0.0958783938716936,0.0958783938716936,TRUE,TRUE,"[grid<= -0.0958784, -0.0167787] U [-0.0057527, 0.0958784 <=grid]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_hindi_urdu_separate","region_expanded","nonzero_mean_hindi_urdu_separate",2.79303039756421e-05,0.00451722322544471,0.99506913196716,6.83165120733597,23.1085112116065,0.708337668273066,1,3.83203636461598e-05,0.995063330263203,3.83203636461718e-05,0.995063330263202,-0.00767027150973548,0.0239695984679234,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.0239695984679234,FALSE,FALSE,"[-0.00767027, 0.0239696]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all","region_expanded","distance_shares_all",-0.0051116295914352,0.00253959860696161,0.0446743379970816,3.80457289451362,18.4783014944422,0.980814163842467,2.42326516570819,3.68822764831459,0.00275111591100317,3.68822764831413,0.00275111591100579,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distance_shares_all_unmapped","region_expanded","distance_shares_all_unmapped",-0.00511358950338674,0.00250913452010641,0.0420788808012888,4.10906667167619,18.5270203134768,0.973512097219713,2.39420621145216,4.43631192051206,0.000580650044245944,4.43631192051158,0.000580650044246526,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
