"bin","instrument","treatment","n","specification_id","construct_id","analysis_scope","domain","margin","source_side","paper_role","label"
3,-1.07815914998714,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-0.509888830671392,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-0.147004004333023,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,0.186124479132328,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,0.727122529445211,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,1.33999170616303,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,1.65527965439802,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,1.85922050734378,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_sensitivity_high","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-2.22840624689734,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-1.72226055938246,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-1.07747796003869,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-0.365624383361825,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-0.0729628387034486,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,0.270420766139287,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,0.688019064227775,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,1.17775084571715,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,1.58154953693513,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,1.74899177536442,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu_separate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-6.19489284149377,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-4.52259094336011,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-3.43623527731176,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-2.31581704989218,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-1.4727141760802,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,-0.853653095704378,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,-0.0942066358924956,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,2.31160646694701,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,5.84870421323511,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,10.7297993395528,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-6.13789656869456,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-4.30594249826219,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-3.15342972422411,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-2.2575130504741,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-1.51304670419617,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,-0.716162495808053,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,0.866073973977391,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,2.96235541263639,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,4.97954480971753,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,9.27601684532786,"dise_emi_enrollment_share_total_0708",52,"unadjusted__glottolog_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-30.4979803767378,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-22.9959081674408,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-20.1393352347876,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-16.1326526757315,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-12.8167167466007,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,-7.21642161230114,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,7.62716882535033,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,28.7078734724782,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,36.3655743072665,"dise_emi_enrollment_share_total_0708",52,"unadjusted__dyen_noncognate","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
